iv,dv,subNum
1,1,41
0,1,41
1,1,41
0,1,41
0,1,41
1,1,41
1,1,41
0,1,41
1,1,41
0,1,41
1,1,41
1,0,41
1,1,41
1,0,41
0,1,41
1,1,41
0,1,41
1,1,41
0,0,41
1,1,41
0,1,41
1,1,41
0,1,41
1,0,41
0,1,41
1,1,41
0,1,41
1,1,41
0,1,41
1,1,41
1,1,41
1,1,41
0,1,41
0,1,41
0,0,41
0,1,41
0,1,41
0,1,41
0,1,41
0,0,41
0,1,41
1,1,41
1,1,41
1,1,41
0,1,41
1,1,41
1,0,41
0,1,41
1,1,41
1,1,41
0,1,41
1,1,41
1,1,41
1,1,41
1,1,41
0,0,41
1,1,41
1,1,41
0,0,41
1,1,41
1,1,41
1,1,41
0,1,41
0,1,41
0,1,41
1,1,41
0,1,41
0,1,41
1,1,41
1,1,41
1,1,41
0,1,41
1,1,41
1,0,41
0,0,41
1,1,41
0,1,41
0,1,41
1,1,41
1,1,41
0,1,41
0,1,41
1,1,41
1,1,41
0,1,41
0,1,41
1,1,41
0,1,41
1,1,41
1,1,41
1,1,41
0,0,41
1,1,41
0,1,41
1,1,41
1,1,41
0,1,41
0,1,41
0,1,41
0,1,41
1,1,41
0,1,41
0,1,41
0,1,41
0,1,41
1,1,41
0,1,41
1,1,41
0,1,41
0,1,41
0,1,41
0,1,41
0,1,41
0,1,41
1,1,41
0,1,41
1,1,41
1,1,41
0,0,41
1,1,41
1,1,41
1,1,41
0,1,41
0,0,41
1,1,41
1,1,41
0,1,41
1,0,41
0,1,41
0,1,41
1,1,41
1,1,41
1,1,41
0,1,41
1,1,41
1,1,41
0,1,41
1,1,41
1,0,41
0,0,41
0,1,41
0,1,41
1,1,41
0,1,41
0,1,41
1,1,41
1,1,41
1,1,41
0,1,41
1,1,41
0,0,41
0,1,41
0,1,41
0,1,41
0,0,41
0,0,41
1,0,41
