iv,dv,subNum
0,0,64
1,1,64
1,1,64
0,0,64
1,1,64
0,1,64
0,0,64
0,0,64
1,1,64
0,0,64
0,0,64
0,1,64
0,1,64
1,1,64
1,1,64
1,1,64
0,0,64
0,0,64
0,1,64
0,0,64
1,1,64
1,1,64
0,0,64
1,1,64
0,0,64
0,0,64
1,1,64
0,0,64
0,0,64
0,1,64
0,0,64
0,0,64
1,0,64
1,1,64
0,0,64
0,0,64
1,1,64
0,0,64
1,1,64
1,1,64
1,1,64
0,0,64
1,1,64
1,1,64
1,0,64
0,0,64
1,1,64
0,0,64
1,1,64
0,0,64
1,1,64
0,0,64
1,0,64
0,0,64
0,0,64
1,1,64
1,1,64
0,0,64
0,0,64
0,0,64
0,0,64
1,1,64
1,1,64
1,0,64
0,1,64
1,1,64
1,1,64
1,1,64
0,0,64
0,1,64
0,1,64
1,1,64
1,1,64
0,0,64
1,0,64
1,1,64
0,0,64
0,0,64
0,0,64
0,1,64
0,0,64
0,0,64
1,0,64
1,1,64
0,0,64
0,0,64
0,1,64
1,1,64
1,0,64
0,0,64
1,1,64
0,0,64
1,1,64
1,0,64
0,1,64
1,1,64
1,1,64
0,1,64
1,0,64
1,0,64
0,0,64
1,1,64
0,0,64
1,1,64
0,0,64
1,1,64
1,1,64
1,1,64
1,1,64
1,1,64
1,1,64
0,0,64
0,0,64
0,0,64
0,0,64
1,1,64
1,1,64
0,0,64
0,0,64
0,0,64
0,0,64
1,1,64
1,1,64
1,1,64
0,0,64
0,0,64
1,1,64
1,0,64
0,0,64
0,0,64
1,0,64
0,0,64
1,1,64
1,1,64
1,1,64
0,1,64
1,0,64
1,1,64
0,1,64
1,1,64
1,1,64
0,1,64
1,1,64
1,1,64
0,0,64
0,0,64
1,1,64
1,1,64
1,0,64
1,0,64
0,1,64
1,0,64
1,1,64
1,1,64
1,1,64
0,0,64
0,0,64
1,1,64
0,0,64
0,0,64
0,0,64
0,0,64
0,0,64
0,0,64
0,1,64
0,0,64
1,1,64
1,1,64
0,0,64
1,0,64
0,0,64
0,0,64
1,1,64
0,0,64
1,1,64
1,1,64
1,0,64
0,0,64
0,0,64
1,0,64
1,0,64
1,1,64
0,1,64
1,0,64
1,1,64
1,0,64
1,1,64
0,0,64
1,1,64
1,0,64
0,0,64
0,0,64
1,1,64
1,1,64
