iv,dv,subNum
0,0,70
1,1,70
0,0,70
1,1,70
1,1,70
1,0,70
0,0,70
1,1,70
0,0,70
1,1,70
0,1,70
1,1,70
0,0,70
0,0,70
0,1,70
0,0,70
0,0,70
0,1,70
1,0,70
1,0,70
0,0,70
0,0,70
1,1,70
0,1,70
1,0,70
1,1,70
0,1,70
0,1,70
1,1,70
1,0,70
0,1,70
0,1,70
1,1,70
0,0,70
1,0,70
1,1,70
0,1,70
1,1,70
0,1,70
0,1,70
0,1,70
1,1,70
0,0,70
0,1,70
0,1,70
0,1,70
0,1,70
1,1,70
1,1,70
1,1,70
1,1,70
1,1,70
0,0,70
0,0,70
1,1,70
1,1,70
1,0,70
1,1,70
0,1,70
0,1,70
1,1,70
1,1,70
0,1,70
1,1,70
1,1,70
0,1,70
0,1,70
1,1,70
0,1,70
0,1,70
0,1,70
0,1,70
1,1,70
1,1,70
0,1,70
1,1,70
0,0,70
0,1,70
0,1,70
0,1,70
1,1,70
0,1,70
0,1,70
1,1,70
0,0,70
1,1,70
0,1,70
0,0,70
0,1,70
1,1,70
1,1,70
1,0,70
0,1,70
0,1,70
1,1,70
0,1,70
1,1,70
1,1,70
0,1,70
0,1,70
0,1,70
1,1,70
0,1,70
0,0,70
1,0,70
0,1,70
1,1,70
1,1,70
0,1,70
0,1,70
1,1,70
1,1,70
0,1,70
0,1,70
1,1,70
1,1,70
0,1,70
1,1,70
0,1,70
0,1,70
0,1,70
1,0,70
0,1,70
1,1,70
0,1,70
0,1,70
1,1,70
1,1,70
1,1,70
1,1,70
1,1,70
0,1,70
1,1,70
1,1,70
1,1,70
1,1,70
0,1,70
1,1,70
0,1,70
1,1,70
1,1,70
1,1,70
1,1,70
1,1,70
1,1,70
0,0,70
0,1,70
1,1,70
0,1,70
0,1,70
1,0,70
0,1,70
1,1,70
0,0,70
1,0,70
0,1,70
1,1,70
1,0,70
0,0,70
0,1,70
0,1,70
1,1,70
0,0,70
1,1,70
1,1,70
1,1,70
0,1,70
0,0,70
0,1,70
0,1,70
1,1,70
0,1,70
0,1,70
1,0,70
0,0,70
1,0,70
1,0,70
1,1,70
1,1,70
0,1,70
1,1,70
1,1,70
0,1,70
0,1,70
0,1,70
1,1,70
0,1,70
1,0,70
1,0,70
1,1,70
1,0,70
1,1,70
0,0,70
1,0,70
1,0,70
0,0,70
