iv,dv,subNum
0,1,47
0,0,47
0,1,47
0,1,47
0,1,47
1,0,47
1,1,47
1,1,47
1,1,47
0,0,47
1,1,47
1,0,47
0,1,47
0,0,47
1,0,47
0,1,47
0,0,47
1,1,47
0,1,47
1,1,47
0,1,47
1,1,47
1,1,47
0,1,47
1,0,47
0,1,47
0,1,47
0,1,47
1,1,47
0,1,47
0,1,47
0,1,47
0,0,47
1,1,47
1,1,47
0,1,47
1,1,47
1,1,47
0,1,47
1,1,47
0,1,47
0,1,47
0,1,47
1,1,47
0,1,47
0,1,47
1,1,47
1,1,47
1,1,47
0,1,47
1,1,47
0,0,47
0,1,47
0,1,47
0,1,47
1,1,47
0,1,47
0,0,47
1,0,47
1,1,47
1,1,47
0,1,47
0,0,47
1,1,47
1,1,47
0,1,47
1,1,47
1,1,47
0,1,47
1,1,47
1,1,47
1,1,47
1,1,47
0,0,47
1,0,47
1,1,47
1,0,47
1,1,47
1,1,47
1,1,47
0,1,47
1,1,47
0,1,47
0,0,47
0,0,47
1,1,47
1,1,47
1,1,47
0,1,47
1,1,47
0,0,47
0,1,47
1,0,47
0,0,47
1,1,47
0,1,47
1,1,47
0,1,47
1,1,47
1,0,47
1,1,47
0,1,47
1,1,47
0,0,47
0,1,47
1,0,47
1,1,47
1,0,47
0,1,47
0,1,47
0,1,47
1,1,47
0,1,47
0,0,47
1,0,47
1,1,47
1,1,47
1,0,47
0,1,47
0,1,47
0,1,47
0,1,47
0,0,47
0,1,47
1,1,47
1,1,47
0,1,47
1,0,47
1,1,47
0,0,47
1,0,47
1,1,47
1,1,47
1,1,47
0,0,47
1,1,47
1,1,47
0,1,47
0,1,47
0,1,47
0,0,47
1,1,47
0,1,47
0,1,47
0,1,47
0,1,47
1,0,47
1,1,47
1,1,47
0,0,47
1,1,47
0,1,47
1,1,47
0,1,47
0,1,47
0,1,47
1,0,47
1,1,47
1,1,47
1,1,47
0,1,47
1,0,47
0,1,47
0,1,47
0,1,47
0,0,47
1,1,47
0,0,47
1,1,47
0,1,47
0,1,47
1,1,47
1,0,47
1,1,47
1,1,47
1,1,47
0,0,47
