iv,dv,subNum
0,1,58
1,1,58
0,1,58
0,1,58
0,1,58
1,1,58
0,1,58
1,1,58
0,1,58
1,1,58
0,1,58
1,1,58
1,0,58
1,1,58
1,0,58
1,1,58
0,1,58
0,0,58
1,0,58
0,1,58
1,1,58
0,0,58
0,1,58
1,1,58
1,1,58
0,1,58
0,1,58
1,1,58
1,1,58
0,1,58
1,0,58
0,1,58
1,1,58
1,1,58
1,1,58
1,1,58
0,1,58
0,1,58
1,0,58
1,0,58
1,1,58
1,1,58
1,1,58
0,1,58
0,1,58
0,1,58
0,1,58
0,1,58
1,1,58
1,1,58
0,1,58
0,1,58
0,0,58
0,1,58
1,1,58
1,1,58
0,1,58
1,1,58
0,1,58
0,1,58
1,0,58
1,1,58
0,1,58
1,1,58
1,1,58
1,1,58
1,1,58
0,1,58
0,1,58
1,1,58
0,1,58
1,1,58
1,0,58
1,1,58
1,1,58
0,1,58
1,1,58
1,1,58
0,1,58
1,1,58
0,1,58
1,1,58
1,1,58
0,1,58
1,1,58
1,0,58
0,0,58
1,1,58
0,1,58
0,1,58
1,1,58
0,1,58
1,1,58
1,1,58
1,1,58
0,0,58
1,1,58
0,1,58
1,1,58
0,1,58
1,1,58
1,1,58
1,1,58
0,1,58
0,1,58
0,1,58
0,1,58
1,1,58
0,1,58
1,1,58
1,1,58
1,1,58
0,1,58
1,1,58
0,1,58
0,0,58
1,0,58
1,1,58
1,1,58
1,0,58
0,1,58
0,0,58
1,0,58
1,1,58
0,1,58
1,1,58
1,1,58
0,0,58
1,0,58
0,0,58
0,0,58
0,1,58
1,1,58
0,0,58
0,0,58
1,1,58
1,1,58
1,1,58
0,1,58
1,1,58
0,0,58
0,0,58
0,1,58
0,0,58
1,1,58
0,0,58
0,0,58
1,0,58
