iv,dv,subNum
1,1,49
0,1,49
1,1,49
0,1,49
1,1,49
0,1,49
1,1,49
0,0,49
0,1,49
0,0,49
0,1,49
1,1,49
1,0,49
0,0,49
0,1,49
1,1,49
1,0,49
1,1,49
0,1,49
1,1,49
1,0,49
1,1,49
0,0,49
1,1,49
0,1,49
1,1,49
0,1,49
1,1,49
1,1,49
0,0,49
0,1,49
0,1,49
0,1,49
0,1,49
1,0,49
1,1,49
1,1,49
1,1,49
1,1,49
1,1,49
1,0,49
1,1,49
0,1,49
0,1,49
1,1,49
0,1,49
1,1,49
1,1,49
0,1,49
1,1,49
0,0,49
0,1,49
0,1,49
1,1,49
1,0,49
0,0,49
0,1,49
0,1,49
1,1,49
0,0,49
0,1,49
1,1,49
0,0,49
1,1,49
0,1,49
0,0,49
0,1,49
1,1,49
1,1,49
1,0,49
0,1,49
0,0,49
1,0,49
1,1,49
0,1,49
0,1,49
1,1,49
0,1,49
0,0,49
1,0,49
1,1,49
1,1,49
0,1,49
1,1,49
1,1,49
1,1,49
0,1,49
1,1,49
0,1,49
0,1,49
1,0,49
0,1,49
1,1,49
0,1,49
1,1,49
0,1,49
1,1,49
0,1,49
1,1,49
1,1,49
1,1,49
0,0,49
0,1,49
1,1,49
0,1,49
0,1,49
1,0,49
0,1,49
0,0,49
1,0,49
0,1,49
1,1,49
1,0,49
0,0,49
0,1,49
0,0,49
1,1,49
0,0,49
1,1,49
1,1,49
0,0,49
0,1,49
1,1,49
0,1,49
1,0,49
0,0,49
1,0,49
1,0,49
1,1,49
0,1,49
1,1,49
0,1,49
1,0,49
1,0,49
1,1,49
1,0,49
0,0,49
1,0,49
1,0,49
0,0,49
