iv,dv,subNum
0,0,63
1,1,63
0,1,63
1,1,63
1,1,63
0,1,63
1,1,63
0,1,63
1,1,63
0,1,63
1,1,63
0,0,63
0,1,63
0,0,63
0,0,63
0,1,63
1,1,63
1,0,63
0,0,63
0,1,63
1,1,63
1,0,63
1,1,63
0,1,63
1,1,63
1,0,63
1,1,63
0,0,63
1,0,63
1,1,63
0,1,63
0,0,63
0,1,63
0,1,63
1,1,63
0,1,63
1,1,63
1,1,63
0,0,63
0,1,63
0,1,63
0,1,63
1,1,63
1,1,63
1,1,63
1,1,63
1,1,63
0,0,63
0,0,63
1,1,63
1,1,63
1,0,63
1,1,63
0,1,63
0,1,63
1,1,63
1,1,63
1,1,63
0,1,63
1,1,63
0,1,63
0,1,63
0,1,63
0,1,63
1,1,63
1,1,63
0,1,63
1,0,63
0,0,63
0,0,63
0,0,63
0,0,63
1,0,63
0,0,63
0,0,63
1,1,63
0,1,63
0,0,63
0,1,63
1,1,63
1,1,63
1,0,63
0,1,63
1,1,63
1,1,63
1,1,63
0,1,63
0,1,63
1,1,63
0,1,63
0,0,63
1,0,63
1,1,63
1,1,63
0,0,63
0,1,63
1,1,63
1,1,63
0,1,63
0,0,63
1,1,63
1,1,63
0,1,63
1,1,63
0,1,63
0,1,63
1,0,63
0,1,63
1,1,63
0,1,63
0,1,63
1,1,63
1,0,63
1,0,63
0,1,63
1,0,63
1,0,63
0,1,63
1,0,63
0,1,63
1,1,63
1,1,63
1,1,63
1,1,63
1,0,63
0,0,63
0,1,63
1,1,63
0,1,63
0,1,63
1,0,63
0,1,63
0,0,63
1,0,63
0,1,63
1,1,63
1,0,63
0,0,63
0,1,63
0,0,63
1,1,63
1,1,63
1,0,63
0,0,63
0,0,63
0,0,63
0,1,63
1,1,63
0,1,63
1,0,63
0,0,63
0,0,63
1,0,63
1,0,63
1,1,63
1,1,63
0,1,63
1,0,63
1,1,63
0,1,63
0,1,63
0,1,63
1,1,63
0,1,63
1,0,63
1,0,63
1,1,63
1,0,63
1,1,63
0,0,63
1,0,63
1,0,63
0,0,63
