iv,dv,subNum
1,0,74
1,0,74
0,0,74
1,0,74
1,0,74
1,0,74
0,0,74
0,0,74
1,0,74
1,1,74
0,0,74
1,0,74
1,1,74
0,1,74
0,0,74
1,0,74
0,0,74
0,0,74
1,0,74
1,0,74
1,0,74
0,0,74
1,0,74
0,0,74
1,0,74
0,0,74
1,0,74
1,0,74
1,0,74
0,0,74
1,0,74
0,0,74
1,1,74
1,0,74
1,0,74
0,0,74
1,1,74
0,0,74
1,1,74
0,1,74
0,0,74
0,1,74
0,0,74
0,0,74
0,0,74
1,0,74
0,0,74
0,0,74
0,0,74
0,0,74
0,0,74
1,0,74
0,0,74
1,0,74
1,0,74
0,0,74
0,0,74
1,0,74
1,0,74
1,0,74
0,0,74
1,0,74
1,0,74
1,0,74
1,0,74
1,0,74
0,0,74
0,0,74
1,0,74
1,0,74
1,0,74
0,1,74
0,1,74
0,0,74
0,0,74
0,0,74
1,1,74
1,0,74
0,0,74
1,0,74
0,1,74
1,0,74
0,0,74
0,0,74
0,1,74
0,0,74
0,1,74
1,1,74
0,1,74
1,1,74
1,1,74
1,1,74
1,1,74
0,1,74
1,1,74
1,1,74
1,1,74
1,1,74
1,1,74
0,1,74
0,1,74
1,1,74
0,0,74
1,1,74
0,0,74
1,0,74
1,0,74
0,0,74
0,0,74
0,0,74
1,0,74
0,0,74
1,0,74
1,1,74
1,1,74
0,1,74
1,1,74
0,1,74
0,1,74
0,0,74
1,0,74
0,1,74
0,1,74
0,1,74
0,1,74
0,1,74
1,0,74
1,1,74
1,1,74
0,0,74
1,1,74
1,0,74
0,0,74
1,0,74
1,0,74
0,0,74
1,1,74
0,0,74
1,0,74
1,0,74
0,0,74
0,0,74
0,0,74
0,1,74
1,0,74
1,0,74
0,0,74
0,0,74
0,0,74
0,0,74
1,0,74
0,0,74
0,0,74
0,0,74
1,0,74
1,0,74
0,1,74
1,1,74
1,1,74
1,1,74
1,1,74
0,1,74
1,0,74
0,0,74
0,0,74
1,0,74
1,1,74
1,0,74
0,0,74
0,0,74
1,0,74
1,1,74
0,1,74
0,0,74
0,1,74
0,1,74
1,0,74
0,1,74
0,0,74
0,0,74
0,0,74
1,1,74
0,0,74
1,0,74
0,0,74
1,1,74
0,1,74
0,1,74
1,1,74
0,1,74
1,0,74
0,1,74
0,1,74
1,1,74
1,1,74
1,1,74
