iv,dv,subNum
1,0,51
0,0,51
0,0,51
0,0,51
1,0,51
1,0,51
1,0,51
0,0,51
1,0,51
0,0,51
0,0,51
1,0,51
0,0,51
1,0,51
1,0,51
1,0,51
0,0,51
0,1,51
1,1,51
1,0,51
0,0,51
1,0,51
1,0,51
1,0,51
0,0,51
1,1,51
0,1,51
0,1,51
1,0,51
0,0,51
0,1,51
1,0,51
1,0,51
1,1,51
0,0,51
0,1,51
0,0,51
0,0,51
1,1,51
0,1,51
0,0,51
0,0,51
0,0,51
0,0,51
1,0,51
0,0,51
0,1,51
1,0,51
0,0,51
1,1,51
0,1,51
0,0,51
1,0,51
1,1,51
0,0,51
1,0,51
0,1,51
0,1,51
0,0,51
1,0,51
1,0,51
0,0,51
1,0,51
1,0,51
0,0,51
0,0,51
0,1,51
0,0,51
1,1,51
0,1,51
0,0,51
0,0,51
0,0,51
1,0,51
0,0,51
0,0,51
1,0,51
