iv,dv,subNum
1,0,15
1,0,15
1,1,15
1,0,15
1,0,15
1,0,15
0,0,15
0,0,15
1,1,15
1,0,15
0,0,15
1,0,15
1,1,15
1,0,15
1,0,15
1,1,15
1,1,15
1,1,15
1,0,15
1,0,15
1,1,15
0,0,15
0,0,15
1,0,15
0,0,15
1,1,15
1,1,15
1,0,15
0,0,15
0,0,15
0,1,15
1,1,15
0,0,15
0,0,15
0,0,15
1,0,15
0,1,15
1,1,15
1,0,15
1,1,15
0,1,15
1,0,15
1,0,15
0,1,15
1,1,15
0,1,15
1,0,15
1,1,15
0,0,15
0,0,15
1,0,15
0,0,15
0,0,15
0,0,15
1,1,15
0,1,15
0,0,15
0,0,15
0,1,15
0,1,15
1,1,15
0,0,15
1,0,15
1,0,15
1,1,15
0,1,15
1,1,15
1,0,15
1,0,15
1,0,15
1,1,15
0,0,15
0,0,15
0,1,15
1,1,15
1,1,15
0,0,15
0,1,15
0,0,15
1,0,15
1,0,15
0,0,15
1,0,15
0,0,15
0,0,15
0,1,15
0,0,15
0,1,15
0,1,15
1,0,15
1,0,15
1,1,15
1,1,15
1,1,15
0,1,15
0,1,15
0,0,15
1,1,15
1,1,15
0,0,15
1,1,15
1,1,15
0,0,15
0,0,15
0,0,15
1,1,15
1,1,15
0,0,15
0,0,15
1,0,15
0,0,15
0,1,15
1,0,15
1,0,15
0,0,15
1,1,15
1,0,15
1,0,15
0,0,15
1,0,15
1,0,15
1,1,15
1,0,15
1,0,15
0,0,15
0,0,15
1,1,15
1,1,15
0,0,15
0,1,15
0,0,15
0,1,15
0,0,15
1,0,15
1,0,15
1,1,15
1,0,15
0,0,15
0,0,15
0,1,15
0,1,15
1,0,15
1,0,15
0,1,15
1,0,15
0,0,15
0,0,15
1,0,15
0,0,15
0,0,15
1,0,15
0,0,15
1,0,15
1,0,15
