iv,dv,subNum
0,1,32
0,1,32
0,1,32
0,1,32
0,1,32
0,1,32
1,1,32
1,1,32
0,1,32
1,1,32
0,1,32
0,1,32
0,1,32
0,0,32
0,1,32
1,1,32
0,1,32
1,1,32
0,1,32
1,1,32
0,1,32
1,1,32
1,1,32
1,1,32
1,0,32
0,1,32
1,0,32
0,1,32
0,1,32
0,0,32
1,1,32
1,1,32
0,1,32
1,1,32
0,1,32
1,0,32
0,1,32
1,1,32
1,0,32
1,0,32
1,1,32
0,1,32
0,1,32
0,1,32
0,1,32
0,1,32
0,1,32
0,1,32
1,1,32
0,1,32
1,1,32
0,0,32
0,0,32
1,1,32
0,1,32
0,1,32
0,0,32
1,1,32
0,1,32
0,0,32
0,1,32
1,1,32
0,1,32
1,0,32
0,0,32
1,1,32
1,1,32
0,0,32
1,1,32
1,0,32
0,1,32
0,1,32
1,0,32
1,1,32
0,0,32
1,1,32
0,1,32
0,0,32
1,1,32
0,1,32
0,0,32
0,1,32
1,1,32
0,1,32
0,0,32
0,0,32
1,1,32
1,1,32
1,0,32
1,1,32
1,1,32
0,0,32
0,0,32
1,1,32
0,1,32
0,1,32
0,1,32
0,0,32
1,1,32
1,0,32
0,1,32
0,1,32
1,0,32
1,1,32
1,0,32
0,1,32
1,1,32
0,1,32
1,1,32
0,1,32
0,0,32
1,1,32
1,1,32
0,1,32
1,0,32
1,0,32
0,1,32
0,1,32
1,1,32
0,1,32
0,0,32
0,0,32
1,1,32
0,0,32
1,1,32
1,1,32
0,1,32
0,0,32
1,1,32
1,1,32
0,1,32
0,0,32
1,1,32
0,1,32
0,1,32
1,1,32
0,1,32
0,0,32
1,1,32
0,0,32
1,1,32
0,1,32
1,0,32
0,1,32
0,1,32
1,1,32
1,1,32
0,1,32
1,1,32
1,1,32
1,0,32
1,1,32
0,1,32
1,1,32
0,1,32
1,1,32
0,1,32
1,1,32
0,0,32
1,0,32
1,1,32
1,1,32
1,1,32
1,0,32
0,1,32
1,1,32
1,1,32
0,1,32
1,0,32
1,1,32
