,N_p,N_t,sigma_b,sigma_w,mu,seeds,QUID,OANOVA
104,100,100,0,1000,0,4,8.58E+56,0
105,100,100,0,1000,0,5,25.97818561,3.67E-08
106,100,100,0,1000,0,6,0.00016702,1
107,100,100,0,1000,0,7,0.000276759,0.999999727
108,100,100,0,1000,0,8,7.51E-05,1
109,100,100,0,1000,0,9,4.78E+23,0
110,100,100,0,1000,0,10,0.013787224,0.119040103
111,100,100,0,1000,0,11,1994395972,1.94E-09
112,100,100,0,1000,0,12,0.028594591,0.585812756
113,100,100,0,1000,0,13,0.000134495,1
114,100,100,0,1000,0,14,0.000128122,1
115,100,100,0,1000,0,15,8.96E-05,1
116,100,100,0,1000,0,16,4.43E-05,1
117,100,100,0,1000,0,17,6.34E-05,1
118,100,100,0,1000,0,18,5.68E-05,1
119,100,100,0,1000,0,19,1.37013016,2.00E-05
120,100,100,0,1000,0,20,0.009468048,0.753296915
121,100,100,0,1000,0,21,9.28E-05,1
122,100,100,0,1000,0,22,0.004252682,0.967603054
123,100,100,0,1000,0,23,0.01313677,0.73778484
124,100,100,0,1000,0,24,0.0023091,0.67778391
125,100,100,0,1000,0,25,0.000865855,0.990954311
126,100,100,0,1000,0,26,0.000110297,1
127,100,100,0,1000,0,27,0.00014019,0.999999989
128,100,100,0,1000,0,28,0.030673944,0.671812095
129,100,100,0,1000,0,29,8.02E-05,1
130,100,100,0,1000,0,30,0.001548358,0.832201775
131,100,100,0,1000,0,31,7.89E-05,1
132,100,100,0,1000,0,32,5.16E-05,1
133,100,100,0,1000,0,33,0.000125169,1
134,100,100,0,1000,0,34,0.000108534,1
135,100,100,0,1000,0,35,0.000180711,1
136,100,100,0,1000,0,36,8.60E-05,1
137,100,100,0,1000,0,37,5.75E-05,1
138,100,100,0,1000,0,38,8.922286796,0.014217206
139,100,100,0,1000,0,39,0.00014022,1
140,100,100,0,1000,0,40,0.00012384,1
141,100,100,0,1000,0,41,18600957427,6.79E-11
142,100,100,0,1000,0,42,43447522225,5.23E-11
143,100,100,0,1000,0,43,1585.872376,0.000507134
144,100,100,0,1000,0,44,8.99E-05,1
145,100,100,0,1000,0,45,0.000127287,1
146,100,100,0,1000,0,46,7.64E-05,1
147,100,100,0,1000,0,47,0.000371772,0.999999989
148,100,100,0,1000,0,48,0.000501004,0.999999332
149,100,100,0,1000,0,49,0.001814537,0.997646736
150,100,100,0,1000,0,50,14282609230,0
151,100,100,0,1000,0,51,0.001050908,0.852800914
152,100,100,0,1000,0,52,0.0003631,0.999999907
153,100,100,0,1000,0,53,0.001345208,0.996867814
154,100,100,0,1000,0,54,0.004615663,0.932474497
155,100,100,0,1000,0,55,4.41E+13,2.96E-13
