"","mu","N_p","N_t","sigma_b","sigma_w","seeds","sc_p","sc_stat","pbt_low_hdi95","pbt_high_hdi95","pbt_MAP","Test","Power"
"1",0,10,20,2,10,5.5,0.34582,0.56136,0.00931723810203048,0.364397362677837,0.0894736842105263,"SC",0.2
"2",0,10,100,2,10,5.5,0.14804,0.621,0.0207549241905165,0.44838763705132,0.163157894736842,"SC",0.3
"3",0,10,500,2,10,5.5,0.00117,0.77848,0.203741772164874,0.743507742919103,0.473684210526316,"SC",1
"4",0,30,20,2,10,5.5,0.16417,0.5665,0,0.176838981234083,0.0421052631578947,"SC",0.4
"5",0,30,100,2,10,5.5,0.01666,0.644713333333333,0.0783415449522547,0.373202620238269,0.203508771929825,"SC",0.9
"6",0,30,500,2,10,5.5,0,0.821793333333333,0.35929546385547,0.710946749682873,0.540350877192982,"SC",1
"7",0,50,20,2,10,5.5,0.18346,0.552948,0.0034493737285529,0.155095282570466,0.0526315789473684,"SC",0.4
"8",0,50,100,2,10,5.5,0.00568,0.642148,0.0917557315164054,0.326613222143314,0.195789473684211,"SC",1
"9",0,50,500,2,10,5.5,0,0.815352,0.396256889764037,0.675288657802697,0.538947368421053,"SC",1
"10",1,10,20,2,10,5.5,0.34582,0.56658,0.0160963051395013,0.364029050766365,0.0894736842105263,"SC",0.4
"11",1,10,100,2,10,5.5,0.21165,0.61532,0.0139758571530457,0.438334190212629,0.152631578947368,"SC",0.4
"12",1,10,500,2,10,5.5,0.01904,0.78542,0.205661365496287,0.74122962418506,0.473684210526316,"SC",0.9
"13",1,30,20,2,10,5.5,0.06905,0.59484,0.00816137718478531,0.226255458277766,0.0842105263157895,"SC",0.6
"14",1,30,100,2,10,5.5,0.04075,0.681826666666667,0.11131338462952,0.428485208752082,0.252631578947368,"SC",0.9
"15",1,30,500,2,10,5.5,0,0.818893333333333,0.369357777789306,0.713795101934098,0.547368421052632,"SC",1
"16",1,50,20,2,10,5.5,0.12806,0.56288,0.0034493737285529,0.146393252535918,0.0463157894736842,"SC",0.6
"17",1,50,100,2,10,5.5,0.00025,0.676644,0.122415566432527,0.372357154846351,0.235789473684211,"SC",1
"18",1,50,500,2,10,5.5,0,0.821036,0.396999412082,0.674544460544058,0.538947368421053,"SC",1
"19",0,10,20,2,10,5.5,0.34582,0.56136,0.00931723810203048,0.364397362677837,0.0894736842105263,"PBT",0.2
"20",0,10,100,2,10,5.5,0.14804,0.621,0.0207549241905165,0.44838763705132,0.163157894736842,"PBT",0.3
"21",0,10,500,2,10,5.5,0.00117,0.77848,0.203741772164874,0.743507742919103,0.473684210526316,"PBT",0.9
"22",0,30,20,2,10,5.5,0.16417,0.5665,0,0.176838981234083,0.0421052631578947,"PBT",0
"23",0,30,100,2,10,5.5,0.01666,0.644713333333333,0.0783415449522547,0.373202620238269,0.203508771929825,"PBT",0.9
"24",0,30,500,2,10,5.5,0,0.821793333333333,0.35929546385547,0.710946749682873,0.540350877192982,"PBT",1
"25",0,50,20,2,10,5.5,0.18346,0.552948,0.0034493737285529,0.155095282570466,0.0526315789473684,"PBT",0.4
"26",0,50,100,2,10,5.5,0.00568,0.642148,0.0917557315164054,0.326613222143314,0.195789473684211,"PBT",1
"27",0,50,500,2,10,5.5,0,0.815352,0.396256889764037,0.675288657802697,0.538947368421053,"PBT",1
"28",1,10,20,2,10,5.5,0.34582,0.56658,0.0160963051395013,0.364029050766365,0.0894736842105263,"PBT",0.2
"29",1,10,100,2,10,5.5,0.21165,0.61532,0.0139758571530457,0.438334190212629,0.152631578947368,"PBT",0.3
"30",1,10,500,2,10,5.5,0.01904,0.78542,0.205661365496287,0.74122962418506,0.473684210526316,"PBT",1
"31",1,30,20,2,10,5.5,0.06905,0.59484,0.00816137718478531,0.226255458277766,0.0842105263157895,"PBT",0.5
"32",1,30,100,2,10,5.5,0.04075,0.681826666666667,0.11131338462952,0.428485208752082,0.252631578947368,"PBT",0.9
"33",1,30,500,2,10,5.5,0,0.818893333333333,0.369357777789306,0.713795101934098,0.547368421052632,"PBT",1
"34",1,50,20,2,10,5.5,0.12806,0.56288,0.0034493737285529,0.146393252535918,0.0463157894736842,"PBT",0.4
"35",1,50,100,2,10,5.5,0.00025,0.676644,0.122415566432527,0.372357154846351,0.235789473684211,"PBT",1
"36",1,50,500,2,10,5.5,0,0.821036,0.396999412082,0.674544460544058,0.538947368421053,"PBT",1
