"","mu","N_p","N_t","sigma_b","sigma_w","seeds","sc_p","sc_stat","pbt_low_hdi95","pbt_high_hdi95","pbt_MAP","Test","Power"
"1",0,10,20,2,10,500.5,0.408687531246875,0.528342,0.000813169718537146,0.303850990709059,0.0427894736842105,"SC",0.115
"2",0,10,100,2,10,500.5,0.209974502549745,0.607399,0.0148717398466553,0.404426862306581,0.124210526315789,"SC",0.327
"3",0,10,500,2,10,500.5,0.0335302469753025,0.750023,0.145645269060921,0.6678154418556,0.388263157894737,"SC",0.858
"4",0,30,20,2,10,500.5,0.354457754224578,0.5259306,0.00117764967264804,0.160923206533988,0.0307017543859649,"SC",0.146
"5",0,30,100,2,10,500.5,0.0826979302069793,0.606880733333333,0.0279827091801683,0.279475670771759,0.122491228070175,"SC",0.658
"6",0,30,500,2,10,500.5,0.000764723527647237,0.751252666666667,0.22504711494335,0.571351103860703,0.391754385964912,"SC",0.997
"7",0,50,20,2,10,500.5,0.316301069893011,0.52652556,0.00152615305002379,0.122294265731144,0.0280105263157895,"SC",0.195
"8",0,50,100,2,10,500.5,0.0374185581441856,0.60436644,0.0357016507801427,0.237127867837361,0.117863157894737,"SC",0.813
"9",0,50,500,2,10,500.5,1.49985001499853e-06,0.7538718,0.260728492867329,0.537110537036746,0.395094736842105,"SC",1
"10",1,10,20,2,10,500.5,0.381883111688831,0.5369272,0.00143581744425264,0.310206319983968,0.0470526315789474,"SC",0.136
"11",1,10,100,2,10,500.5,0.188917908209179,0.6207598,0.0226189581912594,0.434410212487414,0.150789473684211,"SC",0.399
"12",1,10,500,2,10,500.5,0.0205984401559844,0.7733872,0.179018643399527,0.711124425216717,0.437315789473684,"SC",0.897
"13",1,30,20,2,10,500.5,0.320256574342566,0.532612466666667,0.00143541091965783,0.167401958084433,0.035140350877193,"SC",0.175
"14",1,30,100,2,10,500.5,0.0506670332966703,0.624429066666667,0.0397882757361543,0.308685385880016,0.146438596491228,"SC",0.762
"15",1,30,500,2,10,500.5,0.000158384161583843,0.7742466,0.268035527673513,0.618287799232534,0.440561403508772,"SC",1
"16",1,50,20,2,10,500.5,0.279548545145485,0.5326912,0.00182915876712934,0.126889603316461,0.0311684210526316,"SC",0.235
"17",1,50,100,2,10,500.5,0.0183336666333367,0.62308952,0.0548166969352707,0.272634955544673,0.147473684210526,"SC",0.908
"18",1,50,500,2,10,500.5,2.6997300269973e-06,0.77685852,0.306305405337681,0.58558459874345,0.444526315789474,"SC",1
"19",0,10,20,2,10,500.5,0.408687531246875,0.528342,0.000813169718537146,0.303850990709059,0.0427894736842105,"PBT",0.016
"20",0,10,100,2,10,500.5,0.209974502549745,0.607399,0.0148717398466553,0.404426862306581,0.124210526315789,"PBT",0.199
"21",0,10,500,2,10,500.5,0.0335302469753025,0.750023,0.145645269060921,0.6678154418556,0.388263157894737,"PBT",0.854
"22",0,30,20,2,10,500.5,0.354457754224578,0.5259306,0.00117764967264804,0.160923206533988,0.0307017543859649,"PBT",0.053
"23",0,30,100,2,10,500.5,0.0826979302069793,0.606880733333333,0.0279827091801683,0.279475670771759,0.122491228070175,"PBT",0.577
"24",0,30,500,2,10,500.5,0.000764723527647237,0.751252666666667,0.22504711494335,0.571351103860703,0.391754385964912,"PBT",0.999
"25",0,50,20,2,10,500.5,0.316301069893011,0.52652556,0.00152615305002379,0.122294265731144,0.0280105263157895,"PBT",0.132
"26",0,50,100,2,10,500.5,0.0374185581441856,0.60436644,0.0357016507801427,0.237127867837361,0.117863157894737,"PBT",0.841
"27",0,50,500,2,10,500.5,1.49985001499853e-06,0.7538718,0.260728492867329,0.537110537036746,0.395094736842105,"PBT",1
"28",1,10,20,2,10,500.5,0.381883111688831,0.5369272,0.00143581744425264,0.310206319983968,0.0470526315789474,"PBT",0.025
"29",1,10,100,2,10,500.5,0.188917908209179,0.6207598,0.0226189581912594,0.434410212487414,0.150789473684211,"PBT",0.29
"30",1,10,500,2,10,500.5,0.0205984401559844,0.7733872,0.179018643399527,0.711124425216717,0.437315789473684,"PBT",0.927
"31",1,30,20,2,10,500.5,0.320256574342566,0.532612466666667,0.00143541091965783,0.167401958084433,0.035140350877193,"PBT",0.073
"32",1,30,100,2,10,500.5,0.0506670332966703,0.624429066666667,0.0397882757361543,0.308685385880016,0.146438596491228,"PBT",0.703
"33",1,30,500,2,10,500.5,0.000158384161583843,0.7742466,0.268035527673513,0.618287799232534,0.440561403508772,"PBT",1
"34",1,50,20,2,10,500.5,0.279548545145485,0.5326912,0.00182915876712934,0.126889603316461,0.0311684210526316,"PBT",0.161
"35",1,50,100,2,10,500.5,0.0183336666333367,0.62308952,0.0548166969352707,0.272634955544673,0.147473684210526,"PBT",0.943
"36",1,50,500,2,10,500.5,2.6997300269973e-06,0.77685852,0.306305405337681,0.58558459874345,0.444526315789474,"PBT",1
