"","N_p","N_t","sigma_b","sigma_w","mu","seeds","QUID","OANOVA","SC"
"83",100,100,0,1,0,83,2.735884708274e-20,0.382355351920068,0.190980901909809
"84",100,100,0,1,0,84,2.15186110127417e-19,0.393541908409424,0.157384261573843
"85",100,100,0,1,0,85,4.59617651662309e-20,0.286979407600336,0.451654834516548
"86",100,100,0,1,0,86,8.81668813477899e-20,0.569603528251592,0.376362363763624
"87",100,100,0,1,0,87,5.04240495968498e-14,0.226317044355439,0.0823917608239176
"88",100,100,0,1,0,88,0.00206412007712752,0.728331657768715,0.928607139286071
"89",100,100,0,1,0,89,1.71305003598607e-11,0.0810201404443649,0.0568943105689431
"90",100,100,0,1,0,90,0.0017591241652029,0.747262400603871,0.933106689331067
"91",100,100,0,1,0,91,7.61422637570261e-12,0.0464797016958061,0.342165783421658
"92",100,100,0,1,0,92,0.00141231102932375,0.804422405426185,0.661433856614339
"93",100,100,0,1,0,93,7.45041585163169e-18,0.488964543844515,0.527247275272473
"94",100,100,0,1,0,94,1.91062838326538e-21,0.753793961859831,0.666133386661334
"95",100,100,0,1,0,95,2.16865166811406e-16,0.0273425069875516,0.0713928607139286
"96",100,100,0,1,0,96,3.41394751468533e-14,0.0321953013150643,0.0723927607239276
"97",100,100,0,1,0,97,2.81376499256292e-19,0.502034744386769,0.403859614038596
"98",100,100,0,1,0,98,0.00221523333969406,0.774437729592612,0.875912408759124
"99",100,100,0,1,0,99,0.00418102506780957,0.349042197374279,0.567743225677432
"100",100,100,0,1,0,100,2.07247722312251e-19,0.772259306223514,0.573842615738426
"101",100,100,0,1000,0,1,0.000224024310354704,0.999998812257902,0.905409459054095
"102",100,100,0,1000,0,2,0.0111479501525428,0.0587947004789571,0.42995700429957
"103",100,100,0,1000,0,3,12586.6954756417,7.46536166218448e-12,0.821117888211179
"104",100,100,0,1000,0,4,8.33120702863594e+56,0,0.376162383761624
"105",100,100,0,1000,0,5,27.1690263891213,3.66586820899073e-08,0.76032396760324
"106",100,100,0,1000,0,6,0.000161086824762312,0.999999999990458,0.364563543645635
"107",100,100,0,1000,0,7,0.000217275039491948,0.999999726518153,0.667633236676332
"108",100,100,0,1000,0,8,8.43903711805791e-05,1,0.190680931906809
"109",100,100,0,1000,0,9,5.00324620995443e+23,0,0.638036196380362
"110",100,100,0,1000,0,10,0.0132318679498944,0.119040103348407,0.351864813518648
"111",100,100,0,1000,0,11,1998964073.77235,1.94026839039907e-09,0.394460553944606
"112",100,100,0,1000,0,12,0.0222722567895845,0.58581275648564,0.998900109989001
"113",100,100,0,1000,0,13,0.00013081235869574,1,0.647935206479352
"114",100,100,0,1000,0,14,0.000124239605048764,1,0.985701429857014
"115",100,100,0,1000,0,15,8.01096626645544e-05,1,0.714728527147285
"116",100,100,0,1000,0,16,5.99237000836977e-05,1,0.0843915608439156
"117",100,100,0,1000,0,17,6.46860104677423e-05,1,0.0945905409459054
"118",100,100,0,1000,0,18,5.82427420262644e-05,1,0.604939506049395
"119",100,100,0,1000,0,19,1.3628975566197,2.0014343707464e-05,0.461353864613539
"120",100,100,0,1000,0,20,0.0093365419790896,0.75329691477303,0.349265073492651
"121",100,100,0,1000,0,21,0.000100193924125181,1,0.436456354364564
"122",100,100,0,1000,0,22,0.00336629231735996,0.967603053846612,0.583341665833417
"123",100,100,0,1000,0,23,0.0120984535495182,0.73778483953404,0.224577542245775
"124",100,100,0,1000,0,24,0.00186293336171993,0.677783910335641,0.358764123587641
"125",100,100,0,1000,0,25,0.000848296613585891,0.990954310941594,0.845615438456154
"126",100,100,0,1000,0,26,6.85655612091891e-05,1,0.473452654734527
"127",100,100,0,1000,0,27,0.000215498934828167,0.999999988783097,0.969203079692031
"128",100,100,0,1000,0,28,0.0147312800126149,0.671812095151898,0.507349265073493
"129",100,100,0,1000,0,29,8.35016089770188e-05,1,0.347665233476652
"130",100,100,0,1000,0,30,0.00171824488318921,0.832201775306533,0.626037396260374
"131",100,100,0,1000,0,31,8.9773693622702e-05,1,0.569043095690431
"132",100,100,0,1000,0,32,6.62383315603944e-05,1,0.162883711628837
"133",100,100,0,1000,0,33,7.53356867158076e-05,1,0.53964603539646
"134",100,100,0,1000,0,34,7.10084874717737e-05,1,0.505149485051495
"135",100,100,0,1000,0,35,0.000114711148586325,1,0.475952404759524
"136",100,100,0,1000,0,36,6.95004373733262e-05,1,0.658234176582342
"137",100,100,0,1000,0,37,6.78928218145029e-05,1,0.901709829017098
"138",100,100,0,1000,0,38,9.41000576611435,0.0142172055386043,0.0807919208079192
"139",100,100,0,1000,0,39,0.000106314810143055,0.999999999999978,0.704429557044296
"140",100,100,0,1000,0,40,0.000131062831484144,0.999999999999989,0.688531146885311
"141",100,100,0,1000,0,41,18404029507.01,6.79036826767287e-11,0.767123287671233
"142",100,100,0,1000,0,42,46273364182.6883,5.2308823939029e-11,0.0676932306769323
"143",100,100,0,1000,0,43,1461.67237947715,0.000507134032180501,0.227977202279772
"144",100,100,0,1000,0,44,7.84152833088076e-05,1,0.618238176182382
"145",100,100,0,1000,0,45,0.000128596587342462,0.999999999999492,0.90960903909609
"146",100,100,0,1000,0,46,7.62379314012312e-05,1,0.551944805519448
"147",100,100,0,1000,0,47,0.000348118916169756,0.999999988544289,0.542645735426457
"148",100,100,0,1000,0,48,0.000416938962783047,0.999999331790344,0.953404659534047
"149",100,100,0,1000,0,49,0.00146970305247547,0.997646736362745,0.406259374062594
"150",100,100,0,1000,0,50,13599950219.2252,0,0.467453254674533
"151",100,100,0,1000,0,51,0.00170749716837986,0.852800913875713,0.432656734326567
"152",100,100,0,1000,0,52,0.000418090653563227,0.999999906810594,0.513148685131487
"153",100,100,0,1000,0,53,0.0012058359331974,0.996867814392571,0.151284871512849
"154",100,100,0,1000,0,54,0.0175501935547101,0.93247449699886,0.236576342365763
"155",100,100,0,1000,0,55,43277893984097,2.96429547574917e-13,0.732826717328267
"156",100,100,0,1000,0,56,0.3089493445804,0.000373827783181513,0.754624537546245
"157",100,100,0,1000,0,57,2.24049880013878e+29,0,0.0288971102889711
"158",100,100,0,1000,0,58,27.3794629398837,3.04652740812372e-07,0.596240375962404
"159",100,100,0,1000,0,59,9.43979921823047e-05,1,0.0101989801019898
"160",100,100,0,1000,0,60,5.75594727948753e+21,0,0.756724327567243
"161",100,100,0,1000,0,61,7.31059479705789e-05,1,0.0351964803519648
"162",100,100,0,1000,0,62,0.0255622984148971,0.0212100723378704,0.46045395460454
"163",100,100,0,1000,0,63,7.16613997584861e-05,1,0.94000599940006
"164",100,100,0,1000,0,64,0.000612221346282651,0.983828872883663,0.0707929207079292
"165",100,100,0,1000,0,65,7.7527195264039e-05,1,0.972502749725027
"166",100,100,0,1000,0,66,0.000121568349076121,1,0.0282971702829717
"167",100,100,0,1000,0,67,5531936.77810325,7.23865412055602e-14,0.667933206679332
"168",100,100,0,1000,0,68,0.000115736492037409,1,0.477052294770523
"169",100,100,0,1000,0,69,0.112988864025069,0.00121679721055856,0.703029697030297
"170",100,100,0,1000,0,70,6.99640000609315e-05,1,0.279072092790721
"171",100,100,0,1000,0,71,20530552.9637135,5.09813865567921e-08,0.672332766723328
"172",100,100,0,1000,0,72,0.000289728895583778,0.999999999998222,0.213478652134787
"173",100,100,0,1000,0,73,0.360519732029015,0.153190253767479,0.746325367463254
"174",100,100,0,1000,0,74,0.00013128401734089,1,0.583441655834417
"175",100,100,0,1000,0,75,0.000144810649722305,1,0.592040795920408
"176",100,100,0,1000,0,76,0.00771287273696861,0.929452709229917,0.702229777022298
"177",100,100,0,1000,0,77,6.74600370690053e-05,1,0.838816118388161
"178",100,100,0,1000,0,78,24673486711026428,3.33066907387547e-15,0.970902909709029
"179",100,100,0,1000,0,79,0.00269609660349506,0.994530161842102,0.470952904709529
"180",100,100,0,1000,0,80,6.64498839204082e-05,1,0.609139086091391
"181",100,100,0,1000,0,81,0.00218176808167695,0.991395020699669,0.852514748525148
"182",100,100,0,1000,0,82,0.363347811966518,8.26785344756331e-05,0.0410958904109589
"183",100,100,0,1000,0,83,0.00159805081239095,0.775007934578631,0.190980901909809
"184",100,100,0,1000,0,84,9.43906090547738e-05,1,0.157384261573843
"185",100,100,0,1000,0,85,0.00583116535293534,0.892703459354768,0.451654834516548
"186",100,100,0,1000,0,86,5.93334541793897e-05,1,0.376362363763624
"187",100,100,0,1000,0,87,9.49794012525357e-05,1,0.0823917608239176
"188",100,100,0,1000,0,88,5.79378125260182e-05,1,0.928607139286071
"189",100,100,0,1000,0,89,9.16310855316304e+40,0,0.0568943105689431
"190",100,100,0,1000,0,90,10.7320532102699,0.0244346011758879,0.933106689331067
"191",100,100,0,1000,0,91,8.65771256978139e-05,1,0.342165783421658
"192",100,100,0,1000,0,92,0.000374058142668704,1,0.661433856614339
"193",100,100,0,1000,0,93,1196392.36622716,5.79647441156794e-13,0.527247275272473
"194",100,100,0,1000,0,94,2.05479997897267e+43,0,0.666133386661334
"195",100,100,0,1000,0,95,0.00836819010216253,0.103226546156553,0.0713928607139286
"196",100,100,0,1000,0,96,0.00291301319694442,0.45363111991164,0.0723927607239276
"197",100,100,0,1000,0,97,0.000812846650050584,0.999991345411802,0.403859614038596
"198",100,100,0,1000,0,98,364805.48424667,4.66642262009209e-06,0.875912408759124
"199",100,100,0,1000,0,99,0.000108236889300115,1,0.567743225677432
"200",100,100,0,1000,0,100,0.000210269060135455,0.999999999999778,0.573842615738426
"201",30,100,15,1,0,1,Inf,0,9.99900009999e-05
"202",30,100,15,1,0,2,Inf,0,9.99900009999e-05
"203",30,100,15,1,0,3,Inf,0,9.99900009999e-05
"204",30,100,15,1,0,4,Inf,0,9.99900009999e-05
"205",30,100,15,1,0,5,Inf,0,9.99900009999e-05
"206",30,100,15,1,0,6,Inf,0,9.99900009999e-05
"207",30,100,15,1,0,7,Inf,0,9.99900009999e-05
"208",30,100,15,1,0,8,Inf,0,9.99900009999e-05
"209",30,100,15,1,0,9,Inf,0,9.99900009999e-05
"210",30,100,15,1,0,10,Inf,0,9.99900009999e-05
"211",30,100,15,1,0,11,Inf,0,9.99900009999e-05
"212",30,100,15,1,0,12,Inf,0,9.99900009999e-05
"213",30,100,15,1,0,13,Inf,0,9.99900009999e-05
"214",30,100,15,1,0,14,Inf,0,9.99900009999e-05
"215",30,100,15,1,0,15,Inf,0,9.99900009999e-05
"216",30,100,15,1,0,16,Inf,0,9.99900009999e-05
"217",30,100,15,1,0,17,Inf,0,9.99900009999e-05
"218",30,100,15,1,0,18,Inf,0,9.99900009999e-05
"219",30,100,15,1,0,19,Inf,0,9.99900009999e-05
"220",30,100,15,1,0,20,Inf,0,9.99900009999e-05
"221",30,100,15,1,0,21,Inf,0,9.99900009999e-05
"222",30,100,15,1,0,22,Inf,0,9.99900009999e-05
"223",30,100,15,1,0,23,Inf,0,9.99900009999e-05
"224",30,100,15,1,0,24,Inf,0,9.99900009999e-05
"225",30,100,15,1,0,25,Inf,0,9.99900009999e-05
"226",30,100,15,1,0,26,Inf,0,9.99900009999e-05
"227",30,100,15,1,0,27,Inf,0,9.99900009999e-05
"228",30,100,15,1,0,28,Inf,0,9.99900009999e-05
"229",30,100,15,1,0,29,Inf,0,9.99900009999e-05
"230",30,100,15,1,0,30,Inf,0,9.99900009999e-05
"231",30,100,15,1,0,31,Inf,0,9.99900009999e-05
"232",30,100,15,1,0,32,Inf,0,9.99900009999e-05
"233",30,100,15,1,0,33,Inf,0,9.99900009999e-05
"234",30,100,15,1,0,34,Inf,0,9.99900009999e-05
"235",30,100,15,1,0,35,Inf,0,9.99900009999e-05
"236",30,100,15,1,0,36,Inf,0,9.99900009999e-05
"237",30,100,15,1,0,37,Inf,0,9.99900009999e-05
"238",30,100,15,1,0,38,Inf,0,9.99900009999e-05
"239",30,100,15,1,0,39,Inf,0,9.99900009999e-05
"240",30,100,15,1,0,40,Inf,0,9.99900009999e-05
"241",30,100,15,1,0,41,Inf,0,9.99900009999e-05
"242",30,100,15,1,0,42,Inf,0,9.99900009999e-05
"243",30,100,15,1,0,43,Inf,0,9.99900009999e-05
"244",30,100,15,1,0,44,Inf,0,9.99900009999e-05
"245",30,100,15,1,0,45,Inf,0,9.99900009999e-05
"246",30,100,15,1,0,46,Inf,0,9.99900009999e-05
"247",30,100,15,1,0,47,Inf,0,9.99900009999e-05
"248",30,100,15,1,0,48,Inf,0,9.99900009999e-05
"249",30,100,15,1,0,49,Inf,0,9.99900009999e-05
"250",30,100,15,1,0,50,Inf,0,9.99900009999e-05
"251",30,100,15,1,0,51,Inf,0,9.99900009999e-05
"252",30,100,15,1,0,52,Inf,0,9.99900009999e-05
"253",30,100,15,1,0,53,Inf,0,9.99900009999e-05
"254",30,100,15,1,0,54,Inf,0,9.99900009999e-05
"255",30,100,15,1,0,55,Inf,0,9.99900009999e-05
"256",30,100,15,1,0,56,Inf,0,9.99900009999e-05
"257",30,100,15,1,0,57,Inf,0,9.99900009999e-05
"258",30,100,15,1,0,58,Inf,0,9.99900009999e-05
"259",30,100,15,1,0,59,Inf,0,9.99900009999e-05
"260",30,100,15,1,0,60,Inf,0,9.99900009999e-05
"261",30,100,15,1,0,61,Inf,0,9.99900009999e-05
"262",30,100,15,1,0,62,Inf,0,9.99900009999e-05
"263",30,100,15,1,0,63,Inf,0,9.99900009999e-05
"264",30,100,15,1,0,64,Inf,0,9.99900009999e-05
"265",30,100,15,1,0,65,Inf,0,9.99900009999e-05
"266",30,100,15,1,0,66,Inf,0,9.99900009999e-05
"267",30,100,15,1,0,67,Inf,0,9.99900009999e-05
"268",30,100,15,1,0,68,Inf,0,9.99900009999e-05
"269",30,100,15,1,0,69,Inf,0,9.99900009999e-05
"270",30,100,15,1,0,70,Inf,0,9.99900009999e-05
"271",30,100,15,1,0,71,Inf,0,9.99900009999e-05
"272",30,100,15,1,0,72,Inf,0,9.99900009999e-05
"273",30,100,15,1,0,73,Inf,0,9.99900009999e-05
"274",30,100,15,1,0,74,Inf,0,9.99900009999e-05
"275",30,100,15,1,0,75,Inf,0,9.99900009999e-05
"276",30,100,15,1,0,76,Inf,0,9.99900009999e-05
"277",30,100,15,1,0,77,Inf,0,9.99900009999e-05
"278",30,100,15,1,0,78,Inf,0,9.99900009999e-05
"279",30,100,15,1,0,79,Inf,0,9.99900009999e-05
"280",30,100,15,1,0,80,Inf,0,9.99900009999e-05
"281",30,100,15,1,0,81,Inf,0,9.99900009999e-05
"282",30,100,15,1,0,82,Inf,0,9.99900009999e-05
"283",30,100,15,1,0,83,Inf,0,9.99900009999e-05
"284",30,100,15,1,0,84,Inf,0,9.99900009999e-05
"285",30,100,15,1,0,85,Inf,0,9.99900009999e-05
"286",30,100,15,1,0,86,Inf,0,9.99900009999e-05
"287",30,100,15,1,0,87,Inf,0,9.99900009999e-05
"288",30,100,15,1,0,88,Inf,0,9.99900009999e-05
"289",30,100,15,1,0,89,Inf,0,9.99900009999e-05
"290",30,100,15,1,0,90,Inf,0,9.99900009999e-05
"291",30,100,15,1,0,91,Inf,0,9.99900009999e-05
"292",30,100,15,1,0,92,Inf,0,9.99900009999e-05
"293",30,100,15,1,0,93,Inf,0,9.99900009999e-05
"294",30,100,15,1,0,94,Inf,0,9.99900009999e-05
"295",30,100,15,1,0,95,Inf,0,9.99900009999e-05
"296",30,100,15,1,0,96,Inf,0,9.99900009999e-05
"297",30,100,15,1,0,97,Inf,0,9.99900009999e-05
"298",30,100,15,1,0,98,Inf,0,9.99900009999e-05
"299",30,100,15,1,0,99,Inf,0,9.99900009999e-05
"300",30,100,15,1,0,100,Inf,0,9.99900009999e-05
"301",30,100,15,1000,0,1,15822584010840852480,0,9.99900009999e-05
"302",30,100,15,1000,0,2,12590.5641591865,5.30768839990259e-09,9.99900009999e-05
"303",30,100,15,1000,0,3,0.00971804889861558,0.997677251096462,9.99900009999e-05
"304",30,100,15,1000,0,4,0.7501267871187,0.0010329025576814,9.99900009999e-05
"305",30,100,15,1000,0,5,0.00678018540257221,0.999697046228166,9.99900009999e-05
"306",30,100,15,1000,0,6,153.531398503575,7.67641069376879e-07,9.99900009999e-05
"307",30,100,15,1000,0,7,0.0230840019983153,0.987004699655462,9.99900009999e-05
"308",30,100,15,1000,0,8,4.42803481081812,0.000143738348505895,9.99900009999e-05
"309",30,100,15,1000,0,9,0.00916135298431036,0.998992920553524,9.99900009999e-05
"310",30,100,15,1000,0,10,0.00689755971073801,0.999988591719648,9.99900009999e-05
"311",30,100,15,1000,0,11,0.189255815462633,0.158622143016507,9.99900009999e-05
"312",30,100,15,1000,0,12,0.00792194454648585,0.998760288494206,9.99900009999e-05
"313",30,100,15,1000,0,13,0.534082103073191,0.0038233407103857,9.99900009999e-05
"314",30,100,15,1000,0,14,0.0131608912522802,0.999203932482745,9.99900009999e-05
"315",30,100,15,1000,0,15,0.0415696805587621,0.880327062060958,9.99900009999e-05
"316",30,100,15,1000,0,16,2.15965419243298,0.0341660463226996,9.99900009999e-05
"317",30,100,15,1000,0,17,0.026307758386499,0.437803346117373,9.99900009999e-05
"318",30,100,15,1000,0,18,0.009189579572603,0.981278613172246,9.99900009999e-05
"319",30,100,15,1000,0,19,178622115526.539,8.98836560736527e-13,9.99900009999e-05
"320",30,100,15,1000,0,20,0.0215211616777904,0.784326383114058,9.99900009999e-05
"321",30,100,15,1000,0,21,5.59573491326983e+22,0,9.99900009999e-05
"322",30,100,15,1000,0,22,637.536226759592,2.25925448571473e-07,9.99900009999e-05
"323",30,100,15,1000,0,23,7.75589646050525,4.9910104253259e-05,9.99900009999e-05
"324",30,100,15,1000,0,24,0.0526370479367809,0.548889578440112,9.99900009999e-05
"325",30,100,15,1000,0,25,184.519579379489,3.35213658453348e-06,9.99900009999e-05
"326",30,100,15,1000,0,26,0.6278520705481,0.065189424494239,9.99900009999e-05
"327",30,100,15,1000,0,27,0.0572758273718356,0.429441017611133,9.99900009999e-05
"328",30,100,15,1000,0,28,0.010541254052986,0.992592249730459,9.99900009999e-05
"329",30,100,15,1000,0,29,0.0200115255189019,0.91303802753412,9.99900009999e-05
"330",30,100,15,1000,0,30,0.015074433943118,0.997585967445808,9.99900009999e-05
"331",30,100,15,1000,0,31,0.0841960747557384,0.372171993824437,9.99900009999e-05
"332",30,100,15,1000,0,32,113.536148307484,0.000463328652532846,9.99900009999e-05
"333",30,100,15,1000,0,33,0.00981361933910237,0.994452215639694,9.99900009999e-05
"334",30,100,15,1000,0,34,0.00759967519210995,0.997472601856888,9.99900009999e-05
"335",30,100,15,1000,0,35,0.0143103420063793,0.996266519458544,9.99900009999e-05
"336",30,100,15,1000,0,36,0.0237288769987775,0.931764346152952,9.99900009999e-05
"337",30,100,15,1000,0,37,3.16357713965022,0.0107357483277284,9.99900009999e-05
"338",30,100,15,1000,0,38,0.00554196163862455,0.999945250798409,9.99900009999e-05
"339",30,100,15,1000,0,39,0.10154512073709,0.140712573377936,9.99900009999e-05
"340",30,100,15,1000,0,40,0.00725226978942635,0.996182092772529,9.99900009999e-05
"341",30,100,15,1000,0,41,56.6583853258026,2.97748776234563e-06,9.99900009999e-05
"342",30,100,15,1000,0,42,0.0200087930769478,0.564839834352583,9.99900009999e-05
"343",30,100,15,1000,0,43,1.682589072269,0.00152780840555189,9.99900009999e-05
"344",30,100,15,1000,0,44,0.00830357143059104,0.996178004156388,9.99900009999e-05
"345",30,100,15,1000,0,45,22466227.247389,1.47082346302341e-12,9.99900009999e-05
"346",30,100,15,1000,0,46,0.00755581664195235,0.999208434491173,9.99900009999e-05
"347",30,100,15,1000,0,47,0.435396263412259,0.0794480001487347,9.99900009999e-05
"348",30,100,15,1000,0,48,0.011368751124613,0.986143347139437,9.99900009999e-05
"349",30,100,15,1000,0,49,0.25586536695948,0.010543483600622,9.99900009999e-05
"350",30,100,15,1000,0,50,0.00602963307788895,0.999905336469416,9.99900009999e-05
"351",30,100,15,1000,0,51,0.0119418998508528,0.982662217884552,9.99900009999e-05
"352",30,100,15,1000,0,52,36849324207920192,0,9.99900009999e-05
"353",30,100,15,1000,0,53,0.0184236613533819,0.76848036093919,9.99900009999e-05
"354",30,100,15,1000,0,54,0.00685197853062753,0.997376649210722,9.99900009999e-05
"355",30,100,15,1000,0,55,0.0283960518531797,0.39940755794532,9.99900009999e-05
"356",30,100,15,1000,0,56,452.582889564592,2.43651174569592e-07,9.99900009999e-05
"357",30,100,15,1000,0,57,79360495.1066973,6.89337364967457e-10,9.99900009999e-05
"358",30,100,15,1000,0,58,1.49960229768615e+21,0,9.99900009999e-05
"359",30,100,15,1000,0,59,0.0122292507106809,0.981016119948928,9.99900009999e-05
"360",30,100,15,1000,0,60,0.0153459370515201,0.941507235315081,9.99900009999e-05
"361",30,100,15,1000,0,61,0.00850431899396238,0.984749207452679,9.99900009999e-05
"362",30,100,15,1000,0,62,0.0646465524474121,0.60896776164831,9.99900009999e-05
"363",30,100,15,1000,0,63,700.309134713275,1.82705970241948e-07,9.99900009999e-05
