"","N_p","N_t","sigma_b","sigma_w","mu","seeds","QUID"
"1",100,100,0,1,0,1,6.32574256009128e-17
"2",100,100,0,1,0,2,7.99944388432365e-14
"3",100,100,0,1,0,3,0.00180644447939586
"4",100,100,0,1000,0,1,0.000847078104331801
"5",100,100,0,1000,0,2,1.04837952013492
"6",100,100,0,1000,0,3,3731810012789490
"7",30,100,15,1,0,1,Inf
"8",30,100,15,1,0,2,Inf
"9",30,100,15,1,0,3,Inf
"10",30,100,15,1000,0,1,15831158002108.5
"11",30,100,15,1000,0,2,118160.450521225
"12",30,100,15,1000,0,3,0.0153545656037021
