sub trial_no group_type block_type prime target mask1 mask2 congruency key_press key_error time_error RT
201 54 LeftSmaller PercCAExp1 Prime_1A Target_6A fCehDFB fCAlGFg Incongruent left error Normal 1104.719
201 55 LeftSmaller PercCAExp1 Prime_1A Target_6N FhHcJID kHghibj Incongruent left error Normal 882.0247
201 56 LeftSmaller PercCAExp1 Prime_9A Target_6A JmefCkA gljdhAL Congruent right error Normal 603.6247
201 57 LeftSmaller PercCAExp1 Prime_1N Target_9A BmEjFhK FjgiGHJ Incongruent left error Normal 870.1091
201 58 LeftSmaller PercCAExp1 Prime_1N Target_1N HgcmEMb ELhfgJb Congruent right error Normal 551.9037
201 59 LeftSmaller PercCAExp1 Prime_4A Target_9A kfMIJaG KmJbdaL Incongruent left error Normal 626.5819
201 60 LeftSmaller PercCAExp1 Prime_4A Target_4A LfDKiJg IidJGga Congruent left correct Normal 3411.586
201 61 LeftSmaller PercCAExp1 Prime_6A Target_9A DCFbBEg amBCFjD Congruent left correct Normal 1040.457
201 62 LeftSmaller PercCAExp1 Prime_6A Target_6A fGLeFjc kEdGALI Congruent right error Normal 896.3945
201 63 LeftSmaller PercCAExp1 Prime_1N Target_6A fGELmKg GAebdiE Incongruent right correct Normal 1286.803
201 64 LeftSmaller PercCAExp1 Prime_1A Target_1A dbFAhil ADMlbFc Congruent right error Normal 1013.46
201 65 LeftSmaller PercCAExp1 Prime_1N Target_9N LdhMafA kjKMhcF Incongruent left error Normal 989.1528
201 66 LeftSmaller PercCAExp1 Prime_4N Target_4N mEAKfeh ALMaDFc Congruent right error Normal 678.6163
201 67 LeftSmaller PercCAExp1 Prime_6N Target_6A HCijDbk AkchdbB Congruent right error Normal 1114.527
201 68 LeftSmaller PercCAExp1 Prime_9A Target_9A LgDhIKf ALkaJji Congruent right error Normal 716.2834
201 69 LeftSmaller PercCAExp1 Prime_1A Target_1N mjEHbgi jfDkmbh Congruent left correct Normal 4188.195
201 70 LeftSmaller PercCAExp1 Prime_6A Target_4N MAElkJf iCegbJA Incongruent right correct Normal 678.9419
201 71 LeftSmaller PercCAExp1 Prime_6N Target_4A KGCMEFl LJBIhMD Incongruent left error Normal 670.5083
201 72 LeftSmaller PercCAExp1 Prime_1N Target_6N dkHBFcl LDKfiFd Incongruent right correct Normal 683.1535
201 73 LeftSmaller PercCAExp1 Prime_4A Target_9N BlLHDJm HjeLigh Incongruent left error Normal 720.4504
201 74 LeftSmaller PercCAExp1 Prime_9N Target_6A dHCkelM LJIFihA Congruent left correct Normal 550.1436
201 75 LeftSmaller PercCAExp1 Prime_6A Target_1A afEHDim CJgceLd Incongruent right correct Normal 458.9416
201 76 LeftSmaller PercCAExp1 Prime_9A Target_9N dkhHjGI gdKDiEk Congruent left correct Normal 874.4609
201 77 LeftSmaller PercCAExp1 Prime_6A Target_6N bcjGfJF fdAbBlF Congruent left correct Normal 740.402
201 78 LeftSmaller PercCAExp1 Prime_4N Target_6A ImdGflM DeiGJjm Incongruent right correct Normal 1102.293
201 79 LeftSmaller PercCAExp1 Prime_9A Target_1N jHGKcFb gEmBaCd Incongruent right correct Normal 1007.255
201 80 LeftSmaller PercCAExp1 Prime_9N Target_1A ejfhkJC jLbIHda Incongruent right correct Normal 1087.175
201 81 LeftLarger PercCBPrac Prime_1N Target_9A aMjBHCm iADeLGI Incongruent right error Normal 666.7686
201 82 LeftLarger PercCBPrac Prime_6A Target_6N fhMliDK kbJjeEd Congruent left error Normal 898.1875
201 83 LeftLarger PercCBPrac Prime_1N Target_4A dCmeEjI acLAECD Congruent right correct Normal 202.3837
201 84 LeftLarger PercCBPrac Prime_4A Target_1A dmAaFBK LHKGlDC Congruent right correct Normal 504.1527
201 85 LeftLarger PercCBPrac Prime_4N Target_1A KbihALE JALDcgl Congruent left error Normal 546.4331
201 86 LeftLarger PercCBPrac Prime_9A Target_9A iLmJKfk gGiBElH Congruent left error Normal 3155.451
201 87 LeftLarger PercCBPrac Prime_4N Target_4A bGaCIhD iGjfJhE Congruent left error Normal 1434.821
201 88 LeftLarger PercCBPrac Prime_9A Target_9N dEAMfDJ MjcigKB Congruent right correct Normal 670.6608
201 89 LeftLarger PercCBPrac Prime_9A Target_1N liLcGAb mCHeMJb Incongruent left correct Normal 1436.537
201 90 LeftLarger PercCBPrac Prime_1A Target_9N BgAlbHe cBIFKAh Incongruent left correct Normal 3724.693
201 91 LeftLarger PercCBPrac Prime_1N Target_1N BEhJDik cLialbg Congruent left error Normal 1382.452
201 92 LeftLarger PercCBPrac Prime_1A Target_6N ImbGlLe dAlIMhD Incongruent right error Normal 956.6705
201 93 LeftLarger PercCBPrac Prime_4A Target_6A iGMIfmA JkcdbDG Incongruent right error Normal 656.0375
201 94 LeftLarger PercCBPrac Prime_9N Target_1A iEDjbKd aEjhgbc Incongruent left correct Normal 151.0553
201 95 LeftLarger PercCBPrac Prime_6N Target_1N MegIhjd mgAGjlk Incongruent right error Normal 518.506
201 96 LeftLarger PercCBPrac Prime_1N Target_4N aIjFDlH BbgmeDJ Congruent left error Normal 202.4275
201 97 LeftLarger PercCBExp1 Prime_6N Target_1N DdfigGC FjkiJlD Incongruent left correct Normal 829.8103
201 98 LeftLarger PercCBExp1 Prime_9N Target_4A hGgFbai dFmfBML Incongruent right error Normal 506.3405
201 99 LeftLarger PercCBExp1 Prime_6A Target_1A bckCiDG ijKHJBI Incongruent left correct Normal 674.7687
201 100 LeftLarger PercCBExp1 Prime_1A Target_6A AbJkHIG gGECHji Incongruent right error Normal 537.6584
201 101 LeftLarger PercCBExp1 Prime_4A Target_4A eMdmBlC GFjehLI Congruent right correct Normal 804.1205
201 102 LeftLarger PercCBExp1 Prime_9A Target_4A IKchAJC afDeBji Incongruent left correct Normal 166.156
201 103 LeftLarger PercCBExp1 Prime_4N Target_1A beDjEaK AbgHEKf Congruent left error Normal 390.8315
201 104 LeftLarger PercCBExp1 Prime_4N Target_6N gijkMGe CFhgHjA Incongruent right error Normal 782.5521
201 105 LeftLarger PercCBExp1 Prime_9N Target_9A MhgGKbH EkjhcMe Congruent right correct Normal 875.468
201 106 LeftLarger PercCBExp1 Prime_1A Target_4N bfaAmeD kMLChEe Congruent left error Normal 357.0897
201 107 LeftLarger PercCBExp1 Prime_4A Target_6A lhcGAgk AkHICdG Incongruent left correct Normal 449.2546
201 108 LeftLarger PercCBExp1 Prime_9N Target_9N EgBahFK iLaFJKm Congruent left error Normal 1619.004
201 109 LeftLarger PercCBExp1 Prime_4A Target_1N CkEMlFe jAahfBk Congruent right correct Normal 951.3241
201 110 LeftLarger PercCBExp1 Prime_9N Target_6A eBFfKdM KiFGCDf Congruent left error Normal 1138.144
201 111 LeftLarger PercCBExp1 Prime_1A Target_6N KGJlaEH cfLbimC Incongruent left correct Normal 1024.778
201 112 LeftLarger PercCBExp1 Prime_1A Target_9A FhGaegK EhjkIDe Incongruent right error Normal 615.2335
201 113 LeftLarger PercCBExp1 Prime_9N Target_4N jiLDFJg LalefHm Incongruent left correct Normal 929.6177
201 114 LeftLarger PercCBExp1 Prime_6A Target_9A LKaJBfG GDgIKAL Congruent right correct Normal 487.9731
201 115 LeftLarger PercCBExp1 Prime_4A Target_1A LEDcehj iAGCIMf Congruent right correct Normal 920.4887
201 116 LeftLarger PercCBExp1 Prime_6A Target_1N kFhDEdc eiClAbL Incongruent left correct Normal 804.2833
201 117 LeftLarger PercCBExp1 Prime_9A Target_6A JjaLEIg LBbiMlf Congruent right correct Normal 1151.082
201 118 LeftLarger PercCBExp1 Prime_6N Target_9A ehEiCdI lCmLAjE Congruent right correct Normal 458.273
201 119 LeftLarger PercCBExp1 Prime_1N Target_9A GJDeakA HclimFE Incongruent left correct Normal 389.4269
201 120 LeftLarger PercCBExp1 Prime_6A Target_4A MEGCjAI mKgMkaE Incongruent right error Normal 318.9884
201 121 LeftLarger PercCBExp1 Prime_6A Target_6N EaCcHmG dLabAmB Congruent left error Normal 121.8882
201 122 LeftLarger PercCBExp1 Prime_1N Target_4A jdiJADk elfdMkF Congruent right correct Normal 204.1669
201 123 LeftLarger PercCBExp1 Prime_4N Target_4A aGhEDHm DmFlfci Congruent left error Normal 834.7585
201 124 LeftLarger PercCBExp1 Prime_6N Target_6N JbegHDL iDIhElk Congruent right correct Normal 962.5018
201 125 LeftLarger PercCBExp1 Prime_6N Target_6A bCJaiKH GCcELHB Congruent right correct Normal 924.7885
201 126 LeftLarger PercCBExp1 Prime_1N Target_4N igmjfKI baefBhF Congruent left error Normal 858.4526
201 127 LeftLarger PercCBExp1 Prime_1N Target_1N biHGAdc AgbfEja Congruent left error Normal 759.7276
201 128 LeftLarger PercCBExp1 Prime_6N Target_1A BKLChfa FlBhfge Incongruent right error Normal 982.7719
201 129 LeftLarger PercCBExp1 Prime_9A Target_9N JhjEFMl lJecaBd Congruent left error Normal 1056.126
