"","idv","iv","dv","exp"
"100",1,0,710.127272,"Chien_et_al._2022_2A"
"101",1,1,516.919344,"Chien_et_al._2022_2A"
"102",1,0,655.094566,"Chien_et_al._2022_2A"
"103",1,0,547.047604,"Chien_et_al._2022_2A"
"104",1,1,612.164725,"Chien_et_al._2022_2A"
"105",1,0,652.940289,"Chien_et_al._2022_2A"
"106",1,1,638.22868,"Chien_et_al._2022_2A"
"107",1,0,560.714149,"Chien_et_al._2022_2A"
"108",1,1,558.486085,"Chien_et_al._2022_2A"
"109",1,0,694.320605,"Chien_et_al._2022_2A"
"110",1,1,1272.120194,"Chien_et_al._2022_2A"
"111",1,1,577.933008,"Chien_et_al._2022_2A"
"112",1,1,753.941051,"Chien_et_al._2022_2A"
"113",1,1,692.556946,"Chien_et_al._2022_2A"
"114",1,1,646.191043,"Chien_et_al._2022_2A"
"115",1,0,545.078848,"Chien_et_al._2022_2A"
"116",1,1,551.501624,"Chien_et_al._2022_2A"
"117",1,0,745.727209,"Chien_et_al._2022_2A"
"118",1,1,634.320984,"Chien_et_al._2022_2A"
"119",1,0,600.899116,"Chien_et_al._2022_2A"
"120",1,1,580.438451,"Chien_et_al._2022_2A"
"121",1,0,606.289779,"Chien_et_al._2022_2A"
"122",1,1,634.309841,"Chien_et_al._2022_2A"
"123",1,1,770.020278,"Chien_et_al._2022_2A"
"124",1,1,535.488655,"Chien_et_al._2022_2A"
"125",1,0,473.21218,"Chien_et_al._2022_2A"
"126",1,0,729.332656,"Chien_et_al._2022_2A"
"127",1,1,1497.340508,"Chien_et_al._2022_2A"
"128",1,0,597.218202,"Chien_et_al._2022_2A"
"129",1,1,1151.09426,"Chien_et_al._2022_2A"
"130",1,1,492.754575,"Chien_et_al._2022_2A"
"131",1,1,560.765047,"Chien_et_al._2022_2A"
"132",1,1,568.647299,"Chien_et_al._2022_2A"
"133",1,0,548.143867,"Chien_et_al._2022_2A"
"134",1,1,727.453649,"Chien_et_al._2022_2A"
"135",1,1,586.445611,"Chien_et_al._2022_2A"
"136",1,0,939.997067,"Chien_et_al._2022_2A"
"137",1,0,1345.605958,"Chien_et_al._2022_2A"
"138",1,0,1115.657256,"Chien_et_al._2022_2A"
"139",1,0,479.051889,"Chien_et_al._2022_2A"
"140",1,0,691.904911,"Chien_et_al._2022_2A"
"141",1,0,645.763079,"Chien_et_al._2022_2A"
"142",1,0,594.242029,"Chien_et_al._2022_2A"
"143",1,0,623.812821,"Chien_et_al._2022_2A"
"144",1,1,902.930124,"Chien_et_al._2022_2A"
"145",1,0,600.682574,"Chien_et_al._2022_2A"
"146",1,0,712.905576,"Chien_et_al._2022_2A"
"147",1,0,587.816843,"Chien_et_al._2022_2A"
"148",1,1,779.490003,"Chien_et_al._2022_2A"
"149",1,1,778.956327,"Chien_et_al._2022_2A"
"150",1,0,487.173873,"Chien_et_al._2022_2A"
"151",1,1,506.455453,"Chien_et_al._2022_2A"
"152",1,0,548.2038,"Chien_et_al._2022_2A"
"153",1,0,492.324502,"Chien_et_al._2022_2A"
"154",1,1,597.615146,"Chien_et_al._2022_2A"
"155",1,0,491.912199,"Chien_et_al._2022_2A"
"156",1,0,726.724514,"Chien_et_al._2022_2A"
"157",1,1,431.936973,"Chien_et_al._2022_2A"
"158",1,1,718.876595,"Chien_et_al._2022_2A"
"159",1,1,1319.025193,"Chien_et_al._2022_2A"
"160",1,1,602.835647,"Chien_et_al._2022_2A"
"161",1,1,1247.16485,"Chien_et_al._2022_2A"
"162",1,1,471.023268,"Chien_et_al._2022_2A"
"163",1,0,516.905189,"Chien_et_al._2022_2A"
"164",1,1,567.075788,"Chien_et_al._2022_2A"
"165",1,1,601.027716,"Chien_et_al._2022_2A"
"166",1,0,735.309699,"Chien_et_al._2022_2A"
"167",1,1,546.038379,"Chien_et_al._2022_2A"
"168",1,0,587.779498,"Chien_et_al._2022_2A"
"169",1,0,565.15281,"Chien_et_al._2022_2A"
"170",1,1,538.735581,"Chien_et_al._2022_2A"
"171",1,0,665.843967,"Chien_et_al._2022_2A"
"172",1,1,1024.003041,"Chien_et_al._2022_2A"
"173",1,1,539.643311,"Chien_et_al._2022_2A"
"174",1,0,563.82344,"Chien_et_al._2022_2A"
"175",1,1,676.259671,"Chien_et_al._2022_2A"
"176",1,1,590.109358,"Chien_et_al._2022_2A"
"177",1,0,584.194055,"Chien_et_al._2022_2A"
"178",1,0,1002.340401,"Chien_et_al._2022_2A"
"179",1,0,550.948674,"Chien_et_al._2022_2A"
"180",1,0,794.842203,"Chien_et_al._2022_2A"
"181",1,0,489.008608,"Chien_et_al._2022_2A"
"182",1,0,593.353273,"Chien_et_al._2022_2A"
"183",1,1,528.761696,"Chien_et_al._2022_2A"
"184",1,0,873.075027,"Chien_et_al._2022_2A"
"185",1,0,571.704487,"Chien_et_al._2022_2A"
"186",1,0,566.09909,"Chien_et_al._2022_2A"
"187",1,1,616.11338,"Chien_et_al._2022_2A"
"188",1,1,797.596112,"Chien_et_al._2022_2A"
"189",1,1,724.928329,"Chien_et_al._2022_2A"
"190",1,0,544.641246,"Chien_et_al._2022_2A"
"191",1,1,424.387817,"Chien_et_al._2022_2A"
"192",1,0,452.505157,"Chien_et_al._2022_2A"
"193",1,1,802.963584,"Chien_et_al._2022_2A"
"194",1,1,460.887654,"Chien_et_al._2022_2A"
"195",1,1,621.017651,"Chien_et_al._2022_2A"
"196",1,1,446.967824,"Chien_et_al._2022_2A"
"197",1,0,791.448907,"Chien_et_al._2022_2A"
"198",1,1,926.571458,"Chien_et_al._2022_2A"
"199",1,1,630.19253,"Chien_et_al._2022_2A"
"200",1,1,908.750257,"Chien_et_al._2022_2A"
"201",1,0,561.154461,"Chien_et_al._2022_2A"
"202",1,0,595.915637,"Chien_et_al._2022_2A"
"203",1,0,513.998887,"Chien_et_al._2022_2A"
"204",1,0,569.635441,"Chien_et_al._2022_2A"
"205",1,0,552.587949,"Chien_et_al._2022_2A"
"206",1,0,641.089806,"Chien_et_al._2022_2A"
"207",1,0,542.300243,"Chien_et_al._2022_2A"
"208",1,1,459.141765,"Chien_et_al._2022_2A"
"209",12,0,901.366105,"Chien_et_al._2022_2A"
"210",12,1,828.075919,"Chien_et_al._2022_2A"
"211",12,0,593.605872,"Chien_et_al._2022_2A"
"212",12,1,1146.493334,"Chien_et_al._2022_2A"
"213",12,1,692.96679,"Chien_et_al._2022_2A"
"214",12,1,674.078045,"Chien_et_al._2022_2A"
"215",12,0,844.940805,"Chien_et_al._2022_2A"
