"","idv","iv","exp","dv"
"121",100,"Congruent","Zerweck et al_2021_1",433
"122",100,"Incongruent","Zerweck et al_2021_1",526
"123",100,"Congruent","Zerweck et al_2021_1",447
"124",100,"Incongruent","Zerweck et al_2021_1",452
"125",100,"Incongruent","Zerweck et al_2021_1",503
"126",100,"Congruent","Zerweck et al_2021_1",540
"127",100,"Incongruent","Zerweck et al_2021_1",417
"128",100,"Incongruent","Zerweck et al_2021_1",510
"129",100,"Incongruent","Zerweck et al_2021_1",435
"130",100,"Congruent","Zerweck et al_2021_1",385
"131",100,"Incongruent","Zerweck et al_2021_1",435
"132",100,"Congruent","Zerweck et al_2021_1",576
"133",100,"Incongruent","Zerweck et al_2021_1",392
"134",100,"Congruent","Zerweck et al_2021_1",344
"135",100,"Congruent","Zerweck et al_2021_1",395
"136",100,"Congruent","Zerweck et al_2021_1",430
"137",100,"Incongruent","Zerweck et al_2021_1",413
"138",100,"Incongruent","Zerweck et al_2021_1",446
"139",100,"Congruent","Zerweck et al_2021_1",466
"140",100,"Incongruent","Zerweck et al_2021_1",387
"141",100,"Incongruent","Zerweck et al_2021_1",436
"142",100,"Congruent","Zerweck et al_2021_1",398
"143",100,"Incongruent","Zerweck et al_2021_1",382
"144",100,"Incongruent","Zerweck et al_2021_1",443
"145",100,"Incongruent","Zerweck et al_2021_1",475
"146",100,"Incongruent","Zerweck et al_2021_1",476
"147",100,"Congruent","Zerweck et al_2021_1",411
"148",100,"Incongruent","Zerweck et al_2021_1",632
"149",100,"Congruent","Zerweck et al_2021_1",498
"150",100,"Incongruent","Zerweck et al_2021_1",580
"151",100,"Congruent","Zerweck et al_2021_1",435
"152",100,"Incongruent","Zerweck et al_2021_1",427
"153",100,"Incongruent","Zerweck et al_2021_1",460
"154",100,"Congruent","Zerweck et al_2021_1",405
"155",100,"Congruent","Zerweck et al_2021_1",401
"156",100,"Incongruent","Zerweck et al_2021_1",455
"157",100,"Congruent","Zerweck et al_2021_1",402
"158",100,"Incongruent","Zerweck et al_2021_1",486
"159",100,"Congruent","Zerweck et al_2021_1",492
"160",100,"Congruent","Zerweck et al_2021_1",467
"161",100,"Incongruent","Zerweck et al_2021_1",472
"162",100,"Congruent","Zerweck et al_2021_1",415
"163",100,"Congruent","Zerweck et al_2021_1",462
"164",100,"Congruent","Zerweck et al_2021_1",497
"165",100,"Congruent","Zerweck et al_2021_1",469
"166",100,"Congruent","Zerweck et al_2021_1",407
"167",100,"Incongruent","Zerweck et al_2021_1",402
"168",100,"Incongruent","Zerweck et al_2021_1",391
"169",100,"Congruent","Zerweck et al_2021_1",435
"170",100,"Incongruent","Zerweck et al_2021_1",359
"171",100,"Congruent","Zerweck et al_2021_1",477
"172",100,"Incongruent","Zerweck et al_2021_1",421
"173",100,"Incongruent","Zerweck et al_2021_1",450
"174",100,"Incongruent","Zerweck et al_2021_1",463
"175",100,"Incongruent","Zerweck et al_2021_1",411
"176",100,"Incongruent","Zerweck et al_2021_1",550
"177",100,"Congruent","Zerweck et al_2021_1",395
"178",100,"Congruent","Zerweck et al_2021_1",424
"179",100,"Incongruent","Zerweck et al_2021_1",526
"180",100,"Congruent","Zerweck et al_2021_1",473
"181",100,"Congruent","Zerweck et al_2021_1",361
"182",100,"Congruent","Zerweck et al_2021_1",401
"183",100,"Congruent","Zerweck et al_2021_1",448
"184",100,"Congruent","Zerweck et al_2021_1",435
"185",100,"Incongruent","Zerweck et al_2021_1",501
"186",100,"Incongruent","Zerweck et al_2021_1",469
"187",100,"Congruent","Zerweck et al_2021_1",455
"188",100,"Congruent","Zerweck et al_2021_1",433
"189",100,"Congruent","Zerweck et al_2021_1",426
"190",100,"Incongruent","Zerweck et al_2021_1",458
"191",100,"Incongruent","Zerweck et al_2021_1",469
"192",100,"Incongruent","Zerweck et al_2021_1",342
"193",100,"Congruent","Zerweck et al_2021_1",422
"194",100,"Incongruent","Zerweck et al_2021_1",441
"195",100,"Incongruent","Zerweck et al_2021_1",470
"196",100,"Incongruent","Zerweck et al_2021_1",478
"197",100,"Congruent","Zerweck et al_2021_1",386
"198",100,"Congruent","Zerweck et al_2021_1",429
"199",100,"Incongruent","Zerweck et al_2021_1",394
"200",100,"Congruent","Zerweck et al_2021_1",486
"201",100,"Congruent","Zerweck et al_2021_1",499
"202",100,"Congruent","Zerweck et al_2021_1",560
"203",100,"Congruent","Zerweck et al_2021_1",474
"204",100,"Congruent","Zerweck et al_2021_1",425
"205",100,"Congruent","Zerweck et al_2021_1",499
"206",100,"Incongruent","Zerweck et al_2021_1",421
"207",100,"Incongruent","Zerweck et al_2021_1",424
"208",100,"Incongruent","Zerweck et al_2021_1",508
"209",100,"Congruent","Zerweck et al_2021_1",397
"210",100,"Congruent","Zerweck et al_2021_1",393
"211",100,"Incongruent","Zerweck et al_2021_1",441
"212",100,"Congruent","Zerweck et al_2021_1",409
"213",100,"Congruent","Zerweck et al_2021_1",466
"214",100,"Incongruent","Zerweck et al_2021_1",485
"215",100,"Incongruent","Zerweck et al_2021_1",359
"216",100,"Incongruent","Zerweck et al_2021_1",425
"217",100,"Incongruent","Zerweck et al_2021_1",451
"218",100,"Incongruent","Zerweck et al_2021_1",402
"219",100,"Incongruent","Zerweck et al_2021_1",355
"220",100,"Congruent","Zerweck et al_2021_1",479
"221",100,"Incongruent","Zerweck et al_2021_1",465
"222",100,"Incongruent","Zerweck et al_2021_1",369
"223",100,"Incongruent","Zerweck et al_2021_1",436
"224",100,"Congruent","Zerweck et al_2021_1",499
"225",100,"Incongruent","Zerweck et al_2021_1",440
"226",100,"Congruent","Zerweck et al_2021_1",400
"227",100,"Incongruent","Zerweck et al_2021_1",466
"228",100,"Congruent","Zerweck et al_2021_1",390
"229",100,"Congruent","Zerweck et al_2021_1",314
"230",100,"Incongruent","Zerweck et al_2021_1",431
"231",100,"Incongruent","Zerweck et al_2021_1",456
"232",100,"Incongruent","Zerweck et al_2021_1",385
"233",100,"Congruent","Zerweck et al_2021_1",527
"234",100,"Incongruent","Zerweck et al_2021_1",417
"235",100,"Congruent","Zerweck et al_2021_1",391
"236",100,"Congruent","Zerweck et al_2021_1",338
"237",100,"Congruent","Zerweck et al_2021_1",451
"238",100,"Incongruent","Zerweck et al_2021_1",406
"239",100,"Incongruent","Zerweck et al_2021_1",412
"240",100,"Congruent","Zerweck et al_2021_1",480
"241",100,"Congruent","Zerweck et al_2021_1",444
"242",100,"Incongruent","Zerweck et al_2021_1",433
"243",100,"Incongruent","Zerweck et al_2021_1",484
"244",100,"Congruent","Zerweck et al_2021_1",414
"245",100,"Congruent","Zerweck et al_2021_1",436
"246",100,"Incongruent","Zerweck et al_2021_1",422
"247",100,"Incongruent","Zerweck et al_2021_1",474
"248",100,"Congruent","Zerweck et al_2021_1",224
"249",100,"Congruent","Zerweck et al_2021_1",390
"250",100,"Incongruent","Zerweck et al_2021_1",465
"251",100,"Congruent","Zerweck et al_2021_1",391
"252",100,"Incongruent","Zerweck et al_2021_1",447
"253",100,"Congruent","Zerweck et al_2021_1",431
"254",100,"Incongruent","Zerweck et al_2021_1",449
"255",100,"Congruent","Zerweck et al_2021_1",406
"256",100,"Congruent","Zerweck et al_2021_1",380
"257",101,"Congruent","Zerweck et al_2021_1",720
"258",101,"Congruent","Zerweck et al_2021_1",462
"259",101,"Incongruent","Zerweck et al_2021_1",531
"260",101,"Congruent","Zerweck et al_2021_1",422
"261",101,"Incongruent","Zerweck et al_2021_1",384
