"","idv","iv","exp","dv"
"152",100,1,"Skora et al_2020_1",1
"153",100,0,"Skora et al_2020_1",1
"154",100,1,"Skora et al_2020_1",1
"155",100,1,"Skora et al_2020_1",1
"156",100,0,"Skora et al_2020_1",1
"157",100,0,"Skora et al_2020_1",1
"158",100,1,"Skora et al_2020_1",1
"159",100,0,"Skora et al_2020_1",1
"160",100,1,"Skora et al_2020_1",1
"161",100,0,"Skora et al_2020_1",1
"162",100,0,"Skora et al_2020_1",1
"163",100,1,"Skora et al_2020_1",0
"164",100,0,"Skora et al_2020_1",0
"165",100,0,"Skora et al_2020_1",1
"166",100,1,"Skora et al_2020_1",1
"167",100,0,"Skora et al_2020_1",1
"168",100,0,"Skora et al_2020_1",0
"169",100,0,"Skora et al_2020_1",1
"170",100,0,"Skora et al_2020_1",1
"171",100,0,"Skora et al_2020_1",1
"172",100,0,"Skora et al_2020_1",1
"173",100,1,"Skora et al_2020_1",0
"174",100,1,"Skora et al_2020_1",1
"175",100,0,"Skora et al_2020_1",1
"176",100,1,"Skora et al_2020_1",1
"177",100,0,"Skora et al_2020_1",1
"178",100,0,"Skora et al_2020_1",1
"179",100,0,"Skora et al_2020_1",1
"180",100,0,"Skora et al_2020_1",0
"181",100,1,"Skora et al_2020_1",1
"182",100,1,"Skora et al_2020_1",0
"183",100,1,"Skora et al_2020_1",1
"184",100,0,"Skora et al_2020_1",1
"185",100,0,"Skora et al_2020_1",1
"186",100,1,"Skora et al_2020_1",1
"187",100,0,"Skora et al_2020_1",1
"188",102,0,"Skora et al_2020_1",1
"189",102,0,"Skora et al_2020_1",1
"190",102,0,"Skora et al_2020_1",1
"191",102,0,"Skora et al_2020_1",0
"192",102,1,"Skora et al_2020_1",1
"193",102,0,"Skora et al_2020_1",1
"194",102,1,"Skora et al_2020_1",1
"195",102,1,"Skora et al_2020_1",0
"196",102,1,"Skora et al_2020_1",1
"197",102,1,"Skora et al_2020_1",0
"198",102,1,"Skora et al_2020_1",1
"199",102,1,"Skora et al_2020_1",0
"200",102,0,"Skora et al_2020_1",1
"201",102,0,"Skora et al_2020_1",0
"202",102,0,"Skora et al_2020_1",0
"203",102,1,"Skora et al_2020_1",1
"204",102,1,"Skora et al_2020_1",0
"205",102,1,"Skora et al_2020_1",1
"206",102,0,"Skora et al_2020_1",0
"207",102,0,"Skora et al_2020_1",1
"208",102,1,"Skora et al_2020_1",1
"209",102,0,"Skora et al_2020_1",0
"210",102,1,"Skora et al_2020_1",1
"211",102,1,"Skora et al_2020_1",0
"212",102,0,"Skora et al_2020_1",1
"213",102,1,"Skora et al_2020_1",1
"214",102,0,"Skora et al_2020_1",1
"215",102,1,"Skora et al_2020_1",1
"216",102,1,"Skora et al_2020_1",0
"217",102,0,"Skora et al_2020_1",1
"218",102,1,"Skora et al_2020_1",1
"219",102,0,"Skora et al_2020_1",0
"220",102,0,"Skora et al_2020_1",1
"221",102,1,"Skora et al_2020_1",1
"222",102,0,"Skora et al_2020_1",0
"223",102,1,"Skora et al_2020_1",1
"224",102,1,"Skora et al_2020_1",1
"225",102,1,"Skora et al_2020_1",0
"226",102,1,"Skora et al_2020_1",1
"227",102,1,"Skora et al_2020_1",0
"228",102,0,"Skora et al_2020_1",0
"229",102,0,"Skora et al_2020_1",1
"230",102,0,"Skora et al_2020_1",1
"231",102,0,"Skora et al_2020_1",1
"232",102,0,"Skora et al_2020_1",0
"233",102,1,"Skora et al_2020_1",1
"234",102,0,"Skora et al_2020_1",1
"235",102,0,"Skora et al_2020_1",0
"236",102,0,"Skora et al_2020_1",1
"237",102,1,"Skora et al_2020_1",0
"238",102,1,"Skora et al_2020_1",1
"239",102,1,"Skora et al_2020_1",1
"240",102,1,"Skora et al_2020_1",0
"241",102,0,"Skora et al_2020_1",1
"242",102,1,"Skora et al_2020_1",0
"243",102,0,"Skora et al_2020_1",1
"244",102,0,"Skora et al_2020_1",1
"245",102,0,"Skora et al_2020_1",0
"246",102,1,"Skora et al_2020_1",1
"247",102,1,"Skora et al_2020_1",0
"248",102,0,"Skora et al_2020_1",1
"249",102,1,"Skora et al_2020_1",0
"250",102,0,"Skora et al_2020_1",1
"251",102,0,"Skora et al_2020_1",0
"252",102,0,"Skora et al_2020_1",1
"253",102,1,"Skora et al_2020_1",0
"254",102,0,"Skora et al_2020_1",1
"255",102,0,"Skora et al_2020_1",0
"256",102,0,"Skora et al_2020_1",1
"257",102,0,"Skora et al_2020_1",0
"258",102,0,"Skora et al_2020_1",1
"259",102,1,"Skora et al_2020_1",1
"260",102,0,"Skora et al_2020_1",0
"261",102,1,"Skora et al_2020_1",0
"262",102,1,"Skora et al_2020_1",0
"263",102,0,"Skora et al_2020_1",1
"264",102,1,"Skora et al_2020_1",1
"265",102,1,"Skora et al_2020_1",0
"266",102,0,"Skora et al_2020_1",1
"267",102,0,"Skora et al_2020_1",0
"268",102,0,"Skora et al_2020_1",1
"269",102,1,"Skora et al_2020_1",0
"270",102,0,"Skora et al_2020_1",0
"271",102,0,"Skora et al_2020_1",0
"272",102,0,"Skora et al_2020_1",0
"273",102,1,"Skora et al_2020_1",0
"274",102,0,"Skora et al_2020_1",0
"275",102,1,"Skora et al_2020_1",1
"276",102,0,"Skora et al_2020_1",0
"277",102,1,"Skora et al_2020_1",1
"278",102,1,"Skora et al_2020_1",1
"279",102,0,"Skora et al_2020_1",0
"280",102,1,"Skora et al_2020_1",0
"281",102,0,"Skora et al_2020_1",0
"282",102,0,"Skora et al_2020_1",0
"283",102,0,"Skora et al_2020_1",0
"284",102,0,"Skora et al_2020_1",1
"285",102,0,"Skora et al_2020_1",0
"286",102,0,"Skora et al_2020_1",0
"287",102,1,"Skora et al_2020_1",0
"288",102,0,"Skora et al_2020_1",1
"289",102,1,"Skora et al_2020_1",0
"290",102,1,"Skora et al_2020_1",1
"291",102,0,"Skora et al_2020_1",0
"292",102,0,"Skora et al_2020_1",1
"293",102,1,"Skora et al_2020_1",0
"294",102,1,"Skora et al_2020_1",0
"295",102,1,"Skora et al_2020_1",0
"296",102,1,"Skora et al_2020_1",0
"297",102,0,"Skora et al_2020_1",0
"298",102,1,"Skora et al_2020_1",0
"299",102,1,"Skora et al_2020_1",0
"300",102,1,"Skora et al_2020_1",0
"301",102,0,"Skora et al_2020_1",0
"302",102,0,"Skora et al_2020_1",0
"303",102,0,"Skora et al_2020_1",0
"304",102,0,"Skora et al_2020_1",0
"305",102,1,"Skora et al_2020_1",0
"306",102,1,"Skora et al_2020_1",1
"307",102,0,"Skora et al_2020_1",1
"308",102,1,"Skora et al_2020_1",1
"309",102,0,"Skora et al_2020_1",0
"310",102,0,"Skora et al_2020_1",1
"311",102,1,"Skora et al_2020_1",1
"312",102,0,"Skora et al_2020_1",0
"313",102,0,"Skora et al_2020_1",0
"314",102,1,"Skora et al_2020_1",0
"315",102,0,"Skora et al_2020_1",1
"316",102,1,"Skora et al_2020_1",1
"317",102,0,"Skora et al_2020_1",0
"318",102,0,"Skora et al_2020_1",1
"319",102,0,"Skora et al_2020_1",0
"320",102,0,"Skora et al_2020_1",1
"321",102,0,"Skora et al_2020_1",0
"322",102,0,"Skora et al_2020_1",1
"323",102,0,"Skora et al_2020_1",1
"324",102,0,"Skora et al_2020_1",1
"325",102,1,"Skora et al_2020_1",1
"326",102,0,"Skora et al_2020_1",0
"327",102,0,"Skora et al_2020_1",0
"328",102,1,"Skora et al_2020_1",0
"329",102,1,"Skora et al_2020_1",0
"330",102,0,"Skora et al_2020_1",1
"331",102,0,"Skora et al_2020_1",0
"332",102,0,"Skora et al_2020_1",0
"333",102,0,"Skora et al_2020_1",0
"334",102,1,"Skora et al_2020_1",0
"335",102,0,"Skora et al_2020_1",0
"336",102,0,"Skora et al_2020_1",0
"337",102,1,"Skora et al_2020_1",0
"338",102,1,"Skora et al_2020_1",0
"339",102,0,"Skora et al_2020_1",0
"340",102,1,"Skora et al_2020_1",0
"341",102,1,"Skora et al_2020_1",0
"342",102,1,"Skora et al_2020_1",0
"343",102,0,"Skora et al_2020_1",0
"344",102,0,"Skora et al_2020_1",0
"345",102,0,"Skora et al_2020_1",0
"346",102,0,"Skora et al_2020_1",0
"347",102,1,"Skora et al_2020_1",0
"348",102,0,"Skora et al_2020_1",0
"349",102,1,"Skora et al_2020_1",0
"350",102,1,"Skora et al_2020_1",0
"351",102,0,"Skora et al_2020_1",1
"352",102,1,"Skora et al_2020_1",0
"353",102,0,"Skora et al_2020_1",0
"354",102,0,"Skora et al_2020_1",1
"355",102,1,"Skora et al_2020_1",0
"356",102,1,"Skora et al_2020_1",0
"357",102,1,"Skora et al_2020_1",1
"358",102,0,"Skora et al_2020_1",0
"359",102,1,"Skora et al_2020_1",0
"360",102,0,"Skora et al_2020_1",0
"361",102,0,"Skora et al_2020_1",0
"362",102,1,"Skora et al_2020_1",0
"363",102,1,"Skora et al_2020_1",0
"364",102,0,"Skora et al_2020_1",0
"365",102,0,"Skora et al_2020_1",1
"366",102,1,"Skora et al_2020_1",0
"367",102,1,"Skora et al_2020_1",0
"368",102,1,"Skora et al_2020_1",1
"369",102,0,"Skora et al_2020_1",0
"370",102,1,"Skora et al_2020_1",0
"371",102,0,"Skora et al_2020_1",1
"372",102,0,"Skora et al_2020_1",0
"373",102,1,"Skora et al_2020_1",1
"374",102,1,"Skora et al_2020_1",0
"375",102,0,"Skora et al_2020_1",1
"376",102,0,"Skora et al_2020_1",0
"377",1,1,"Skora et al_2020_1",1
"378",1,1,"Skora et al_2020_1",1
"379",1,1,"Skora et al_2020_1",0
"380",1,1,"Skora et al_2020_1",1
"381",1,1,"Skora et al_2020_1",1
"382",1,1,"Skora et al_2020_1",0
"383",1,0,"Skora et al_2020_1",1
"384",1,1,"Skora et al_2020_1",1
"385",1,1,"Skora et al_2020_1",1
"386",1,1,"Skora et al_2020_1",0
"387",1,1,"Skora et al_2020_1",1
"388",1,0,"Skora et al_2020_1",1
"389",1,0,"Skora et al_2020_1",0
"390",1,0,"Skora et al_2020_1",1
"391",1,0,"Skora et al_2020_1",0
"392",1,1,"Skora et al_2020_1",0
"393",1,1,"Skora et al_2020_1",1
"394",1,1,"Skora et al_2020_1",1
"395",1,1,"Skora et al_2020_1",1
"396",1,0,"Skora et al_2020_1",1
"397",1,0,"Skora et al_2020_1",1
"398",1,0,"Skora et al_2020_1",1
"399",1,0,"Skora et al_2020_1",0
"400",1,0,"Skora et al_2020_1",1
"401",1,0,"Skora et al_2020_1",1
"402",1,0,"Skora et al_2020_1",1
"403",1,0,"Skora et al_2020_1",0
"404",1,1,"Skora et al_2020_1",1
"405",1,1,"Skora et al_2020_1",0
"406",1,0,"Skora et al_2020_1",1
"407",1,1,"Skora et al_2020_1",0
"408",1,1,"Skora et al_2020_1",1
"409",1,1,"Skora et al_2020_1",1
"410",1,0,"Skora et al_2020_1",1
"411",1,1,"Skora et al_2020_1",1
"412",1,1,"Skora et al_2020_1",0
"413",1,1,"Skora et al_2020_1",1
"414",1,1,"Skora et al_2020_1",1
"415",1,0,"Skora et al_2020_1",1
"416",1,1,"Skora et al_2020_1",0
"417",1,0,"Skora et al_2020_1",1
"418",1,1,"Skora et al_2020_1",0
"419",1,1,"Skora et al_2020_1",1
"420",1,1,"Skora et al_2020_1",1
"421",1,0,"Skora et al_2020_1",0
"422",1,0,"Skora et al_2020_1",1
"423",1,1,"Skora et al_2020_1",1
"424",1,0,"Skora et al_2020_1",1
"425",1,0,"Skora et al_2020_1",1
"426",1,1,"Skora et al_2020_1",0
"427",1,1,"Skora et al_2020_1",1
"428",1,1,"Skora et al_2020_1",0
"429",1,1,"Skora et al_2020_1",1
"430",1,0,"Skora et al_2020_1",0
"431",1,1,"Skora et al_2020_1",1
"432",1,1,"Skora et al_2020_1",1
"433",1,0,"Skora et al_2020_1",1
"434",1,1,"Skora et al_2020_1",1
"435",1,0,"Skora et al_2020_1",1
"436",1,0,"Skora et al_2020_1",1
"437",1,0,"Skora et al_2020_1",0
"438",1,1,"Skora et al_2020_1",1
"439",1,0,"Skora et al_2020_1",1
"440",1,1,"Skora et al_2020_1",0
"441",1,1,"Skora et al_2020_1",1
"442",1,0,"Skora et al_2020_1",0
"443",1,1,"Skora et al_2020_1",1
"444",1,1,"Skora et al_2020_1",1
"445",1,1,"Skora et al_2020_1",1
"446",1,1,"Skora et al_2020_1",1
"447",1,1,"Skora et al_2020_1",0
"448",1,0,"Skora et al_2020_1",1
"449",1,0,"Skora et al_2020_1",0
"450",1,0,"Skora et al_2020_1",1
"451",1,1,"Skora et al_2020_1",1
"452",1,1,"Skora et al_2020_1",0
"453",1,0,"Skora et al_2020_1",1
"454",1,1,"Skora et al_2020_1",1
"455",1,0,"Skora et al_2020_1",1
"456",1,1,"Skora et al_2020_1",1
"457",1,1,"Skora et al_2020_1",1
"458",1,1,"Skora et al_2020_1",1
"459",1,1,"Skora et al_2020_1",1
"460",1,1,"Skora et al_2020_1",1
"461",1,0,"Skora et al_2020_1",0
"462",1,0,"Skora et al_2020_1",1
"463",1,1,"Skora et al_2020_1",0
"464",1,0,"Skora et al_2020_1",1
"465",1,1,"Skora et al_2020_1",1
"466",1,1,"Skora et al_2020_1",0
"467",1,0,"Skora et al_2020_1",1
"468",1,0,"Skora et al_2020_1",1
"469",1,0,"Skora et al_2020_1",1
"470",1,1,"Skora et al_2020_1",0
"471",1,0,"Skora et al_2020_1",1
"472",1,0,"Skora et al_2020_1",0
"473",1,1,"Skora et al_2020_1",0
"474",1,1,"Skora et al_2020_1",0
"475",1,0,"Skora et al_2020_1",1
"476",1,0,"Skora et al_2020_1",0
"477",1,1,"Skora et al_2020_1",1
"478",1,1,"Skora et al_2020_1",1
"479",1,0,"Skora et al_2020_1",1
"480",1,1,"Skora et al_2020_1",0
"481",1,0,"Skora et al_2020_1",1
"482",1,0,"Skora et al_2020_1",0
"483",1,0,"Skora et al_2020_1",1
"484",1,1,"Skora et al_2020_1",1
"485",1,1,"Skora et al_2020_1",1
"486",1,0,"Skora et al_2020_1",0
"487",1,1,"Skora et al_2020_1",1
"488",1,1,"Skora et al_2020_1",1
"489",1,1,"Skora et al_2020_1",1
"490",1,1,"Skora et al_2020_1",0
"491",1,1,"Skora et al_2020_1",0
"492",1,0,"Skora et al_2020_1",1
"493",1,0,"Skora et al_2020_1",1
"494",1,1,"Skora et al_2020_1",0
"495",1,0,"Skora et al_2020_1",1
"496",1,0,"Skora et al_2020_1",0
"497",1,1,"Skora et al_2020_1",1
"498",1,1,"Skora et al_2020_1",0
"499",1,0,"Skora et al_2020_1",1
"500",1,1,"Skora et al_2020_1",1
"501",1,1,"Skora et al_2020_1",1
"502",1,1,"Skora et al_2020_1",0
