"","idv","iv","iv2","exp","dv"
"110",1,1,2,"Stein & van Peelen_2020_3_1",1
"111",1,2,1,"Stein & van Peelen_2020_3_1",1
"112",1,1,2,"Stein & van Peelen_2020_3_2",1
"113",1,1,2,"Stein & van Peelen_2020_3_2",1
"114",1,1,1,"Stein & van Peelen_2020_3_1",1
"115",1,1,1,"Stein & van Peelen_2020_3_1",1
"116",1,1,1,"Stein & van Peelen_2020_3_1",1
"117",1,2,2,"Stein & van Peelen_2020_3_2",1
"118",1,2,2,"Stein & van Peelen_2020_3_2",1
"119",1,2,2,"Stein & van Peelen_2020_3_2",2
"120",1,2,1,"Stein & van Peelen_2020_3_1",1
"121",1,2,2,"Stein & van Peelen_2020_3_2",2
"122",1,1,1,"Stein & van Peelen_2020_3_2",1
"123",1,1,2,"Stein & van Peelen_2020_3_1",1
"124",1,1,2,"Stein & van Peelen_2020_3_1",1
"125",1,2,2,"Stein & van Peelen_2020_3_2",2
"126",1,1,2,"Stein & van Peelen_2020_3_1",1
"127",1,1,1,"Stein & van Peelen_2020_3_2",1
"128",1,2,2,"Stein & van Peelen_2020_3_1",1
"129",1,1,1,"Stein & van Peelen_2020_3_1",1
"130",1,1,1,"Stein & van Peelen_2020_3_2",1
"131",1,1,1,"Stein & van Peelen_2020_3_2",1
"132",1,1,2,"Stein & van Peelen_2020_3_2",1
"133",1,1,2,"Stein & van Peelen_2020_3_1",1
"134",1,1,2,"Stein & van Peelen_2020_3_1",1
"135",1,2,1,"Stein & van Peelen_2020_3_1",1
"136",1,1,2,"Stein & van Peelen_2020_3_1",2
"137",1,2,2,"Stein & van Peelen_2020_3_1",2
"138",1,2,1,"Stein & van Peelen_2020_3_1",1
"139",1,2,1,"Stein & van Peelen_2020_3_2",1
"140",1,1,1,"Stein & van Peelen_2020_3_1",1
"141",1,2,1,"Stein & van Peelen_2020_3_1",1
"142",1,1,2,"Stein & van Peelen_2020_3_2",2
"143",1,1,1,"Stein & van Peelen_2020_3_1",1
"144",1,1,1,"Stein & van Peelen_2020_3_2",1
"145",1,2,1,"Stein & van Peelen_2020_3_1",1
"146",1,1,1,"Stein & van Peelen_2020_3_2",1
"147",1,1,1,"Stein & van Peelen_2020_3_1",1
"148",1,2,2,"Stein & van Peelen_2020_3_1",1
"149",1,1,2,"Stein & van Peelen_2020_3_2",2
"150",1,1,2,"Stein & van Peelen_2020_3_1",1
"151",1,2,2,"Stein & van Peelen_2020_3_1",1
"152",1,1,2,"Stein & van Peelen_2020_3_2",1
"153",1,1,2,"Stein & van Peelen_2020_3_1",1
"154",1,1,2,"Stein & van Peelen_2020_3_1",1
"155",1,2,2,"Stein & van Peelen_2020_3_1",1
"156",1,1,2,"Stein & van Peelen_2020_3_1",1
"157",1,1,1,"Stein & van Peelen_2020_3_1",1
"158",1,1,1,"Stein & van Peelen_2020_3_2",1
"159",1,1,2,"Stein & van Peelen_2020_3_1",1
"160",1,2,1,"Stein & van Peelen_2020_3_2",1
"161",1,2,2,"Stein & van Peelen_2020_3_2",1
"162",1,2,2,"Stein & van Peelen_2020_3_2",1
"163",1,1,2,"Stein & van Peelen_2020_3_1",1
"164",1,1,2,"Stein & van Peelen_2020_3_1",2
"165",1,1,2,"Stein & van Peelen_2020_3_1",1
"166",1,2,2,"Stein & van Peelen_2020_3_1",1
"167",1,2,1,"Stein & van Peelen_2020_3_2",1
"168",1,2,1,"Stein & van Peelen_2020_3_1",1
"169",1,1,2,"Stein & van Peelen_2020_3_2",2
"170",1,1,1,"Stein & van Peelen_2020_3_1",1
"171",1,1,1,"Stein & van Peelen_2020_3_2",1
"172",1,1,2,"Stein & van Peelen_2020_3_2",2
"173",1,2,1,"Stein & van Peelen_2020_3_2",1
"174",1,2,1,"Stein & van Peelen_2020_3_1",1
"175",1,2,2,"Stein & van Peelen_2020_3_1",1
"176",1,2,1,"Stein & van Peelen_2020_3_1",1
"177",1,2,1,"Stein & van Peelen_2020_3_1",1
"178",1,1,2,"Stein & van Peelen_2020_3_2",1
"179",1,2,1,"Stein & van Peelen_2020_3_2",1
"180",1,2,1,"Stein & van Peelen_2020_3_2",1
"181",1,2,2,"Stein & van Peelen_2020_3_2",2
"182",1,2,1,"Stein & van Peelen_2020_3_2",1
"183",1,2,1,"Stein & van Peelen_2020_3_2",1
"184",1,1,2,"Stein & van Peelen_2020_3_1",1
"185",1,1,1,"Stein & van Peelen_2020_3_1",1
"186",1,2,2,"Stein & van Peelen_2020_3_2",1
"187",1,2,1,"Stein & van Peelen_2020_3_1",1
"188",1,1,2,"Stein & van Peelen_2020_3_1",1
