idv,iv,iv2,dv,exp
1,2,1,3.470809772,Biderman & Mudrik_2018_1
1,2,2,2.046041742,Biderman & Mudrik_2018_1
1,2,2,1.355763721,Biderman & Mudrik_2018_1
1,1,2,1.968067139,Biderman & Mudrik_2018_1
1,1,2,2.453005179,Biderman & Mudrik_2018_1
1,2,2,2.003182823,Biderman & Mudrik_2018_1
1,1,2,1.803486052,Biderman & Mudrik_2018_1
1,1,2,2.348492607,Biderman & Mudrik_2018_1
1,2,2,1.868168862,Biderman & Mudrik_2018_1
1,2,2,1.481721861,Biderman & Mudrik_2018_1
1,1,1,1.678434236,Biderman & Mudrik_2018_1
1,2,1,2.514858401,Biderman & Mudrik_2018_1
1,2,1,2.025313764,Biderman & Mudrik_2018_1
1,2,2,1.662051991,Biderman & Mudrik_2018_1
1,1,1,1.303227469,Biderman & Mudrik_2018_1
1,1,1,2.170766267,Biderman & Mudrik_2018_1
1,1,1,1.688317979,Biderman & Mudrik_2018_1
1,2,2,1.309397824,Biderman & Mudrik_2018_1
1,2,2,1.955649454,Biderman & Mudrik_2018_1
1,1,1,2.104428184,Biderman & Mudrik_2018_1
1,1,2,2.689453235,Biderman & Mudrik_2018_1
1,2,1,3.329813906,Biderman & Mudrik_2018_1
1,2,2,1.920957139,Biderman & Mudrik_2018_1
1,1,1,1.920170271,Biderman & Mudrik_2018_1
1,2,2,1.428614275,Biderman & Mudrik_2018_1
1,1,2,1.280249791,Biderman & Mudrik_2018_1
1,1,1,1.835827742,Biderman & Mudrik_2018_1
1,2,2,1.56133292,Biderman & Mudrik_2018_1
1,2,1,2.639676723,Biderman & Mudrik_2018_1
1,1,2,2.49260886,Biderman & Mudrik_2018_1
1,1,1,2.639112801,Biderman & Mudrik_2018_1
1,1,2,1.655418069,Biderman & Mudrik_2018_1
1,1,1,2.018469154,Biderman & Mudrik_2018_1
1,2,1,1.494745377,Biderman & Mudrik_2018_1
1,1,1,1.671934024,Biderman & Mudrik_2018_1
1,2,2,1.099617742,Biderman & Mudrik_2018_1
1,1,1,1.615821801,Biderman & Mudrik_2018_1
1,1,2,1.627565802,Biderman & Mudrik_2018_1
1,1,1,1.953853628,Biderman & Mudrik_2018_1
1,1,1,1.267106533,Biderman & Mudrik_2018_1
1,1,1,2.870867305,Biderman & Mudrik_2018_1
