idv,iv,iv2,dv,exp
901,1,1,1.404044637,Biderman & Mudrik_2018_2
901,1,2,0.887234082,Biderman & Mudrik_2018_2
901,2,1,0.981196319,Biderman & Mudrik_2018_2
901,1,1,1.820668112,Biderman & Mudrik_2018_2
901,1,1,1.770765587,Biderman & Mudrik_2018_2
901,2,1,1.132549483,Biderman & Mudrik_2018_2
901,1,2,1.430243492,Biderman & Mudrik_2018_2
901,2,1,0.946839653,Biderman & Mudrik_2018_2
901,2,1,0.895893952,Biderman & Mudrik_2018_2
901,1,2,0.799323632,Biderman & Mudrik_2018_2
901,2,2,1.207567487,Biderman & Mudrik_2018_2
901,1,2,0.714634797,Biderman & Mudrik_2018_2
901,2,1,1.086579039,Biderman & Mudrik_2018_2
901,2,1,1.708440174,Biderman & Mudrik_2018_2
901,2,2,0.513077474,Biderman & Mudrik_2018_2
901,2,2,0.511167599,Biderman & Mudrik_2018_2
901,2,2,1.348764297,Biderman & Mudrik_2018_2
901,1,1,1.387293382,Biderman & Mudrik_2018_2
901,2,2,0.95443126,Biderman & Mudrik_2018_2
901,2,2,1.129299644,Biderman & Mudrik_2018_2
901,1,1,0.705702657,Biderman & Mudrik_2018_2
901,1,2,0.88704278,Biderman & Mudrik_2018_2
901,1,2,1.152639529,Biderman & Mudrik_2018_2
901,2,2,1.049391913,Biderman & Mudrik_2018_2
901,1,2,0.728645399,Biderman & Mudrik_2018_2
901,1,2,1.527167619,Biderman & Mudrik_2018_2
901,2,1,2.228527938,Biderman & Mudrik_2018_2
901,1,1,0.764199195,Biderman & Mudrik_2018_2
901,2,2,0.511827317,Biderman & Mudrik_2018_2
901,2,2,1.009568195,Biderman & Mudrik_2018_2
901,1,2,0.626677307,Biderman & Mudrik_2018_2
901,2,2,0.625191372,Biderman & Mudrik_2018_2
901,2,1,0.744019629,Biderman & Mudrik_2018_2
901,2,1,1.339865228,Biderman & Mudrik_2018_2
901,2,2,0.53608522,Biderman & Mudrik_2018_2
901,2,1,1.294145671,Biderman & Mudrik_2018_2
901,2,1,0.705066887,Biderman & Mudrik_2018_2
901,2,2,0.792074144,Biderman & Mudrik_2018_2
901,2,2,0.659280046,Biderman & Mudrik_2018_2
901,1,2,0.603932423,Biderman & Mudrik_2018_2
901,2,2,1.402066908,Biderman & Mudrik_2018_2
901,2,2,0.573323948,Biderman & Mudrik_2018_2
901,1,2,1.158443852,Biderman & Mudrik_2018_2
901,1,2,0.748263037,Biderman & Mudrik_2018_2
901,2,1,1.267591013,Biderman & Mudrik_2018_2
901,2,2,0.7991731,Biderman & Mudrik_2018_2
901,1,2,0.791499955,Biderman & Mudrik_2018_2
901,1,1,1.12012631,Biderman & Mudrik_2018_2
901,2,2,0.598639851,Biderman & Mudrik_2018_2
901,1,2,0.627965097,Biderman & Mudrik_2018_2
901,2,2,0.599029581,Biderman & Mudrik_2018_2
901,1,2,1.042294383,Biderman & Mudrik_2018_2
901,2,1,0.408131526,Biderman & Mudrik_2018_2
901,1,2,0.791604016,Biderman & Mudrik_2018_2
901,1,1,1.232760513,Biderman & Mudrik_2018_2
901,2,2,0.606206369,Biderman & Mudrik_2018_2
901,1,2,0.784714038,Biderman & Mudrik_2018_2
901,2,1,0.757401588,Biderman & Mudrik_2018_2
901,1,2,0.909700139,Biderman & Mudrik_2018_2
901,2,2,0.431465139,Biderman & Mudrik_2018_2
901,1,2,0.563986682,Biderman & Mudrik_2018_2
901,2,1,1.537438298,Biderman & Mudrik_2018_2
901,1,1,1.022616304,Biderman & Mudrik_2018_2
901,1,2,0.844253751,Biderman & Mudrik_2018_2
901,2,1,1.082388944,Biderman & Mudrik_2018_2
901,2,2,0.705344288,Biderman & Mudrik_2018_2
901,2,1,1.403783202,Biderman & Mudrik_2018_2
901,1,2,0.633419604,Biderman & Mudrik_2018_2
901,2,1,0.594740842,Biderman & Mudrik_2018_2
901,1,2,1.233148532,Biderman & Mudrik_2018_2
901,1,1,0.496305122,Biderman & Mudrik_2018_2
901,1,1,0.603009273,Biderman & Mudrik_2018_2
901,1,1,0.525799431,Biderman & Mudrik_2018_2
901,2,1,0.876357568,Biderman & Mudrik_2018_2
901,2,1,0.860105521,Biderman & Mudrik_2018_2
901,1,1,0.944931203,Biderman & Mudrik_2018_2
901,1,2,0.652117228,Biderman & Mudrik_2018_2
901,2,1,1.356142935,Biderman & Mudrik_2018_2
901,2,1,0.552628638,Biderman & Mudrik_2018_2
901,1,1,0.564330797,Biderman & Mudrik_2018_2
901,1,1,1.133209486,Biderman & Mudrik_2018_2
901,2,1,1.202939481,Biderman & Mudrik_2018_2
902,2,2,1.959841006,Biderman & Mudrik_2018_2
902,2,2,1.631567603,Biderman & Mudrik_2018_2
902,1,1,1.55052689,Biderman & Mudrik_2018_2
902,2,1,1.762990091,Biderman & Mudrik_2018_2
902,1,1,2.44673103,Biderman & Mudrik_2018_2
902,2,2,1.06058232,Biderman & Mudrik_2018_2
902,2,2,1.151695282,Biderman & Mudrik_2018_2
902,2,1,1.063395673,Biderman & Mudrik_2018_2
902,2,1,1.519791832,Biderman & Mudrik_2018_2
902,2,2,2.733594712,Biderman & Mudrik_2018_2
902,1,2,2.067215995,Biderman & Mudrik_2018_2
902,2,2,1.578594566,Biderman & Mudrik_2018_2
902,1,1,1.873998662,Biderman & Mudrik_2018_2
902,2,1,1.599759149,Biderman & Mudrik_2018_2
902,1,1,1.394764962,Biderman & Mudrik_2018_2
902,2,1,1.811262422,Biderman & Mudrik_2018_2
902,1,2,0.788192811,Biderman & Mudrik_2018_2
902,1,2,1.006221137,Biderman & Mudrik_2018_2
902,1,1,0.883932069,Biderman & Mudrik_2018_2
902,2,2,1.373961885,Biderman & Mudrik_2018_2
902,1,1,0.867506111,Biderman & Mudrik_2018_2
902,1,1,1.65780181,Biderman & Mudrik_2018_2
902,1,2,1.287679349,Biderman & Mudrik_2018_2
902,1,2,1.79132576,Biderman & Mudrik_2018_2
902,1,2,2.202108418,Biderman & Mudrik_2018_2
902,1,1,0.746677318,Biderman & Mudrik_2018_2
902,1,2,0.969642982,Biderman & Mudrik_2018_2
902,2,2,0.860525471,Biderman & Mudrik_2018_2
902,1,2,3.278476935,Biderman & Mudrik_2018_2
902,2,1,1.863159497,Biderman & Mudrik_2018_2
902,1,2,0.849030579,Biderman & Mudrik_2018_2
902,2,1,0.678105964,Biderman & Mudrik_2018_2
902,1,2,2.923843027,Biderman & Mudrik_2018_2
902,1,2,0.908230456,Biderman & Mudrik_2018_2
902,1,1,0.993309875,Biderman & Mudrik_2018_2
902,2,1,0.792834502,Biderman & Mudrik_2018_2
902,1,2,3.190582736,Biderman & Mudrik_2018_2
902,1,1,0.759452017,Biderman & Mudrik_2018_2
902,2,1,3.349266641,Biderman & Mudrik_2018_2
902,1,2,0.577158525,Biderman & Mudrik_2018_2
902,2,1,0.950038745,Biderman & Mudrik_2018_2
902,2,2,0.767612681,Biderman & Mudrik_2018_2
902,1,2,1.179583061,Biderman & Mudrik_2018_2
902,2,1,1.132927524,Biderman & Mudrik_2018_2
902,1,1,0.768661559,Biderman & Mudrik_2018_2
902,1,2,1.603792439,Biderman & Mudrik_2018_2
902,2,1,1.037711992,Biderman & Mudrik_2018_2
902,1,2,1.355955625,Biderman & Mudrik_2018_2
902,2,2,2.126998328,Biderman & Mudrik_2018_2
902,2,1,0.86925006,Biderman & Mudrik_2018_2
902,1,1,1.779550901,Biderman & Mudrik_2018_2
902,2,2,1.053635606,Biderman & Mudrik_2018_2
902,1,2,0.841327784,Biderman & Mudrik_2018_2
902,2,1,0.90483265,Biderman & Mudrik_2018_2
902,1,2,0.888666987,Biderman & Mudrik_2018_2
902,2,1,0.988820998,Biderman & Mudrik_2018_2
902,1,2,0.556485167,Biderman & Mudrik_2018_2
902,2,2,1.750278684,Biderman & Mudrik_2018_2
902,2,1,0.834616562,Biderman & Mudrik_2018_2
902,2,2,2.194882023,Biderman & Mudrik_2018_2
902,1,1,0.813780128,Biderman & Mudrik_2018_2
902,2,1,2.868548432,Biderman & Mudrik_2018_2
902,1,2,0.915764187,Biderman & Mudrik_2018_2
902,1,1,0.932106611,Biderman & Mudrik_2018_2
902,2,2,1.043829639,Biderman & Mudrik_2018_2
902,1,1,0.86234326,Biderman & Mudrik_2018_2
902,1,2,1.548617585,Biderman & Mudrik_2018_2
902,2,1,1.065532202,Biderman & Mudrik_2018_2
902,2,1,1.019324271,Biderman & Mudrik_2018_2
902,1,2,3.252491619,Biderman & Mudrik_2018_2
902,2,2,1.09698742,Biderman & Mudrik_2018_2
902,1,1,2.822102442,Biderman & Mudrik_2018_2
