idv,iv,dv,exp
201,cong,0.30394,Noel et al_2020_A
201,incong,0.26929,Noel et al_2020_AV
201,cong,0.416,Noel et al_2020_AV
201,cong,0.28446,Noel et al_2020_A
201,cong,0.3639,Noel et al_2020_AV
201,cong,0.4365,Noel et al_2020_V
201,cong,0.3977,Noel et al_2020_V
201,cong,0.4407,Noel et al_2020_V
201,cong,0.4769,Noel et al_2020_A
201,cong,0.4867,Noel et al_2020_AV
201,cong,0.35051,Noel et al_2020_A
201,cong,0.37704,Noel et al_2020_A
201,cong,0.36627,Noel et al_2020_V
201,cong,0.31148,Noel et al_2020_AV
201,cong,0.37189,Noel et al_2020_AV
201,cong,0.33725,Noel et al_2020_AV
201,incong,0.32974,Noel et al_2020_A
201,incong,0.36165,Noel et al_2020_AV
201,cong,0.37834,Noel et al_2020_A
201,cong,0.4482,Noel et al_2020_AV
201,incong,0.2972,Noel et al_2020_A
201,cong,0.24577,Noel et al_2020_V
201,cong,0.34425,Noel et al_2020_V
201,incong,0.2917,Noel et al_2020_V
201,cong,0.24828,Noel et al_2020_A
201,incong,0.4406,Noel et al_2020_A
201,cong,0.30538,Noel et al_2020_V
201,cong,0.32432,Noel et al_2020_A
201,cong,0.4189,Noel et al_2020_A
201,incong,0.3028,Noel et al_2020_V
201,cong,0.35609,Noel et al_2020_V
201,cong,0.26145,Noel et al_2020_V
201,cong,0.31661,Noel et al_2020_AV
201,cong,0.35359,Noel et al_2020_A
201,cong,0.406,Noel et al_2020_A
201,cong,0.398,Noel et al_2020_A
201,cong,0.4712,Noel et al_2020_A
201,cong,0.5292,Noel et al_2020_AV
201,cong,0.34791,Noel et al_2020_AV
201,incong,0.34915,Noel et al_2020_A
201,cong,0.38603,Noel et al_2020_AV
201,cong,0.37411,Noel et al_2020_A
201,incong,0.4164,Noel et al_2020_V
201,cong,0.6475,Noel et al_2020_AV
201,cong,0.35876,Noel et al_2020_A
201,cong,0.5587,Noel et al_2020_A
201,cong,0.4034,Noel et al_2020_A
201,incong,0.4391,Noel et al_2020_V
201,incong,0.4063,Noel et al_2020_A
201,cong,0.34953,Noel et al_2020_AV
201,cong,0.4184,Noel et al_2020_V
201,cong,0.38609,Noel et al_2020_A
201,incong,0.3954,Noel et al_2020_A
201,cong,0.35793,Noel et al_2020_V
201,cong,0.4045,Noel et al_2020_V
201,incong,0.4585,Noel et al_2020_V
201,cong,0.38618,Noel et al_2020_AV
201,incong,0.4182,Noel et al_2020_A
201,cong,0.34354,Noel et al_2020_A
201,cong,0.4271,Noel et al_2020_A
201,cong,0.4074,Noel et al_2020_A
201,cong,0.3915,Noel et al_2020_AV
201,incong,0.38682,Noel et al_2020_AV
201,cong,0.4044,Noel et al_2020_V
201,cong,0.3917,Noel et al_2020_AV
201,cong,0.4337,Noel et al_2020_AV
201,cong,0.3546,Noel et al_2020_V
201,cong,0.3922,Noel et al_2020_A
201,cong,0.31048,Noel et al_2020_AV
201,cong,0.24676,Noel et al_2020_A
201,cong,0.33391,Noel et al_2020_V
201,cong,0.4058,Noel et al_2020_V
201,cong,0.35201,Noel et al_2020_V
201,cong,0.353,Noel et al_2020_V
201,incong,0.31715,Noel et al_2020_V
201,cong,0.36214,Noel et al_2020_V
201,cong,0.4567,Noel et al_2020_V
201,cong,0.28653,Noel et al_2020_A
201,cong,0.28649,Noel et al_2020_AV
201,cong,0.32669,Noel et al_2020_V
201,cong,0.30628,Noel et al_2020_A
201,cong,0.4515,Noel et al_2020_V
201,cong,0.434,Noel et al_2020_A
201,cong,0.35146,Noel et al_2020_A
201,cong,0.3655,Noel et al_2020_V
201,cong,0.26705,Noel et al_2020_A
201,cong,0.398,Noel et al_2020_A
201,cong,0.441,Noel et al_2020_AV
201,cong,0.3996,Noel et al_2020_A
201,cong,0.4104,Noel et al_2020_A
