na 15 1 incong unrel 1 1 2 k 8 b 1 11761.2 1 8300.5
na 15 2 cong rel 1 1 2 j 2 j 1 7261.9 1 8396.0
na 15 3 cong rel 1 1 8 m 8 m 0 1024.9 1 1691.1
na 15 4 cong unrel 1 1 8 k 8 j 1 4441.5 0 849.8
na 15 5 incong rel 1 1 4 b 2 b 0 876.0 1 572.4
na 15 6 cong rel 1 1 4 j 4 j 0 905.3 1 1970.2
na 15 7 incong unrel 1 1 2 k 4 j 1 998.9 0 2043.7
na 15 8 cong unrel 1 1 4 k 4 m 0 2267.8 1 1524.0
na 15 9 incong unrel 1 1 4 m 8 k 0 1818.5 0 1298.8
na 15 10 cong unrel 1 1 4 k 4 b 0 1621.1 0 1036.6
na 15 11 cong rel 1 1 2 b 2 b 1 1754.6 1 737.9
na 15 12 incong rel 1 1 6 m 2 m 0 1004.8 0 1026.0
na 15 13 incong rel 1 1 6 j 8 j 1 1434.1 0 507.2
na 15 14 cong rel 1 1 6 k 6 k 1 1123.2 1 231.4
na 15 15 incong rel 1 1 6 j 4 j 1 955.8 0 327.8
na 15 16 cong unrel 1 1 4 k 4 b 0 1179.0 0 351.3
na 15 17 cong rel 1 1 6 m 6 m 1 734.2 0 479.1
na 15 18 incong rel 1 1 8 j 4 j 1 827.1 0 402.6
na 15 19 incong unrel 1 1 2 b 4 k 0 2093.4 1 482.1
na 15 20 cong rel 1 1 4 k 4 k 1 942.2 1 256.3
na 15 21 cong unrel 1 1 8 j 8 m 0 1625.2 1 388.8
na 15 22 incong rel 1 1 8 m 6 m 1 1078.1 1 528.5
na 15 23 incong rel 1 1 8 m 6 m 1 722.0 1 294.8
na 15 24 incong unrel 1 1 4 j 6 b 0 2212.1 0 426.6
na 15 25 cong rel 1 1 6 b 6 b 1 786.7 1 214.2
na 15 26 cong rel 1 1 2 j 2 j 1 565.2 1 213.2
na 15 27 incong rel 1 1 4 b 6 b 1 1120.4 0 297.1
na 15 28 cong unrel 1 1 2 j 2 m 1 1885.6 1 330.9
na 15 29 cong unrel 1 1 6 m 6 b 1 1445.4 0 848.3
na 15 30 cong unrel 1 1 4 j 4 m 0 1025.2 1 430.4
na 15 31 cong rel 1 1 8 j 8 j 1 3193.3 1 784.4
na 15 32 incong rel 1 1 6 b 4 b 1 1029.8 0 233.2
na 15 33 incong rel 1 1 2 m 4 m 1 2486.0 0 242.0
na 15 34 cong unrel 1 1 8 j 8 k 0 836.7 1 237.5
na 15 35 cong rel 1 1 8 k 8 k 1 742.3 1 182.3
na 15 36 incong rel 1 1 6 m 2 m 1 1381.0 0 151.1
na 15 37 cong rel 1 1 6 b 6 b 1 1585.3 0 218.7
na 15 38 incong unrel 1 1 2 k 6 m 0 1192.9 1 282.7
na 15 39 cong unrel 1 1 6 b 6 j 1 1206.2 1 763.7
na 15 40 incong rel 1 1 2 b 4 b 0 1463.7 1 275.4
na 15 41 cong unrel 1 1 2 k 2 j 0 1367.6 0 607.3
na 15 42 cong unrel 1 1 4 b 4 m 0 3089.3 0 399.1
na 15 43 cong unrel 1 1 4 b 4 k 0 989.5 0 201.4
na 15 44 cong rel 1 1 8 b 8 b 0 943.9 0 206.6
na 15 45 cong unrel 1 1 6 j 6 k 0 1140.7 1 307.6
