ML 1 1 incong unrel 1 1 6 m 8 b 1 5267.5 0 103.6
ML 1 2 cong rel 1 1 6 k 6 k 1 4968.6 1 872
ML 1 3 cong rel 1 1 4 k 4 k 1 35837 0 7842.7
ML 1 4 incong rel 1 1 6 b 8 b 0 2527.1 1 872.1
ML 1 5 incong rel 1 1 4 k 2 k 1 2787.6 0 636
ML 1 6 incong unrel 1 1 4 b 6 j 0 2478.2 0 1107.6
ML 1 7 cong unrel 1 1 8 b 8 j 0 2538.6 1 517.2
ML 1 8 incong rel 1 1 4 k 8 k 1 3403.5 0 406.8
ML 1 9 cong rel 1 1 6 b 6 b 1 2067.8 1 491.6
ML 1 10 cong rel 1 1 2 b 2 b 1 1148.2 1 358
ML 1 11 incong unrel 1 1 6 m 4 j 0 1825.4 0 329.6
ML 1 12 cong rel 1 1 2 b 2 b 1 350.4 1 331.8
ML 1 13 incong rel 1 1 8 m 4 m 1 2143.7 0 506.2
ML 1 14 cong unrel 1 1 8 j 8 k 0 3832.4 1 472.9
ML 1 15 incong rel 1 1 6 j 8 j 1 2667.6 0 527.2
ML 1 16 cong unrel 1 1 2 j 2 b 1 1099.9 1 361.3
ML 1 17 incong unrel 1 1 4 m 2 b 0 1451.4 0 322.9
ML 1 18 cong unrel 1 1 2 k 2 m 0 2899.7 1 311.5
ML 1 19 incong rel 1 1 2 j 8 j 1 3255.8 0 308
ML 1 20 incong rel 1 1 6 b 2 b 1 2311.8 0 494.9
ML 1 21 incong unrel 1 1 6 b 2 j 0 1533.5 0 256.6
ML 1 22 cong rel 1 1 6 j 6 j 1 1141.9 1 354.1
ML 1 23 cong rel 1 1 4 b 4 b 1 814.6 1 257.7
ML 1 24 incong unrel 1 1 4 k 8 m 0 896.1 0 235.9
ML 1 25 cong rel 1 1 8 k 8 k 1 595.2 1 233.1
ML 1 26 cong unrel 1 1 8 k 8 b 0 1864.4 1 367.2
ML 1 27 incong unrel 1 1 6 j 4 b 0 1547.8 0 167.8
ML 1 28 incong unrel 1 1 2 k 4 m 0 1692.9 0 131
ML 1 29 cong rel 1 1 8 b 8 b 1 559.7 1 181.1
ML 1 30 cong rel 1 1 6 b 6 b 1 458.2 1 136.1
ML 1 31 cong rel 1 1 2 j 2 j 1 652.5 1 123.2
ML 1 32 incong rel 1 1 4 b 6 b 1 2330.5 0 328.4
ML 1 33 incong rel 1 1 8 m 6 m 1 1565.7 1 226.8
ML 1 34 cong unrel 1 1 6 j 6 m 0 1701.6 1 415.2
ML 1 35 cong rel 1 1 2 k 2 k 1 639 1 230.5
ML 1 36 incong unrel 1 1 4 j 8 b 0 900 0 133.3
ML 1 37 incong rel 1 1 6 k 4 k 1 2655.1 0 476.2
ML 1 38 cong rel 1 1 4 k 4 k 1 675.2 1 210.3
ML 1 39 cong rel 1 1 4 b 4 b 1 784.4 1 214.3
ML 1 40 incong unrel 1 1 2 j 8 k 0 1409.1 0 147.3
ML 1 41 incong unrel 1 1 8 m 4 k 1 2200.7 0 1175.6
ML 1 42 cong rel 1 1 4 b 4 b 1 1346.1 1 128.4
ML 1 43 cong unrel 1 1 6 b 6 k 0 1747.5 1 293.6
ML 1 44 incong unrel 1 1 6 k 2 j 0 1520.7 0 89.9
ML 1 45 incong unrel 1 1 4 k 6 m 0 813.4 0 51.4
ML 1 46 incong unrel 1 1 8 m 6 k 0 755.6 0 53.6
ML 1 47 incong unrel 1 1 6 m 8 b 0 658.7 0 46.7
ML 1 48 cong unrel 1 1 6 j 6 k 0 2591.6 1 175.8
ML 1 49 cong rel 1 1 8 k 8 k 1 1154.4 1 94.8
ML 1 50 cong rel 1 1 8 m 8 m 1 1466.8 1 125.7
ML 1 51 incong rel 1 1 2 b 4 b 1 2172.6 0 221.7
ML 1 52 cong unrel 1 1 4 b 4 m 0 1794.1 1 176.4
ML 1 53 incong rel 1 1 4 j 6 j 1 2858 0 235.7
ML 1 54 incong unrel 1 1 8 j 2 k 0 1443.2 0 82.4
ML 1 55 incong rel 1 1 4 j 8 j 1 1978.5 0 232.7
ML 1 56 cong unrel 1 1 2 m 2 k 0 1740.5 1 161.2
ML 1 57 cong rel 1 1 8 b 8 b 1 2430.6 1 113.2
ML 1 58 cong unrel 1 1 2 m 2 j 0 1598 1 135.8
ML 1 59 incong unrel 1 1 8 k 2 m 0 1902.9 0 111.5
ML 1 60 cong unrel 1 1 6 j 6 m 0 1953.5 1 169
ML 1 61 cong unrel 1 1 4 j 4 m 0 1480.7 0 211.8
ML 1 62 incong rel 1 1 8 j 6 j 1 1578.2 1 104.1
ML 1 63 incong unrel 1 1 8 j 4 b 0 1413.8 0 65.9
ML 1 64 incong rel 1 1 2 j 8 j 1 2459.8 0 319.6
ML 1 65 incong rel 1 1 4 m 2 m 1 2345.3 0 295.2
ML 1 66 incong unrel 1 1 4 b 2 j 0 2455.6 0 63.3
ML 1 67 incong unrel 1 1 8 b 6 j 0 1218.7 0 70.5
ML 1 68 cong unrel 1 1 8 j 8 b 0 3130.6 1 85.4
ML 1 69 incong rel 1 1 2 j 4 j 1 2179.1 0 215.5
ML 1 70 incong rel 1 1 2 j 6 j 1 2544.7 0 190.3
ML 1 71 incong rel 1 1 8 b 4 b 1 1946.1 0 188.9
ML 1 72 cong rel 1 1 8 j 8 j 1 794.5 1 75.3
ML 1 73 cong unrel 1 1 6 j 6 k 0 2350.2 1 245.3
ML 1 74 cong unrel 1 1 4 m 4 k 0 2564.6 1 135.6
ML 1 75 incong rel 1 1 6 b 2 b 1 2374.7 0 202.4
