"","idv","iv","dv","exp"
"340","201","cong",396.7,"Noel et al._2020_V"
"341","201","cong",287.27,"Noel et al._2020_AV"
"342","201","cong",364.48,"Noel et al._2020_A"
"345","201","cong",420.1,"Noel et al._2020_A"
"347","201","cong",353.12,"Noel et al._2020_AV"
"350","201","cong",416.3,"Noel et al._2020_AV"
"351","201","cong",323.61,"Noel et al._2020_V"
"352","201","cong",705.5,"Noel et al._2020_V"
"353","201","cong",467.1,"Noel et al._2020_A"
"354","201","cong",434,"Noel et al._2020_A"
"355","201","cong",384.32,"Noel et al._2020_AV"
"356","201","cong",319.21,"Noel et al._2020_A"
"357","201","incong",357.9,"Noel et al._2020_AV"
"358","201","incong",336.46,"Noel et al._2020_V"
"361","201","cong",516.2,"Noel et al._2020_V"
"363","201","cong",489,"Noel et al._2020_AV"
"365","201","cong",339.51,"Noel et al._2020_AV"
"366","201","cong",354.75,"Noel et al._2020_AV"
"367","201","cong",450.4,"Noel et al._2020_AV"
"368","201","incong",376.29,"Noel et al._2020_AV"
"369","201","cong",341.95,"Noel et al._2020_A"
"370","201","cong",370.29,"Noel et al._2020_V"
"372","201","cong",376.22,"Noel et al._2020_AV"
"374","201","cong",303.94,"Noel et al._2020_A"
"375","201","incong",269.29,"Noel et al._2020_AV"
"377","201","cong",416,"Noel et al._2020_AV"
"378","201","cong",284.46,"Noel et al._2020_A"
"379","201","cong",363.9,"Noel et al._2020_AV"
"380","201","cong",436.5,"Noel et al._2020_V"
"384","201","cong",397.7,"Noel et al._2020_V"
"385","201","cong",440.7,"Noel et al._2020_V"
"386","201","cong",476.9,"Noel et al._2020_A"
"390","201","cong",486.7,"Noel et al._2020_AV"
"391","201","cong",350.51,"Noel et al._2020_A"
"394","201","cong",377.04,"Noel et al._2020_A"
"396","201","cong",366.27,"Noel et al._2020_V"
"399","201","cong",311.48,"Noel et al._2020_AV"
"402","201","cong",371.89,"Noel et al._2020_AV"
"404","201","cong",337.25,"Noel et al._2020_AV"
"406","201","incong",329.74,"Noel et al._2020_A"
"407","201","incong",361.65,"Noel et al._2020_AV"
"408","201","cong",378.34,"Noel et al._2020_A"
"409","201","cong",448.2,"Noel et al._2020_AV"
"410","201","incong",297.2,"Noel et al._2020_A"
"412","201","cong",245.77,"Noel et al._2020_V"
"418","201","cong",344.25,"Noel et al._2020_V"
"419","201","incong",291.7,"Noel et al._2020_V"
"421","201","cong",248.28,"Noel et al._2020_A"
"422","201","incong",440.6,"Noel et al._2020_A"
"423","201","cong",305.38,"Noel et al._2020_V"
"426","201","cong",324.32,"Noel et al._2020_A"
"427","201","cong",418.9,"Noel et al._2020_A"
"428","201","incong",302.8,"Noel et al._2020_V"
"429","201","cong",356.09,"Noel et al._2020_V"
"430","201","cong",261.45,"Noel et al._2020_V"
"431","201","cong",316.61,"Noel et al._2020_AV"
"432","201","cong",353.59,"Noel et al._2020_A"
"437","201","cong",406,"Noel et al._2020_A"
"438","201","cong",398,"Noel et al._2020_A"
"439","201","cong",471.2,"Noel et al._2020_A"
"440","201","cong",529.2,"Noel et al._2020_AV"
"442","201","cong",347.91,"Noel et al._2020_AV"
"444","201","incong",349.15,"Noel et al._2020_A"
"445","201","cong",386.03,"Noel et al._2020_AV"
"446","201","cong",374.11,"Noel et al._2020_A"
"447","201","incong",416.4,"Noel et al._2020_V"
"450","201","cong",647.5,"Noel et al._2020_AV"
"453","201","cong",358.76,"Noel et al._2020_A"
"454","201","cong",558.7,"Noel et al._2020_A"
"456","201","cong",403.4,"Noel et al._2020_A"
"457","201","incong",439.1,"Noel et al._2020_V"
"458","201","incong",406.3,"Noel et al._2020_A"
"459","201","cong",349.53,"Noel et al._2020_AV"
"461","201","cong",418.4,"Noel et al._2020_V"
"462","201","cong",386.09,"Noel et al._2020_A"
"463","201","incong",395.4,"Noel et al._2020_A"
"464","201","cong",357.93,"Noel et al._2020_V"
"465","201","cong",404.5,"Noel et al._2020_V"
"466","201","incong",458.5,"Noel et al._2020_V"
"469","201","cong",386.18,"Noel et al._2020_AV"
"470","201","incong",418.2,"Noel et al._2020_A"
"471","201","cong",343.54,"Noel et al._2020_A"
"473","201","cong",427.1,"Noel et al._2020_A"
"474","201","cong",407.4,"Noel et al._2020_A"
"475","201","cong",391.5,"Noel et al._2020_AV"
"476","201","incong",386.82,"Noel et al._2020_AV"
"477","201","cong",404.4,"Noel et al._2020_V"
"478","201","cong",391.7,"Noel et al._2020_AV"
"479","201","cong",433.7,"Noel et al._2020_AV"
"480","201","cong",354.6,"Noel et al._2020_V"
"481","201","cong",392.2,"Noel et al._2020_A"
"482","201","cong",310.48,"Noel et al._2020_AV"
"483","201","cong",246.76,"Noel et al._2020_A"
"487","201","cong",333.91,"Noel et al._2020_V"
"488","201","cong",405.8,"Noel et al._2020_V"
"490","201","cong",352.01,"Noel et al._2020_V"
"491","201","cong",353,"Noel et al._2020_V"
"493","201","incong",317.15,"Noel et al._2020_V"
"494","201","cong",362.14,"Noel et al._2020_V"
"495","201","cong",456.7,"Noel et al._2020_V"
"496","201","cong",286.53,"Noel et al._2020_A"
"499","201","cong",286.49,"Noel et al._2020_AV"
"501","201","cong",326.69,"Noel et al._2020_V"
"502","201","cong",306.28,"Noel et al._2020_A"
"505","201","cong",451.5,"Noel et al._2020_V"
"506","201","cong",434,"Noel et al._2020_A"
"507","201","cong",351.46,"Noel et al._2020_A"
"510","201","cong",365.5,"Noel et al._2020_V"
"511","201","cong",267.05,"Noel et al._2020_A"
"512","201","cong",398,"Noel et al._2020_A"
"513","201","cong",441,"Noel et al._2020_AV"
"514","201","cong",399.6,"Noel et al._2020_A"
"515","201","cong",410.4,"Noel et al._2020_A"
"516","201","incong",342.43,"Noel et al._2020_AV"
"518","201","cong",360.57,"Noel et al._2020_AV"
"521","201","cong",290.36,"Noel et al._2020_AV"
"522","201","cong",457.9,"Noel et al._2020_V"
"523","201","incong",313.19,"Noel et al._2020_AV"
"525","201","cong",410.5,"Noel et al._2020_V"
"526","201","incong",383.16,"Noel et al._2020_A"
"527","201","incong",298.35,"Noel et al._2020_A"
"529","201","cong",326.29,"Noel et al._2020_AV"
"532","201","cong",356.75,"Noel et al._2020_AV"
"533","201","incong",340.29,"Noel et al._2020_V"
"534","201","cong",397.7,"Noel et al._2020_V"
"535","201","cong",443.6,"Noel et al._2020_A"
"539","201","cong",360.35,"Noel et al._2020_AV"
"542","201","incong",326.44,"Noel et al._2020_A"
"543","201","cong",260.77,"Noel et al._2020_A"
"544","201","cong",422.7,"Noel et al._2020_A"
"547","201","incong",455.5,"Noel et al._2020_V"
"548","201","cong",349.16,"Noel et al._2020_V"
"549","201","cong",364.23,"Noel et al._2020_A"
"550","201","cong",397.7,"Noel et al._2020_V"
"552","201","cong",410.2,"Noel et al._2020_A"
"556","201","incong",336.34,"Noel et al._2020_AV"
"559","201","incong",450.8,"Noel et al._2020_V"
"560","201","cong",376.12,"Noel et al._2020_AV"
"561","201","cong",313.32,"Noel et al._2020_AV"
"563","201","cong",301.92,"Noel et al._2020_V"
"564","201","cong",341.52,"Noel et al._2020_AV"
"565","201","cong",392.1,"Noel et al._2020_AV"
"566","201","cong",338.46,"Noel et al._2020_AV"
"567","201","cong",257.64,"Noel et al._2020_V"
"568","201","cong",324.52,"Noel et al._2020_AV"
"569","201","cong",431.8,"Noel et al._2020_A"
"570","201","cong",254.44,"Noel et al._2020_V"
"572","201","incong",373.36,"Noel et al._2020_AV"
"573","201","cong",425.6,"Noel et al._2020_V"
"574","201","incong",346.56,"Noel et al._2020_V"
"575","201","cong",379.46,"Noel et al._2020_V"
"576","201","cong",299.63,"Noel et al._2020_AV"
"578","201","cong",372.86,"Noel et al._2020_A"
"581","201","cong",314.95,"Noel et al._2020_AV"
"583","201","cong",352.17,"Noel et al._2020_A"
"584","201","cong",299.06,"Noel et al._2020_V"
"585","201","incong",330.68,"Noel et al._2020_V"
"586","201","incong",302.2,"Noel et al._2020_A"
"588","201","cong",411.2,"Noel et al._2020_A"
"591","201","cong",342.71,"Noel et al._2020_AV"
"592","201","cong",314.61,"Noel et al._2020_V"
"594","201","cong",310.44,"Noel et al._2020_V"
"595","201","cong",355.61,"Noel et al._2020_AV"
"598","201","cong",438.9,"Noel et al._2020_A"
"599","201","cong",483.1,"Noel et al._2020_A"
"600","201","cong",557.6,"Noel et al._2020_AV"
"601","201","cong",494.3,"Noel et al._2020_V"
"602","201","cong",379.23,"Noel et al._2020_V"
"606","201","cong",401.4,"Noel et al._2020_A"
"607","201","incong",496.6,"Noel et al._2020_A"
"608","201","cong",364.59,"Noel et al._2020_AV"
"609","201","incong",403.4,"Noel et al._2020_V"
"610","201","cong",653.5,"Noel et al._2020_V"
"614","201","cong",500.5,"Noel et al._2020_V"
"615","201","incong",345.42,"Noel et al._2020_V"
"619","201","cong",680.2,"Noel et al._2020_AV"
"621","201","incong",541.1,"Noel et al._2020_V"
"623","201","incong",511.3,"Noel et al._2020_A"
"624","201","cong",300.43,"Noel et al._2020_A"
"625","201","cong",415.8,"Noel et al._2020_V"
"626","201","cong",542.4,"Noel et al._2020_AV"
"627","201","cong",397.7,"Noel et al._2020_AV"
"629","201","incong",389.92,"Noel et al._2020_AV"
"630","201","cong",381.44,"Noel et al._2020_V"
"631","201","cong",364.37,"Noel et al._2020_A"
"632","201","cong",429.7,"Noel et al._2020_V"
"633","201","cong",382.56,"Noel et al._2020_AV"
"634","201","incong",447.5,"Noel et al._2020_AV"
"635","201","cong",391.2,"Noel et al._2020_V"
"636","201","cong",396.8,"Noel et al._2020_AV"
"640","201","incong",346.93,"Noel et al._2020_AV"
"641","201","cong",347.18,"Noel et al._2020_AV"
"644","201","cong",445,"Noel et al._2020_V"
"647","201","cong",403.6,"Noel et al._2020_AV"
"648","201","cong",372.43,"Noel et al._2020_A"
"650","201","cong",419.6,"Noel et al._2020_V"
"652","201","cong",416.4,"Noel et al._2020_A"
"653","201","cong",430.8,"Noel et al._2020_AV"
"654","201","cong",526.7,"Noel et al._2020_V"
"656","201","incong",308.27,"Noel et al._2020_A"
"658","201","cong",280.5,"Noel et al._2020_AV"
"660","201","cong",394.1,"Noel et al._2020_AV"
"661","201","cong",366.62,"Noel et al._2020_A"
"662","201","cong",310.16,"Noel et al._2020_A"
"663","201","incong",407.9,"Noel et al._2020_V"
"664","201","cong",410.5,"Noel et al._2020_V"
"665","201","cong",357.51,"Noel et al._2020_A"
"666","201","incong",286.87,"Noel et al._2020_AV"
"667","201","cong",321.56,"Noel et al._2020_V"
"669","201","cong",288.81,"Noel et al._2020_V"
"670","201","cong",311.7,"Noel et al._2020_AV"
"671","201","cong",307.69,"Noel et al._2020_V"
"672","201","cong",368.35,"Noel et al._2020_A"
"674","201","cong",367.47,"Noel et al._2020_AV"
"679","201","cong",289.28,"Noel et al._2020_A"
"680","201","cong",485.8,"Noel et al._2020_A"
"682","201","cong",328.08,"Noel et al._2020_A"
"683","201","cong",318.39,"Noel et al._2020_AV"
"685","201","cong",332.77,"Noel et al._2020_V"
"687","201","cong",337.18,"Noel et al._2020_V"
"689","201","cong",388.4,"Noel et al._2020_AV"
"690","201","incong",288.86,"Noel et al._2020_AV"
"693","201","cong",400.6,"Noel et al._2020_AV"
"694","201","cong",355.67,"Noel et al._2020_A"
"695","201","incong",323.92,"Noel et al._2020_V"
"696","201","cong",309.85,"Noel et al._2020_V"
"697","201","cong",286.55,"Noel et al._2020_V"
"698","201","incong",347.75,"Noel et al._2020_V"
"699","201","cong",326.46,"Noel et al._2020_A"
"701","201","cong",259.07,"Noel et al._2020_A"
"703","201","cong",339.75,"Noel et al._2020_V"
"705","201","cong",290.01,"Noel et al._2020_A"
"708","201","cong",259.91,"Noel et al._2020_V"
"709","201","cong",280.75,"Noel et al._2020_V"
"710","201","cong",257.11,"Noel et al._2020_AV"
"711","201","cong",387.68,"Noel et al._2020_V"
"713","201","incong",377.47,"Noel et al._2020_AV"
"715","201","cong",329.7,"Noel et al._2020_AV"
"716","201","cong",291.32,"Noel et al._2020_A"
"720","201","cong",288.42,"Noel et al._2020_A"
"721","201","incong",320.81,"Noel et al._2020_A"
"722","201","cong",326.06,"Noel et al._2020_A"
"723","201","cong",263.94,"Noel et al._2020_V"
"725","201","cong",293.9,"Noel et al._2020_V"
"727","201","cong",306.04,"Noel et al._2020_AV"
"728","201","cong",310.62,"Noel et al._2020_AV"
"730","201","cong",314.47,"Noel et al._2020_AV"
"737","201","incong",339.01,"Noel et al._2020_AV"
"739","201","incong",295.55,"Noel et al._2020_V"
"744","201","cong",423.4,"Noel et al._2020_V"
"745","201","cong",275.66,"Noel et al._2020_V"
"746","201","incong",282.69,"Noel et al._2020_V"
"747","201","cong",370.11,"Noel et al._2020_AV"
"748","201","cong",311.69,"Noel et al._2020_V"
"752","201","cong",345.24,"Noel et al._2020_V"
"755","201","incong",252.72,"Noel et al._2020_A"
"756","201","cong",337.9,"Noel et al._2020_A"
"761","201","cong",297.02,"Noel et al._2020_AV"
"762","201","cong",296.58,"Noel et al._2020_V"
"765","201","cong",255.2,"Noel et al._2020_A"
"768","201","cong",307.67,"Noel et al._2020_A"
"769","201","cong",251.17,"Noel et al._2020_AV"
"770","201","cong",355.83,"Noel et al._2020_A"
"774","201","cong",650.2,"Noel et al._2020_A"
"778","201","cong",428.3,"Noel et al._2020_AV"
"779","201","cong",354.83,"Noel et al._2020_AV"
"780","201","cong",387.64,"Noel et al._2020_AV"
"784","201","cong",342.81,"Noel et al._2020_AV"
"785","201","cong",384.4,"Noel et al._2020_A"
"788","201","cong",471.9,"Noel et al._2020_A"
"790","201","cong",252.97,"Noel et al._2020_A"
"792","201","cong",387.36,"Noel et al._2020_A"
"797","201","cong",632,"Noel et al._2020_A"
"800","201","cong",603.3,"Noel et al._2020_V"
"801","201","cong",341.35,"Noel et al._2020_AV"
"802","201","cong",437.6,"Noel et al._2020_AV"
"803","201","cong",535.8,"Noel et al._2020_V"
"804","201","cong",517.5,"Noel et al._2020_AV"
"805","201","cong",433.1,"Noel et al._2020_A"
"808","201","cong",337.83,"Noel et al._2020_A"
"811","201","cong",322.93,"Noel et al._2020_A"
"816","201","cong",323.98,"Noel et al._2020_AV"
"817","201","cong",473.2,"Noel et al._2020_V"
"819","201","cong",374.5,"Noel et al._2020_A"
"820","201","incong",293.75,"Noel et al._2020_A"
"823","201","cong",310.97,"Noel et al._2020_A"
"824","201","cong",291.64,"Noel et al._2020_V"
"825","201","cong",349.67,"Noel et al._2020_V"
"826","201","incong",330.2,"Noel et al._2020_A"
"827","201","cong",338.21,"Noel et al._2020_V"
"829","201","incong",351.7,"Noel et al._2020_AV"
"831","201","incong",411.2,"Noel et al._2020_V"
"833","201","cong",328.1,"Noel et al._2020_AV"
"838","201","cong",319.8,"Noel et al._2020_A"
"841","201","cong",334.91,"Noel et al._2020_V"
"842","201","cong",368,"Noel et al._2020_A"
"843","201","cong",315.51,"Noel et al._2020_A"
"846","201","cong",346.25,"Noel et al._2020_AV"
"847","201","cong",341.29,"Noel et al._2020_A"
"849","201","cong",394.2,"Noel et al._2020_V"
"851","201","incong",339.14,"Noel et al._2020_AV"
"852","201","cong",345.64,"Noel et al._2020_A"
"854","201","cong",315.95,"Noel et al._2020_AV"
"855","201","cong",252.15,"Noel et al._2020_V"
"859","201","cong",377.67,"Noel et al._2020_A"
"860","201","incong",269.25,"Noel et al._2020_AV"
"861","201","cong",329.62,"Noel et al._2020_V"
"862","201","incong",285.03,"Noel et al._2020_V"
"863","201","cong",297.39,"Noel et al._2020_AV"
"864","201","incong",330.33,"Noel et al._2020_A"
"868","201","incong",361.09,"Noel et al._2020_AV"
"869","201","cong",389.13,"Noel et al._2020_V"
"871","201","cong",338.31,"Noel et al._2020_A"
"874","201","cong",408.6,"Noel et al._2020_A"
"876","201","cong",373.75,"Noel et al._2020_V"
"884","201","cong",408,"Noel et al._2020_V"
"886","201","cong",298.43,"Noel et al._2020_A"
"892","201","incong",380.87,"Noel et al._2020_AV"
"895","201","cong",284.94,"Noel et al._2020_V"
"896","201","cong",347.85,"Noel et al._2020_AV"
"897","201","cong",282.97,"Noel et al._2020_V"
"899","201","incong",395.2,"Noel et al._2020_V"
"900","201","incong",299.24,"Noel et al._2020_V"
"901","201","cong",301.34,"Noel et al._2020_A"
"905","201","cong",332.28,"Noel et al._2020_AV"
"906","201","cong",312.27,"Noel et al._2020_A"
"908","201","cong",330.72,"Noel et al._2020_A"
"910","201","cong",565.8,"Noel et al._2020_V"
"911","201","cong",365.71,"Noel et al._2020_AV"
"912","201","cong",389.15,"Noel et al._2020_AV"
"914","201","incong",326.02,"Noel et al._2020_AV"
"919","201","cong",289.85,"Noel et al._2020_AV"
"920","201","cong",408.7,"Noel et al._2020_AV"
"921","201","cong",354.34,"Noel et al._2020_V"
"923","201","cong",269.93,"Noel et al._2020_V"
"924","201","cong",482,"Noel et al._2020_A"
"925","201","cong",548.1,"Noel et al._2020_AV"
"927","201","cong",380.61,"Noel et al._2020_A"
"928","201","incong",328.72,"Noel et al._2020_V"
"930","201","cong",392,"Noel et al._2020_V"
"931","201","cong",367.73,"Noel et al._2020_A"
"932","201","incong",391.7,"Noel et al._2020_V"
"933","201","cong",261.25,"Noel et al._2020_A"
"935","201","cong",318.46,"Noel et al._2020_A"
"936","201","incong",406.8,"Noel et al._2020_A"
"938","201","cong",337.68,"Noel et al._2020_A"
"940","201","cong",284.65,"Noel et al._2020_V"
"941","201","cong",635.2,"Noel et al._2020_V"
"945","201","cong",298.67,"Noel et al._2020_A"
"947","201","incong",317.73,"Noel et al._2020_A"
"948","201","cong",284.36,"Noel et al._2020_A"
"949","201","cong",354.03,"Noel et al._2020_V"
"950","201","cong",367.26,"Noel et al._2020_AV"
"953","201","cong",573.1,"Noel et al._2020_A"
"954","201","cong",255.37,"Noel et al._2020_AV"
"955","201","cong",277.95,"Noel et al._2020_AV"
"959","201","cong",460.8,"Noel et al._2020_A"
"960","201","cong",258.35,"Noel et al._2020_A"
"961","201","cong",363.81,"Noel et al._2020_AV"
"963","201","cong",274.69,"Noel et al._2020_A"
"964","201","incong",375.77,"Noel et al._2020_AV"
"967","201","cong",307.86,"Noel et al._2020_V"
"971","201","cong",379.23,"Noel et al._2020_A"
"972","201","incong",413.4,"Noel et al._2020_A"
"973","201","incong",325.76,"Noel et al._2020_V"
"974","201","cong",266.7,"Noel et al._2020_V"
"975","201","cong",392.7,"Noel et al._2020_A"
"977","201","incong",292.21,"Noel et al._2020_V"
"979","201","cong",405.1,"Noel et al._2020_AV"
"980","201","incong",345.98,"Noel et al._2020_AV"
"981","201","cong",323.16,"Noel et al._2020_AV"
"986","201","cong",272.02,"Noel et al._2020_V"
"987","201","cong",373.94,"Noel et al._2020_A"
"988","201","cong",342.55,"Noel et al._2020_V"
"989","201","cong",308.17,"Noel et al._2020_V"
"991","201","incong",286.44,"Noel et al._2020_AV"
"992","201","cong",296.61,"Noel et al._2020_A"
"993","201","cong",485.4,"Noel et al._2020_AV"
"994","201","cong",328.17,"Noel et al._2020_A"
"997","201","cong",357.79,"Noel et al._2020_V"
"999","201","incong",329.93,"Noel et al._2020_A"
"1000","201","cong",341.24,"Noel et al._2020_AV"
"1001","201","cong",286.72,"Noel et al._2020_V"
"1002","201","cong",314.69,"Noel et al._2020_AV"
"1003","201","cong",265.1,"Noel et al._2020_AV"
"1005","201","incong",283.5,"Noel et al._2020_V"
"1008","201","cong",341.05,"Noel et al._2020_AV"
"1009","201","cong",676.3,"Noel et al._2020_A"
"1015","201","cong",347.06,"Noel et al._2020_AV"
"1017","201","cong",324.15,"Noel et al._2020_AV"
"1018","201","cong",298.77,"Noel et al._2020_V"
"1019","201","cong",377.33,"Noel et al._2020_V"
"1021","201","cong",303.51,"Noel et al._2020_V"
"1023","201","cong",453.4,"Noel et al._2020_A"
"1024","201","cong",346.34,"Noel et al._2020_A"
"1027","201","cong",416.6,"Noel et al._2020_A"
"1031","201","cong",282.62,"Noel et al._2020_A"
"1032","201","cong",295.85,"Noel et al._2020_V"
"1033","201","cong",364.5,"Noel et al._2020_AV"
"1034","201","incong",250.08,"Noel et al._2020_V"
"1037","201","cong",262.98,"Noel et al._2020_A"
"1039","201","cong",305.75,"Noel et al._2020_AV"
"1040","201","cong",315.47,"Noel et al._2020_V"
"1041","201","incong",294.81,"Noel et al._2020_V"
"1042","201","cong",295.68,"Noel et al._2020_AV"
"1043","201","cong",320.62,"Noel et al._2020_AV"
"1044","201","cong",289.63,"Noel et al._2020_A"
"1045","201","cong",251.64,"Noel et al._2020_V"
"1046","201","cong",291.68,"Noel et al._2020_A"
"1050","201","cong",306.25,"Noel et al._2020_V"
"1051","201","incong",370.23,"Noel et al._2020_AV"
"1052","201","cong",273.61,"Noel et al._2020_V"
"1053","201","cong",370.66,"Noel et al._2020_V"
"1054","201","cong",319.65,"Noel et al._2020_V"
"1055","201","cong",358.35,"Noel et al._2020_V"
"1056","201","cong",676.6,"Noel et al._2020_AV"
"1058","201","incong",260.31,"Noel et al._2020_V"
"1059","201","cong",283.32,"Noel et al._2020_AV"
"1060","201","cong",328.96,"Noel et al._2020_A"
"1061","201","cong",504.8,"Noel et al._2020_A"
"1062","201","cong",339.79,"Noel et al._2020_V"
"1063","201","incong",345.4,"Noel et al._2020_AV"
"1065","201","incong",434.6,"Noel et al._2020_A"
"1068","201","incong",330.76,"Noel et al._2020_AV"
"1071","201","cong",514.6,"Noel et al._2020_V"
