idv,iv,dv,exp
1 aag,unrel,1163.6,Faivre et al._2014_4_incong
1 aag,rel,1314.8,Faivre et al._2014_4_incong
1 aag,rel,962.1,Faivre et al._2014_4_incong
1 aag,rel,926.3,Faivre et al._2014_4_incong
1 aag,rel,677.4,Faivre et al._2014_4_cong
1 aag,unrel,850.7,Faivre et al._2014_4_cong
1 aag,rel,772.4,Faivre et al._2014_4_incong
1 aag,unrel,943.4,Faivre et al._2014_4_incong
1 aag,rel,916.9,Faivre et al._2014_4_cong
1 aag,unrel,643.7,Faivre et al._2014_4_cong
1 aag,unrel,626.6,Faivre et al._2014_4_cong
1 aag,unrel,942.2,Faivre et al._2014_4_incong
1 aag,rel,596.5,Faivre et al._2014_4_incong
1 aag,rel,532.1,Faivre et al._2014_4_incong
1 aag,unrel,1043.7,Faivre et al._2014_4_incong
1 aag,unrel,599.2,Faivre et al._2014_4_cong
1 aag,unrel,721.9,Faivre et al._2014_4_cong
1 aag,unrel,707.6,Faivre et al._2014_4_incong
1 aag,rel,455.6,Faivre et al._2014_4_cong
1 aag,rel,569.5,Faivre et al._2014_4_cong
1 aag,rel,987.3,Faivre et al._2014_4_cong
1 aag,rel,2668.7,Faivre et al._2014_4_cong
1 aag,unrel,803.8,Faivre et al._2014_4_incong
1 aag,unrel,797.6,Faivre et al._2014_4_cong
1 aag,rel,696.3,Faivre et al._2014_4_incong
1 aag,rel,584.5,Faivre et al._2014_4_cong
1 aag,unrel,796.2,Faivre et al._2014_4_cong
1 aag,rel,2589.8,Faivre et al._2014_4_cong
1 aag,unrel,474.6,Faivre et al._2014_4_cong
1 aag,unrel,951.3,Faivre et al._2014_4_incong
1 aag,rel,540.6,Faivre et al._2014_4_cong
1 aag,unrel,525.9,Faivre et al._2014_4_cong
1 aag,rel,1499.4,Faivre et al._2014_4_incong
1 aag,rel,2943.8,Faivre et al._2014_4_incong
1 aag,unrel,642.3,Faivre et al._2014_4_cong
1 aag,rel,800.4,Faivre et al._2014_4_incong
1 aag,rel,681,Faivre et al._2014_4_incong
1 aag,rel,452.8,Faivre et al._2014_4_incong
1 aag,rel,871.1,Faivre et al._2014_4_incong
1 aag,rel,1167.9,Faivre et al._2014_4_cong
