idv,iv,dv,exp
201,2,1.797337365,Biderman & Mudrik_2018_3
201,2,1.764473662,Biderman & Mudrik_2018_3
201,2,1.505521759,Biderman & Mudrik_2018_3
201,2,1.098783833,Biderman & Mudrik_2018_3
201,2,0.878221953,Biderman & Mudrik_2018_3
201,1,0.950486632,Biderman & Mudrik_2018_3
201,1,0.921184646,Biderman & Mudrik_2018_3
201,2,1.862819872,Biderman & Mudrik_2018_3
201,2,1.777709576,Biderman & Mudrik_2018_3
201,2,1.595900647,Biderman & Mudrik_2018_3
201,2,1.283563758,Biderman & Mudrik_2018_3
201,1,1.583384318,Biderman & Mudrik_2018_3
201,1,1.43305295,Biderman & Mudrik_2018_3
201,2,1.278097308,Biderman & Mudrik_2018_3
201,1,2.57498422,Biderman & Mudrik_2018_3
201,1,1.326600862,Biderman & Mudrik_2018_3
201,1,1.942576045,Biderman & Mudrik_2018_3
201,2,2.145152866,Biderman & Mudrik_2018_3
201,1,1.497558144,Biderman & Mudrik_2018_3
201,2,1.523129065,Biderman & Mudrik_2018_3
201,2,1.490135073,Biderman & Mudrik_2018_3
201,2,1.77523693,Biderman & Mudrik_2018_3
201,2,1.163539343,Biderman & Mudrik_2018_3
201,1,1.119379241,Biderman & Mudrik_2018_3
201,1,1.373072816,Biderman & Mudrik_2018_3
201,2,1.847246733,Biderman & Mudrik_2018_3
201,1,1.483141929,Biderman & Mudrik_2018_3
201,2,1.165286132,Biderman & Mudrik_2018_3
201,1,1.15309795,Biderman & Mudrik_2018_3
201,2,1.33423576,Biderman & Mudrik_2018_3
201,1,1.155404384,Biderman & Mudrik_2018_3
201,2,1.421221994,Biderman & Mudrik_2018_3
201,2,1.245308586,Biderman & Mudrik_2018_3
201,1,1.930492779,Biderman & Mudrik_2018_3
201,1,1.691708923,Biderman & Mudrik_2018_3
201,2,2.511032684,Biderman & Mudrik_2018_3
201,1,2.0099764,Biderman & Mudrik_2018_3
201,2,1.386663105,Biderman & Mudrik_2018_3
201,2,1.43233308,Biderman & Mudrik_2018_3
201,1,1.466048652,Biderman & Mudrik_2018_3
201,2,1.586619884,Biderman & Mudrik_2018_3
201,1,1.254927474,Biderman & Mudrik_2018_3
201,1,1.368452533,Biderman & Mudrik_2018_3
201,2,2.606164139,Biderman & Mudrik_2018_3
201,1,1.357307521,Biderman & Mudrik_2018_3
201,2,1.744591282,Biderman & Mudrik_2018_3
201,1,1.902347432,Biderman & Mudrik_2018_3
201,1,1.003977388,Biderman & Mudrik_2018_3
201,2,1.054417892,Biderman & Mudrik_2018_3
201,2,1.2758707,Biderman & Mudrik_2018_3
201,1,1.521768297,Biderman & Mudrik_2018_3
201,1,1.445649391,Biderman & Mudrik_2018_3
201,1,1.147903482,Biderman & Mudrik_2018_3
201,2,2.406657813,Biderman & Mudrik_2018_3
201,2,2.271955748,Biderman & Mudrik_2018_3
201,1,0.935937847,Biderman & Mudrik_2018_3
201,1,1.196046674,Biderman & Mudrik_2018_3
201,1,1.309824044,Biderman & Mudrik_2018_3
201,2,2.288717457,Biderman & Mudrik_2018_3
201,1,2.863734178,Biderman & Mudrik_2018_3
201,1,1.559788834,Biderman & Mudrik_2018_3
201,2,1.772162444,Biderman & Mudrik_2018_3
201,2,2.443946792,Biderman & Mudrik_2018_3
201,2,1.539428346,Biderman & Mudrik_2018_3
201,2,1.200819768,Biderman & Mudrik_2018_3
201,2,2.253472339,Biderman & Mudrik_2018_3
201,1,1.989131247,Biderman & Mudrik_2018_3
201,1,1.455714171,Biderman & Mudrik_2018_3
201,2,1.843637404,Biderman & Mudrik_2018_3
201,1,1.474036785,Biderman & Mudrik_2018_3
201,1,2.737760073,Biderman & Mudrik_2018_3
201,1,1.648146385,Biderman & Mudrik_2018_3
201,2,2.655275806,Biderman & Mudrik_2018_3
201,2,0.914324072,Biderman & Mudrik_2018_3
201,1,1.604882914,Biderman & Mudrik_2018_3
201,1,1.150342487,Biderman & Mudrik_2018_3
201,2,1.196180384,Biderman & Mudrik_2018_3
201,1,1.83050156,Biderman & Mudrik_2018_3
201,1,1.688244424,Biderman & Mudrik_2018_3
201,2,1.426687874,Biderman & Mudrik_2018_3
201,2,1.735532325,Biderman & Mudrik_2018_3
