idv,iv,dv,exp
1 AH,rel,889.6,Faivre et al._2014_1_cong
1 AH,rel,553.7,Faivre et al._2014_1_cong
1 AH,rel,903.6,Faivre et al._2014_1_incong
1 AH,unrel,609.4,Faivre et al._2014_1_cong
1 AH,rel,563.4,Faivre et al._2014_1_cong
1 AH,rel,1369.1,Faivre et al._2014_1_incong
1 AH,unrel,565,Faivre et al._2014_1_incong
1 AH,unrel,707.4,Faivre et al._2014_1_incong
1 AH,rel,955,Faivre et al._2014_1_incong
1 AH,unrel,553.3,Faivre et al._2014_1_cong
1 AH,rel,999.2,Faivre et al._2014_1_incong
1 AH,unrel,494.1,Faivre et al._2014_1_cong
1 AH,rel,392.8,Faivre et al._2014_1_cong
1 AH,rel,868.9,Faivre et al._2014_1_incong
1 AH,unrel,461.5,Faivre et al._2014_1_cong
1 AH,unrel,551.4,Faivre et al._2014_1_cong
1 AH,unrel,622.1,Faivre et al._2014_1_incong
1 AH,unrel,638.5,Faivre et al._2014_1_incong
1 AH,unrel,463.7,Faivre et al._2014_1_cong
1 AH,rel,647.7,Faivre et al._2014_1_incong
1 AH,unrel,498.4,Faivre et al._2014_1_cong
1 AH,rel,601.1,Faivre et al._2014_1_incong
1 AH,unrel,606.3,Faivre et al._2014_1_cong
1 AH,unrel,561.1,Faivre et al._2014_1_cong
1 AH,unrel,546.6,Faivre et al._2014_1_cong
1 AH,unrel,561,Faivre et al._2014_1_incong
1 AH,unrel,513.8,Faivre et al._2014_1_incong
1 AH,rel,506.4,Faivre et al._2014_1_cong
1 AH,unrel,660.8,Faivre et al._2014_1_incong
1 AH,rel,612.2,Faivre et al._2014_1_incong
1 AH,rel,673,Faivre et al._2014_1_incong
1 AH,unrel,558.5,Faivre et al._2014_1_cong
1 AH,rel,360.8,Faivre et al._2014_1_cong
1 AH,rel,474.6,Faivre et al._2014_1_cong
1 AH,rel,651,Faivre et al._2014_1_incong
1 AH,rel,782.1,Faivre et al._2014_1_cong
1 AH,unrel,868.5,Faivre et al._2014_1_cong
1 AH,unrel,1077.6,Faivre et al._2014_1_incong
1 AH,unrel,649.8,Faivre et al._2014_1_incong
1 AH,unrel,731.1,Faivre et al._2014_1_cong
1 AH,rel,649.9,Faivre et al._2014_1_cong
1 AH,rel,597.2,Faivre et al._2014_1_cong
1 AH,rel,417.1,Faivre et al._2014_1_cong
1 AH,unrel,541,Faivre et al._2014_1_cong
1 AH,rel,554.1,Faivre et al._2014_1_incong
1 AH,unrel,616.6,Faivre et al._2014_1_cong
1 AH,rel,692.2,Faivre et al._2014_1_incong
1 AH,unrel,450.1,Faivre et al._2014_1_incong
1 AH,unrel,553.6,Faivre et al._2014_1_incong
1 AH,rel,668.8,Faivre et al._2014_1_cong
1 AH,rel,431.7,Faivre et al._2014_1_cong
1 AH,unrel,876.7,Faivre et al._2014_1_incong
1 AH,unrel,615.6,Faivre et al._2014_1_incong
1 AH,unrel,455.7,Faivre et al._2014_1_incong
1 AH,unrel,521.1,Faivre et al._2014_1_incong
1 AH,rel,584.4,Faivre et al._2014_1_incong
1 AH,unrel,485.2,Faivre et al._2014_1_incong
1 AH,unrel,542.5,Faivre et al._2014_1_cong
1 AH,rel,823.6,Faivre et al._2014_1_incong
1 AH,unrel,536.2,Faivre et al._2014_1_cong
1 AH,unrel,390.2,Faivre et al._2014_1_cong
1 AH,rel,1002.8,Faivre et al._2014_1_incong
1 AH,rel,474.6,Faivre et al._2014_1_cong
1 AH,rel,617.3,Faivre et al._2014_1_incong
1 AH,rel,722.6,Faivre et al._2014_1_incong
1 AH,unrel,500.5,Faivre et al._2014_1_incong
1 AH,unrel,630.2,Faivre et al._2014_1_incong
1 AH,unrel,424.1,Faivre et al._2014_1_cong
1 AH,unrel,622,Faivre et al._2014_1_incong
1 AH,unrel,486.2,Faivre et al._2014_1_cong
1 AH,rel,443.4,Faivre et al._2014_1_cong
1 AH,unrel,449.7,Faivre et al._2014_1_cong
1 AH,unrel,373.6,Faivre et al._2014_1_cong
1 AH,unrel,695.5,Faivre et al._2014_1_incong
1 AH,unrel,515.5,Faivre et al._2014_1_incong
1 AH,rel,517.5,Faivre et al._2014_1_incong
1 AH,unrel,438.9,Faivre et al._2014_1_incong
1 AH,rel,465,Faivre et al._2014_1_cong
1 AH,rel,461.2,Faivre et al._2014_1_incong
1 AH,rel,428.5,Faivre et al._2014_1_cong
1 AH,rel,489,Faivre et al._2014_1_cong
10 VS,rel,1153.5,Faivre et al._2014_1_cong
10 VS,rel,1147.1,Faivre et al._2014_1_incong
10 VS,rel,1527.5,Faivre et al._2014_1_incong
10 VS,unrel,2138.7,Faivre et al._2014_1_cong
10 VS,rel,859.5,Faivre et al._2014_1_cong
10 VS,rel,1499,Faivre et al._2014_1_cong
10 VS,unrel,1054.1,Faivre et al._2014_1_cong
10 VS,rel,2569.3,Faivre et al._2014_1_incong
10 VS,rel,843.4,Faivre et al._2014_1_incong
10 VS,unrel,1130.6,Faivre et al._2014_1_incong
10 VS,unrel,890.9,Faivre et al._2014_1_cong
10 VS,unrel,1734.2,Faivre et al._2014_1_incong
10 VS,rel,942.5,Faivre et al._2014_1_incong
10 VS,rel,1788.7,Faivre et al._2014_1_incong
10 VS,unrel,1824,Faivre et al._2014_1_cong
10 VS,unrel,2956.1,Faivre et al._2014_1_cong
10 VS,rel,2329.6,Faivre et al._2014_1_cong
10 VS,unrel,707.3,Faivre et al._2014_1_cong
10 VS,unrel,1339.6,Faivre et al._2014_1_incong
10 VS,rel,1181.4,Faivre et al._2014_1_cong
10 VS,rel,1281.4,Faivre et al._2014_1_incong
10 VS,rel,1454.2,Faivre et al._2014_1_incong
10 VS,unrel,1875.4,Faivre et al._2014_1_cong
10 VS,rel,1466.3,Faivre et al._2014_1_cong
10 VS,unrel,1199,Faivre et al._2014_1_incong
10 VS,unrel,1931.1,Faivre et al._2014_1_incong
10 VS,unrel,2839.5,Faivre et al._2014_1_incong
10 VS,unrel,943.2,Faivre et al._2014_1_incong
10 VS,unrel,1721.5,Faivre et al._2014_1_cong
10 VS,rel,1199.4,Faivre et al._2014_1_cong
10 VS,rel,518.1,Faivre et al._2014_1_cong
10 VS,rel,1137.8,Faivre et al._2014_1_incong
10 VS,unrel,2109.8,Faivre et al._2014_1_incong
10 VS,unrel,1225.1,Faivre et al._2014_1_incong
10 VS,rel,1101.9,Faivre et al._2014_1_incong
10 VS,unrel,782.2,Faivre et al._2014_1_cong
10 VS,unrel,1010.4,Faivre et al._2014_1_cong
10 VS,rel,1206.5,Faivre et al._2014_1_cong
10 VS,unrel,901,Faivre et al._2014_1_cong
10 VS,rel,1146.1,Faivre et al._2014_1_cong
10 VS,rel,834.9,Faivre et al._2014_1_cong
10 VS,rel,1139.1,Faivre et al._2014_1_cong
10 VS,unrel,1558.1,Faivre et al._2014_1_incong
10 VS,rel,999.1,Faivre et al._2014_1_cong
10 VS,rel,884.5,Faivre et al._2014_1_incong
10 VS,rel,875.7,Faivre et al._2014_1_incong
10 VS,unrel,1465.1,Faivre et al._2014_1_incong
10 VS,rel,1416.1,Faivre et al._2014_1_incong
10 VS,rel,1047.6,Faivre et al._2014_1_incong
10 VS,unrel,1120.5,Faivre et al._2014_1_incong
10 VS,rel,933.8,Faivre et al._2014_1_incong
10 VS,rel,703.3,Faivre et al._2014_1_incong
10 VS,rel,1576.1,Faivre et al._2014_1_cong
10 VS,unrel,1319.3,Faivre et al._2014_1_incong
10 VS,unrel,2232.7,Faivre et al._2014_1_cong
10 VS,unrel,933,Faivre et al._2014_1_cong
10 VS,rel,1872.2,Faivre et al._2014_1_incong
10 VS,rel,1506.5,Faivre et al._2014_1_incong
10 VS,unrel,1658.5,Faivre et al._2014_1_cong
10 VS,unrel,1778.1,Faivre et al._2014_1_incong
10 VS,rel,589,Faivre et al._2014_1_cong
10 VS,unrel,811.9,Faivre et al._2014_1_incong
10 VS,unrel,959.9,Faivre et al._2014_1_incong
10 VS,rel,1938,Faivre et al._2014_1_cong
10 VS,rel,1036.8,Faivre et al._2014_1_incong
10 VS,unrel,1581.8,Faivre et al._2014_1_cong
10 VS,rel,1088.8,Faivre et al._2014_1_incong
10 VS,rel,1763.1,Faivre et al._2014_1_cong
10 VS,rel,1338,Faivre et al._2014_1_cong
10 VS,unrel,989.9,Faivre et al._2014_1_cong
10 VS,rel,793.9,Faivre et al._2014_1_cong
10 VS,unrel,902.6,Faivre et al._2014_1_cong
10 VS,rel,1210.4,Faivre et al._2014_1_incong
10 VS,rel,991.9,Faivre et al._2014_1_incong
10 VS,unrel,1458.3,Faivre et al._2014_1_incong
10 VS,rel,1543.1,Faivre et al._2014_1_incong
10 VS,unrel,1108.4,Faivre et al._2014_1_incong
10 VS,unrel,1092.3,Faivre et al._2014_1_cong
10 VS,unrel,1045.2,Faivre et al._2014_1_incong
10 VS,unrel,1209.4,Faivre et al._2014_1_cong
10 VS,unrel,1218.5,Faivre et al._2014_1_incong
10 VS,rel,1150.7,Faivre et al._2014_1_cong
10 VS,unrel,1950.2,Faivre et al._2014_1_cong
10 VS,unrel,1165.8,Faivre et al._2014_1_cong
10 VS,rel,1884.4,Faivre et al._2014_1_cong
11 dc,rel,417.5,Faivre et al._2014_1_cong
11 dc,unrel,436.6,Faivre et al._2014_1_cong
11 dc,rel,429.7,Faivre et al._2014_1_incong
11 dc,unrel,422.1,Faivre et al._2014_1_cong
11 dc,unrel,348.9,Faivre et al._2014_1_cong
11 dc,rel,343.7,Faivre et al._2014_1_cong
11 dc,unrel,465.6,Faivre et al._2014_1_incong
11 dc,rel,665.4,Faivre et al._2014_1_incong
11 dc,unrel,333.3,Faivre et al._2014_1_cong
11 dc,unrel,641.4,Faivre et al._2014_1_incong
11 dc,unrel,434.1,Faivre et al._2014_1_incong
11 dc,unrel,426,Faivre et al._2014_1_cong
11 dc,rel,404.2,Faivre et al._2014_1_cong
11 dc,rel,304.3,Faivre et al._2014_1_cong
11 dc,rel,412,Faivre et al._2014_1_cong
11 dc,rel,718.5,Faivre et al._2014_1_incong
11 dc,unrel,1531.9,Faivre et al._2014_1_incong
11 dc,rel,504.9,Faivre et al._2014_1_cong
11 dc,unrel,388.4,Faivre et al._2014_1_incong
11 dc,rel,309.5,Faivre et al._2014_1_cong
11 dc,rel,329,Faivre et al._2014_1_cong
11 dc,rel,460.8,Faivre et al._2014_1_incong
11 dc,unrel,427,Faivre et al._2014_1_incong
11 dc,rel,311.9,Faivre et al._2014_1_incong
11 dc,unrel,412.5,Faivre et al._2014_1_incong
11 dc,rel,360.3,Faivre et al._2014_1_cong
11 dc,rel,310.5,Faivre et al._2014_1_cong
11 dc,rel,463.6,Faivre et al._2014_1_incong
11 dc,rel,518,Faivre et al._2014_1_incong
11 dc,unrel,357,Faivre et al._2014_1_incong
11 dc,rel,335,Faivre et al._2014_1_cong
11 dc,unrel,429,Faivre et al._2014_1_incong
11 dc,rel,477.5,Faivre et al._2014_1_incong
11 dc,unrel,389.2,Faivre et al._2014_1_incong
11 dc,unrel,510.8,Faivre et al._2014_1_incong
11 dc,rel,326.1,Faivre et al._2014_1_cong
11 dc,rel,348.2,Faivre et al._2014_1_incong
11 dc,unrel,326,Faivre et al._2014_1_incong
11 dc,unrel,667.6,Faivre et al._2014_1_cong
11 dc,unrel,400.1,Faivre et al._2014_1_incong
11 dc,rel,350.3,Faivre et al._2014_1_incong
11 dc,unrel,369.9,Faivre et al._2014_1_incong
11 dc,rel,313.7,Faivre et al._2014_1_incong
11 dc,rel,960.2,Faivre et al._2014_1_incong
11 dc,unrel,657.6,Faivre et al._2014_1_incong
11 dc,unrel,362.4,Faivre et al._2014_1_incong
11 dc,rel,398,Faivre et al._2014_1_cong
11 dc,unrel,300,Faivre et al._2014_1_cong
11 dc,rel,371.8,Faivre et al._2014_1_incong
