"","idv","iv","iv2","dv","exp"
"112",502,"CleanProc",1,568,"Yap_etal_2008"
"113",502,"DegradedProc",1,570,"Yap_etal_2008"
"114",502,"DegradedProc",1,571,"Yap_etal_2008"
"115",502,"CleanProc",1,578,"Yap_etal_2008"
"116",502,"DegradedProc",1,579,"Yap_etal_2008"
"117",502,"CleanProc",1,586,"Yap_etal_2008"
"118",502,"CleanProc",1,589,"Yap_etal_2008"
"119",502,"CleanProc",1,590,"Yap_etal_2008"
"120",502,"CleanProc",1,592,"Yap_etal_2008"
"121",502,"DegradedProc",1,592,"Yap_etal_2008"
"122",502,"DegradedProc",1,593,"Yap_etal_2008"
"123",502,"CleanProc",1,596,"Yap_etal_2008"
"124",502,"CleanProc",1,599,"Yap_etal_2008"
"125",502,"CleanProc",1,600,"Yap_etal_2008"
"126",502,"CleanProc",1,602,"Yap_etal_2008"
"127",502,"CleanProc",1,608,"Yap_etal_2008"
"128",502,"DegradedProc",1,609,"Yap_etal_2008"
"129",502,"DegradedProc",1,610,"Yap_etal_2008"
"130",502,"CleanProc",1,616,"Yap_etal_2008"
"131",502,"DegradedProc",1,626,"Yap_etal_2008"
"132",502,"DegradedProc",1,626,"Yap_etal_2008"
"133",502,"CleanProc",1,629,"Yap_etal_2008"
"134",502,"CleanProc",1,646,"Yap_etal_2008"
"135",502,"DegradedProc",1,650,"Yap_etal_2008"
"136",502,"DegradedProc",1,657,"Yap_etal_2008"
"137",502,"CleanProc",1,660,"Yap_etal_2008"
"138",502,"DegradedProc",1,674,"Yap_etal_2008"
"139",502,"DegradedProc",1,679,"Yap_etal_2008"
"140",502,"CleanProc",1,682,"Yap_etal_2008"
"141",502,"DegradedProc",1,683,"Yap_etal_2008"
"142",502,"DegradedProc",1,683,"Yap_etal_2008"
"143",502,"CleanProc",1,685,"Yap_etal_2008"
"144",502,"DegradedProc",1,703,"Yap_etal_2008"
"145",502,"DegradedProc",1,706,"Yap_etal_2008"
"146",502,"CleanProc",1,709,"Yap_etal_2008"
"147",502,"DegradedProc",1,719,"Yap_etal_2008"
"148",502,"CleanProc",1,727,"Yap_etal_2008"
"149",502,"DegradedProc",1,728,"Yap_etal_2008"
"150",502,"CleanProc",1,741,"Yap_etal_2008"
"151",502,"DegradedProc",1,742,"Yap_etal_2008"
"152",502,"DegradedProc",1,747,"Yap_etal_2008"
"153",502,"CleanProc",1,755,"Yap_etal_2008"
"154",502,"CleanProc",1,779,"Yap_etal_2008"
"155",502,"DegradedProc",1,781,"Yap_etal_2008"
"156",502,"CleanProc",1,782,"Yap_etal_2008"
"157",502,"CleanProc",1,785,"Yap_etal_2008"
"158",502,"DegradedProc",1,785,"Yap_etal_2008"
"159",502,"DegradedProc",1,786,"Yap_etal_2008"
"160",502,"DegradedProc",1,794,"Yap_etal_2008"
"161",502,"CleanProc",1,795,"Yap_etal_2008"
"162",502,"DegradedProc",1,802,"Yap_etal_2008"
"163",502,"DegradedProc",1,804,"Yap_etal_2008"
"164",502,"CleanProc",1,805,"Yap_etal_2008"
"165",502,"DegradedProc",1,811,"Yap_etal_2008"
"166",502,"DegradedProc",1,831,"Yap_etal_2008"
"167",502,"DegradedProc",1,842,"Yap_etal_2008"
"168",502,"DegradedProc",1,845,"Yap_etal_2008"
"169",502,"DegradedProc",1,849,"Yap_etal_2008"
"170",502,"DegradedProc",1,889,"Yap_etal_2008"
"171",502,"DegradedProc",1,922,"Yap_etal_2008"
"172",502,"DegradedProc",1,983,"Yap_etal_2008"
