"","idv","iv","dv","exp"
"123","3","typisch",513,"Estes_etal_2008"
"124","3","typisch",291,"Estes_etal_2008"
"125","3","typisch",450,"Estes_etal_2008"
"126","3","typisch",390,"Estes_etal_2008"
"127","3","typisch",442,"Estes_etal_2008"
"128","3","typisch",405,"Estes_etal_2008"
"129","3","typisch",468,"Estes_etal_2008"
"130","3","typisch",435,"Estes_etal_2008"
"131","3","typisch",383,"Estes_etal_2008"
"132","3","typisch",367,"Estes_etal_2008"
"133","3","typisch",469,"Estes_etal_2008"
"134","3","typisch",364,"Estes_etal_2008"
"135","3","untypisch",478,"Estes_etal_2008"
"136","3","untypisch",470,"Estes_etal_2008"
"137","3","untypisch",456,"Estes_etal_2008"
"138","3","untypisch",480,"Estes_etal_2008"
"139","3","untypisch",423,"Estes_etal_2008"
"140","3","untypisch",448,"Estes_etal_2008"
"141","3","untypisch",487,"Estes_etal_2008"
"142","3","untypisch",413,"Estes_etal_2008"
"143","3","untypisch",344,"Estes_etal_2008"
"144","3","untypisch",556,"Estes_etal_2008"
"145","3","untypisch",389,"Estes_etal_2008"
"146","3","untypisch",341,"Estes_etal_2008"
"147","3","untypisch",375,"Estes_etal_2008"
"148","3","untypisch",418,"Estes_etal_2008"
"149","3","untypisch",414,"Estes_etal_2008"
"150","3","untypisch",476,"Estes_etal_2008"
"151","3","untypisch",493,"Estes_etal_2008"
"152","3","untypisch",380,"Estes_etal_2008"
"153","3","untypisch",473,"Estes_etal_2008"
"154","3","untypisch",342,"Estes_etal_2008"
"155","3","untypisch",363,"Estes_etal_2008"
"156","3","untypisch",465,"Estes_etal_2008"
"157","3","untypisch",382,"Estes_etal_2008"
"158","3","untypisch",393,"Estes_etal_2008"
"159","3","untypisch",518,"Estes_etal_2008"
"160","3","untypisch",553,"Estes_etal_2008"
"161","3","untypisch",558,"Estes_etal_2008"
"162","3","untypisch",481,"Estes_etal_2008"
"163","3","untypisch",391,"Estes_etal_2008"
"164","3","untypisch",471,"Estes_etal_2008"
"165","3","typisch",413,"Estes_etal_2008"
"166","3","typisch",392,"Estes_etal_2008"
"167","3","typisch",380,"Estes_etal_2008"
"168","3","typisch",378,"Estes_etal_2008"
"169","3","typisch",453,"Estes_etal_2008"
"170","3","typisch",462,"Estes_etal_2008"
"171","3","typisch",406,"Estes_etal_2008"
"172","3","typisch",456,"Estes_etal_2008"
"173","3","typisch",390,"Estes_etal_2008"
"174","3","typisch",383,"Estes_etal_2008"
"175","3","typisch",499,"Estes_etal_2008"
"176","3","typisch",528,"Estes_etal_2008"
"177","3","typisch",409,"Estes_etal_2008"
"178","3","typisch",446,"Estes_etal_2008"
"179","3","typisch",426,"Estes_etal_2008"
"180","3","typisch",456,"Estes_etal_2008"
"181","4","typisch",373,"Estes_etal_2008"
"182","4","typisch",634,"Estes_etal_2008"
"183","4","typisch",449,"Estes_etal_2008"
"184","4","typisch",691,"Estes_etal_2008"
