Subject,ldtfreq,Procedure,word_NW,Target.ACC,Target.RT,border,z,,,
502,1,CleanProc,1,1,568,1,-0.767474206,,,
502,1,DegradedProc,1,1,570,1,-0.75982294,,,
502,1,DegradedProc,1,1,571,1,-0.755997306,,,
502,1,CleanProc,1,1,578,1,-0.729217873,,,
502,1,DegradedProc,1,1,579,1,-0.72539224,,,
502,1,CleanProc,1,1,586,1,-0.698612807,,,
502,1,CleanProc,1,1,589,1,-0.687135907,,,
502,1,CleanProc,1,1,590,1,-0.683310274,,,
502,1,CleanProc,1,1,592,1,-0.675659007,,,
502,1,DegradedProc,1,1,592,1,-0.675659007,,,
502,1,DegradedProc,1,1,593,1,-0.671833374,,,
502,1,CleanProc,1,1,596,1,-0.660356474,,,
502,1,CleanProc,1,1,599,1,-0.648879574,,,
502,1,CleanProc,1,1,600,1,-0.645053941,,,
502,1,CleanProc,1,1,602,1,-0.637402674,,,
502,1,CleanProc,1,1,608,1,-0.614448875,,,
502,1,DegradedProc,1,1,609,1,-0.610623241,,,
502,1,DegradedProc,1,1,610,1,-0.606797608,,,
502,1,CleanProc,1,1,616,1,-0.583843808,,,
502,1,DegradedProc,1,1,626,1,-0.545587475,,,
502,1,DegradedProc,1,1,626,1,-0.545587475,,,
502,1,CleanProc,1,1,629,1,-0.534110575,,,
502,1,CleanProc,1,1,646,1,-0.469074809,,,
502,1,DegradedProc,1,1,650,1,-0.453772276,,,
502,1,DegradedProc,1,1,657,1,-0.426992843,,,
502,1,CleanProc,1,1,660,1,-0.415515943,,,
502,1,DegradedProc,1,1,674,1,-0.361957077,,,
502,1,DegradedProc,1,1,679,1,-0.342828911,,,
502,1,CleanProc,1,1,682,1,-0.331352011,,,
502,1,DegradedProc,1,1,683,1,-0.327526378,,,
502,1,DegradedProc,1,1,683,1,-0.327526378,,,
502,1,CleanProc,1,1,685,1,-0.319875111,,,
502,1,DegradedProc,1,1,703,1,-0.251013712,,,
502,1,DegradedProc,1,1,706,1,-0.239536812,,,
502,1,CleanProc,1,1,709,1,-0.228059912,,,
502,1,DegradedProc,1,1,719,1,-0.189803579,,,
502,1,CleanProc,1,1,727,1,-0.159198513,,,
502,1,DegradedProc,1,1,728,1,-0.155372879,,,
502,1,CleanProc,1,1,741,1,-0.105639647,,,
502,1,DegradedProc,1,1,742,1,-0.101814013,,,
502,1,DegradedProc,1,1,747,1,-0.082685847,,,
502,1,CleanProc,1,1,755,1,-0.052080781,,,
502,1,CleanProc,1,1,779,1,0.039734419,,,
502,1,DegradedProc,1,1,781,1,0.047385685,,,
502,1,CleanProc,1,1,782,1,0.051211318,,,
502,1,CleanProc,1,1,785,1,0.062688218,,,
502,1,DegradedProc,1,1,785,1,0.062688218,,,
502,1,DegradedProc,1,1,786,1,0.066513852,,,
502,1,DegradedProc,1,1,794,1,0.097118918,,,
502,1,CleanProc,1,1,795,1,0.100944551,,,
502,1,DegradedProc,1,1,802,1,0.127723984,,,
502,1,DegradedProc,1,1,804,1,0.135375251,,,
502,1,CleanProc,1,1,805,1,0.139200884,,,
502,1,DegradedProc,1,1,811,1,0.162154684,,,
502,1,DegradedProc,1,1,831,1,0.23866735,,,
502,1,DegradedProc,1,1,842,1,0.280749316,,,
502,1,DegradedProc,1,1,845,1,0.292226216,,,
502,1,DegradedProc,1,1,849,1,0.307528749,,,
502,1,DegradedProc,1,1,889,1,0.460554081,,,
