"","Subject","correctResponseButton","responseHand","StimulusColor","SubTrial","ColorMasked","Confidence.RESP","correctRT","GrayMasked","leftMask","leftStimulus","Number","NumberResponse","Response.RESP","ResponseAccuracy","rightMask","rightStimulus","virhe","virhe.edellinen"
"501","2",5,"left","Red",1,1,4,230,0,1,1,"2",1,1,0,0,1,0,NA
"504","2",5,"left","Red",4,0,4,224,1,0,1,"1",1,1,1,1,0,0,0
"505","2",5,"left","Red",5,1,4,382,0,1,1,"2",1,1,0,0,1,0,0
"506","2",5,"left","Red",6,1,4,361,0,0,1,"2",1,1,0,1,1,0,0
"512","2",5,"left","Red",12,1,4,285,0,1,1,"2",1,1,0,0,1,0,0
"520","2",5,"left","Red",20,1,4,230,0,0,1,"2",1,1,0,1,1,0,0
"531","2",5,"left","Blue",11,1,4,270,0,0,1,"2",1,1,0,1,1,0,0
"532","2",5,"left","Blue",12,1,4,226,0,1,1,"2",1,1,0,0,1,0,0
"535","2",5,"left","Blue",15,1,4,270,0,0,1,"2",1,1,0,1,1,0,0
"536","2",5,"left","Blue",16,1,4,240,0,1,1,"2",1,1,0,0,1,0,0
"546","2",5,"left","Red",6,1,4,206,0,1,1,"2",1,1,0,0,1,0,0
"552","2",5,"left","Red",12,1,4,254,0,0,1,"2",1,1,0,1,1,0,0
"554","2",5,"left","Red",14,1,4,245,0,0,1,"2",1,1,0,1,1,0,0
"557","2",5,"left","Red",17,1,4,301,0,1,1,"2",1,1,0,0,1,0,0
"559","2",5,"left","Red",19,0,4,183,1,0,1,"1",1,1,1,1,0,0,0
"562","2",5,"left","Blue",2,1,4,231,0,0,1,"2",1,1,0,1,1,0,0
"568","2",5,"left","Blue",8,1,4,210,0,1,1,"2",1,1,0,0,1,0,0
"570","2",5,"left","Blue",10,1,4,220,0,0,1,"2",1,1,0,1,1,0,0
"571","2",5,"left","Blue",11,1,4,237,0,1,1,"2",1,1,0,0,1,0,0
"572","2",5,"left","Blue",12,1,4,298,0,1,1,"2",1,1,0,0,1,0,0
"577","2",5,"left","Blue",17,0,4,487,1,0,1,"1",1,1,1,1,0,0,0
"578","2",5,"left","Blue",18,0,4,587,1,1,0,"1",1,1,1,0,1,0,0
"579","2",5,"left","Blue",19,1,4,376,0,1,1,"2",1,1,0,0,1,0,0
"583","2",5,"left","Red",3,0,4,443,1,1,0,"1",1,1,1,0,1,0,0
"585","2",5,"left","Red",5,0,4,277,1,0,1,"1",1,1,1,1,0,0,0
"586","2",5,"left","Red",6,1,4,311,0,1,1,"2",1,1,0,0,1,0,0
"591","2",5,"left","Red",11,1,4,175,0,0,1,"2",1,1,0,1,1,0,0
"594","2",5,"left","Red",14,1,4,194,0,1,1,"2",1,1,0,0,1,0,0
"598","2",5,"left","Red",18,1,4,195,0,0,1,"2",1,1,0,1,1,0,0
"600","2",5,"left","Red",20,1,4,199,0,1,1,"2",1,1,0,0,1,0,0
"605","2",5,"left","Blue",5,1,4,216,0,1,1,"2",1,1,0,0,1,0,0
"606","2",5,"left","Blue",6,0,4,232,1,0,1,"1",1,1,1,1,0,0,0
"607","2",5,"left","Blue",7,0,4,287,1,1,0,"1",1,1,1,0,1,0,0
"608","2",5,"left","Blue",8,1,4,202,0,1,1,"2",1,1,0,0,1,0,0
"609","2",5,"left","Blue",9,1,4,254,0,1,1,"2",1,1,0,0,1,0,0
"611","2",5,"left","Blue",11,1,4,230,0,0,1,"2",1,1,0,1,1,0,0
"614","2",5,"left","Blue",14,1,4,217,0,0,1,"2",1,1,0,1,1,0,0
"617","2",5,"left","Blue",17,1,4,469,0,1,1,"2",1,1,0,0,1,0,0
"624","2",5,"left","Red",4,1,4,269,0,0,1,"2",1,1,0,1,1,0,0
"627","2",5,"left","Red",7,1,4,211,0,1,1,"2",1,1,0,0,1,0,1
"631","2",5,"left","Red",11,0,4,198,1,0,1,"1",1,1,1,1,0,0,0
"637","2",5,"left","Red",17,0,4,250,1,1,0,"1",1,1,1,0,1,0,0
"638","2",5,"left","Red",18,1,4,365,0,0,1,"2",1,1,0,1,1,0,0
