S#    Block   Trial       SOA   FlkPos  FlkCol  TarCol  OnLine    RT      MT    Distance
29E   	4   	18   	  350 	above 	green 	red 	Good 	0.521 	0.079 	8.382 	
29E   	4   	20   	  50 	above 	red 	green 	Good 	0.584 	0.101 	10.588 	
29E   	4   	21   	  650 	above 	red 	red 	Good 	0.457 	0.084 	8.676 	
29E   	4   	22   	  950 	below 	green 	green 	Good 	0.387 	0.083 	8.235 	
29E   	4   	23   	  950 	below 	red 	green 	Good 	0.391 	0.108 	8.529 	
29E   	4   	24   	  50 	below 	red 	red 	Good 	0.522 	0.069 	7.794 	
29E   	4   	25   	  350 	below 	green 	green 	Good 	0.465 	0.110 	12.647 	
29E   	4   	26   	  650 	below 	red 	green 	Good 	0.287 	0.066 	5.147 	
29E   	4   	28   	  650 	below 	green 	red 	Good 	0.389 	0.076 	9.853 	
29E   	4   	29   	  950 	below 	red 	red 	Good 	0.577 	0.074 	8.676 	
29E   	4   	30   	  50 	above 	green 	green 	Good 	0.541 	0.094 	11.176 	
29E   	4   	31   	  650 	below 	green 	green 	Good 	0.397 	0.098 	10.441 	
29E   	4   	32   	  350 	above 	red 	green 	Good 	0.508 	0.103 	11.765 	
29E   	5   	1   	  350 	above 	green 	red 	Good 	0.396 	0.077 	11.029 	
29E   	5   	3   	  50 	above 	red 	red 	Good 	0.470 	0.095 	11.471 	
29E   	5   	4   	  650 	above 	red 	green 	Good 	0.379 	0.097 	11.324 	
29E   	5   	5   	  350 	above 	red 	red 	Good 	0.356 	0.144 	12.206 	
29E   	5   	6   	  950 	below 	green 	green 	Good 	0.330 	0.104 	12.794 	
29E   	5   	7   	  650 	above 	green 	green 	Good 	0.346 	0.095 	12.059 	
29E   	5   	8   	  50 	below 	green 	green 	Good 	0.562 	0.102 	13.382 	
29E   	5   	10   	  650 	below 	green 	red 	Good 	0.332 	0.096 	10.294 	
29E   	5   	11   	  350 	below 	green 	green 	Good 	0.471 	0.100 	11.912 	
29E   	5   	12   	  650 	below 	red 	red 	Good 	0.394 	0.071 	8.824 	
29E   	5   	13   	  950 	above 	red 	red 	Good 	0.374 	0.071 	8.676 	
29E   	5   	14   	  50 	above 	green 	green 	Good 	0.546 	0.078 	11.029 	
29E   	5   	15   	  50 	below 	green 	red 	Good 	0.494 	0.074 	9.265 	
29E   	5   	16   	  950 	below 	green 	red 	Good 	0.450 	0.071 	7.794 	
29E   	5   	18   	  50 	above 	green 	red 	Good 	0.476 	0.106 	10.588 	
29E   	5   	19   	  350 	above 	green 	green 	Good 	0.329 	0.107 	14.412 	
29E   	5   	20   	  350 	below 	green 	red 	Good 	0.368 	0.084 	10.588 	
29E   	5   	21   	  950 	above 	green 	green 	Good 	0.356 	0.096 	11.618 	
29E   	5   	23   	  650 	below 	red 	green 	Good 	0.398 	0.098 	12.500 	
29E   	5   	24   	  350 	above 	red 	green 	Good 	0.400 	0.089 	12.794 	
29E   	5   	25   	  950 	below 	red 	red 	Good 	0.352 	0.070 	9.265 	
29E   	5   	26   	  650 	above 	green 	red 	Good 	0.296 	0.079 	10.147 	
29E   	5   	27   	  50 	below 	red 	green 	Good 	0.438 	0.099 	10.882 	
29E   	5   	28   	  50 	below 	red 	red 	Good 	0.432 	0.075 	9.265 	
29E   	5   	29   	  650 	above 	red 	red 	Good 	0.305 	0.057 	8.971 	
29E   	5   	31   	  950 	below 	red 	green 	Good 	0.743 	0.105 	13.382 	
29E   	5   	32   	  650 	below 	green 	green 	Good 	0.439 	0.102 	11.618 	
29E   	6   	1   	  650 	above 	green 	green 	Good 	0.398 	0.099 	16.029 	
29E   	6   	2   	  350 	above 	green 	red 	Good 	0.476 	0.079 	12.941 	
29E   	6   	3   	  350 	above 	green 	green 	Good 	0.496 	0.099 	13.676 	
29E   	6   	4   	  350 	above 	red 	red 	Good 	0.353 	0.105 	13.235 	
29E   	6   	5   	  650 	below 	red 	red 	Good 	0.411 	0.105 	14.118 	
29E   	6   	6   	  50 	above 	red 	red 	Good 	0.393 	0.140 	16.324 	
29E   	6   	8   	  650 	below 	green 	red 	Good 	0.426 	0.094 	9.118 	
29E   	6   	9   	  50 	above 	green 	green 	Good 	0.384 	0.089 	8.529 	
29E   	6   	10   	  950 	above 	green 	green 	Good 	0.388 	0.093 	9.706 	
29E   	6   	11   	  950 	above 	red 	green 	Good 	0.288 	0.098 	10.000 	
29E   	6   	12   	  650 	above 	red 	green 	Good 	0.366 	0.097 	9.853 	
29E   	6   	13   	  650 	above 	green 	red 	Good 	0.362 	0.076 	9.118 	
29E   	6   	14   	  950 	below 	red 	red 	Good 	0.381 	0.087 	8.971 	
29E   	6   	15   	  350 	below 	green 	red 	Good 	0.426 	0.074 	8.382 	
29E   	6   	16   	  650 	below 	green 	green 	Good 	0.391 	0.094 	10.441 	
