S#    Block   Trial       SOA   FlkPos  FlkCol  TarCol  OnLine    RT      MT    Distance
8E   	5   	10   	  50 	below 	green 	green 	Good 	0.454 	0.078 	7.353 	
8E   	5   	11   	  350 	below 	red 	green 	Good 	0.554 	0.079 	7.794 	
8E   	5   	13   	  650 	below 	red 	red 	Good 	0.301 	0.102 	8.971 	
8E   	5   	15   	  950 	above 	green 	green 	Good 	0.357 	0.069 	5.294 	
8E   	5   	16   	  650 	above 	green 	red 	Good 	0.348 	0.057 	2.500 	
8E   	5   	17   	  50 	above 	green 	red 	Good 	0.621 	0.094 	7.794 	
8E   	5   	19   	  650 	above 	green 	green 	Good 	0.366 	0.077 	7.647 	
8E   	5   	21   	  350 	above 	green 	red 	Good 	0.599 	0.094 	11.029 	
8E   	5   	23   	  350 	above 	green 	green 	Good 	0.398 	0.068 	7.206 	
8E   	5   	24   	  50 	above 	red 	red 	Good 	0.547 	0.095 	12.941 	
8E   	5   	25   	  50 	above 	red 	green 	Good 	0.762 	0.073 	9.265 	
8E   	5   	26   	  350 	below 	green 	green 	Good 	0.509 	0.068 	6.618 	
8E   	5   	27   	  50 	above 	green 	green 	Good 	1.110 	0.064 	6.471 	
8E   	5   	28   	  950 	above 	red 	green 	Good 	0.485 	0.074 	8.382 	
8E   	5   	29   	  950 	below 	red 	red 	Good 	0.384 	0.096 	10.588 	
8E   	5   	31   	  950 	above 	green 	red 	Good 	0.433 	0.089 	9.265 	
8E   	6   	1   	  650 	above 	green 	green 	Good 	0.380 	0.084 	15.588 	
8E   	6   	5   	  650 	below 	red 	red 	Good 	0.487 	0.081 	9.412 	
8E   	6   	6   	  50 	above 	green 	green 	Good 	0.579 	0.077 	8.235 	
8E   	6   	8   	  650 	below 	green 	red 	Good 	0.514 	0.082 	6.324 	
8E   	6   	9   	  950 	above 	red 	green 	Good 	0.421 	0.076 	7.794 	
8E   	6   	10   	  650 	below 	green 	green 	Good 	0.517 	0.078 	9.265 	
8E   	6   	11   	  50 	below 	red 	red 	Good 	0.270 	0.074 	5.000 	
8E   	6   	12   	  350 	below 	green 	green 	Good 	0.577 	0.078 	9.265 	
8E   	6   	13   	  350 	below 	green 	red 	Good 	0.365 	0.057 	4.559 	
8E   	6   	15   	  50 	below 	green 	red 	Good 	0.913 	0.101 	7.500 	
8E   	6   	18   	  950 	above 	red 	red 	Good 	0.816 	0.085 	7.206 	
8E   	6   	19   	  650 	above 	red 	red 	Good 	1.148 	0.096 	8.971 	
8E   	6   	20   	  650 	above 	green 	red 	Good 	0.609 	0.081 	7.647 	
8E   	6   	21   	  50 	below 	red 	green 	Good 	1.359 	0.085 	8.971 	
8E   	6   	24   	  950 	below 	green 	green 	Good 	0.448 	0.071 	9.706 	
8E   	6   	26   	  350 	above 	red 	red 	Good 	0.544 	0.101 	11.618 	
8E   	6   	27   	  950 	below 	green 	red 	Good 	0.411 	0.098 	9.265 	
8E   	6   	28   	  350 	above 	green 	red 	Good 	0.661 	0.102 	8.382 	
8E   	6   	30   	  650 	below 	red 	green 	Good 	0.333 	0.070 	9.265 	
8E   	6   	32   	  650 	above 	red 	green 	Good 	0.266 	0.050 	3.088 	
8E   	7   	1   	  50 	above 	red 	green 	Good 	0.323 	0.036 	7.941 	
8E   	7   	2   	  50 	above 	green 	green 	Good 	0.628 	0.076 	12.794 	
8E   	7   	4   	  50 	below 	green 	green 	Good 	0.542 	0.070 	11.471 	
8E   	7   	5   	  950 	above 	green 	green 	Good 	0.387 	0.077 	9.853 	
8E   	7   	7   	  350 	above 	red 	red 	Good 	0.477 	0.077 	7.941 	
8E   	7   	11   	  350 	above 	green 	green 	Good 	0.588 	0.072 	4.559 	
8E   	7   	12   	  350 	below 	green 	red 	Good 	0.699 	0.099 	13.235 	
8E   	7   	13   	  650 	above 	red 	red 	Good 	0.501 	0.094 	12.500 	
8E   	7   	14   	  650 	below 	green 	red 	Good 	0.353 	0.097 	12.647 	
8E   	7   	16   	  50 	above 	red 	red 	Good 	0.575 	0.090 	11.765 	
8E   	7   	17   	  650 	above 	green 	green 	Good 	0.538 	0.075 	7.941 	
8E   	7   	18   	  950 	below 	red 	green 	Good 	0.393 	0.134 	12.059 	
8E   	7   	19   	  950 	below 	green 	red 	Good 	0.559 	0.107 	9.706 	
8E   	7   	20   	  350 	above 	green 	red 	Good 	0.660 	0.092 	8.676 	
8E   	7   	26   	  650 	below 	red 	red 	Good 	0.561 	0.103 	9.265 	
8E   	7   	27   	  950 	above 	red 	green 	Good 	0.475 	0.069 	8.088 	
8E   	7   	29   	  350 	above 	red 	green 	Good 	0.505 	0.076 	9.706 	
8E   	7   	30   	  950 	above 	red 	red 	Good 	0.435 	0.096 	10.147 	
8E   	7   	31   	  650 	above 	red 	green 	Good 	0.449 	0.085 	8.529 	
8E   	7   	32   	  650 	above 	green 	red 	Good 	0.469 	0.083 	7.794 	
8E   	8   	2   	  650 	below 	red 	green 	Good 	0.447 	0.077 	11.029 	
8E   	8   	4   	  50 	below 	red 	red 	Good 	0.246 	0.091 	11.471 	
8E   	8   	5   	  50 	below 	red 	green 	Good 	0.411 	0.143 	13.676 	
8E   	8   	6   	  50 	below 	green 	green 	Good 	0.531 	0.098 	12.059 	
8E   	8   	7   	  350 	below 	green 	red 	Good 	0.480 	0.087 	8.676 	
8E   	8   	8   	  950 	below 	red 	red 	Good 	0.485 	0.080 	8.529 	
8E   	8   	9   	  650 	above 	red 	red 	Good 	0.567 	0.092 	10.147 	
8E   	8   	10   	  950 	above 	green 	red 	Good 	0.364 	0.086 	10.441 	
8E   	8   	11   	  350 	below 	green 	green 	Good 	0.504 	0.072 	7.941 	
8E   	8   	12   	  350 	below 	red 	green 	Good 	0.762 	0.076 	6.176 	
8E   	8   	13   	  650 	above 	red 	green 	Good 	0.895 	0.078 	7.206 	
8E   	8   	14   	  350 	above 	green 	green 	Good 	0.319 	0.077 	4.265 	
8E   	8   	15   	  950 	below 	green 	red 	Good 	0.390 	0.082 	6.912 	
8E   	8   	16   	  50 	above 	red 	red 	Good 	0.646 	0.097 	8.824 	
8E   	8   	17   	  350 	above 	red 	red 	Good 	0.438 	0.092 	10.588 	
8E   	8   	18   	  50 	above 	red 	green 	Good 	0.878 	0.083 	5.882 	
8E   	8   	22   	  650 	above 	green 	green 	Good 	0.629 	0.129 	4.706 	
8E   	8   	26   	  950 	above 	green 	green 	Good 	0.431 	0.082 	11.324 	
8E   	8   	27   	  350 	above 	red 	green 	Good 	0.568 	0.079 	10.000 	
8E   	8   	30   	  950 	below 	red 	green 	Good 	0.295 	0.058 	2.794 	
8E   	8   	32   	  50 	below 	green 	red 	Good 	1.533 	0.119 	9.412 	
8E   	9   	2   	  350 	above 	green 	green 	Good 	0.455 	0.083 	10.882 	
8E   	9   	3   	  650 	above 	green 	green 	Good 	0.436 	0.080 	11.176 	
8E   	9   	4   	  650 	below 	green 	green 	Good 	0.459 	0.081 	8.235 	
8E   	9   	5   	  50 	below 	red 	green 	Good 	0.666 	0.082 	9.559 	
8E   	9   	7   	  650 	above 	red 	red 	Good 	0.539 	0.090 	11.029 	
8E   	9   	8   	  650 	above 	green 	red 	Good 	0.531 	0.094 	11.176 	
8E   	9   	9   	  50 	below 	green 	red 	Good 	0.725 	0.083 	11.765 	
8E   	9   	11   	  950 	below 	green 	red 	Good 	0.481 	0.093 	10.000 	
8E   	9   	12   	  350 	above 	red 	green 	Good 	0.694 	0.081 	8.676 	
8E   	9   	13   	  650 	below 	red 	green 	Good 	0.456 	0.083 	9.853 	
8E   	9   	15   	  650 	below 	red 	red 	Good 	0.335 	0.089 	12.353 	
8E   	9   	17   	  350 	above 	red 	red 	Good 	0.388 	0.045 	5.588 	
8E   	9   	18   	  350 	below 	red 	red 	Good 	0.526 	0.082 	6.029 	
8E   	9   	20   	  950 	above 	green 	red 	Good 	0.496 	0.095 	10.735 	
8E   	9   	21   	  50 	below 	red 	red 	Good 	0.640 	0.085 	9.118 	
8E   	9   	22   	  50 	below 	green 	green 	Good 	0.601 	0.081 	9.706 	
8E   	9   	23   	  350 	below 	green 	red 	Good 	0.599 	0.081 	9.706 	
8E   	9   	24   	  650 	above 	red 	green 	Good 	0.483 	0.073 	9.559 	
8E   	9   	25   	  950 	above 	red 	green 	Good 	0.717 	0.069 	9.118 	
8E   	9   	26   	  50 	above 	green 	green 	Good 	0.480 	0.066 	6.324 	
8E   	9   	27   	  950 	below 	red 	red 	Good 	0.343 	0.081 	6.618 	
8E   	9   	29   	  50 	above 	red 	red 	Good 	0.535 	0.103 	12.353 	
8E   	9   	31   	  350 	below 	red 	green 	Good 	0.672 	0.067 	7.941 	
8E   	9   	32   	  50 	above 	red 	green 	Good 	0.750 	0.083 	7.059 	
8E   	10   	5   	  350 	above 	green 	green 	Good 	0.461 	0.092 	8.971 	
8E   	10   	6   	  50 	below 	red 	red 	Good 	0.522 	0.095 	7.794 	
8E   	10   	7   	  650 	above 	green 	red 	Good 	0.301 	0.031 	4.118 	
8E   	10   	9   	  650 	below 	green 	green 	Good 	0.423 	0.080 	9.265 	
8E   	10   	10   	  950 	below 	green 	green 	Good 	0.390 	0.079 	9.118 	
8E   	10   	11   	  950 	below 	green 	red 	Good 	0.406 	0.067 	6.765 	
8E   	10   	12   	  50 	above 	red 	green 	Good 	0.629 	0.070 	7.500 	
8E   	10   	14   	  650 	above 	red 	red 	Good 	0.765 	0.076 	8.088 	
8E   	10   	15   	  50 	below 	green 	green 	Good 	0.490 	0.087 	11.324 	
8E   	10   	16   	  650 	above 	green 	green 	Good 	0.411 	0.078 	8.088 	
8E   	10   	17   	  50 	above 	red 	red 	Good 	0.417 	0.090 	10.147 	
8E   	10   	18   	  650 	above 	red 	green 	Good 	0.426 	0.084 	7.353 	
8E   	10   	19   	  950 	above 	red 	red 	Good 	0.569 	0.081 	6.912 	
8E   	10   	20   	  950 	below 	red 	green 	Good 	0.447 	0.058 	3.971 	
8E   	10   	22   	  650 	below 	red 	red 	Good 	0.365 	0.077 	5.147 	
8E   	10   	25   	  950 	above 	green 	red 	Good 	0.360 	0.088 	8.235 	
8E   	10   	28   	  350 	below 	green 	red 	Good 	0.798 	0.092 	10.147 	
8E   	10   	29   	  350 	above 	red 	red 	Good 	0.417 	0.087 	8.529 	
8E   	10   	30   	  50 	below 	red 	green 	Good 	0.728 	0.071 	7.941 	
8E   	10   	31   	  350 	below 	red 	red 	Good 	0.448 	0.093 	8.382 	
8E   	10   	32   	  50 	below 	green 	red 	Good 	0.831 	0.077 	14.265 	
8E   	11   	1   	  650 	below 	green 	green 	Good 	0.419 	0.072 	11.471 	
8E   	11   	3   	  950 	below 	green 	red 	Good 	0.426 	0.098 	11.176 	
8E   	11   	4   	  50 	above 	green 	red 	Good 	0.779 	0.096 	14.412 	
8E   	11   	5   	  650 	above 	red 	green 	Good 	0.364 	0.068 	9.265 	
8E   	11   	6   	  350 	above 	red 	red 	Good 	0.408 	0.060 	4.412 	
8E   	11   	9   	  650 	below 	red 	green 	Good 	0.547 	0.080 	9.559 	
8E   	11   	10   	  50 	above 	red 	green 	Good 	0.693 	0.081 	8.824 	
8E   	11   	13   	  350 	below 	green 	red 	Good 	0.496 	0.074 	9.706 	
8E   	11   	14   	  650 	above 	green 	green 	Good 	0.380 	0.087 	9.853 	
8E   	11   	15   	  650 	below 	green 	red 	Good 	0.776 	0.096 	10.147 	
8E   	11   	16   	  50 	above 	green 	green 	Good 	0.488 	0.080 	9.412 	
8E   	11   	18   	  950 	above 	red 	green 	Good 	0.381 	0.076 	8.529 	
8E   	11   	20   	  950 	above 	red 	red 	Good 	0.524 	0.084 	10.441 	
8E   	11   	22   	  50 	below 	red 	green 	Good 	0.789 	0.078 	11.324 	
8E   	11   	23   	  50 	below 	green 	red 	Good 	0.856 	0.076 	8.529 	
8E   	11   	24   	  350 	below 	green 	green 	Good 	0.401 	0.078 	9.559 	
8E   	11   	26   	  50 	above 	red 	red 	Good 	0.580 	0.092 	10.588 	
8E   	11   	27   	  50 	below 	red 	red 	Good 	0.619 	0.105 	11.029 	
8E   	11   	28   	  350 	above 	red 	green 	Good 	0.575 	0.070 	7.941 	
8E   	11   	29   	  650 	below 	red 	red 	Good 	0.431 	0.078 	8.088 	
8E   	11   	30   	  950 	below 	red 	red 	Good 	0.412 	0.085 	8.676 	
8E   	11   	31   	  950 	below 	green 	green 	Good 	0.437 	0.054 	3.382 	
8E   	11   	32   	  50 	below 	green 	green 	Good 	0.512 	0.076 	9.265 	
