S#    Block   Trial       SOA   FlkPos  FlkCol  TarCol  OnLine    RT      MT    Distance
6E   	4   	27   	  950 	below 	green 	red 	Good 	0.355 	0.102 	10.294 	
6E   	4   	29   	  950 	below 	red 	green 	Good 	0.418 	0.071 	8.676 	
6E   	4   	30   	  950 	above 	green 	red 	Good 	0.340 	0.090 	9.265 	
6E   	4   	31   	  650 	above 	red 	red 	Good 	0.319 	0.097 	9.853 	
6E   	4   	32   	  50 	below 	red 	green 	Good 	0.554 	0.065 	7.647 	
6E   	5   	2   	  650 	above 	red 	red 	Good 	0.315 	0.119 	13.971 	
6E   	5   	3   	  50 	below 	green 	red 	Good 	0.421 	0.097 	9.706 	
6E   	5   	4   	  650 	below 	red 	green 	Good 	0.362 	0.081 	13.529 	
6E   	5   	5   	  350 	above 	red 	green 	Good 	0.369 	0.068 	10.147 	
6E   	5   	8   	  350 	below 	red 	red 	Good 	0.366 	0.084 	8.382 	
6E   	5   	9   	  950 	above 	red 	red 	Good 	0.323 	0.085 	7.941 	
6E   	5   	10   	  50 	below 	green 	green 	Good 	0.414 	0.074 	8.235 	
6E   	5   	11   	  350 	below 	red 	green 	Good 	0.379 	0.064 	7.794 	
6E   	5   	12   	  950 	below 	red 	green 	Good 	0.318 	0.065 	7.059 	
6E   	5   	14   	  50 	below 	red 	red 	Good 	0.390 	0.110 	11.471 	
6E   	5   	15   	  950 	above 	green 	green 	Good 	0.352 	0.093 	11.471 	
6E   	5   	16   	  650 	above 	green 	red 	Good 	0.451 	0.080 	8.235 	
6E   	5   	18   	  50 	below 	red 	green 	Good 	0.506 	0.066 	6.029 	
6E   	5   	20   	  650 	below 	green 	red 	Good 	0.428 	0.079 	6.765 	
6E   	5   	21   	  350 	above 	green 	red 	Good 	0.563 	0.084 	7.206 	
6E   	5   	22   	  650 	above 	red 	green 	Good 	0.352 	0.074 	8.382 	
6E   	5   	23   	  350 	above 	green 	green 	Good 	0.483 	0.055 	5.294 	
6E   	5   	28   	  950 	above 	red 	green 	Good 	0.418 	0.076 	12.647 	
6E   	5   	29   	  950 	below 	red 	red 	Good 	0.315 	0.115 	14.559 	
6E   	5   	30   	  350 	above 	red 	red 	Good 	0.470 	0.095 	8.529 	
6E   	5   	31   	  950 	above 	green 	red 	Good 	0.403 	0.095 	10.735 	
6E   	5   	32   	  950 	below 	green 	green 	Good 	0.318 	0.070 	9.412 	
6E   	6   	1   	  650 	above 	green 	green 	Good 	0.434 	0.064 	10.735 	
6E   	6   	2   	  50 	above 	red 	red 	Good 	0.484 	0.097 	8.235 	
6E   	6   	3   	  50 	above 	red 	green 	Good 	0.545 	0.068 	10.735 	
6E   	6   	4   	  50 	below 	green 	green 	Good 	0.417 	0.077 	9.118 	
6E   	6   	5   	  650 	below 	red 	red 	Good 	0.298 	0.109 	16.029 	
6E   	6   	6   	  50 	above 	green 	green 	Good 	0.499 	0.066 	8.088 	
6E   	6   	7   	  350 	below 	red 	green 	Good 	0.420 	0.138 	12.059 	
6E   	6   	9   	  950 	above 	red 	green 	Good 	0.389 	0.076 	9.706 	
6E   	6   	10   	  650 	below 	green 	green 	Good 	0.430 	0.083 	6.618 	
6E   	6   	11   	  50 	below 	red 	red 	Good 	0.500 	0.097 	11.176 	
6E   	6   	13   	  350 	below 	green 	red 	Good 	0.408 	0.110 	11.324 	
6E   	6   	14   	  350 	above 	green 	green 	Good 	0.384 	0.077 	10.588 	
6E   	6   	17   	  950 	above 	green 	green 	Good 	0.419 	0.073 	9.265 	
6E   	6   	18   	  950 	above 	red 	red 	Good 	0.415 	0.052 	2.353 	
6E   	6   	19   	  650 	above 	red 	red 	Good 	0.323 	0.078 	5.441 	
6E   	6   	20   	  650 	above 	green 	red 	Good 	0.426 	0.069 	4.412 	
6E   	6   	23   	  950 	below 	red 	green 	Good 	0.407 	0.065 	6.324 	
6E   	6   	24   	  950 	below 	green 	green 	Good 	0.239 	0.108 	23.235 	
6E   	6   	25   	  350 	above 	red 	green 	Good 	0.444 	0.070 	5.588 	
6E   	6   	26   	  350 	above 	red 	red 	Good 	0.388 	0.094 	9.265 	
6E   	6   	27   	  950 	below 	green 	red 	Good 	0.359 	0.101 	8.676 	
6E   	6   	29   	  950 	below 	red 	red 	Good 	0.380 	0.074 	6.324 	
6E   	6   	30   	  650 	below 	red 	green 	Good 	0.472 	0.069 	6.471 	
6E   	7   	1   	  50 	above 	red 	green 	Good 	0.599 	0.057 	4.706 	
6E   	7   	2   	  50 	above 	green 	green 	Good 	0.489 	0.047 	4.265 	
6E   	7   	3   	  650 	below 	red 	green 	Good 	0.414 	0.055 	6.765 	
6E   	7   	4   	  50 	below 	green 	green 	Good 	0.372 	0.078 	8.971 	
6E   	7   	5   	  950 	above 	green 	green 	Good 	0.355 	0.059 	6.324 	
6E   	7   	7   	  350 	above 	red 	red 	Good 	0.386 	0.104 	11.765 	
6E   	7   	8   	  950 	below 	green 	green 	Good 	0.296 	0.070 	9.118 	
6E   	7   	9   	  350 	below 	green 	green 	Good 	0.317 	0.074 	10.000 	
6E   	7   	10   	  350 	below 	red 	red 	Good 	0.324 	0.065 	14.559 	
6E   	7   	11   	  350 	above 	green 	green 	Good 	0.319 	0.059 	6.471 	
6E   	7   	12   	  350 	below 	green 	red 	Good 	0.411 	0.095 	17.794 	
6E   	7   	13   	  650 	above 	red 	red 	Good 	0.291 	0.105 	16.912 	
6E   	7   	14   	  650 	below 	green 	red 	Good 	0.332 	0.117 	13.382 	
6E   	7   	16   	  50 	above 	red 	red 	Good 	0.504 	0.105 	14.265 	
6E   	7   	17   	  650 	above 	green 	green 	Good 	0.288 	0.079 	12.059 	
6E   	7   	18   	  950 	below 	red 	green 	Good 	0.405 	0.066 	7.500 	
6E   	7   	19   	  950 	below 	green 	red 	Good 	0.393 	0.118 	17.059 	
6E   	7   	20   	  350 	above 	green 	red 	Good 	0.383 	0.131 	16.471 	
6E   	7   	22   	  950 	above 	green 	red 	Good 	0.394 	0.091 	12.353 	
6E   	7   	23   	  350 	below 	red 	green 	Good 	0.378 	0.054 	7.206 	
6E   	7   	24   	  650 	below 	green 	green 	Good 	0.364 	0.067 	7.206 	
6E   	7   	25   	  950 	below 	red 	red 	Good 	0.328 	0.140 	17.794 	
6E   	7   	26   	  650 	below 	red 	red 	Good 	0.292 	0.119 	15.147 	
6E   	7   	27   	  950 	above 	red 	green 	Good 	0.482 	0.073 	9.559 	
6E   	7   	28   	  50 	above 	green 	red 	Good 	0.636 	0.132 	10.147 	
6E   	7   	29   	  350 	above 	red 	green 	Good 	0.493 	0.070 	5.294 	
6E   	7   	32   	  650 	above 	green 	red 	Good 	0.327 	0.088 	13.088 	
6E   	8   	2   	  650 	below 	red 	green 	Good 	0.455 	0.047 	6.029 	
6E   	8   	3   	  350 	above 	green 	red 	Good 	0.384 	0.064 	3.235 	
6E   	8   	4   	  50 	below 	red 	red 	Good 	0.461 	0.095 	16.324 	
6E   	8   	5   	  50 	below 	red 	green 	Good 	0.443 	0.062 	8.382 	
6E   	8   	6   	  50 	below 	green 	green 	Good 	0.454 	0.082 	8.529 	
6E   	8   	7   	  350 	below 	green 	red 	Good 	0.386 	0.103 	11.618 	
6E   	8   	8   	  950 	below 	red 	red 	Good 	0.316 	0.103 	14.853 	
6E   	8   	9   	  650 	above 	red 	red 	Good 	0.325 	0.094 	9.853 	
6E   	8   	10   	  950 	above 	green 	red 	Good 	0.319 	0.103 	14.853 	
6E   	8   	11   	  350 	below 	green 	green 	Good 	0.364 	0.065 	8.824 	
6E   	8   	12   	  350 	below 	red 	green 	Good 	0.509 	0.056 	5.441 	
6E   	8   	13   	  650 	above 	red 	green 	Good 	0.403 	0.109 	8.088 	
6E   	8   	15   	  950 	below 	green 	red 	Good 	0.441 	0.107 	13.382 	
6E   	8   	17   	  350 	above 	red 	red 	Good 	0.463 	0.087 	6.029 	
6E   	8   	18   	  50 	above 	red 	green 	Good 	0.421 	0.062 	6.471 	
6E   	8   	19   	  950 	above 	red 	red 	Good 	0.314 	0.109 	13.676 	
6E   	8   	20   	  650 	below 	green 	red 	Good 	0.327 	0.051 	3.235 	
6E   	8   	23   	  350 	below 	red 	red 	Good 	0.342 	0.120 	16.029 	
6E   	8   	24   	  50 	above 	green 	green 	Good 	0.579 	0.061 	6.176 	
6E   	8   	25   	  950 	above 	red 	green 	Good 	0.423 	0.080 	5.294 	
6E   	8   	26   	  950 	above 	green 	green 	Good 	0.360 	0.071 	6.912 	
6E   	8   	27   	  350 	above 	red 	green 	Good 	0.477 	0.055 	4.706 	
6E   	8   	28   	  50 	above 	green 	red 	Good 	0.729 	0.168 	8.971 	
6E   	8   	29   	  650 	above 	green 	red 	Good 	0.324 	0.112 	9.559 	
6E   	8   	30   	  950 	below 	red 	green 	Good 	0.448 	0.058 	7.353 	
6E   	8   	31   	  650 	below 	red 	red 	Good 	0.413 	0.064 	3.088 	
6E   	9   	1   	  950 	above 	green 	green 	Good 	0.405 	0.071 	11.471 	
6E   	9   	2   	  350 	above 	green 	green 	Good 	0.348 	0.062 	10.588 	
6E   	9   	3   	  650 	above 	green 	green 	Good 	0.353 	0.067 	10.000 	
6E   	9   	4   	  650 	below 	green 	green 	Good 	0.308 	0.076 	12.647 	
6E   	9   	5   	  50 	below 	red 	green 	Good 	0.523 	0.082 	9.706 	
6E   	9   	6   	  950 	below 	red 	green 	Good 	0.293 	0.066 	8.824 	
6E   	9   	7   	  650 	above 	red 	red 	Good 	0.268 	0.096 	16.324 	
6E   	9   	8   	  650 	above 	green 	red 	Good 	0.296 	0.103 	15.441 	
6E   	9   	10   	  350 	below 	green 	green 	Good 	0.162 	0.089 	2.353 	
6E   	9   	11   	  950 	below 	green 	red 	Good 	0.333 	0.113 	16.765 	
6E   	9   	12   	  350 	above 	red 	green 	Good 	0.407 	0.076 	10.294 	
6E   	9   	13   	  650 	below 	red 	green 	Good 	0.470 	0.057 	6.912 	
6E   	9   	15   	  650 	below 	red 	red 	Good 	0.377 	0.087 	7.206 	
6E   	9   	17   	  350 	above 	red 	red 	Good 	0.469 	0.082 	8.529 	
6E   	9   	18   	  350 	below 	red 	red 	Good 	0.437 	0.083 	2.353 	
6E   	9   	19   	  950 	above 	red 	red 	Good 	0.299 	0.133 	13.088 	
6E   	9   	20   	  950 	above 	green 	red 	Good 	0.410 	0.118 	12.353 	
6E   	9   	23   	  350 	below 	green 	red 	Good 	0.417 	0.097 	9.559 	
6E   	9   	24   	  650 	above 	red 	green 	Good 	0.448 	0.090 	17.059 	
6E   	9   	27   	  950 	below 	red 	red 	Good 	0.326 	0.087 	8.235 	
6E   	9   	29   	  50 	above 	red 	red 	Good 	0.399 	0.101 	11.618 	
6E   	9   	32   	  50 	above 	red 	green 	Good 	0.602 	0.087 	6.618 	
6E   	10   	1   	  650 	below 	green 	red 	Good 	0.400 	0.076 	15.441 	
6E   	10   	2   	  350 	below 	green 	green 	Good 	0.461 	0.075 	8.824 	
6E   	10   	3   	  50 	above 	green 	green 	Good 	0.472 	0.066 	8.382 	
6E   	10   	4   	  650 	below 	red 	green 	Good 	0.463 	0.067 	6.176 	
6E   	10   	5   	  350 	above 	green 	green 	Good 	0.318 	0.069 	6.765 	
6E   	10   	6   	  50 	below 	red 	red 	Good 	0.425 	0.091 	13.382 	
6E   	10   	7   	  650 	above 	green 	red 	Good 	0.381 	0.092 	11.912 	
6E   	10   	8   	  950 	above 	green 	green 	Good 	0.336 	0.070 	7.941 	
6E   	10   	9   	  650 	below 	green 	green 	Good 	0.417 	0.081 	7.794 	
6E   	10   	11   	  950 	below 	green 	red 	Good 	0.870 	0.093 	8.382 	
6E   	10   	14   	  650 	above 	red 	red 	Good 	0.309 	0.112 	14.412 	
6E   	10   	15   	  50 	below 	green 	green 	Good 	0.498 	0.051 	5.735 	
6E   	10   	16   	  650 	above 	green 	green 	Good 	0.295 	0.051 	5.147 	
6E   	10   	17   	  50 	above 	red 	red 	Good 	0.375 	0.105 	16.765 	
6E   	10   	18   	  650 	above 	red 	green 	Good 	0.362 	0.060 	7.500 	
6E   	10   	19   	  950 	above 	red 	red 	Good 	0.339 	0.111 	10.147 	
6E   	10   	20   	  950 	below 	red 	green 	Good 	0.378 	0.073 	8.529 	
6E   	10   	22   	  650 	below 	red 	red 	Good 	0.498 	0.101 	10.000 	
6E   	10   	24   	  350 	below 	red 	green 	Good 	0.593 	0.074 	3.529 	
6E   	10   	25   	  950 	above 	green 	red 	Good 	0.353 	0.156 	9.853 	
6E   	10   	26   	  50 	above 	green 	red 	Good 	0.436 	0.086 	9.265 	
6E   	10   	27   	  950 	below 	red 	red 	Good 	0.288 	0.102 	10.735 	
6E   	10   	28   	  350 	below 	green 	red 	Good 	0.306 	0.101 	11.618 	
6E   	10   	29   	  350 	above 	red 	red 	Good 	0.483 	0.060 	7.059 	
6E   	10   	32   	  50 	below 	green 	red 	Good 	0.464 	0.077 	7.206 	
6E   	11   	1   	  650 	below 	green 	green 	Good 	0.372 	0.057 	6.765 	
6E   	11   	2   	  350 	below 	red 	green 	Good 	0.434 	0.069 	9.412 	
6E   	11   	3   	  950 	below 	green 	red 	Good 	0.280 	0.098 	12.206 	
6E   	11   	4   	  50 	above 	green 	red 	Good 	0.448 	0.107 	14.559 	
6E   	11   	5   	  650 	above 	red 	green 	Good 	0.329 	0.067 	8.824 	
6E   	11   	7   	  950 	above 	green 	green 	Good 	0.317 	0.063 	11.471 	
6E   	11   	8   	  350 	above 	green 	red 	Good 	0.361 	0.105 	17.941 	
6E   	11   	9   	  650 	below 	red 	green 	Good 	0.390 	0.076 	9.853 	
6E   	11   	10   	  50 	above 	red 	green 	Good 	0.523 	0.138 	6.471 	
6E   	11   	11   	  350 	above 	green 	green 	Good 	0.382 	0.071 	11.176 	
6E   	11   	14   	  650 	above 	green 	green 	Good 	0.288 	0.063 	5.588 	
6E   	11   	15   	  650 	below 	green 	red 	Good 	0.272 	0.131 	16.324 	
6E   	11   	19   	  950 	above 	green 	red 	Good 	0.314 	0.114 	13.529 	
6E   	11   	20   	  950 	above 	red 	red 	Good 	0.382 	0.095 	10.441 	
6E   	11   	22   	  50 	below 	red 	green 	Good 	0.894 	0.132 	4.412 	
6E   	11   	23   	  50 	below 	green 	red 	Good 	0.512 	0.072 	4.853 	
6E   	11   	25   	  350 	below 	red 	red 	Good 	0.292 	0.095 	9.265 	
6E   	11   	26   	  50 	above 	red 	red 	Good 	0.395 	0.068 	5.000 	
6E   	11   	27   	  50 	below 	red 	red 	Good 	0.541 	0.103 	12.059 	
6E   	11   	30   	  950 	below 	red 	red 	Good 	0.316 	0.082 	5.735 	
6E   	11   	31   	  950 	below 	green 	green 	Good 	0.309 	0.075 	8.382 	
6E   	11   	32   	  50 	below 	green 	green 	Good 	0.423 	0.081 	6.618 	
