S#    Block   Trial       SOA   FlkPos  FlkCol  TarCol  OnLine    RT      MT    Distance
22E   	4   	17   	  650 	above 	green 	green 	Good 	0.293 	0.074 	14.412 	
22E   	4   	18   	  50 	above 	red 	red 	Good 	0.437 	0.121 	11.912 	
22E   	4   	19   	  950 	below 	green 	red 	Good 	0.475 	0.116 	11.324 	
22E   	4   	20   	  50 	below 	green 	green 	Good 	0.485 	0.066 	9.706 	
22E   	4   	21   	  650 	below 	green 	red 	Good 	0.448 	0.119 	13.235 	
22E   	4   	22   	  650 	below 	green 	green 	Good 	0.291 	0.076 	14.853 	
22E   	4   	23   	  50 	above 	green 	red 	Good 	0.537 	0.111 	12.794 	
22E   	4   	24   	  950 	above 	red 	red 	Good 	0.325 	0.129 	15.147 	
22E   	4   	25   	  50 	above 	green 	green 	Good 	0.460 	0.068 	11.324 	
22E   	4   	26   	  650 	above 	green 	red 	Good 	0.342 	0.106 	12.353 	
22E   	4   	27   	  650 	above 	red 	red 	Good 	0.302 	0.128 	10.441 	
22E   	4   	30   	  350 	above 	green 	green 	Good 	0.314 	0.065 	6.912 	
22E   	4   	31   	  950 	above 	green 	green 	Good 	0.304 	0.076 	7.794 	
22E   	4   	32   	  350 	above 	red 	green 	Good 	0.386 	0.072 	6.618 	
22E   	5   	1   	  650 	above 	green 	green 	Good 	0.315 	0.074 	10.588 	
22E   	5   	2   	  350 	above 	green 	red 	Good 	0.461 	0.127 	10.735 	
22E   	5   	3   	  350 	above 	green 	green 	Good 	0.317 	0.072 	10.000 	
22E   	5   	4   	  350 	above 	red 	red 	Good 	0.326 	0.096 	14.265 	
22E   	5   	5   	  650 	below 	red 	red 	Good 	0.467 	0.122 	11.912 	
22E   	5   	6   	  50 	above 	red 	red 	Good 	0.566 	0.113 	11.029 	
22E   	5   	7   	  50 	below 	red 	green 	Good 	0.435 	0.076 	8.824 	
22E   	5   	8   	  650 	below 	green 	red 	Good 	0.370 	0.122 	11.029 	
22E   	5   	9   	  50 	above 	green 	green 	Good 	0.527 	0.051 	4.265 	
22E   	5   	10   	  950 	above 	green 	green 	Good 	0.328 	0.066 	5.588 	
22E   	5   	11   	  950 	above 	red 	green 	Good 	0.285 	0.081 	7.500 	
22E   	5   	12   	  650 	above 	red 	green 	Good 	0.341 	0.068 	6.471 	
22E   	5   	13   	  650 	above 	green 	red 	Good 	0.352 	0.136 	12.500 	
22E   	5   	14   	  950 	below 	red 	red 	Good 	0.307 	0.087 	11.765 	
22E   	5   	15   	  350 	below 	green 	red 	Good 	0.455 	0.099 	9.706 	
22E   	5   	16   	  650 	below 	green 	green 	Good 	0.353 	0.056 	5.441 	
22E   	5   	17   	  950 	below 	green 	green 	Good 	0.436 	0.069 	11.029 	
22E   	5   	18   	  50 	above 	green 	red 	Good 	0.504 	0.154 	13.088 	
22E   	5   	19   	  950 	below 	red 	green 	Good 	0.381 	0.065 	6.029 	
22E   	5   	20   	  350 	below 	red 	green 	Good 	0.457 	0.059 	7.059 	
22E   	5   	21   	  650 	above 	red 	red 	Good 	0.385 	0.124 	11.324 	
22E   	5   	22   	  350 	below 	green 	green 	Good 	0.389 	0.064 	3.824 	
22E   	5   	23   	  650 	below 	red 	green 	Good 	0.391 	0.074 	11.324 	
22E   	5   	24   	  950 	above 	red 	red 	Good 	0.283 	0.142 	11.765 	
22E   	5   	25   	  50 	above 	red 	green 	Good 	0.559 	0.073 	10.735 	
22E   	5   	26   	  350 	above 	red 	green 	Good 	0.298 	0.074 	11.324 	
22E   	5   	27   	  50 	below 	red 	red 	Good 	0.502 	0.116 	10.882 	
22E   	5   	28   	  950 	above 	green 	red 	Good 	0.330 	0.115 	10.294 	
22E   	5   	29   	  50 	below 	green 	green 	Good 	0.475 	0.066 	9.118 	
22E   	5   	30   	  950 	below 	green 	red 	Good 	0.286 	0.132 	12.941 	
22E   	5   	31   	  50 	below 	green 	red 	Good 	0.589 	0.116 	9.559 	
22E   	5   	32   	  350 	below 	red 	red 	Good 	0.304 	0.250 	13.676 	
22E   	6   	1   	  50 	below 	red 	red 	Good 	0.626 	0.124 	14.265 	
22E   	6   	2   	  350 	below 	red 	green 	Good 	0.455 	0.067 	11.765 	
22E   	6   	3   	  950 	above 	red 	red 	Good 	0.432 	0.138 	13.529 	
22E   	6   	5   	  950 	below 	red 	green 	Good 	0.264 	0.070 	11.324 	
22E   	6   	6   	  650 	below 	red 	green 	Good 	0.281 	0.139 	10.441 	
22E   	6   	7   	  650 	below 	red 	red 	Good 	0.374 	0.142 	13.529 	
22E   	6   	8   	  50 	below 	green 	red 	Good 	0.644 	0.113 	11.324 	
22E   	6   	9   	  50 	below 	red 	green 	Good 	0.563 	0.071 	9.118 	
22E   	6   	10   	  650 	above 	green 	green 	Good 	0.330 	0.068 	8.235 	
22E   	6   	12   	  50 	above 	red 	red 	Good 	0.493 	0.112 	8.824 	
22E   	6   	13   	  350 	above 	green 	green 	Good 	0.327 	0.073 	8.088 	
22E   	6   	14   	  650 	above 	red 	red 	Good 	0.416 	0.118 	10.294 	
22E   	6   	15   	  350 	above 	green 	red 	Good 	0.455 	0.114 	9.559 	
22E   	6   	17   	  350 	below 	green 	red 	Good 	0.782 	0.057 	4.118 	
22E   	6   	19   	  950 	below 	green 	green 	Good 	0.310 	0.056 	2.500 	
22E   	6   	20   	  650 	below 	green 	red 	Good 	0.370 	0.118 	11.324 	
22E   	6   	21   	  950 	above 	green 	red 	Good 	0.593 	0.100 	10.441 	
22E   	6   	22   	  350 	below 	green 	green 	Good 	0.352 	0.071 	7.647 	
22E   	6   	23   	  950 	above 	green 	green 	Good 	0.292 	0.064 	7.353 	
22E   	6   	24   	  950 	below 	green 	red 	Good 	0.315 	0.117 	10.294 	
22E   	6   	25   	  350 	above 	red 	red 	Good 	0.365 	0.142 	11.765 	
22E   	6   	26   	  350 	above 	red 	green 	Good 	0.360 	0.063 	7.500 	
22E   	6   	27   	  650 	above 	red 	green 	Good 	0.307 	0.064 	7.794 	
22E   	6   	28   	  650 	above 	green 	red 	Good 	0.369 	0.117 	10.882 	
22E   	6   	29   	  950 	above 	red 	green 	Good 	0.330 	0.062 	6.618 	
22E   	6   	30   	  50 	above 	green 	green 	Good 	0.546 	0.070 	7.206 	
22E   	6   	31   	  650 	below 	green 	green 	Good 	0.340 	0.060 	8.529 	
22E   	7   	1   	  50 	above 	green 	red 	Good 	0.483 	0.114 	10.735 	
22E   	7   	2   	  350 	below 	green 	green 	Good 	0.360 	0.075 	8.382 	
22E   	7   	3   	  650 	below 	green 	red 	Good 	0.306 	0.119 	9.559 	
22E   	7   	4   	  50 	below 	green 	red 	Good 	0.532 	0.089 	9.706 	
22E   	7   	5   	  650 	below 	red 	green 	Good 	0.349 	0.087 	10.735 	
22E   	7   	6   	  950 	below 	green 	red 	Good 	0.399 	0.113 	11.324 	
22E   	7   	8   	  50 	above 	green 	green 	Good 	0.445 	0.078 	11.324 	
22E   	7   	9   	  950 	above 	red 	green 	Good 	0.307 	0.078 	11.618 	
22E   	7   	10   	  350 	above 	green 	red 	Good 	0.357 	0.108 	8.971 	
22E   	7   	12   	  950 	below 	red 	red 	Good 	0.416 	0.097 	9.412 	
22E   	7   	13   	  50 	above 	red 	red 	Good 	0.538 	0.104 	8.824 	
22E   	7   	14   	  650 	above 	red 	green 	Good 	0.305 	0.090 	12.206 	
22E   	7   	15   	  950 	below 	red 	green 	Good 	0.325 	0.076 	8.382 	
22E   	7   	16   	  350 	above 	red 	red 	Good 	0.426 	0.115 	9.265 	
22E   	7   	17   	  350 	below 	red 	green 	Good 	0.384 	0.085 	10.588 	
22E   	7   	18   	  50 	above 	red 	green 	Good 	0.484 	0.079 	8.088 	
22E   	7   	19   	  950 	above 	green 	green 	Good 	0.343 	0.088 	11.618 	
22E   	7   	20   	  950 	above 	green 	red 	Good 	0.393 	0.103 	10.294 	
22E   	7   	21   	  350 	below 	red 	red 	Good 	0.330 	0.082 	5.000 	
22E   	7   	22   	  650 	below 	green 	green 	Good 	0.333 	0.081 	11.029 	
22E   	7   	23   	  650 	above 	green 	red 	Good 	0.376 	0.101 	9.118 	
22E   	7   	24   	  350 	above 	red 	green 	Good 	0.351 	0.082 	11.618 	
22E   	7   	25   	  50 	below 	red 	red 	Good 	0.496 	0.100 	8.235 	
22E   	7   	26   	  50 	below 	green 	green 	Good 	0.435 	0.082 	11.471 	
22E   	7   	27   	  950 	above 	red 	red 	Good 	0.435 	0.117 	10.441 	
