S#    Block   Trial       SOA   FlkPos  FlkCol  TarCol  OnLine    RT      MT    Distance
34e   	4   	10   	  350 	below 	red 	green 	Good 	0.429 	0.115 	9.706 	
34e   	4   	11   	  50 	below 	green 	green 	Good 	0.612 	0.122 	10.735 	
34e   	4   	12   	  650 	above 	red 	green 	Good 	0.563 	0.129 	11.176 	
34e   	4   	13   	  950 	below 	red 	green 	Good 	0.694 	0.116 	8.529 	
34e   	4   	14   	  650 	below 	green 	red 	Good 	0.284 	0.076 	15.000 	
34e   	4   	15   	  950 	above 	green 	green 	Good 	0.356 	0.137 	9.706 	
34e   	4   	16   	  350 	below 	green 	red 	Good 	0.347 	0.078 	15.588 	
34e   	4   	17   	  950 	below 	green 	green 	Good 	0.319 	0.133 	10.000 	
34e   	4   	18   	  650 	above 	red 	red 	Good 	0.419 	0.079 	15.882 	
34e   	4   	19   	  950 	below 	green 	red 	Good 	0.349 	0.085 	15.441 	
34e   	4   	20   	  350 	above 	red 	green 	Good 	0.358 	0.143 	11.471 	
34e   	4   	21   	  50 	below 	red 	green 	Good 	0.649 	0.130 	12.500 	
34e   	4   	22   	  950 	below 	red 	red 	Good 	0.301 	0.067 	14.559 	
34e   	4   	23   	  50 	above 	red 	red 	Good 	0.501 	0.081 	11.912 	
34e   	4   	24   	  350 	below 	red 	red 	Good 	0.420 	0.071 	11.471 	
34e   	4   	25   	  650 	below 	green 	green 	Good 	0.381 	0.152 	11.912 	
34e   	4   	26   	  50 	above 	green 	green 	Good 	0.505 	0.125 	12.941 	
34e   	4   	27   	  350 	above 	red 	red 	Good 	0.330 	0.081 	13.824 	
34e   	4   	28   	  350 	above 	green 	red 	Good 	0.589 	0.078 	14.265 	
34e   	4   	29   	  650 	above 	green 	red 	Good 	0.340 	0.075 	10.882 	
34e   	4   	30   	  650 	above 	green 	green 	Good 	0.329 	0.187 	12.206 	
34e   	4   	31   	  950 	above 	green 	red 	Good 	0.328 	0.075 	14.706 	
34e   	4   	32   	  350 	below 	green 	green 	Good 	0.437 	0.116 	9.706 	
34e   	5   	1   	  350 	above 	red 	red 	Good 	0.649 	0.059 	9.412 	
34e   	5   	2   	  350 	above 	green 	green 	Good 	0.348 	0.136 	12.059 	
34e   	5   	3   	  950 	below 	red 	red 	Good 	0.322 	0.068 	10.588 	
34e   	5   	4   	  650 	above 	red 	red 	Good 	0.381 	0.061 	9.118 	
34e   	5   	5   	  950 	above 	green 	green 	Good 	0.307 	0.163 	16.176 	
34e   	5   	6   	  950 	below 	red 	green 	Good 	0.563 	0.125 	11.176 	
34e   	5   	7   	  650 	below 	green 	red 	Good 	0.333 	0.074 	8.824 	
34e   	5   	8   	  650 	below 	green 	green 	Good 	0.531 	0.116 	9.706 	
34e   	5   	9   	  950 	above 	red 	green 	Good 	0.685 	0.119 	10.882 	
34e   	5   	10   	  950 	below 	green 	green 	Good 	1.028 	0.127 	10.735 	
34e   	5   	11   	  50 	above 	red 	green 	Good 	0.728 	0.137 	12.353 	
34e   	5   	12   	  50 	above 	red 	red 	Good 	0.527 	0.082 	11.176 	
34e   	5   	13   	  650 	above 	green 	green 	Good 	0.291 	0.134 	11.471 	
34e   	5   	14   	  50 	below 	red 	red 	Good 	0.505 	0.079 	11.471 	
34e   	5   	16   	  350 	below 	red 	red 	Good 	0.325 	0.063 	9.559 	
34e   	5   	17   	  650 	below 	red 	red 	Good 	0.342 	0.075 	11.765 	
34e   	5   	18   	  350 	below 	green 	green 	Good 	0.374 	0.171 	12.647 	
34e   	5   	19   	  50 	above 	green 	red 	Good 	0.432 	0.081 	13.088 	
34e   	5   	20   	  50 	above 	green 	green 	Good 	0.448 	0.141 	10.441 	
34e   	5   	21   	  950 	above 	green 	red 	Good 	0.297 	0.074 	10.294 	
