S#    Block   Trial       SOA   FlkPos  FlkCol  TarCol  OnLine    RT      MT    Distance
24E   	4   	14   	  350 	above 	red 	green 	Good 	0.312 	0.086 	11.471 	
24E   	4   	15   	  650 	above 	green 	red 	Good 	0.315 	0.186 	16.471 	
24E   	4   	16   	  50 	below 	green 	green 	Good 	0.635 	0.070 	9.853 	
24E   	4   	17   	  50 	below 	red 	green 	Good 	0.524 	0.067 	8.676 	
24E   	4   	18   	  950 	below 	green 	red 	Good 	0.291 	0.134 	16.912 	
24E   	4   	19   	  350 	below 	red 	red 	Good 	0.307 	0.117 	15.441 	
24E   	4   	20   	  650 	below 	red 	green 	Good 	0.281 	0.074 	11.471 	
24E   	4   	21   	  350 	below 	green 	red 	Good 	0.326 	0.141 	15.882 	
24E   	4   	22   	  350 	above 	red 	red 	Good 	0.594 	0.120 	11.912 	
24E   	4   	23   	  650 	above 	green 	green 	Good 	0.293 	0.085 	11.765 	
24E   	4   	24   	  650 	below 	green 	red 	Good 	0.278 	0.110 	17.353 	
24E   	4   	25   	  950 	above 	red 	green 	Good 	0.474 	0.075 	11.029 	
24E   	4   	26   	  950 	above 	green 	green 	Good 	0.341 	0.076 	10.147 	
24E   	4   	27   	  650 	above 	red 	red 	Good 	0.273 	0.112 	18.088 	
24E   	4   	28   	  650 	above 	red 	green 	Good 	0.301 	0.079 	11.176 	
24E   	4   	29   	  650 	below 	green 	green 	Good 	0.313 	0.069 	6.765 	
24E   	4   	30   	  950 	below 	red 	green 	Good 	0.435 	0.081 	12.353 	
24E   	4   	31   	  950 	below 	red 	red 	Good 	0.307 	0.113 	17.500 	
24E   	4   	32   	  950 	above 	red 	red 	Good 	0.399 	0.115 	15.882 	
24E   	5   	1   	  650 	above 	red 	green 	Good 	0.668 	0.096 	9.265 	
24E   	5   	3   	  950 	below 	red 	green 	Good 	0.474 	0.085 	15.588 	
24E   	5   	4   	  350 	below 	red 	red 	Good 	0.344 	0.099 	17.353 	
24E   	5   	5   	  650 	below 	green 	red 	Good 	0.339 	0.096 	15.735 	
24E   	5   	6   	  950 	above 	red 	green 	Good 	0.461 	0.068 	13.235 	
24E   	5   	7   	  350 	below 	red 	green 	Good 	0.510 	0.071 	10.882 	
24E   	5   	8   	  50 	above 	green 	red 	Good 	0.578 	0.106 	12.794 	
24E   	5   	9   	  50 	above 	red 	red 	Good 	0.398 	0.112 	11.471 	
24E   	5   	10   	  650 	above 	green 	green 	Good 	0.273 	0.071 	10.441 	
24E   	5   	11   	  650 	below 	red 	green 	Good 	0.388 	0.078 	13.235 	
24E   	5   	12   	  950 	above 	green 	green 	Good 	0.394 	0.066 	9.706 	
24E   	5   	13   	  50 	below 	green 	green 	Good 	0.423 	0.066 	9.853 	
24E   	5   	14   	  350 	above 	green 	red 	Good 	0.371 	0.114 	15.294 	
24E   	5   	15   	  950 	above 	green 	red 	Good 	0.308 	0.115 	15.882 	
24E   	5   	16   	  50 	below 	green 	red 	Good 	0.462 	0.113 	12.794 	
24E   	5   	17   	  950 	below 	green 	green 	Good 	0.363 	0.060 	9.118 	
24E   	5   	18   	  350 	above 	green 	green 	Good 	0.393 	0.056 	8.088 	
24E   	5   	19   	  950 	below 	green 	red 	Good 	0.298 	0.111 	16.912 	
24E   	5   	20   	  50 	below 	red 	green 	Good 	0.500 	0.061 	9.412 	
24E   	5   	21   	  350 	above 	red 	red 	Good 	0.318 	0.111 	13.824 	
24E   	5   	22   	  50 	above 	green 	green 	Good 	0.524 	0.045 	7.500 	
24E   	5   	23   	  650 	below 	red 	red 	Good 	0.284 	0.116 	16.471 	
24E   	5   	24   	  350 	below 	green 	green 	Good 	0.342 	0.056 	8.088 	
24E   	5   	25   	  650 	above 	red 	red 	Good 	0.287 	0.107 	15.294 	
24E   	5   	26   	  950 	above 	red 	red 	Good 	0.428 	0.115 	14.706 	
24E   	5   	27   	  50 	below 	red 	red 	Good 	0.483 	0.108 	14.118 	
24E   	5   	28   	  950 	below 	red 	red 	Good 	0.416 	0.130 	11.029 	
24E   	5   	29   	  350 	below 	green 	red 	Good 	0.486 	0.103 	11.912 	
24E   	5   	30   	  350 	above 	red 	green 	Good 	0.470 	0.076 	9.118 	
24E   	5   	31   	  650 	below 	green 	green 	Good 	0.476 	0.054 	7.941 	
24E   	5   	32   	  50 	above 	red 	green 	Good 	0.649 	0.056 	8.088 	
24E   	6   	2   	  350 	below 	green 	green 	Good 	0.394 	0.071 	9.706 	
24E   	6   	3   	  50 	above 	red 	green 	Good 	0.682 	0.066 	8.824 	
24E   	6   	4   	  50 	above 	green 	green 	Good 	0.441 	0.060 	8.529 	
24E   	6   	5   	  350 	above 	green 	green 	Good 	0.451 	0.071 	9.118 	
24E   	6   	6   	  50 	above 	green 	red 	Good 	0.523 	0.137 	10.294 	
24E   	6   	7   	  950 	above 	red 	green 	Good 	0.407 	0.063 	8.971 	
24E   	6   	8   	  650 	below 	red 	green 	Good 	0.331 	0.074 	8.971 	
24E   	6   	9   	  650 	above 	red 	green 	Good 	0.420 	0.065 	8.676 	
24E   	6   	10   	  350 	below 	green 	red 	Good 	0.388 	0.108 	12.059 	
24E   	6   	11   	  350 	above 	red 	green 	Good 	0.527 	0.072 	9.559 	
24E   	6   	12   	  650 	above 	red 	red 	Good 	0.720 	0.108 	10.147 	
24E   	6   	13   	  950 	above 	green 	green 	Good 	0.366 	0.073 	8.676 	
24E   	6   	14   	  950 	below 	red 	green 	Good 	0.398 	0.073 	10.000 	
24E   	6   	15   	  950 	below 	green 	green 	Good 	0.384 	0.071 	9.118 	
24E   	6   	16   	  350 	above 	red 	red 	Good 	0.364 	0.082 	10.147 	
24E   	6   	17   	  950 	below 	green 	red 	Good 	0.303 	0.102 	9.853 	
24E   	6   	18   	  50 	above 	red 	red 	Good 	0.513 	0.109 	11.324 	
24E   	6   	19   	  50 	below 	green 	red 	Good 	0.582 	0.109 	10.441 	
24E   	6   	20   	  50 	below 	green 	green 	Good 	0.615 	0.072 	10.588 	
24E   	6   	21   	  350 	above 	green 	red 	Good 	0.374 	0.115 	12.206 	
24E   	6   	22   	  950 	above 	red 	red 	Good 	0.390 	0.094 	9.118 	
24E   	6   	23   	  950 	below 	red 	red 	Good 	0.395 	0.097 	10.294 	
24E   	6   	24   	  650 	above 	green 	red 	Good 	0.452 	0.108 	11.324 	
24E   	6   	25   	  650 	below 	green 	red 	Good 	0.420 	0.097 	11.618 	
24E   	6   	26   	  650 	below 	green 	green 	Good 	0.313 	0.073 	10.441 	
24E   	6   	27   	  650 	above 	green 	green 	Good 	0.285 	0.106 	10.735 	
24E   	6   	28   	  350 	below 	red 	red 	Good 	0.355 	0.110 	14.265 	
24E   	6   	29   	  950 	above 	green 	red 	Good 	0.312 	0.097 	10.294 	
24E   	6   	30   	  50 	below 	red 	red 	Good 	0.426 	0.111 	10.735 	
24E   	6   	31   	  50 	below 	red 	green 	Good 	0.575 	0.075 	11.029 	
24E   	6   	32   	  350 	below 	red 	green 	Good 	0.425 	0.064 	10.588 	
24E   	7   	1   	  950 	below 	green 	red 	Good 	0.484 	0.079 	10.294 	
24E   	7   	2   	  650 	below 	red 	green 	Good 	0.293 	0.078 	10.294 	
24E   	7   	3   	  50 	above 	green 	green 	Good 	0.686 	0.077 	11.176 	
24E   	7   	4   	  950 	above 	red 	red 	Good 	0.505 	0.116 	12.206 	
24E   	7   	5   	  650 	above 	green 	green 	Good 	0.306 	0.075 	7.794 	
24E   	7   	6   	  950 	below 	red 	green 	Good 	0.415 	0.090 	9.265 	
24E   	7   	7   	  350 	below 	green 	green 	Good 	0.432 	0.053 	5.735 	
24E   	7   	8   	  950 	below 	red 	red 	Good 	0.373 	0.118 	12.794 	
24E   	7   	9   	  650 	below 	green 	red 	Good 	0.413 	0.166 	12.353 	
24E   	7   	10   	  50 	below 	green 	red 	Good 	0.475 	0.112 	12.500 	
24E   	7   	11   	  950 	above 	green 	red 	Good 	0.460 	0.099 	12.500 	
24E   	7   	12   	  350 	below 	red 	green 	Good 	0.435 	0.071 	5.294 	
24E   	7   	13   	  50 	below 	red 	green 	Good 	0.539 	0.056 	4.559 	
24E   	7   	14   	  50 	below 	green 	green 	Good 	0.543 	0.076 	8.235 	
24E   	7   	15   	  950 	above 	green 	green 	Good 	0.320 	0.069 	6.471 	
24E   	7   	16   	  650 	above 	green 	red 	Good 	0.297 	0.089 	13.382 	
24E   	7   	17   	  650 	above 	red 	green 	Good 	0.560 	0.057 	5.441 	
24E   	7   	18   	  350 	above 	green 	green 	Good 	0.332 	0.071 	7.353 	
24E   	7   	20   	  50 	above 	green 	red 	Good 	0.551 	0.099 	11.618 	
24E   	7   	21   	  950 	above 	red 	green 	Good 	0.454 	0.070 	6.471 	
24E   	7   	22   	  650 	below 	green 	green 	Good 	0.365 	0.081 	5.000 	
24E   	7   	23   	  350 	below 	green 	red 	Good 	0.364 	0.089 	11.471 	
24E   	7   	24   	  650 	below 	red 	red 	Good 	0.326 	0.088 	13.235 	
24E   	7   	25   	  350 	above 	red 	red 	Good 	0.395 	0.094 	11.765 	
24E   	7   	26   	  350 	above 	red 	green 	Good 	0.403 	0.067 	9.706 	
24E   	7   	27   	  950 	below 	green 	green 	Good 	0.315 	0.070 	6.324 	
24E   	7   	28   	  350 	below 	red 	red 	Good 	0.364 	0.092 	12.059 	
24E   	7   	29   	  50 	above 	red 	red 	Good 	0.408 	0.100 	13.235 	
24E   	7   	30   	  50 	above 	red 	green 	Good 	0.486 	0.065 	6.176 	
24E   	7   	31   	  350 	above 	green 	red 	Good 	0.357 	0.113 	13.676 	
24E   	7   	32   	  50 	below 	red 	red 	Good 	0.489 	0.107 	15.294 	
24E   	8   	1   	  650 	below 	red 	green 	Good 	0.430 	0.041 	3.824 	
24E   	8   	3   	  50 	above 	red 	green 	Good 	0.733 	0.071 	15.882 	
24E   	8   	4   	  350 	below 	green 	red 	Good 	0.407 	0.076 	16.471 	
24E   	8   	5   	  50 	below 	red 	green 	Good 	0.614 	0.081 	19.265 	
24E   	8   	6   	  950 	below 	green 	green 	Good 	0.405 	0.086 	15.000 	
24E   	8   	7   	  950 	above 	green 	green 	Good 	0.396 	0.079 	13.235 	
24E   	8   	8   	  950 	below 	red 	green 	Good 	0.359 	0.077 	12.794 	
24E   	8   	9   	  350 	below 	red 	red 	Good 	0.346 	0.129 	17.647 	
24E   	8   	10   	  350 	above 	green 	green 	Good 	0.358 	0.090 	10.000 	
24E   	8   	11   	  50 	above 	green 	green 	Good 	0.568 	0.075 	7.500 	
24E   	8   	12   	  350 	above 	red 	red 	Good 	0.349 	0.109 	11.912 	
24E   	8   	13   	  950 	below 	red 	red 	Good 	0.396 	0.090 	8.529 	
24E   	8   	14   	  350 	above 	green 	red 	Good 	0.504 	0.094 	6.618 	
24E   	8   	15   	  650 	below 	red 	red 	Good 	0.324 	0.129 	12.500 	
24E   	8   	16   	  350 	below 	green 	green 	Good 	0.384 	0.095 	12.206 	
24E   	8   	17   	  350 	below 	red 	green 	Good 	0.462 	0.070 	9.853 	
24E   	8   	18   	  950 	below 	green 	red 	Good 	0.331 	0.120 	14.559 	
24E   	8   	19   	  650 	below 	green 	red 	Good 	0.376 	0.092 	8.235 	
24E   	8   	20   	  950 	above 	green 	red 	Good 	0.495 	0.105 	9.412 	
24E   	8   	21   	  650 	above 	red 	red 	Good 	0.485 	0.103 	9.853 	
24E   	8   	22   	  950 	above 	red 	red 	Good 	0.345 	0.092 	10.147 	
24E   	8   	23   	  650 	above 	green 	green 	Good 	0.299 	0.079 	9.706 	
24E   	8   	24   	  950 	above 	red 	green 	Good 	0.340 	0.074 	7.941 	
24E   	8   	26   	  50 	below 	red 	red 	Good 	0.761 	0.106 	9.265 	
24E   	8   	27   	  50 	below 	green 	green 	Good 	0.673 	0.071 	11.176 	
24E   	8   	28   	  650 	above 	red 	green 	Good 	0.442 	0.091 	11.912 	
24E   	8   	29   	  350 	above 	red 	green 	Good 	0.565 	0.084 	10.147 	
24E   	8   	30   	  50 	below 	green 	red 	Good 	0.498 	0.132 	13.088 	
24E   	8   	31   	  50 	above 	red 	red 	Good 	0.483 	0.098 	11.618 	
24E   	8   	32   	  650 	above 	green 	red 	Good 	0.413 	0.095 	12.794 	
24E   	9   	1   	  650 	above 	green 	red 	Good 	0.404 	0.118 	15.588 	
24E   	9   	2   	  50 	above 	red 	green 	Good 	0.690 	0.084 	12.206 	
24E   	9   	3   	  350 	below 	green 	green 	Good 	0.447 	0.083 	10.441 	
24E   	9   	4   	  950 	below 	green 	red 	Good 	0.308 	0.105 	14.265 	
24E   	9   	5   	  650 	below 	red 	red 	Good 	0.325 	0.085 	13.088 	
24E   	9   	6   	  950 	above 	green 	red 	Good 	0.353 	0.109 	13.382 	
24E   	9   	7   	  50 	above 	green 	green 	Good 	0.461 	0.071 	8.088 	
24E   	9   	8   	  650 	below 	green 	green 	Good 	0.410 	0.064 	7.206 	
24E   	9   	9   	  350 	above 	red 	green 	Good 	0.495 	0.087 	7.794 	
24E   	9   	10   	  350 	below 	red 	red 	Good 	0.399 	0.092 	12.206 	
24E   	9   	11   	  650 	above 	red 	green 	Good 	0.395 	0.072 	9.412 	
24E   	9   	12   	  50 	below 	green 	green 	Good 	0.451 	0.090 	10.000 	
24E   	9   	13   	  50 	above 	red 	red 	Good 	0.486 	0.082 	10.588 	
24E   	9   	14   	  350 	above 	green 	red 	Good 	0.545 	0.084 	9.412 	
24E   	9   	15   	  650 	below 	green 	red 	Good 	0.586 	0.103 	12.206 	
24E   	9   	16   	  950 	below 	red 	green 	Good 	0.440 	0.068 	7.647 	
24E   	9   	17   	  650 	above 	red 	red 	Good 	0.429 	0.087 	10.294 	
24E   	9   	18   	  950 	below 	red 	red 	Good 	0.476 	0.113 	12.059 	
24E   	9   	19   	  350 	above 	green 	green 	Good 	0.578 	0.080 	8.088 	
24E   	9   	20   	  50 	above 	green 	red 	Good 	0.486 	0.080 	9.706 	
24E   	9   	21   	  650 	below 	red 	green 	Good 	0.364 	0.101 	7.206 	
24E   	9   	22   	  50 	below 	red 	red 	Good 	0.407 	0.124 	14.559 	
24E   	9   	23   	  650 	above 	green 	green 	Good 	0.301 	0.069 	6.618 	
24E   	9   	24   	  950 	above 	green 	green 	Good 	0.400 	0.067 	3.971 	
24E   	9   	25   	  350 	above 	red 	red 	Good 	0.384 	0.084 	11.176 	
24E   	9   	26   	  350 	below 	green 	red 	Good 	0.390 	0.077 	10.735 	
24E   	9   	27   	  950 	above 	red 	green 	Good 	0.441 	0.074 	8.235 	
24E   	9   	28   	  950 	above 	red 	red 	Good 	0.551 	0.080 	11.618 	
24E   	9   	29   	  50 	below 	green 	red 	Good 	0.665 	0.098 	15.147 	
24E   	9   	30   	  350 	below 	red 	green 	Good 	0.408 	0.060 	5.882 	
24E   	9   	31   	  950 	below 	green 	green 	Good 	0.629 	0.071 	8.088 	
24E   	9   	32   	  50 	below 	red 	green 	Good 	0.633 	0.072 	5.000 	
24E   	10   	2   	  650 	above 	red 	green 	Good 	0.358 	0.068 	3.088 	
24E   	10   	4   	  50 	above 	red 	green 	Good 	0.661 	0.046 	20.294 	
24E   	10   	5   	  650 	below 	green 	green 	Good 	0.449 	0.106 	15.147 	
24E   	10   	6   	  950 	below 	red 	red 	Good 	0.380 	0.096 	8.382 	
24E   	10   	7   	  950 	below 	red 	green 	Good 	0.435 	0.102 	14.265 	
24E   	10   	8   	  50 	above 	green 	red 	Good 	0.498 	0.087 	7.206 	
24E   	10   	9   	  350 	above 	green 	green 	Good 	0.407 	0.081 	18.382 	
24E   	10   	10   	  950 	above 	red 	green 	Good 	0.468 	0.104 	18.235 	
24E   	10   	11   	  350 	below 	red 	red 	Good 	0.505 	0.108 	12.353 	
24E   	10   	12   	  50 	below 	green 	red 	Good 	0.465 	0.085 	7.500 	
24E   	10   	13   	  50 	above 	red 	red 	Good 	0.432 	0.082 	6.618 	
24E   	10   	14   	  50 	below 	green 	green 	Good 	0.473 	0.171 	14.706 	
24E   	10   	15   	  350 	above 	red 	red 	Good 	0.360 	0.079 	8.971 	
24E   	10   	16   	  950 	above 	green 	green 	Good 	0.393 	0.099 	11.176 	
24E   	10   	17   	  650 	above 	red 	red 	Good 	0.519 	0.076 	7.500 	
24E   	10   	18   	  950 	above 	red 	red 	Good 	0.308 	0.080 	6.618 	
24E   	10   	19   	  50 	below 	red 	red 	Good 	0.435 	0.088 	7.500 	
24E   	10   	20   	  350 	below 	green 	green 	Good 	0.457 	0.104 	12.794 	
24E   	10   	21   	  950 	above 	green 	red 	Good 	0.358 	0.076 	7.206 	
24E   	10   	22   	  350 	above 	red 	green 	Good 	0.526 	0.094 	12.941 	
24E   	10   	23   	  350 	above 	green 	red 	Good 	0.400 	0.086 	8.971 	
24E   	10   	24   	  950 	below 	green 	red 	Good 	0.357 	0.086 	8.676 	
24E   	10   	25   	  50 	above 	green 	green 	Good 	0.521 	0.117 	12.941 	
24E   	10   	26   	  350 	below 	green 	red 	Good 	0.403 	0.088 	8.676 	
24E   	10   	27   	  650 	below 	green 	red 	Good 	0.315 	0.089 	9.853 	
24E   	10   	28   	  50 	below 	red 	green 	Good 	0.505 	0.091 	11.471 	
24E   	10   	29   	  650 	above 	green 	green 	Good 	0.406 	0.106 	12.206 	
24E   	10   	30   	  650 	above 	green 	red 	Good 	0.402 	0.068 	5.588 	
24E   	10   	31   	  950 	below 	green 	green 	Good 	0.371 	0.102 	12.353 	
24E   	10   	32   	  650 	below 	red 	red 	Good 	0.278 	0.101 	8.382 	
24E   	11   	3   	  650 	above 	green 	green 	Good 	0.325 	0.094 	12.794 	
24E   	11   	4   	  50 	above 	green 	red 	Good 	0.503 	0.097 	9.118 	
24E   	11   	5   	  350 	below 	red 	green 	Good 	0.464 	0.098 	11.912 	
24E   	11   	6   	  650 	above 	red 	green 	Good 	0.464 	0.100 	12.059 	
24E   	11   	7   	  950 	below 	green 	green 	Good 	0.354 	0.098 	10.294 	
24E   	11   	8   	  950 	below 	red 	green 	Good 	0.382 	0.068 	3.088 	
24E   	11   	9   	  50 	below 	green 	green 	Good 	0.444 	0.107 	12.353 	
24E   	11   	10   	  650 	above 	green 	red 	Good 	0.290 	0.104 	9.559 	
24E   	11   	11   	  650 	below 	green 	green 	Good 	0.455 	0.099 	12.647 	
24E   	11   	12   	  50 	above 	green 	green 	Good 	0.577 	0.107 	12.941 	
24E   	11   	13   	  350 	above 	red 	red 	Good 	0.368 	0.096 	9.706 	
24E   	11   	14   	  50 	below 	red 	red 	Good 	0.438 	0.192 	11.618 	
24E   	11   	15   	  950 	above 	red 	green 	Good 	0.389 	0.100 	12.206 	
24E   	11   	16   	  350 	above 	green 	green 	Good 	0.397 	0.100 	11.912 	
24E   	11   	17   	  350 	above 	red 	green 	Good 	0.438 	0.103 	12.794 	
24E   	11   	18   	  50 	below 	red 	green 	Good 	0.495 	0.106 	12.206 	
24E   	11   	19   	  950 	above 	green 	red 	Good 	0.484 	0.093 	7.941 	
24E   	11   	20   	  50 	above 	red 	red 	Good 	0.403 	0.097 	8.382 	
24E   	11   	21   	  950 	above 	green 	green 	Good 	0.369 	0.094 	10.147 	
24E   	11   	22   	  50 	above 	red 	green 	Good 	0.620 	0.098 	12.647 	
24E   	11   	23   	  350 	below 	green 	green 	Good 	0.443 	0.104 	12.059 	
24E   	11   	24   	  350 	below 	green 	red 	Good 	0.437 	0.107 	10.441 	
24E   	11   	25   	  50 	below 	green 	red 	Good 	0.443 	0.099 	8.971 	
24E   	11   	26   	  950 	below 	red 	red 	Good 	0.364 	0.094 	11.912 	
24E   	11   	27   	  650 	above 	red 	red 	Good 	0.444 	0.097 	11.471 	
24E   	11   	28   	  350 	below 	red 	red 	Good 	0.408 	0.094 	10.735 	
24E   	11   	29   	  950 	below 	green 	red 	Good 	0.332 	0.106 	13.529 	
24E   	11   	30   	  650 	below 	red 	green 	Good 	0.290 	0.135 	12.353 	
24E   	11   	31   	  950 	above 	red 	red 	Good 	0.361 	0.092 	9.118 	
24E   	11   	32   	  650 	below 	green 	red 	Good 	0.475 	0.099 	10.000 	
