S#    Block   Trial       SOA   FlkPos  FlkCol  TarCol  OnLine    RT      MT    Distance
26E   	4   	4   	  50 	above 	green 	red 	Good 	0.623 	0.090 	9.559 	
26E   	4   	5   	  650 	below 	green 	red 	Good 	0.486 	0.095 	9.118 	
26E   	4   	6   	  50 	below 	red 	red 	Good 	0.658 	0.102 	10.441 	
26E   	4   	7   	  50 	below 	red 	green 	Good 	0.655 	0.084 	9.265 	
26E   	4   	8   	  650 	above 	green 	red 	Good 	0.450 	0.092 	9.265 	
26E   	4   	9   	  950 	below 	green 	red 	Good 	0.905 	0.102 	11.029 	
26E   	4   	10   	  650 	above 	red 	red 	Good 	0.422 	0.103 	8.971 	
26E   	4   	11   	  650 	below 	red 	red 	Good 	0.484 	0.108 	9.853 	
26E   	4   	12   	  350 	below 	red 	red 	Good 	0.470 	0.095 	9.559 	
26E   	4   	13   	  950 	above 	red 	green 	Good 	0.466 	0.087 	10.735 	
26E   	4   	14   	  950 	above 	red 	red 	Good 	0.545 	0.093 	9.118 	
26E   	4   	15   	  50 	below 	green 	green 	Good 	0.596 	0.080 	8.529 	
26E   	4   	16   	  50 	above 	green 	green 	Good 	0.737 	0.091 	9.559 	
26E   	4   	17   	  50 	below 	green 	red 	Good 	0.649 	0.108 	8.824 	
26E   	4   	18   	  350 	above 	green 	green 	Good 	0.472 	0.074 	7.500 	
26E   	4   	19   	  350 	above 	red 	red 	Good 	0.429 	0.104 	10.588 	
26E   	4   	20   	  950 	above 	green 	green 	Good 	0.489 	0.093 	8.971 	
26E   	4   	21   	  350 	below 	red 	green 	Good 	0.564 	0.077 	7.353 	
26E   	4   	22   	  50 	above 	red 	green 	Good 	0.799 	0.093 	8.676 	
26E   	4   	24   	  950 	below 	green 	green 	Good 	0.435 	0.079 	8.382 	
26E   	4   	25   	  350 	above 	green 	red 	Good 	0.440 	0.111 	10.147 	
26E   	4   	26   	  350 	above 	red 	green 	Good 	0.603 	0.090 	9.118 	
26E   	4   	27   	  350 	below 	green 	green 	Good 	0.490 	0.081 	8.382 	
26E   	4   	28   	  950 	below 	red 	green 	Good 	0.344 	0.081 	8.971 	
26E   	4   	29   	  650 	above 	red 	green 	Good 	0.525 	0.078 	8.676 	
26E   	4   	30   	  650 	below 	green 	green 	Good 	0.387 	0.078 	8.529 	
26E   	4   	31   	  650 	above 	green 	green 	Good 	0.586 	0.081 	9.118 	
26E   	4   	32   	  650 	below 	red 	green 	Good 	0.471 	0.076 	8.088 	
26E   	5   	1   	  50 	below 	red 	red 	Good 	0.601 	0.098 	9.706 	
26E   	5   	2   	  350 	below 	red 	red 	Good 	0.468 	0.084 	10.000 	
26E   	5   	3   	  950 	above 	green 	red 	Good 	0.465 	0.096 	10.147 	
26E   	5   	4   	  950 	above 	red 	red 	Good 	0.473 	0.099 	10.588 	
26E   	5   	5   	  650 	above 	red 	red 	Good 	0.565 	0.101 	9.265 	
26E   	5   	6   	  50 	above 	red 	green 	Good 	0.573 	0.100 	10.147 	
