"","idv","iv","iv2","exp","dv"
"97",1,1,0,"Stein & van Peelen_2020_3_LOC_2",1
"98",1,0,0,"Stein & van Peelen_2020_3_LOC_1",1
"99",1,0,0,"Stein & van Peelen_2020_3_LOC_1",0
"100",1,1,1,"Stein & van Peelen_2020_3_LOC_2",1
"101",1,1,0,"Stein & van Peelen_2020_3_LOC_1",1
"102",1,1,1,"Stein & van Peelen_2020_3_LOC_2",1
"103",1,0,1,"Stein & van Peelen_2020_3_LOC_1",1
"104",1,1,0,"Stein & van Peelen_2020_3_LOC_2",1
"105",1,0,0,"Stein & van Peelen_2020_3_LOC_2",1
"106",1,0,1,"Stein & van Peelen_2020_3_LOC_2",0
"107",1,0,0,"Stein & van Peelen_2020_3_LOC_2",1
"108",1,1,1,"Stein & van Peelen_2020_3_LOC_1",1
"109",1,1,1,"Stein & van Peelen_2020_3_LOC_1",1
"110",1,1,0,"Stein & van Peelen_2020_3_LOC_1",1
"111",1,0,1,"Stein & van Peelen_2020_3_LOC_1",1
"112",1,1,0,"Stein & van Peelen_2020_3_LOC_2",1
"113",1,1,0,"Stein & van Peelen_2020_3_LOC_2",1
"114",1,1,1,"Stein & van Peelen_2020_3_LOC_1",1
"115",1,1,1,"Stein & van Peelen_2020_3_LOC_1",1
"116",1,1,1,"Stein & van Peelen_2020_3_LOC_1",1
"117",1,0,0,"Stein & van Peelen_2020_3_LOC_2",1
"118",1,0,0,"Stein & van Peelen_2020_3_LOC_2",1
"119",1,0,0,"Stein & van Peelen_2020_3_LOC_2",0
"120",1,0,1,"Stein & van Peelen_2020_3_LOC_1",1
"121",1,0,0,"Stein & van Peelen_2020_3_LOC_2",0
"122",1,1,1,"Stein & van Peelen_2020_3_LOC_2",1
"123",1,1,0,"Stein & van Peelen_2020_3_LOC_1",1
"124",1,1,0,"Stein & van Peelen_2020_3_LOC_1",1
"125",1,0,0,"Stein & van Peelen_2020_3_LOC_2",0
"126",1,1,0,"Stein & van Peelen_2020_3_LOC_1",1
"127",1,1,1,"Stein & van Peelen_2020_3_LOC_2",1
"128",1,0,0,"Stein & van Peelen_2020_3_LOC_1",1
"129",1,1,1,"Stein & van Peelen_2020_3_LOC_1",1
"130",1,1,1,"Stein & van Peelen_2020_3_LOC_2",1
"131",1,1,1,"Stein & van Peelen_2020_3_LOC_2",1
"132",1,1,0,"Stein & van Peelen_2020_3_LOC_2",1
"133",1,1,0,"Stein & van Peelen_2020_3_LOC_1",1
"134",1,1,0,"Stein & van Peelen_2020_3_LOC_1",1
"135",1,0,1,"Stein & van Peelen_2020_3_LOC_1",1
"136",1,1,0,"Stein & van Peelen_2020_3_LOC_1",0
"137",1,0,0,"Stein & van Peelen_2020_3_LOC_1",0
"138",1,0,1,"Stein & van Peelen_2020_3_LOC_1",1
"139",1,0,1,"Stein & van Peelen_2020_3_LOC_2",1
"140",1,1,1,"Stein & van Peelen_2020_3_LOC_1",1
"141",1,0,1,"Stein & van Peelen_2020_3_LOC_1",1
"142",1,1,0,"Stein & van Peelen_2020_3_LOC_2",0
"143",1,1,1,"Stein & van Peelen_2020_3_LOC_1",1
"144",1,1,1,"Stein & van Peelen_2020_3_LOC_2",1
"145",1,0,1,"Stein & van Peelen_2020_3_LOC_1",1
"146",1,1,1,"Stein & van Peelen_2020_3_LOC_2",1
"147",1,1,1,"Stein & van Peelen_2020_3_LOC_1",1
"148",1,0,0,"Stein & van Peelen_2020_3_LOC_1",1
"149",1,1,0,"Stein & van Peelen_2020_3_LOC_2",0
"150",1,1,0,"Stein & van Peelen_2020_3_LOC_1",1
"151",1,0,0,"Stein & van Peelen_2020_3_LOC_1",1
"152",1,1,0,"Stein & van Peelen_2020_3_LOC_2",1
"153",1,1,0,"Stein & van Peelen_2020_3_LOC_1",1
"154",1,1,0,"Stein & van Peelen_2020_3_LOC_1",1
"155",1,0,0,"Stein & van Peelen_2020_3_LOC_1",1
"156",1,1,0,"Stein & van Peelen_2020_3_LOC_1",1
"157",1,1,1,"Stein & van Peelen_2020_3_LOC_1",1
"158",1,1,1,"Stein & van Peelen_2020_3_LOC_2",1
"159",1,1,0,"Stein & van Peelen_2020_3_LOC_1",1
"160",1,0,1,"Stein & van Peelen_2020_3_LOC_2",1
"161",1,0,0,"Stein & van Peelen_2020_3_LOC_2",1
"162",1,0,0,"Stein & van Peelen_2020_3_LOC_2",1
"163",1,1,0,"Stein & van Peelen_2020_3_LOC_1",1
"164",1,1,0,"Stein & van Peelen_2020_3_LOC_1",0
"165",1,1,0,"Stein & van Peelen_2020_3_LOC_1",1
"166",1,0,0,"Stein & van Peelen_2020_3_LOC_1",1
"167",1,0,1,"Stein & van Peelen_2020_3_LOC_2",1
"168",1,0,1,"Stein & van Peelen_2020_3_LOC_1",1
"169",1,1,0,"Stein & van Peelen_2020_3_LOC_2",0
"170",1,1,1,"Stein & van Peelen_2020_3_LOC_1",1
"171",1,1,1,"Stein & van Peelen_2020_3_LOC_2",1
"172",1,1,0,"Stein & van Peelen_2020_3_LOC_2",0
"173",1,0,1,"Stein & van Peelen_2020_3_LOC_2",1
"174",1,0,1,"Stein & van Peelen_2020_3_LOC_1",1
"175",1,0,0,"Stein & van Peelen_2020_3_LOC_1",1
"176",1,0,1,"Stein & van Peelen_2020_3_LOC_1",1
"177",1,0,1,"Stein & van Peelen_2020_3_LOC_1",1
"178",1,1,0,"Stein & van Peelen_2020_3_LOC_2",1
"179",1,0,1,"Stein & van Peelen_2020_3_LOC_2",1
"180",1,0,1,"Stein & van Peelen_2020_3_LOC_2",1
"181",1,0,0,"Stein & van Peelen_2020_3_LOC_2",0
"182",1,0,1,"Stein & van Peelen_2020_3_LOC_2",1
"183",1,0,1,"Stein & van Peelen_2020_3_LOC_2",1
"184",1,1,0,"Stein & van Peelen_2020_3_LOC_1",1
"185",1,1,1,"Stein & van Peelen_2020_3_LOC_1",1
"186",1,0,0,"Stein & van Peelen_2020_3_LOC_2",1
"187",1,0,1,"Stein & van Peelen_2020_3_LOC_1",1
"188",1,1,0,"Stein & van Peelen_2020_3_LOC_1",1
"189",1,0,1,"Stein & van Peelen_2020_3_LOC_2",1
"190",1,1,0,"Stein & van Peelen_2020_3_LOC_2",1
"191",1,1,0,"Stein & van Peelen_2020_3_LOC_2",1
"192",1,0,1,"Stein & van Peelen_2020_3_LOC_1",1
"193",1,1,1,"Stein & van Peelen_2020_3_LOC_1",1
"194",1,0,1,"Stein & van Peelen_2020_3_LOC_1",1
"195",1,0,1,"Stein & van Peelen_2020_3_LOC_2",1
"196",1,0,1,"Stein & van Peelen_2020_3_LOC_2",1
"197",1,0,0,"Stein & van Peelen_2020_3_LOC_1",1
"198",1,1,0,"Stein & van Peelen_2020_3_LOC_2",1
"199",1,1,0,"Stein & van Peelen_2020_3_LOC_1",1
"200",1,0,0,"Stein & van Peelen_2020_3_LOC_1",1
"201",1,0,1,"Stein & van Peelen_2020_3_LOC_1",1
"202",1,0,0,"Stein & van Peelen_2020_3_LOC_1",1
"203",1,0,0,"Stein & van Peelen_2020_3_LOC_1",0
"204",1,0,1,"Stein & van Peelen_2020_3_LOC_1",1
"205",1,1,1,"Stein & van Peelen_2020_3_LOC_1",1
"206",1,0,0,"Stein & van Peelen_2020_3_LOC_1",1
"207",1,0,0,"Stein & van Peelen_2020_3_LOC_2",1
"208",1,0,0,"Stein & van Peelen_2020_3_LOC_1",1
"209",1,1,0,"Stein & van Peelen_2020_3_LOC_2",1
"210",1,1,0,"Stein & van Peelen_2020_3_LOC_1",1
"211",1,1,1,"Stein & van Peelen_2020_3_LOC_1",1
"212",1,0,0,"Stein & van Peelen_2020_3_LOC_1",1
"213",1,1,0,"Stein & van Peelen_2020_3_LOC_1",1
"214",1,0,1,"Stein & van Peelen_2020_3_LOC_2",1
"215",1,0,0,"Stein & van Peelen_2020_3_LOC_1",1
"216",1,0,0,"Stein & van Peelen_2020_3_LOC_2",1
"217",1,1,1,"Stein & van Peelen_2020_3_LOC_1",1
"218",1,0,1,"Stein & van Peelen_2020_3_LOC_1",1
"219",1,0,1,"Stein & van Peelen_2020_3_LOC_1",1
"220",1,1,1,"Stein & van Peelen_2020_3_LOC_2",1
"221",1,0,0,"Stein & van Peelen_2020_3_LOC_2",1
"222",1,1,1,"Stein & van Peelen_2020_3_LOC_2",1
"223",1,1,1,"Stein & van Peelen_2020_3_LOC_2",1
"224",1,1,0,"Stein & van Peelen_2020_3_LOC_2",1
"225",1,1,1,"Stein & van Peelen_2020_3_LOC_1",1
"226",1,1,0,"Stein & van Peelen_2020_3_LOC_2",1
"227",1,1,1,"Stein & van Peelen_2020_3_LOC_2",1
"228",1,1,0,"Stein & van Peelen_2020_3_LOC_2",1
"229",1,0,1,"Stein & van Peelen_2020_3_LOC_1",1
"230",1,1,0,"Stein & van Peelen_2020_3_LOC_1",1
"231",1,1,1,"Stein & van Peelen_2020_3_LOC_1",1
"232",1,1,0,"Stein & van Peelen_2020_3_LOC_2",1
"233",1,0,1,"Stein & van Peelen_2020_3_LOC_2",1
"234",1,0,0,"Stein & van Peelen_2020_3_LOC_2",1
"235",1,0,1,"Stein & van Peelen_2020_3_LOC_1",1
"236",1,1,0,"Stein & van Peelen_2020_3_LOC_1",1
"237",1,1,1,"Stein & van Peelen_2020_3_LOC_1",1
"238",1,1,1,"Stein & van Peelen_2020_3_LOC_2",1
"239",1,0,0,"Stein & van Peelen_2020_3_LOC_2",1
"240",1,1,1,"Stein & van Peelen_2020_3_LOC_2",1
"241",1,0,0,"Stein & van Peelen_2020_3_LOC_2",1
"242",1,1,1,"Stein & van Peelen_2020_3_LOC_1",1
"243",1,1,0,"Stein & van Peelen_2020_3_LOC_1",1
"244",1,1,1,"Stein & van Peelen_2020_3_LOC_2",1
"245",1,1,1,"Stein & van Peelen_2020_3_LOC_1",1
"246",1,1,0,"Stein & van Peelen_2020_3_LOC_1",1
"247",1,1,0,"Stein & van Peelen_2020_3_LOC_2",1
"248",1,1,0,"Stein & van Peelen_2020_3_LOC_1",1
"249",1,0,1,"Stein & van Peelen_2020_3_LOC_1",1
"250",1,0,0,"Stein & van Peelen_2020_3_LOC_2",1
"251",1,0,1,"Stein & van Peelen_2020_3_LOC_2",1
"252",1,1,0,"Stein & van Peelen_2020_3_LOC_2",1
"253",1,0,0,"Stein & van Peelen_2020_3_LOC_1",1
"254",1,1,0,"Stein & van Peelen_2020_3_LOC_2",1
"255",1,1,0,"Stein & van Peelen_2020_3_LOC_2",1
"256",1,0,1,"Stein & van Peelen_2020_3_LOC_2",1
"257",1,1,0,"Stein & van Peelen_2020_3_LOC_2",1
"258",1,0,1,"Stein & van Peelen_2020_3_LOC_2",1
"259",1,0,1,"Stein & van Peelen_2020_3_LOC_1",1
"260",1,0,1,"Stein & van Peelen_2020_3_LOC_1",1
"261",1,1,1,"Stein & van Peelen_2020_3_LOC_1",1
"262",1,0,1,"Stein & van Peelen_2020_3_LOC_2",1
"263",1,1,1,"Stein & van Peelen_2020_3_LOC_2",1
"264",1,1,0,"Stein & van Peelen_2020_3_LOC_1",1
"265",1,0,0,"Stein & van Peelen_2020_3_LOC_2",1
"266",1,1,0,"Stein & van Peelen_2020_3_LOC_2",1
"267",1,1,1,"Stein & van Peelen_2020_3_LOC_2",1
"268",1,0,1,"Stein & van Peelen_2020_3_LOC_1",1
"269",1,1,1,"Stein & van Peelen_2020_3_LOC_2",1
"270",1,1,1,"Stein & van Peelen_2020_3_LOC_1",1
"271",1,1,1,"Stein & van Peelen_2020_3_LOC_2",1
"272",1,1,1,"Stein & van Peelen_2020_3_LOC_1",1
"273",1,1,1,"Stein & van Peelen_2020_3_LOC_1",1
"274",1,0,0,"Stein & van Peelen_2020_3_LOC_2",1
"275",1,0,1,"Stein & van Peelen_2020_3_LOC_1",1
"276",1,1,0,"Stein & van Peelen_2020_3_LOC_1",1
"277",1,0,1,"Stein & van Peelen_2020_3_LOC_2",1
"278",1,0,1,"Stein & van Peelen_2020_3_LOC_1",1
"279",1,0,0,"Stein & van Peelen_2020_3_LOC_2",1
"280",1,1,0,"Stein & van Peelen_2020_3_LOC_2",1
"281",1,1,1,"Stein & van Peelen_2020_3_LOC_2",1
"282",1,1,1,"Stein & van Peelen_2020_3_LOC_1",1
"283",1,0,1,"Stein & van Peelen_2020_3_LOC_2",1
"284",1,1,0,"Stein & van Peelen_2020_3_LOC_2",1
"285",1,1,1,"Stein & van Peelen_2020_3_LOC_1",1
"286",1,0,0,"Stein & van Peelen_2020_3_LOC_2",1
"287",1,0,1,"Stein & van Peelen_2020_3_LOC_1",1
"288",1,0,1,"Stein & van Peelen_2020_3_LOC_2",1
"289",2,1,1,"Stein & van Peelen_2020_3_LOC_2",1
"290",2,0,0,"Stein & van Peelen_2020_3_LOC_1",0
"291",2,1,0,"Stein & van Peelen_2020_3_LOC_1",1
"292",2,0,0,"Stein & van Peelen_2020_3_LOC_2",1
"293",2,0,1,"Stein & van Peelen_2020_3_LOC_1",1
"294",2,0,0,"Stein & van Peelen_2020_3_LOC_2",0
"295",2,0,0,"Stein & van Peelen_2020_3_LOC_1",1
"296",2,0,0,"Stein & van Peelen_2020_3_LOC_1",1
"297",2,1,0,"Stein & van Peelen_2020_3_LOC_2",0
"298",2,1,0,"Stein & van Peelen_2020_3_LOC_2",1
"299",2,0,1,"Stein & van Peelen_2020_3_LOC_1",1
"300",2,0,0,"Stein & van Peelen_2020_3_LOC_1",1
"301",2,0,0,"Stein & van Peelen_2020_3_LOC_1",1
"302",2,1,1,"Stein & van Peelen_2020_3_LOC_1",1
"303",2,1,1,"Stein & van Peelen_2020_3_LOC_1",1
"304",2,1,1,"Stein & van Peelen_2020_3_LOC_2",1
"305",2,0,0,"Stein & van Peelen_2020_3_LOC_1",1
"306",2,0,0,"Stein & van Peelen_2020_3_LOC_2",1
"307",2,0,0,"Stein & van Peelen_2020_3_LOC_2",1
"308",2,0,1,"Stein & van Peelen_2020_3_LOC_1",1
"309",2,0,1,"Stein & van Peelen_2020_3_LOC_2",1
"310",2,0,1,"Stein & van Peelen_2020_3_LOC_1",1
"311",2,0,0,"Stein & van Peelen_2020_3_LOC_1",1
"312",2,0,1,"Stein & van Peelen_2020_3_LOC_2",1
"313",2,0,1,"Stein & van Peelen_2020_3_LOC_1",1
"314",2,1,0,"Stein & van Peelen_2020_3_LOC_1",1
"315",2,1,0,"Stein & van Peelen_2020_3_LOC_2",1
