"","exp","non_directional.statistic","non_directional.p","non_directional.ci_low","non_directional.ci_high","directional_effect.statistic","directional_effect.p","directional_effect.ci_low","directional_effect.ci_high","quid_bf","pbt.low","pbt.high","pbt.MAP"
"1","Hurme et al_2020_Masking_Blue",0.617882352941176,0.0231,0.479764705882353,0.752117647058824,13.7058823529412,0.0962,-1.08823529411765,27.7941176470588,0.0247971857432016,0,0.277461497257911,0.0712074303405573
"2","Hurme et al_2020_Masking_Red",0.527411764705882,0.3115,0.397058823529412,0.655294117647059,6.79411764705882,0.1684,-2.5,15.6764705882353,0.249105669911243,0,0.153317553957278,0
"3","Hurme et al_2020_TMS_Blue",0.498,0.412,0.337857142857143,0.667428571428571,-6.46428571428571,0.5214,-22.5357142857143,5.60714285714286,5.95408098730192,0,0.332362927342082,0.0977443609022556
"4","Hurme et al_2020_TMS_Red",0.488769230769231,0.6726,0.325230769230769,0.660461538461538,-11.3846153846154,0.1848,-26.6923076923077,1.38461538461538,2.44009533729631,0,0.355131067521623,0.109311740890688
