experiment,subject,uniqueID,block,trial,trial_cumulative,age,gender,color_cond_blocking,color_history,shape_type,set_size,distractor,rt,acc,target_orient,response_key,response_made,iti,target_color,target_item,distractor_item,target_X,target_Y,distractor_X,distractor_Y,item1_X,item1_Y,item2_X,item2_Y,item3_X,item3_Y,item4_X,item4_Y,item5_X,item5_Y,item6_X,item6_Y,item1_shape,item2_shape,item3_shape,item4_shape,item5_shape,item6_shape,item1_line,item2_line,item3_line,item4_line,item5_line,item6_line
1b,16,100202,1,1,1,21,F,NA,constant,heterogeneous,6,present,NaN,0,vertical,none,0,0.75293989436967,green,6,2,545,600,927.5,820.836477965032,672.5,820.836477965032,927.5,820.836477965032,1055,600,927.5,379.163522034968,672.5,379.163522034968,545,600,6,5,3,6,3,4,vertical,vertical,vertical,vertical,horizontal,vertical
1b,16,100202,1,2,2,21,F,NA,constant,heterogeneous,4,present,1.36406183242798,1,vertical,vertical,1,0.858821359702519,green,4,3,586.139005173917,738.882953928832,661.117046071168,386.139005173917,938.882953928832,813.860994826083,1013.86099482608,461.117046071168,661.117046071168,386.139005173917,586.139005173917,738.882953928832,0,0,0,0,0,3,6,4,NaN,NaN,vertical,vertical,horizontal,vertical,none,none
1b,16,100202,1,3,3,21,F,NA,constant,heterogeneous,4,present,1.71683883666992,1,vertical,vertical,1,1.07058429036822,green,2,4,1048.46436652023,542.637481142314,551.535633479765,657.362518857686,857.362518857686,848.464366520235,1048.46436652023,542.637481142314,742.637481142314,351.535633479765,551.535633479765,657.362518857686,0,0,0,0,3,4,6,3,NaN,NaN,vertical,vertical,vertical,vertical,none,none
1b,16,100202,1,4,4,21,F,NA,constant,heterogeneous,4,absent,1.9890558719635,1,horizontal,horizontal,1,1.07058429036822,green,1,NaN,688.215357568785,829.192481806288,NaN,NaN,688.215357568785,829.192481806288,1029.19248180629,711.784642431215,911.784642431215,370.807518193712,570.807518193712,488.215357568785,0,0,0,0,4,6,3,5,NaN,NaN,horizontal,vertical,vertical,vertical,none,none
1b,16,100202,1,5,5,21,F,NA,constant,heterogeneous,4,absent,1.12518310546875,1,vertical,vertical,1,0.623529214518411,green,3,NaN,661.117046071168,386.139005173917,NaN,NaN,938.882953928832,813.860994826083,1013.86099482608,461.117046071168,661.117046071168,386.139005173917,586.139005173917,738.882953928832,0,0,0,0,5,0,4,5,NaN,NaN,vertical,vertical,vertical,horizontal,none,none
1b,16,100202,1,6,6,21,F,NA,constant,heterogeneous,4,present,1.73106598854065,1,vertical,vertical,1,0.952938217776162,green,1,4,657.405809614959,811.404581001536,588.595418998464,457.40580961496,657.405809614959,811.404581001536,1011.40458100154,742.594190385041,942.594190385041,388.595418998464,588.595418998464,457.40580961496,0,0,0,0,4,6,3,3,NaN,NaN,vertical,vertical,vertical,horizontal,none,none
1b,16,100202,1,7,7,21,F,NA,constant,heterogeneous,4,present,0.875836849212646,1,horizontal,horizontal,1,0.905879788739341,green,3,2,870.287525733335,354.878267535729,1045.12173246427,670.287525733335,729.712474266665,845.121732464271,1045.12173246427,670.287525733335,870.287525733335,354.878267535729,554.878267535729,529.712474266665,0,0,0,0,0,6,4,5,NaN,NaN,vertical,vertical,horizontal,horizontal,none,none
1b,16,100202,1,8,8,21,F,NA,constant,heterogeneous,3,present,1.2194938659668,0,vertical,horizontal,1,1.09411350488663,green,1,3,616.568350913644,777.137884467044,738.309916622085,352.574589799621,616.568350913644,777.137884467044,1045.12173246427,670.287525733335,738.309916622085,352.574589799621,0,0,0,0,0,0,4,3,5,NaN,NaN,NaN,vertical,horizontal,vertical,none,none,none
1b,16,100202,1,9,9,21,F,NA,constant,heterogeneous,6,present,NaN,0,horizontal,none,0,0.705881465332849,green,3,4,960.476699717708,401.827779828472,708.616172865948,361.936991243214,891.383827134052,838.063008756786,1051.86052685176,639.890788585259,960.476699717708,401.827779828472,708.616172865948,361.936991243214,548.13947314824,560.109211414741,639.523300282292,798.172220171528,0,5,4,0,3,5,horizontal,horizontal,horizontal,vertical,horizontal,vertical
1b,16,100202,1,10,10,21,F,NA,constant,heterogeneous,5,absent,1.80965900421143,1,vertical,vertical,1,0.764704501628876,green,5,NaN,601.827779828472,760.476699717708,NaN,NaN,891.383827134052,838.063008756786,1054.65053136242,586.654331158049,865.998856501143,353.688914296288,586.139005173917,461.117046071168,601.827779828472,760.476699717708,0,0,3,0,6,5,4,NaN,vertical,horizontal,vertical,vertical,vertical,none
1b,16,100202,1,11,11,21,F,NA,constant,heterogeneous,3,present,1.00032091140747,1,horizontal,horizontal,1,0.917644395998546,green,1,2,755.719714694933,851.125977018113,1039.62161830041,512.784863451954,755.719714694933,851.125977018113,1039.62161830041,512.784863451954,604.658667004661,436.089159529932,0,0,0,0,0,0,4,5,3,NaN,NaN,NaN,horizontal,vertical,horizontal,none,none,none
1b,16,100202,1,12,12,21,F,NA,constant,heterogeneous,5,absent,1.52450203895569,1,horizontal,horizontal,1,0.799998323406492,green,4,NaN,751.343706178981,349.685068220846,NaN,NaN,692.232343256122,831.108485694346,986.495193912888,773.909581815937,1023.02802532055,476.373546837184,751.343706178981,349.685068220846,546.900731331463,568.923317431687,0,0,3,0,3,4,0,NaN,horizontal,horizontal,vertical,horizontal,vertical,none
1b,16,100202,1,13,13,21,F,NA,constant,heterogeneous,4,absent,1.66329312324524,1,horizontal,horizontal,1,0.811762930665697,green,1,NaN,874.554784704298,843.857712770574,NaN,NaN,874.554784704298,843.857712770574,1043.85771277057,525.445215295702,725.445215295702,356.142287229426,556.142287229426,674.554784704298,0,0,0,0,4,5,3,0,NaN,NaN,horizontal,vertical,horizontal,horizontal,none,none
1b,16,100202,1,14,14,21,F,NA,constant,heterogeneous,5,present,1.09039092063904,1,vertical,vertical,1,0.870585966961724,green,3,4,1023.02802532055,476.373546837184,751.343706178981,349.685068220846,692.232343256122,831.108485694346,986.495193912888,773.909581815937,1023.02802532055,476.373546837184,751.343706178981,349.685068220846,546.900731331463,568.923317431687,0,0,3,6,4,3,6,NaN,horizontal,vertical,vertical,vertical,vertical,none
