sub trial_no group_type block_type prime target mask1 mask2 congruency key_press key_error time_error RT
1 54 LeftSmaller PercCAExp1 Prime_1N Target_6N cKiEJjD DIHFjAa Incongruent left error Normal 2670.008
1 55 LeftSmaller PercCAExp1 Prime_4N Target_9A ljAbdFh efalBAc Incongruent left error Normal 2883.873
1 56 LeftSmaller PercCAExp1 Prime_1A Target_9A GCbgaDd dIJeHiL Incongruent left error Normal 1870.625
1 57 LeftSmaller PercCAExp1 Prime_6A Target_4N EAJHfic DklMBej Incongruent right correct Normal 1975.94
1 58 LeftSmaller PercCAExp1 Prime_4A Target_1A amKeDhf JgIdlmE Congruent left correct Normal 2936.001
1 59 LeftSmaller PercCAExp1 Prime_6N Target_9A KaHDECb JcGeEkB Congruent left correct Late 5176.682
1 60 LeftSmaller PercCAExp1 Prime_1A Target_1N lGLdMDg LCBHdEA Congruent right error Late 5966.564
1 61 LeftSmaller PercCAExp1 Prime_4A Target_6N ChfGlaL hABDgdL Incongruent right correct Normal 2264.847
1 62 LeftSmaller PercCAExp1 Prime_1N Target_4A AfIBHGE kgDFdBJ Congruent left correct Normal 1846.696
1 63 LeftSmaller PercCAExp1 Prime_1N Target_9A dhbiBkD FiAdfIH Incongruent left error Normal 1302.42
1 64 LeftSmaller PercCAExp1 Prime_6N Target_1A aBDAJdH GiHmgeD Incongruent right correct Normal 1538.34
1 65 LeftSmaller PercCAExp1 Prime_1A Target_6A JLmMhki eLcIKHi Incongruent right correct Normal 4605.632
1 66 LeftSmaller PercCAExp1 Prime_4N Target_4N LFhjKIg JjKIFGb Congruent left correct Normal 1897.476
1 67 LeftSmaller PercCAExp1 Prime_9A Target_9N jfldgAM MBdgfiE Congruent left correct Normal 2043.21
1 68 LeftSmaller PercCAExp1 Prime_9A Target_9A FGAkafg lECLida Congruent right error Normal 2360.288
1 69 LeftSmaller PercCAExp1 Prime_1N Target_6A HljIiLk DljaIfC Incongruent right correct Normal 2141.97
1 70 LeftSmaller PercCAExp1 Prime_4N Target_9N CKkHLEJ MicBhGL Incongruent right correct Normal 2298.875
1 71 LeftSmaller PercCAExp1 Prime_1A Target_6N mhKEFkb JmiBaGL Incongruent right correct Normal 2382.646
1 72 LeftSmaller PercCAExp1 Prime_1A Target_4A dHCFKAB jkIHeGa Congruent left correct Normal 2573.546
1 73 LeftSmaller PercCAExp1 Prime_6N Target_4N akjiIHF CeIcmdB Incongruent right correct Late 5493.269
1 74 LeftSmaller PercCAExp1 Prime_6N Target_1N AMjHLdl ImglMDf Incongruent left error Normal 2533.817
1 75 LeftSmaller PercCAExp1 Prime_9A Target_1N AJkaDHb lGEaicD Incongruent left error Normal 1775.853
1 76 LeftSmaller PercCAExp1 Prime_1N Target_1A mAlIBLG CMjfgHF Congruent left correct Normal 1207.484
1 77 LeftSmaller PercCAExp1 Prime_1A Target_9N FaldIhG BAcLJbl Incongruent right correct Normal 1717.032
1 78 LeftSmaller PercCAExp1 Prime_6N Target_6N KMJEBjk mHcFgGJ Congruent left correct Normal 1986.842
1 79 LeftSmaller PercCAExp1 Prime_9A Target_4A AlkdhKL FakMGed Incongruent right correct Normal 1324.311
1 80 LeftSmaller PercCAExp1 Prime_9N Target_4N jAcDFBL cFJmjeH Incongruent left error Normal 1233.215
1 81 LeftLarger PercCBPrac Prime_6A Target_9N BDLfJbi cjCMFJg Congruent left error Normal 3087.103
