sub trial_no group_type block_type prime target mask1 mask2 congruency key_press key_error time_error RT
501 54 LeftSmaller PercIAExp1 Prime_6A Target_6N bGCKBfj EikMJIj Congruent right correct Normal 3810.673
501 55 LeftSmaller PercIAExp1 Prime_9N Target_9N fMAmlki leAGKji Congruent left error Normal 2106.273
501 56 LeftSmaller PercIAExp1 Prime_4N Target_1A fgAFBCK KCLckgj Congruent right error Normal 2540.268
501 57 LeftSmaller PercIAExp1 Prime_4N Target_6A kDEFKIG JahibIE Incongruent left correct Normal 1451.198
501 58 LeftSmaller PercIAExp1 Prime_1N Target_6N cIibdjA ejEbfgC Incongruent left correct Normal 2141.74
501 59 LeftSmaller PercIAExp1 Prime_6N Target_4N FJHmckI EbmfLkI Incongruent right correct Normal 2409.059
501 60 LeftSmaller PercIAExp1 Prime_4A Target_9N gmjFlfL fBhMIDF Incongruent left correct Normal 1905.208
501 61 LeftSmaller PercIAExp1 Prime_9A Target_9A CdhfliJ LbgfjMk Congruent right correct Normal 2151.884
501 62 LeftSmaller PercIAExp1 Prime_9A Target_6N MFDhalC HCdGcie Congruent right correct Normal 3180.293
501 63 LeftSmaller PercIAExp1 Prime_1A Target_1A cABbidJ GMbJkgi Congruent right error Normal 3081.941
501 64 LeftSmaller PercIAExp1 Prime_1A Target_6N DFjKAcm FmIhJaE Incongruent left correct Normal 1608.807
501 65 LeftSmaller PercIAExp1 Prime_6A Target_9N hAGKCEb ambfiHA Congruent right correct Normal 2965.993
501 66 LeftSmaller PercIAExp1 Prime_6N Target_1A gBDAKaE AhHdafB Incongruent left error Normal 2453.794
501 67 LeftSmaller PercIAExp1 Prime_9N Target_6N idkGHBc cFiDHCg Congruent left error Normal 1660.528
501 68 LeftSmaller PercIAExp1 Prime_9N Target_1A CKefGLM MfiKFBb Incongruent right correct Normal 1487.755
501 69 LeftSmaller PercIAExp1 Prime_6N Target_4A kLFKCcb eHLcalC Incongruent right correct Normal 1781.976
501 70 LeftSmaller PercIAExp1 Prime_6A Target_4A IHGgFkf Cigfacb Incongruent left error Normal 2373.825
501 71 LeftSmaller PercIAExp1 Prime_1A Target_6A DKhCamE BHGFMCI Incongruent left correct Normal 2045.933
501 72 LeftSmaller PercIAExp1 Prime_9N Target_4N mgeiAdB bCGJgaA Incongruent left error Normal 1684.691
501 73 LeftSmaller PercIAExp1 Prime_4N Target_4N MdblfmA AJFlEaK Congruent left correct Normal 1759.941
501 74 LeftSmaller PercIAExp1 Prime_6N Target_9A hemBGdl AKLdJMj Congruent right correct Normal 2050.105
