"X","idv","iv","dv","exp"
95,1,"present",0.589287996292114,"3b_Grouped_Constant"
96,1,"present",0.721642971038818,"3b_Grouped_Constant"
97,1,"present",1.28617596626282,"3b_Grouped_Constant"
98,1,"present",1.33050584793091,"3b_Grouped_Constant"
99,1,"absent",0.774718999862671,"3b_Grouped_Constant"
100,1,"present",0.955026865005493,"3b_Grouped_Constant"
101,1,"absent",1.19922590255737,"3b_Grouped_Constant"
102,1,"present",0.843760013580322,"3b_Grouped_Constant"
103,1,"present",1.45605897903442,"3b_Grouped_Constant"
104,1,"absent",1.14837098121643,"3b_Grouped_Constant"
105,1,"present",1.88080310821533,"3b_Grouped_Constant"
106,1,"absent",1.51720190048218,"3b_Grouped_Constant"
107,1,"absent",1.20160984992981,"3b_Grouped_Constant"
108,1,"present",0.805673122406006,"3b_Grouped_Constant"
109,1,"present",1.30620503425598,"3b_Grouped_Constant"
110,1,"absent",1.17438411712646,"3b_Grouped_Constant"
111,1,"absent",1.45896506309509,"3b_Grouped_Constant"
112,1,"absent",1.39919590950012,"3b_Grouped_Constant"
113,1,"absent",1.10759091377258,"3b_Grouped_Constant"
114,1,"present",1.17588591575623,"3b_Grouped_Constant"
115,1,"present",1.03614592552185,"3b_Grouped_Constant"
116,1,"present",1.47250199317932,"3b_Grouped_Constant"
117,1,"present",0.949131965637207,"3b_Grouped_Constant"
118,1,"present",0.961407899856567,"3b_Grouped_Constant"
119,1,"present",1.29370307922363,"3b_Grouped_Constant"
120,1,"present",1.37809300422668,"3b_Grouped_Constant"
121,1,"present",0.750405073165894,"3b_Grouped_Constant"
122,1,"present",1.40267395973206,"3b_Grouped_Constant"
123,1,"absent",0.742995977401733,"3b_Grouped_Constant"
124,1,"present",1.41135215759277,"3b_Grouped_Constant"
125,1,"absent",1.8958568572998,"3b_Grouped_Constant"
126,1,"present",1.68380403518677,"3b_Grouped_Constant"
127,1,"present",0.856175184249878,"3b_Grouped_Constant"
128,1,"present",1.06852316856384,"3b_Grouped_Constant"
129,1,"present",1.09701204299927,"3b_Grouped_Constant"
130,1,"present",0.989189147949219,"3b_Grouped_Constant"
131,1,"present",1.01763486862183,"3b_Grouped_Constant"
132,1,"absent",1.26992392539978,"3b_Grouped_Constant"
133,1,"present",0.962471008300781,"3b_Grouped_Constant"
134,1,"present",1.67862796783447,"3b_Grouped_Constant"
135,1,"absent",1.25525808334351,"3b_Grouped_Constant"
136,1,"present",1.19585394859314,"3b_Grouped_Constant"
137,1,"absent",0.991762161254883,"3b_Grouped_Constant"
138,1,"present",0.980397939682007,"3b_Grouped_Constant"
139,1,"present",1.28892397880554,"3b_Grouped_Constant"
140,1,"absent",1.58906221389771,"3b_Grouped_Constant"
141,1,"present",0.897818088531494,"3b_Grouped_Constant"
142,1,"absent",1.35774087905884,"3b_Grouped_Constant"
143,1,"present",1.54596304893494,"3b_Grouped_Constant"
144,1,"present",0.997106790542603,"3b_Grouped_Constant"
145,1,"present",0.945367097854614,"3b_Grouped_Constant"
146,1,"present",0.773574113845825,"3b_Grouped_Constant"
147,1,"absent",0.994132041931152,"3b_Grouped_Constant"
148,1,"absent",0.830802917480469,"3b_Grouped_Constant"
149,1,"present",0.810638189315796,"3b_Grouped_Constant"
150,1,"present",0.751093149185181,"3b_Grouped_Constant"
151,1,"absent",0.939388990402222,"3b_Grouped_Constant"
152,1,"absent",1.76776790618896,"3b_Grouped_Constant"
153,1,"present",0.596030950546265,"3b_Grouped_Constant"
154,1,"present",0.792415142059326,"3b_Grouped_Constant"
155,1,"present",0.860918998718262,"3b_Grouped_Constant"
156,1,"present",1.50510883331299,"3b_Grouped_Constant"
157,1,"present",1.0134539604187,"3b_Grouped_Constant"
158,1,"present",1.13790416717529,"3b_Grouped_Constant"
159,1,"absent",1.10223007202148,"3b_Grouped_Constant"
160,1,"present",0.642536878585815,"3b_Grouped_Constant"
161,1,"absent",0.90282678604126,"3b_Grouped_Constant"
162,1,"present",1.33917999267578,"3b_Grouped_Constant"
163,1,"present",1.487459897995,"3b_Grouped_Constant"
164,1,"present",1.02806615829468,"3b_Grouped_Constant"
165,1,"absent",1.56808590888977,"3b_Grouped_Constant"
166,1,"present",0.724739074707031,"3b_Grouped_Constant"
167,1,"present",1.07309103012085,"3b_Grouped_Constant"
168,1,"absent",0.765390872955322,"3b_Grouped_Constant"
169,1,"absent",0.633556842803955,"3b_Grouped_Constant"
170,1,"absent",0.909888982772827,"3b_Grouped_Constant"
171,1,"present",0.930093050003052,"3b_Grouped_Constant"
172,1,"present",0.574744939804077,"3b_Grouped_Constant"
173,1,"present",0.811074018478394,"3b_Grouped_Constant"
174,1,"present",0.903249025344849,"3b_Grouped_Constant"
175,1,"present",1.1237690448761,"3b_Grouped_Constant"
176,1,"present",1.5598738193512,"3b_Grouped_Constant"
177,1,"absent",0.756155014038086,"3b_Grouped_Constant"
178,1,"absent",1.19279408454895,"3b_Grouped_Constant"
179,1,"present",0.972906827926636,"3b_Grouped_Constant"
180,1,"present",0.833436012268066,"3b_Grouped_Constant"
181,1,"absent",1.02172088623047,"3b_Grouped_Constant"
182,1,"present",0.97834300994873,"3b_Grouped_Constant"
183,1,"absent",0.754977941513062,"3b_Grouped_Constant"
184,1,"present",1.20713710784912,"3b_Grouped_Constant"
185,1,"absent",1.42749500274658,"3b_Grouped_Constant"
186,1,"present",0.935935020446777,"3b_Grouped_Constant"
187,1,"present",1.60416913032532,"3b_Grouped_Constant"
188,1,"present",0.72838306427002,"3b_Grouped_Constant"
189,1,"absent",1.05291891098022,"3b_Grouped_Constant"
190,1,"present",0.825092077255249,"3b_Grouped_Constant"
191,1,"present",0.929888963699341,"3b_Grouped_Constant"
192,1,"present",1.03802609443665,"3b_Grouped_Constant"
193,1,"present",0.938485860824585,"3b_Grouped_Constant"
194,1,"present",0.926901817321777,"3b_Grouped_Constant"
195,1,"present",0.723126888275146,"3b_Grouped_Constant"
196,1,"absent",0.975728988647461,"3b_Grouped_Constant"
197,1,"present",1.32400393486023,"3b_Grouped_Constant"
198,1,"present",0.792460918426514,"3b_Grouped_Constant"
199,1,"present",1.66862106323242,"3b_Grouped_Constant"
200,1,"present",1.43280601501465,"3b_Grouped_Constant"
201,1,"present",1.14948701858521,"3b_Grouped_Constant"
202,1,"present",0.841768026351929,"3b_Grouped_Constant"
203,1,"present",0.926038980484009,"3b_Grouped_Constant"
204,1,"present",1.50615286827087,"3b_Grouped_Constant"
205,1,"present",1.15863394737244,"3b_Grouped_Constant"
206,1,"present",1.03487706184387,"3b_Grouped_Constant"
207,1,"absent",1.06310296058655,"3b_Grouped_Constant"
208,1,"absent",1.22739601135254,"3b_Grouped_Constant"
209,1,"present",0.927966117858887,"3b_Grouped_Constant"
210,1,"absent",1.0443811416626,"3b_Grouped_Constant"
211,1,"present",1.04080510139465,"3b_Grouped_Constant"
212,1,"absent",1.1010479927063,"3b_Grouped_Constant"
213,1,"absent",0.857492923736572,"3b_Grouped_Constant"
214,1,"absent",1.10939598083496,"3b_Grouped_Constant"
215,1,"absent",1.137943983078,"3b_Grouped_Constant"
216,1,"present",1.03841781616211,"3b_Grouped_Constant"
217,1,"present",1.40259695053101,"3b_Grouped_Constant"
218,1,"present",1.13516807556152,"3b_Grouped_Constant"
219,1,"present",0.971356153488159,"3b_Grouped_Constant"
220,1,"absent",0.791632175445557,"3b_Grouped_Constant"
221,1,"absent",1.00401306152344,"3b_Grouped_Constant"
222,1,"present",0.840209007263184,"3b_Grouped_Constant"
223,1,"absent",0.788455963134766,"3b_Grouped_Constant"
224,1,"present",0.825020790100098,"3b_Grouped_Constant"
225,1,"absent",0.885313034057617,"3b_Grouped_Constant"
226,1,"present",1.41775798797607,"3b_Grouped_Constant"
227,1,"absent",1.79792904853821,"3b_Grouped_Constant"
228,1,"present",0.818283796310425,"3b_Grouped_Constant"
229,1,"absent",0.758689880371094,"3b_Grouped_Constant"
230,1,"absent",1.4190731048584,"3b_Grouped_Constant"
231,1,"present",1.4155809879303,"3b_Grouped_Constant"
232,1,"present",1.23592901229858,"3b_Grouped_Constant"
233,1,"present",1.58405518531799,"3b_Grouped_Constant"
234,1,"present",1.30868411064148,"3b_Grouped_Constant"
235,1,"present",0.904902935028076,"3b_Grouped_Constant"
236,1,"present",0.797060012817383,"3b_Grouped_Constant"
237,1,"present",1.08142995834351,"3b_Grouped_Constant"
238,1,"absent",1.55796813964844,"3b_Grouped_Constant"
239,1,"present",0.821532011032104,"3b_Grouped_Constant"
240,1,"absent",0.922003984451294,"3b_Grouped_Constant"
241,1,"absent",0.846508026123047,"3b_Grouped_Constant"
242,1,"present",1.17080402374268,"3b_Grouped_Constant"
243,1,"present",0.911117792129517,"3b_Grouped_Constant"
244,1,"present",1.42762303352356,"3b_Grouped_Constant"
245,1,"present",1.10382008552551,"3b_Grouped_Constant"
246,1,"present",1.1804530620575,"3b_Grouped_Constant"
247,1,"present",0.664833784103394,"3b_Grouped_Constant"
248,1,"present",1.47685480117798,"3b_Grouped_Constant"
249,1,"present",1.42519903182983,"3b_Grouped_Constant"
250,1,"absent",0.773459911346436,"3b_Grouped_Constant"
251,1,"absent",0.729982852935791,"3b_Grouped_Constant"
252,1,"absent",1.39824795722961,"3b_Grouped_Constant"
253,1,"present",0.882501840591431,"3b_Grouped_Constant"
254,1,"present",0.7428879737854,"3b_Grouped_Constant"
255,1,"absent",1.13104510307312,"3b_Grouped_Constant"
256,1,"present",0.783422946929932,"3b_Grouped_Constant"
257,1,"present",0.739783048629761,"3b_Grouped_Constant"
258,1,"present",0.95215106010437,"3b_Grouped_Constant"
259,1,"present",1.33218789100647,"3b_Grouped_Constant"
260,1,"absent",1.89687609672546,"3b_Grouped_Constant"
261,1,"present",0.925159931182861,"3b_Grouped_Constant"
262,1,"absent",1.30569911003113,"3b_Grouped_Constant"
263,1,"present",1.02196192741394,"3b_Grouped_Constant"
264,1,"present",1.02625012397766,"3b_Grouped_Constant"
265,1,"absent",0.950746059417725,"3b_Grouped_Constant"
266,1,"absent",0.811052083969116,"3b_Grouped_Constant"
267,1,"present",1.08726501464844,"3b_Grouped_Constant"
268,1,"present",1.18769097328186,"3b_Grouped_Constant"
269,1,"present",1.32788300514221,"3b_Grouped_Constant"
270,1,"present",1.1882951259613,"3b_Grouped_Constant"
271,1,"present",0.91290807723999,"3b_Grouped_Constant"
272,1,"absent",0.829171180725098,"3b_Grouped_Constant"
273,1,"present",0.961464881896973,"3b_Grouped_Constant"
274,1,"present",0.84577202796936,"3b_Grouped_Constant"
275,1,"absent",1.706130027771,"3b_Grouped_Constant"
