experiment,subject,uniqueID,block,trial,trial_cumulative,age,gender,color_cond_blocking,color_history,shape_type,set_size,distractor,rt,acc,target_orient,response_key,response_made,iti,target_color,target_item,distractor_item,target_X,target_Y,distractor_X,distractor_Y,item1_X,item1_Y,item2_X,item2_Y,item3_X,item3_Y,item4_X,item4_Y,item5_X,item5_Y,item6_X,item6_Y,item1_shape,item2_shape,item3_shape,item4_shape,item5_shape,item6_shape,item1_line,item2_line,item3_line,item4_line,item5_line,item6_line
1a,1,100140,1,1,1,21,M,NA,variable,heterogeneous,5,absent,1.84586906433105,1,horizontal,horizontal,1,0.823525317210071,red,2,NaN,1039.62161830041,687.215136548046,NaN,NaN,791.100628340862,854.844660889869,1039.62161830041,687.215136548046,956.993676208043,399.057257830286,657.405809614959,388.595418998464,554.878267535729,670.287525733335,0,0,5,4,0,0,3,NaN,horizontal,horizontal,vertical,vertical,horizontal,none
1a,1,100140,1,2,2,21,M,NA,variable,heterogeneous,4,present,NaN,0,vertical,none,0,0.729409394174252,red,3,1,653.738008730483,391.116228706307,946.261991269517,808.883771293693,946.261991269517,808.883771293693,1008.88377129369,453.738008730483,653.738008730483,391.116228706307,591.116228706307,746.261991269517,0,0,0,0,5,5,4,6,NaN,NaN,vertical,horizontal,vertical,vertical,none,none
1a,1,100140,1,3,3,21,M,NA,variable,heterogeneous,4,present,1.31543207168579,1,horizontal,horizontal,1,1.08234410555858,red,1,3,839.890788585259,851.86052685176,760.109211414741,348.13947314824,839.890788585259,851.86052685176,1051.86052685176,560.109211414741,760.109211414741,348.13947314824,548.13947314824,639.890788585259,0,0,0,0,4,0,3,5,NaN,NaN,horizontal,horizontal,horizontal,horizontal,none,none
1a,1,100140,1,4,4,21,M,NA,variable,heterogeneous,5,absent,NaN,0,horizontal,none,0,0.929405730625368,green,4,NaN,626.090418184063,413.504806087112,NaN,NaN,831.076682568313,853.099268668537,1050.31493177915,648.656293821019,923.626453162816,376.971974679454,626.090418184063,413.504806087112,568.891514305654,707.767656743878,0,0,3,6,5,4,3,NaN,vertical,vertical,horizontal,horizontal,horizontal,none
1a,1,100140,1,5,5,21,M,NA,variable,heterogeneous,5,absent,0.000993013381958008,0,vertical,horizontal,1,0.717644903794774,red,5,NaN,560.378381699593,687.215136548046,NaN,NaN,808.899371659138,854.844660889869,1045.12173246427,670.287525733335,942.594190385041,388.595418998464,643.006323791957,399.057257830286,560.378381699593,687.215136548046,0,0,6,5,6,0,4,NaN,vertical,vertical,horizontal,horizontal,vertical,none
1a,1,100140,1,6,6,21,M,NA,variable,heterogeneous,4,present,1.26551795005798,1,horizontal,horizontal,1,0.917641240245891,green,4,2,549.685068220846,551.343706178981,1050.31493177915,648.656293821019,751.343706178981,850.314931779154,1050.31493177915,648.656293821019,848.656293821019,349.685068220846,549.685068220846,551.343706178981,0,0,0,0,0,6,5,4,NaN,NaN,horizontal,vertical,horizontal,horizontal,none,none
1a,1,100140,1,7,7,21,M,NA,variable,heterogeneous,5,present,1.2229220867157,0,horizontal,vertical,1,0.788231846071639,red,1,4,931.334709102064,818.577661679039,565.271262369628,500.363562235235,931.334709102064,818.577661679039,1048.46436652023,542.637481142314,822.224714400653,345.970351986605,565.271262369628,500.363562235235,632.704947607421,792.450942956807,0,0,4,0,0,6,5,NaN,horizontal,horizontal,horizontal,vertical,vertical,none
1a,1,100140,1,8,8,21,M,NA,variable,heterogeneous,3,absent,1.3625168800354,1,vertical,vertical,1,0.752938374933207,red,1,NaN,989.501930496736,770.628304621509,NaN,NaN,989.501930496736,770.628304621509,853.017481158529,350.57236181288,557.480588344736,678.799333565612,0,0,0,0,0,0,4,5,3,NaN,NaN,NaN,vertical,horizontal,vertical,none,none,none
1a,1,100140,1,9,9,21,M,NA,variable,heterogeneous,4,absent,1.01810193061829,1,vertical,vertical,1,1.01175716328171,red,2,NaN,1047.42541020038,661.690083377915,NaN,NaN,738.309916622085,847.425410200379,1047.42541020038,661.690083377915,861.690083377915,352.574589799621,552.574589799621,538.309916622085,0,0,0,0,0,4,3,0,NaN,NaN,vertical,vertical,vertical,horizontal,none,none
1a,1,100140,1,10,10,21,M,NA,variable,heterogeneous,3,present,1.08010697364807,1,vertical,vertical,1,0.882347769107459,red,1,2,911.784642431215,829.192481806288,942.594190385041,388.595418998464,911.784642431215,829.192481806288,942.594190385041,388.595418998464,545.621167183745,582.212099195248,0,0,0,0,0,0,4,5,0,NaN,NaN,NaN,vertical,vertical,horizontal,none,none,none
1a,1,100140,1,11,11,21,M,NA,variable,heterogeneous,5,present,1.50739407539368,1,horizontal,horizontal,1,1.08234410555858,red,2,5,1051.86052685176,560.109211414741,619.68777079743,780.31222920257,915.767577433584,827.206663668034,1051.86052685176,560.109211414741,839.890788585259,348.13947314824,572.793336331966,484.232422566416,619.68777079743,780.31222920257,0,0,5,4,5,0,6,NaN,vertical,horizontal,vertical,horizontal,horizontal,none
1a,1,100140,1,12,12,21,M,NA,variable,heterogeneous,4,present,1.58210110664368,1,horizontal,horizontal,1,0.999992672902233,green,4,1,552.574589799621,661.690083377915,861.690083377915,847.425410200379,861.690083377915,847.425410200379,1047.42541020038,538.309916622085,738.309916622085,352.574589799621,552.574589799621,661.690083377915,0,0,0,0,5,3,3,4,NaN,NaN,vertical,vertical,vertical,horizontal,none,none
1a,1,100140,1,13,13,21,M,NA,variable,heterogeneous,6,present,1.03131985664368,1,vertical,vertical,1,0.658822451897387,green,3,1,1027.20666366803,484.232422566416,786.654331158049,854.650531362416,786.654331158049,854.650531362416,1013.86099482608,738.882953928832,1027.20666366803,484.232422566416,813.345668841951,345.349468637584,586.139005173917,461.117046071168,572.793336331966,715.767577433584,6,0,4,5,0,5,vertical,vertical,vertical,horizontal,vertical,horizontal
1a,1,100140,1,14,14,21,M,NA,variable,heterogeneous,3,absent,1.52240610122681,1,horizontal,horizontal,1,0.729409394174252,red,3,NaN,546.900731331463,568.923317431687,NaN,NaN,899.636437764765,834.728737630372,953.462830903772,396.34794493794,546.900731331463,568.923317431687,0,0,0,0,0,0,5,5,4,NaN,NaN,NaN,horizontal,horizontal,horizontal,none,none,none
1a,1,100140,1,15,15,21,M,NA,variable,heterogeneous,4,absent,1.20537185668945,1,horizontal,horizontal,1,0.611764490379477,red,2,NaN,980.31222920257,780.31222920257,NaN,NaN,619.68777079743,780.31222920257,980.31222920257,780.31222920257,980.31222920257,419.68777079743,619.68777079743,419.68777079743,0,0,0,0,3,4,6,5,NaN,NaN,horizontal,horizontal,horizontal,horizontal,none,none
1a,1,100140,1,16,16,21,M,NA,variable,heterogeneous,6,present,0.881619930267334,1,vertical,vertical,1,0.6,green,6,1,558.892763222174,683.019879386575,751.343706178981,850.314931779154,751.343706178981,850.314931779154,992.450942956807,767.295052392579,1041.10723677783,516.980120613425,848.656293821019,349.685068220846,607.549057043193,432.704947607421,558.892763222174,683.019879386575,3,5,3,6,5,4,horizontal,horizontal,horizontal,horizontal,horizontal,vertical
1a,1,100140,1,17,17,21,M,NA,variable,heterogeneous,6,present,1.87261700630188,0,vertical,horizontal,1,1.05881512479962,red,1,6,734.001143498857,846.311085703712,553.688914296288,665.998856501143,734.001143498857,846.311085703712,980.31222920257,780.31222920257,1046.31108570371,534.001143498857,865.998856501143,353.688914296288,619.68777079743,419.68777079743,553.688914296288,665.998856501143,4,5,5,6,3,0,vertical,vertical,vertical,horizontal,horizontal,horizontal
1a,1,100140,1,18,18,21,M,NA,variable,heterogeneous,4,present,1.29778480529785,1,horizontal,horizontal,1,0.964699201763801,red,2,3,998.172220171528,439.523300282291,639.523300282292,401.827779828472,960.476699717708,798.172220171528,998.172220171528,439.523300282291,639.523300282292,401.827779828472,601.827779828472,760.476699717708,0,0,0,0,5,4,0,6,NaN,NaN,vertical,horizontal,horizontal,horizontal,none,none
1a,1,100140,1,19,19,21,M,NA,variable,heterogeneous,3,present,1.89300298690796,0,horizontal,vertical,1,0.658822451897387,red,1,2,650.114760665419,806.299333565612,1053.60308331891,626.654758133252,650.114760665419,806.299333565612,1053.60308331891,626.654758133252,696.282156015671,367.045908301137,0,0,0,0,0,0,4,5,5,NaN,NaN,NaN,horizontal,vertical,vertical,none,none,none
1a,1,100140,1,20,20,21,M,NA,variable,heterogeneous,5,absent,1.60049605369568,1,vertical,vertical,1,1.05881512479962,green,5,NaN,604.658667004661,763.910840470068,NaN,NaN,895.524681321058,836.431882914531,1054.37883281626,582.212099195248,861.690083377915,352.574589799621,583.747735480111,464.870587620533,604.658667004661,763.910840470068,0,0,3,0,5,6,4,NaN,vertical,vertical,vertical,vertical,vertical,none
1a,1,100140,1,21,21,21,M,NA,variable,heterogeneous,6,present,1.27264094352722,1,horizontal,horizontal,1,0.988228182522756,green,3,6,1049.42763818712,546.982518841471,550.57236181288,653.017481158529,721.200666434388,842.519411655264,970.628304621509,789.501930496736,1049.42763818712,546.982518841471,878.799333565612,357.480588344736,629.371695378491,410.498069503264,550.57236181288,653.017481158529,3,0,4,5,6,6,horizontal,horizontal,horizontal,vertical,horizontal,vertical
1a,1,100140,1,22,22,21,M,NA,variable,heterogeneous,3,absent,0.82706093788147,1,horizontal,horizontal,1,0.635293471138432,green,3,NaN,708.616172865948,361.936991243214,NaN,NaN,639.523300282292,798.172220171528,1051.86052685176,639.890788585259,708.616172865948,361.936991243214,0,0,0,0,0,0,6,6,4,NaN,NaN,NaN,horizontal,horizontal,horizontal,none,none,none
1a,1,100140,1,23,23,21,M,NA,variable,heterogeneous,3,present,NaN,0,horizontal,none,0,0.658822451897387,red,1,2,919.715248510402,825.151636179026,935.129412379467,383.747735480111,919.715248510402,825.151636179026,935.129412379467,383.747735480111,545.155339110131,591.100628340862,0,0,0,0,0,0,4,3,6,NaN,NaN,NaN,horizontal,vertical,vertical,none,none,none
1a,1,100140,1,24,24,21,M,NA,variable,heterogeneous,6,absent,1.24251508712769,1,vertical,vertical,1,0.670586942276865,red,1,NaN,887.215136548046,839.621618300407,NaN,NaN,887.215136548046,839.621618300407,1051.12597701811,644.280285305067,963.910840470068,404.658667004661,712.784863451954,360.378381699593,548.874022981887,555.719714694933,636.089159529932,795.341332995339,4,3,3,6,6,5,vertical,vertical,vertical,vertical,horizontal,vertical
1a,1,100140,1,25,25,21,M,NA,variable,heterogeneous,4,present,0.76676607131958,1,vertical,vertical,1,0.764702865312684,red,2,4,1031.10848569435,492.232343256122,568.891514305654,707.767656743878,907.767656743878,831.108485694346,1031.10848569435,492.232343256122,692.232343256122,368.891514305654,568.891514305654,707.767656743878,0,0,0,0,6,4,0,6,NaN,NaN,vertical,vertical,vertical,horizontal,none,none
1a,1,100140,1,26,26,21,M,NA,variable,heterogeneous,4,present,1.00884509086609,1,vertical,vertical,1,0.917641240245891,green,2,4,992.450942956807,432.704947607421,607.549057043193,767.295052392579,967.295052392579,792.450942956807,992.450942956807,432.704947607421,632.704947607421,407.549057043193,607.549057043193,767.295052392579,0,0,0,0,0,4,5,6,NaN,NaN,vertical,vertical,vertical,horizontal,none,none
1a,1,100140,1,27,27,21,M,NA,variable,heterogeneous,6,absent,0.706539869308472,1,vertical,vertical,1,1.08234410555858,green,2,NaN,1025.15163617903,719.715248510402,NaN,NaN,808.899371659138,854.844660889869,1025.15163617903,719.715248510402,1016.25226451989,464.870587620533,791.100628340862,345.155339110131,574.848363820974,480.284751489598,583.747735480111,735.129412379467,3,4,5,3,6,5,horizontal,vertical,vertical,horizontal,vertical,vertical
1a,1,100140,1,28,28,21,M,NA,variable,heterogeneous,5,absent,1.56217408180237,1,horizontal,horizontal,1,0.858818788348504,green,5,NaN,545.621167183745,582.212099195248,NaN,NaN,704.475318678942,836.431882914531,995.341332995339,763.910840470068,1016.25226451989,464.870587620533,738.309916622085,352.574589799621,545.621167183745,582.212099195248,0,0,5,6,0,5,4,NaN,vertical,horizontal,horizontal,vertical,horizontal,none
1a,1,100140,1,29,29,21,M,NA,variable,heterogeneous,3,absent,NaN,0,vertical,none,0,0.858818788348504,red,3,NaN,574.848363820974,719.715248510402,NaN,NaN,1016.25226451989,735.129412379467,808.899371659138,345.155339110131,574.848363820974,719.715248510402,0,0,0,0,0,0,6,3,4,NaN,NaN,NaN,vertical,horizontal,vertical,none,none,none
