experiment,subject,uniqueID,block,trial,trial_cumulative,age,gender,color_cond_blocking,color_history,shape_type,set_size,distractor,rt,acc,target_orient,response_key,response_made,iti,target_color,target_item,distractor_item,target_X,target_Y,distractor_X,distractor_Y,item1_X,item1_Y,item2_X,item2_Y,item3_X,item3_Y,item4_X,item4_Y,item5_X,item5_Y,item6_X,item6_Y,item1_shape,item2_shape,item3_shape,item4_shape,item5_shape,item6_shape,item1_line,item2_line,item3_line,item4_line,item5_line,item6_line
1a,14,100154,1,15,15,18,M,NA,variable,heterogeneous,5,present,1.275475025177,1,vertical,vertical,1,0.811642942428589,green,1,3,650.114760665419,806.299333565612,1042.51941165526,521.200666434388,650.114760665419,806.299333565612,949.885239334581,806.299333565612,1042.51941165526,521.200666434388,800,345,557.480588344736,521.200666434388,0,0,4,0,5,6,3,NaN,vertical,horizontal,horizontal,horizontal,vertical,none
1a,14,100154,1,16,16,18,M,NA,variable,heterogeneous,4,absent,1.40460801124573,1,horizontal,horizontal,1,0.764611177444458,green,3,NaN,650.114760665419,393.700666434388,NaN,NaN,949.885239334581,806.299333565612,1006.29933356561,450.114760665419,650.114760665419,393.700666434388,593.700666434388,749.885239334581,0,0,0,0,6,0,4,3,NaN,NaN,horizontal,vertical,horizontal,vertical,none,none
1a,14,100154,1,17,17,18,M,NA,variable,heterogeneous,6,present,NaN,0,horizontal,none,0,0.835158824920654,green,2,6,1027.20666366803,715.767577433584,586.139005173917,738.882953928832,813.345668841951,854.650531362416,1027.20666366803,715.767577433584,1013.86099482608,461.117046071168,786.654331158049,345.349468637584,572.793336331966,484.232422566416,586.139005173917,738.882953928832,5,4,0,3,5,3,vertical,horizontal,vertical,horizontal,vertical,horizontal
1a,14,100154,1,18,18,18,M,NA,variable,heterogeneous,4,present,1.32651519775391,1,vertical,vertical,1,1.03504382610321,green,2,1,1031.10848569435,492.232343256122,907.767656743878,831.108485694346,907.767656743878,831.108485694346,1031.10848569435,492.232343256122,692.232343256122,368.891514305654,568.891514305654,707.767656743878,0,0,0,0,3,4,6,6,NaN,NaN,horizontal,vertical,vertical,vertical,none,none
1a,14,100154,1,19,19,18,M,NA,variable,heterogeneous,5,absent,1.59065198898315,0,horizontal,vertical,1,0.870432648658752,green,4,NaN,599.057257830286,443.006323791957,NaN,NaN,870.287525733335,845.121732464271,1054.84466088987,608.899371659138,887.215136548046,360.378381699593,599.057257830286,443.006323791957,588.595418998464,742.594190385041,0,0,6,3,3,4,5,NaN,vertical,horizontal,vertical,horizontal,vertical,none
1a,14,100154,1,20,20,18,M,NA,variable,heterogeneous,4,present,1.12294101715088,1,horizontal,horizontal,1,0.611757941246033,red,2,3,1048.46436652023,542.637481142314,742.637481142314,351.535633479765,857.362518857686,848.464366520235,1048.46436652023,542.637481142314,742.637481142314,351.535633479765,551.535633479765,657.362518857686,0,0,0,0,6,4,5,5,NaN,NaN,horizontal,horizontal,horizontal,horizontal,none,none
1a,14,100154,1,21,21,18,M,NA,variable,heterogeneous,3,present,0.824486017227173,1,vertical,vertical,1,0.752853236198425,green,3,1,545.03883773512,595.549636358493,923.626453162816,823.028025320546,923.626453162816,823.028025320546,931.334709102064,381.422338320961,545.03883773512,595.549636358493,0,0,0,0,0,0,0,5,4,NaN,NaN,NaN,vertical,vertical,vertical,none,none,none
1a,14,100154,1,22,22,18,M,NA,variable,heterogeneous,3,absent,1.5872859954834,1,horizontal,horizontal,1,0.705821471214294,green,3,NaN,583.747735480111,464.870587620533,NaN,NaN,791.100628340862,854.844660889869,1025.15163617903,480.284751489598,583.747735480111,464.870587620533,0,0,0,0,0,0,0,5,4,NaN,NaN,NaN,horizontal,vertical,horizontal,none,none,none
1a,14,100154,1,23,23,18,M,NA,variable,heterogeneous,5,absent,NaN,0,horizontal,none,0,0.976254119873047,red,3,NaN,949.885239334581,393.700666434388,NaN,NaN,800,855,1042.51941165526,678.799333565612,949.885239334581,393.700666434388,650.114760665419,393.700666434388,557.480588344736,678.799333565612,0,0,3,3,4,0,6,NaN,vertical,vertical,horizontal,vertical,horizontal,none
1a,14,100154,1,24,24,18,M,NA,variable,heterogeneous,6,absent,1.57423114776611,0,horizontal,vertical,1,0.752853236198425,red,6,NaN,593.700666434388,749.885239334581,NaN,NaN,826.654758133252,853.60308331891,1032.95409169886,703.717843984329,1006.29933356561,450.114760665419,773.345241866748,346.39691668109,567.045908301137,496.282156015671,593.700666434388,749.885239334581,3,5,0,5,6,4,horizontal,vertical,horizontal,vertical,vertical,horizontal
1a,14,100154,1,25,25,18,M,NA,variable,heterogeneous,4,present,1.62714600563049,1,horizontal,horizontal,1,0.658789706230164,red,3,2,817.787900804752,345.621167183745,1054.37883281626,617.787900804752,782.212099195248,854.378832816255,1054.37883281626,617.787900804752,817.787900804752,345.621167183745,545.621167183745,582.212099195248,0,0,0,0,0,5,4,6,NaN,NaN,vertical,vertical,horizontal,horizontal,none,none
1a,14,100154,1,26,26,18,M,NA,variable,heterogeneous,6,absent,1.38499212265015,1,vertical,vertical,1,0.670547647476196,red,2,NaN,1043.85771277057,674.554784704298,NaN,NaN,857.362518857686,848.464366520235,1043.85771277057,674.554784704298,986.495193912888,426.090418184063,742.637481142314,351.535633479765,556.142287229426,525.445215295702,613.504806087112,773.909581815937,3,4,5,0,6,0,horizontal,vertical,horizontal,vertical,horizontal,horizontal
1a,14,100154,1,27,27,18,M,NA,variable,heterogeneous,3,absent,1.08790612220764,1,vertical,vertical,1,0.940980296134949,green,1,NaN,857.362518857686,848.464366520235,NaN,NaN,857.362518857686,848.464366520235,986.495193912888,426.090418184063,556.142287229426,525.445215295702,0,0,0,0,0,0,4,5,3,NaN,NaN,NaN,vertical,vertical,vertical,none,none,none
1a,14,100154,1,28,28,18,M,NA,variable,heterogeneous,4,absent,1.94404411315918,1,vertical,vertical,1,0.705821471214294,red,4,NaN,545.155339110131,608.899371659138,NaN,NaN,808.899371659138,854.844660889869,1054.84466088987,591.100628340862,791.100628340862,345.155339110131,545.155339110131,608.899371659138,0,0,0,0,0,0,3,4,NaN,NaN,vertical,horizontal,horizontal,vertical,none,none
1a,14,100154,1,29,29,18,M,NA,variable,heterogeneous,3,present,1.26863884925842,1,horizontal,horizontal,1,0.882190589904785,green,2,1,980.31222920257,419.68777079743,865.998856501143,846.311085703712,865.998856501143,846.311085703712,980.31222920257,419.68777079743,553.688914296288,534.001143498857,0,0,0,0,0,0,3,4,5,NaN,NaN,NaN,horizontal,horizontal,horizontal,none,none,none
