experiment,subject,uniqueID,block,trial,trial_cumulative,age,gender,color_cond_blocking,color_history,shape_type,set_size,distractor,rt,acc,target_orient,response_key,response_made,iti,target_color,target_item,distractor_item,target_X,target_Y,distractor_X,distractor_Y,item1_X,item1_Y,item2_X,item2_Y,item3_X,item3_Y,item4_X,item4_Y,item5_X,item5_Y,item6_X,item6_Y,item1_shape,item2_shape,item3_shape,item4_shape,item5_shape,item6_shape,item1_line,item2_line,item3_line,item4_line,item5_line,item6_line
1a,24,100193,1,1,1,18,F,NA,variable,heterogeneous,4,present,NaN,0,horizontal,none,0,0.717646351195218,red,1,4,911.784642431215,829.192481806288,570.807518193712,711.784642431215,911.784642431215,829.192481806288,1029.19248180629,488.215357568785,688.215357568785,370.807518193712,570.807518193712,711.784642431215,0,0,0,0,4,6,6,5,NaN,NaN,horizontal,horizontal,vertical,horizontal,none,none
1a,24,100193,1,2,2,18,F,NA,variable,heterogeneous,4,present,1.09693193435669,0,horizontal,vertical,1,0.894115877988046,red,3,2,895.524681321058,363.568117085469,1036.43188291453,695.524681321058,704.475318678942,836.431882914531,1036.43188291453,695.524681321058,895.524681321058,363.568117085469,563.568117085469,504.475318678942,0,0,0,0,3,6,4,0,NaN,NaN,vertical,horizontal,horizontal,vertical,none,none
1a,24,100193,1,3,3,18,F,NA,variable,heterogeneous,3,absent,1.48492908477783,1,horizontal,horizontal,1,0.905880513107568,green,2,NaN,848.656293821019,349.685068220846,NaN,NaN,992.450942956807,767.295052392579,848.656293821019,349.685068220846,558.892763222174,683.019879386575,0,0,0,0,0,0,0,4,5,NaN,NaN,NaN,vertical,horizontal,horizontal,none,none,none
1a,24,100193,1,4,4,18,F,NA,variable,heterogeneous,4,absent,1.485671043396,1,horizontal,horizontal,1,0.952939053585655,red,4,NaN,545.621167183745,617.787900804752,NaN,NaN,817.787900804752,854.378832816255,1054.37883281626,582.212099195248,782.212099195248,345.621167183745,545.621167183745,617.787900804752,0,0,0,0,0,0,5,4,NaN,NaN,vertical,vertical,vertical,horizontal,none,none
1a,24,100193,1,5,5,18,F,NA,variable,heterogeneous,3,present,1.46872591972351,1,horizontal,horizontal,1,0.85882197262948,red,3,2,557.480588344736,521.200666434388,989.501930496736,429.371695378491,853.017481158529,849.42763818712,989.501930496736,429.371695378491,557.480588344736,521.200666434388,0,0,0,0,0,0,6,6,4,NaN,NaN,NaN,horizontal,horizontal,horizontal,none,none,none
1a,24,100193,1,6,6,18,F,NA,variable,heterogeneous,4,present,1.57615900039673,0,vertical,horizontal,1,1.09411467501992,red,1,2,963.910840470068,795.341332995339,995.341332995339,436.089159529932,963.910840470068,795.341332995339,995.341332995339,436.089159529932,636.089159529932,404.658667004661,604.658667004661,763.910840470068,0,0,0,0,4,5,3,0,NaN,NaN,vertical,horizontal,vertical,vertical,none,none
1a,24,100193,1,7,7,18,F,NA,variable,heterogeneous,3,present,1.27215790748596,1,vertical,vertical,1,0.811763432151393,red,2,3,1031.10848569435,707.767656743878,777.775285599347,345.970351986605,591.116228706307,746.261991269517,1031.10848569435,707.767656743878,777.775285599347,345.970351986605,0,0,0,0,0,0,6,4,5,NaN,NaN,NaN,horizontal,vertical,vertical,none,none,none
1a,24,100193,1,8,8,18,F,NA,variable,heterogeneous,3,absent,1.2350001335144,1,horizontal,horizontal,1,1.05882076966135,red,1,NaN,983.431649086356,777.137884467044,NaN,NaN,983.431649086356,777.137884467044,861.690083377915,352.574589799621,554.878267535729,670.287525733335,0,0,0,0,0,0,4,0,6,NaN,NaN,NaN,horizontal,vertical,horizontal,none,none,none
1a,24,100193,1,9,9,18,F,NA,variable,heterogeneous,4,absent,1.1006920337677,1,vertical,vertical,1,1.04705613454183,green,3,NaN,692.232343256122,368.891514305654,NaN,NaN,907.767656743878,831.108485694346,1031.10848569435,492.232343256122,692.232343256122,368.891514305654,568.891514305654,707.767656743878,0,0,0,0,5,6,4,3,NaN,NaN,horizontal,horizontal,vertical,vertical,none,none
1a,24,100193,1,10,10,18,F,NA,variable,heterogeneous,3,absent,1.87607192993164,1,vertical,vertical,1,1.04705613454183,red,2,NaN,983.431649086356,422.862115532956,NaN,NaN,861.690083377915,847.425410200379,983.431649086356,422.862115532956,554.878267535729,529.712474266665,0,0,0,0,0,0,3,4,6,NaN,NaN,NaN,vertical,vertical,horizontal,none,none,none
1a,24,100193,1,11,11,18,F,NA,variable,heterogeneous,3,present,1.72734689712524,1,vertical,vertical,1,1.08235003990039,green,2,1,1054.65053136242,586.654331158049,684.232422566416,827.206663668034,684.232422566416,827.206663668034,1054.65053136242,586.654331158049,661.117046071168,386.139005173917,0,0,0,0,0,0,3,4,0,NaN,NaN,NaN,horizontal,vertical,horizontal,none,none,none
1a,24,100193,1,12,12,18,F,NA,variable,heterogeneous,5,absent,NaN,0,horizontal,none,0,0.670587810717131,green,1,NaN,946.261991269517,808.883771293693,NaN,NaN,946.261991269517,808.883771293693,1043.85771277057,525.445215295702,804.450363641507,345.03883773512,558.892763222174,516.980120613425,646.537169096228,803.65205506206,0,0,4,0,5,0,6,NaN,horizontal,vertical,horizontal,vertical,horizontal,none
1a,24,100193,1,13,13,18,F,NA,variable,heterogeneous,6,present,1.40685510635376,1,vertical,vertical,1,0.964703688705177,red,6,1,653.738008730483,808.883771293693,907.767656743878,831.108485694346,907.767656743878,831.108485694346,1054.0296480134,622.224714400653,946.261991269517,391.116228706307,692.232343256122,368.891514305654,545.970351986605,577.775285599347,653.738008730483,808.883771293693,0,3,0,3,6,4,vertical,vertical,vertical,horizontal,vertical,vertical
1a,24,100193,1,14,14,18,F,NA,variable,heterogeneous,6,present,1.35794687271118,1,horizontal,horizontal,1,0.941174418466133,green,6,3,545.349468637584,613.345668841951,1054.65053136242,586.654331158049,684.232422566416,827.206663668034,938.882953928832,813.860994826083,1054.65053136242,586.654331158049,915.767577433584,372.793336331966,661.117046071168,386.139005173917,545.349468637584,613.345668841951,6,3,6,5,0,4,horizontal,vertical,horizontal,horizontal,vertical,horizontal
1a,24,100193,1,15,15,18,F,NA,variable,heterogeneous,5,absent,1.51532220840454,0,horizontal,vertical,1,0.894115877988046,red,4,NaN,751.343706178981,349.685068220846,NaN,NaN,692.232343256122,831.108485694346,986.495193912888,773.909581815937,1023.02802532055,476.373546837184,751.343706178981,349.685068220846,546.900731331463,568.923317431687,0,0,3,3,5,4,0,NaN,horizontal,horizontal,horizontal,horizontal,horizontal,none
1a,24,100193,1,16,16,18,F,NA,variable,heterogeneous,4,absent,1.01789402961731,1,vertical,vertical,1,0.611764635119522,green,3,NaN,853.017481158529,350.57236181288,NaN,NaN,746.982518841471,849.42763818712,1049.42763818712,653.017481158529,853.017481158529,350.57236181288,550.57236181288,546.982518841471,0,0,0,0,6,5,4,0,NaN,NaN,horizontal,horizontal,vertical,vertical,none,none
1a,24,100193,1,17,17,18,F,NA,variable,heterogeneous,5,absent,1.26639199256897,1,horizontal,horizontal,1,0.999997594063742,green,3,NaN,923.626453162816,376.971974679454,NaN,NaN,831.076682568313,853.099268668537,1050.31493177915,648.656293821019,923.626453162816,376.971974679454,626.090418184063,413.504806087112,568.891514305654,707.767656743878,0,0,3,0,4,5,5,NaN,vertical,vertical,horizontal,vertical,vertical,none
1a,24,100193,1,18,18,18,F,NA,variable,heterogeneous,4,present,1.56761407852173,0,vertical,horizontal,1,0.98823295894422,green,2,3,1050.31493177915,648.656293821019,848.656293821019,349.685068220846,751.343706178981,850.314931779154,1050.31493177915,648.656293821019,848.656293821019,349.685068220846,549.685068220846,551.343706178981,0,0,0,0,6,4,6,5,NaN,NaN,horizontal,vertical,vertical,horizontal,none,none
