"","rep.seeds..each...2.","variability","QUID","PBT","SC"
"1",1,"8.97689946694326e-15",2749.37627304101,0.143390296627083,0
"2",2,"1.46110866179002e-25",1.06032250565403,0.263413925607142,0
"3",2,"same",-1,-1,-1
"4",2,"diff",-1,-1,-1
