"","grp_mu","grp_N","p_N","Test","Power"
"1",0,10,20,"SC",0.115
"2",0,10,100,"SC",0.327
"3",0,10,500,"SC",0.858
"4",0,30,20,"SC",0.146
"5",0,30,100,"SC",0.658
"6",0,30,500,"SC",0.997
"7",0,50,20,"SC",0.195
"8",0,50,100,"SC",0.813
"9",0,50,500,"SC",1
"10",0.1,10,20,"SC",0.136
"11",0.1,10,100,"SC",0.399
"12",0.1,10,500,"SC",0.897
"13",0.1,30,20,"SC",0.175
"14",0.1,30,100,"SC",0.762
"15",0.1,30,500,"SC",1
"16",0.1,50,20,"SC",0.235
"17",0.1,50,100,"SC",0.908
"18",0.1,50,500,"SC",1
"19",0,10,20,"PBT",0.016
"20",0,10,100,"PBT",0.199
"21",0,10,500,"PBT",0.854
"22",0,30,20,"PBT",0.053
"23",0,30,100,"PBT",0.577
"24",0,30,500,"PBT",0.999
"25",0,50,20,"PBT",0.132
"26",0,50,100,"PBT",0.841
"27",0,50,500,"PBT",1
"28",0.1,10,20,"PBT",0.025
"29",0.1,10,100,"PBT",0.29
"30",0.1,10,500,"PBT",0.927
"31",0.1,30,20,"PBT",0.073
"32",0.1,30,100,"PBT",0.703
"33",0.1,30,500,"PBT",1
"34",0.1,50,20,"PBT",0.161
"35",0.1,50,100,"PBT",0.943
"36",0.1,50,500,"PBT",1
