experiment,subject,uniqueID,block,trial,trial_cumulative,age,gender,color_cond_blocking,color_history,shape_type,set_size,distractor,rt,acc,target_orient,response_key,response_made,iti,target_color,target_item,distractor_item,target_X,target_Y,distractor_X,distractor_Y,item1_X,item1_Y,item2_X,item2_Y,item3_X,item3_Y,item4_X,item4_Y,item5_X,item5_Y,item6_X,item6_Y,item1_shape,item2_shape,item3_shape,item4_shape,item5_shape,item6_shape,item1_line,item2_line,item3_line,item4_line,item5_line,item6_line
1d,2,100205,1,1,1,19,M,NA,constant,homogeneous,6,present,1.63986611366272,1,horizontal,horizontal,1,0.882347532419058,red,3,2,1054.37883281626,582.212099195248,942.594190385041,811.404581001536,688.215357568785,829.192481806288,942.594190385041,811.404581001536,1054.37883281626,582.212099195248,911.784642431215,370.807518193712,657.405809614959,388.595418998464,545.621167183745,617.787900804752,0,0,4,0,0,0,vertical,horizontal,horizontal,horizontal,horizontal,horizontal
1d,2,100205,1,2,2,19,M,NA,constant,homogeneous,5,absent,NaN,0,vertical,none,0,0.999992337593665,red,2,NaN,1051.86052685176,639.890788585259,NaN,NaN,839.890788585259,851.86052685176,1051.86052685176,639.890788585259,915.767577433584,372.793336331966,619.68777079743,419.68777079743,572.793336331966,715.767577433584,NaN,NaN,0,4,0,0,0,NaN,horizontal,vertical,horizontal,horizontal,horizontal,none
1d,2,100205,1,3,3,19,M,NA,constant,homogeneous,3,present,0.790317058563232,0,vertical,horizontal,1,0.670586883104764,red,3,1,704.475318678942,363.568117085469,643.006323791957,800.942742169714,643.006323791957,800.942742169714,1052.5183575291,635.489140744817,704.475318678942,363.568117085469,NaN,NaN,NaN,NaN,NaN,NaN,0,0,4,NaN,NaN,NaN,horizontal,vertical,vertical,none,none,none
1d,2,100205,1,4,4,19,M,NA,constant,homogeneous,3,present,1.29946804046631,0,horizontal,vertical,1,0.658822402587304,red,1,3,619.68777079743,780.31222920257,734.001143498857,353.688914296288,619.68777079743,780.31222920257,1046.31108570371,665.998856501143,734.001143498857,353.688914296288,NaN,NaN,NaN,NaN,NaN,NaN,4,0,0,NaN,NaN,NaN,horizontal,horizontal,horizontal,none,none,none
1d,2,100205,1,5,5,19,M,NA,constant,homogeneous,4,absent,NaN,0,vertical,none,0,1.05881474018097,red,4,NaN,546.900731331463,631.076682568313,NaN,NaN,831.076682568313,853.099268668537,1053.09926866854,568.923317431687,768.923317431687,346.900731331463,546.900731331463,631.076682568313,NaN,NaN,NaN,NaN,0,0,0,4,NaN,NaN,horizontal,vertical,vertical,vertical,none,none
1d,2,100205,1,6,6,19,M,NA,constant,homogeneous,4,present,0.828655958175659,1,horizontal,horizontal,1,0.670586883104764,red,1,4,725.445215295702,843.857712770574,556.142287229426,525.445215295702,725.445215295702,843.857712770574,1043.85771277057,674.554784704298,874.554784704298,356.142287229426,556.142287229426,525.445215295702,NaN,NaN,NaN,NaN,4,0,0,0,NaN,NaN,horizontal,horizontal,horizontal,horizontal,none,none
1d,2,100205,1,7,7,19,M,NA,constant,homogeneous,6,present,1.00993084907532,1,vertical,vertical,1,0.823525129831754,red,4,5,764.510859255183,347.4816424709,563.568117085469,504.475318678942,835.489140744817,852.518357529101,1036.43188291453,695.524681321058,1000.94274216971,443.006323791957,764.510859255183,347.4816424709,563.568117085469,504.475318678942,599.057257830286,756.993676208043,0,0,0,4,0,0,horizontal,horizontal,vertical,vertical,horizontal,horizontal
1d,2,100205,1,8,8,19,M,NA,constant,homogeneous,4,absent,1.78250598907471,0,vertical,horizontal,1,0.811760649314293,red,4,NaN,616.568350913644,777.137884467044,NaN,NaN,977.137884467044,783.431649086356,983.431649086356,422.862115532956,622.862115532956,416.568350913644,616.568350913644,777.137884467044,NaN,NaN,NaN,NaN,0,0,0,4,NaN,NaN,vertical,horizontal,horizontal,vertical,none,none
1d,2,100205,1,9,9,19,M,NA,constant,homogeneous,3,present,0.784862041473389,0,vertical,horizontal,1,0.729409285692068,red,2,1,1041.10723677783,516.980120613425,751.343706178981,850.314931779154,751.343706178981,850.314931779154,1041.10723677783,516.980120613425,607.549057043193,432.704947607421,NaN,NaN,NaN,NaN,NaN,NaN,0,4,0,NaN,NaN,NaN,horizontal,vertical,vertical,none,none,none
1d,2,100205,1,10,10,19,M,NA,constant,homogeneous,4,absent,0.829215049743652,0,horizontal,vertical,1,0.623528961034922,red,1,NaN,967.295052392579,792.450942956807,NaN,NaN,967.295052392579,792.450942956807,992.450942956807,432.704947607421,632.704947607421,407.549057043193,607.549057043193,767.295052392579,NaN,NaN,NaN,NaN,4,0,0,0,NaN,NaN,horizontal,vertical,vertical,vertical,none,none
1d,2,100205,1,11,11,19,M,NA,constant,homogeneous,5,absent,1.0316789150238,0,horizontal,vertical,1,0.882347532419058,red,1,NaN,786.654331158049,854.650531362416,NaN,NaN,786.654331158049,854.650531362416,1038.06300875679,691.383827134052,960.476699717708,401.827779828472,661.117046071168,386.139005173917,553.688914296288,665.998856501143,NaN,NaN,4,0,0,0,0,NaN,horizontal,vertical,vertical,horizontal,horizontal,none
1d,2,100205,1,12,12,19,M,NA,constant,homogeneous,5,present,0.719582796096802,0,horizontal,vertical,1,0.76470272724445,red,3,2,946.261991269517,391.116228706307,1043.85771277057,674.554784704298,804.450363641507,854.96116226488,1043.85771277057,674.554784704298,946.261991269517,391.116228706307,646.537169096228,396.34794493794,558.892763222174,683.019879386575,NaN,NaN,0,0,4,0,0,NaN,vertical,vertical,horizontal,vertical,vertical,none
1d,2,100205,1,13,13,19,M,NA,constant,homogeneous,3,present,0.758610963821411,0,horizontal,vertical,1,0.623528961034922,red,3,1,742.637481142314,351.535633479765,613.504806087112,773.909581815937,613.504806087112,773.909581815937,1043.85771277057,674.554784704298,742.637481142314,351.535633479765,NaN,NaN,NaN,NaN,NaN,NaN,0,0,4,NaN,NaN,NaN,vertical,vertical,horizontal,none,none,none
1d,2,100205,1,14,14,19,M,NA,constant,homogeneous,3,absent,0.711672067642212,0,horizontal,vertical,1,0.882347532419058,red,2,NaN,839.890788585259,348.13947314824,NaN,NaN,998.172220171528,760.476699717708,839.890788585259,348.13947314824,561.936991243214,691.383827134052,NaN,NaN,NaN,NaN,NaN,NaN,0,4,0,NaN,NaN,NaN,horizontal,horizontal,horizontal,none,none,none
1d,2,100205,1,15,15,19,M,NA,constant,homogeneous,6,present,0.976589918136597,0,horizontal,vertical,1,0.729409285692068,red,2,3,1025.15163617903,719.715248510402,1016.25226451989,464.870587620533,808.899371659138,854.844660889869,1025.15163617903,719.715248510402,1016.25226451989,464.870587620533,791.100628340862,345.155339110131,574.848363820974,480.284751489598,583.747735480111,735.129412379467,0,4,0,0,0,0,vertical,horizontal,horizontal,horizontal,vertical,vertical
