experiment,subject,uniqueID,block,trial,trial_cumulative,age,gender,color_cond_blocking,color_history,shape_type,set_size,distractor,rt,acc,target_orient,response_key,response_made,iti,target_color,target_item,distractor_item,target_X,target_Y,distractor_X,distractor_Y,item1_X,item1_Y,item2_X,item2_Y,item3_X,item3_Y,item4_X,item4_Y,item5_X,item5_Y,item6_X,item6_Y,item1_shape,item2_shape,item3_shape,item4_shape,item5_shape,item6_shape,item1_line,item2_line,item3_line,item4_line,item5_line,item6_line
1d,6,100220,1,1,1,20,F,NA,constant,homogeneous,4,absent,0.915679931640625,1,vertical,vertical,1,1.03528571128845,red,4,NaN,548.13947314824,639.890788585259,NaN,NaN,839.890788585259,851.86052685176,1051.86052685176,560.109211414741,760.109211414741,348.13947314824,548.13947314824,639.890788585259,NaN,NaN,NaN,NaN,0,0,0,4,NaN,NaN,vertical,horizontal,vertical,vertical,none,none
1d,6,100220,1,2,2,20,F,NA,constant,homogeneous,3,present,0.991235017776489,0,vertical,horizontal,1,0.658822393417358,red,3,1,572.793336331966,484.232422566416,813.345668841951,854.650531362416,813.345668841951,854.650531362416,1013.86099482608,461.117046071168,572.793336331966,484.232422566416,NaN,NaN,NaN,NaN,NaN,NaN,0,0,4,NaN,NaN,NaN,horizontal,vertical,vertical,none,none,none
1d,6,100220,1,3,3,20,F,NA,constant,homogeneous,6,absent,0.702723026275635,1,horizontal,horizontal,1,0.776467180252075,red,5,NaN,560.378381699593,512.784863451954,NaN,NaN,844.280285305067,851.125977018113,1039.62161830041,687.215136548046,995.341332995339,436.089159529932,755.719714694933,348.874022981887,560.378381699593,512.784863451954,604.658667004661,763.910840470068,0,0,0,0,4,0,vertical,vertical,vertical,horizontal,horizontal,horizontal
1d,6,100220,1,4,4,20,F,NA,constant,homogeneous,6,present,0.849056005477905,0,vertical,horizontal,1,0.81176061630249,red,4,2,768.923317431687,346.900731331463,1034.72873763037,699.636437764765,831.076682568313,853.099268668537,1034.72873763037,699.636437764765,1003.65205506206,446.537169096228,768.923317431687,346.900731331463,565.271262369628,500.363562235235,596.34794493794,753.462830903772,0,0,0,4,0,0,vertical,vertical,horizontal,vertical,vertical,horizontal
1d,6,100220,1,5,5,20,F,NA,constant,homogeneous,3,present,0.749006986618042,0,horizontal,vertical,1,0.729409265518189,red,2,1,1039.62161830041,687.215136548046,604.658667004661,763.910840470068,604.658667004661,763.910840470068,1039.62161830041,687.215136548046,755.719714694933,348.874022981887,NaN,NaN,NaN,NaN,NaN,NaN,0,4,0,NaN,NaN,NaN,vertical,horizontal,vertical,none,none,none
1d,6,100220,1,6,6,20,F,NA,constant,homogeneous,4,present,0.889691114425659,0,horizontal,vertical,1,0.88234748840332,red,1,4,782.212099195248,854.378832816255,545.621167183745,582.212099195248,782.212099195248,854.378832816255,1054.37883281626,617.787900804752,817.787900804752,345.621167183745,545.621167183745,582.212099195248,NaN,NaN,NaN,NaN,4,0,0,0,NaN,NaN,horizontal,horizontal,vertical,vertical,none,none
1d,6,100220,1,7,7,20,F,NA,constant,homogeneous,3,present,0.744284152984619,1,vertical,vertical,1,0.835289573669434,red,2,1,970.628304621509,410.498069503264,878.799333565612,842.519411655264,878.799333565612,842.519411655264,970.628304621509,410.498069503264,550.57236181288,546.982518841471,NaN,NaN,NaN,NaN,NaN,NaN,0,4,0,NaN,NaN,NaN,horizontal,vertical,vertical,none,none,none
1d,6,100220,1,8,8,20,F,NA,constant,homogeneous,5,present,0.574826002120972,1,vertical,vertical,1,0.776467180252075,red,4,2,599.057257830286,443.006323791957,1054.84466088987,608.899371659138,870.287525733335,845.121732464271,1054.84466088987,608.899371659138,887.215136548046,360.378381699593,599.057257830286,443.006323791957,588.595418998464,742.594190385041,NaN,NaN,0,0,0,4,0,NaN,horizontal,vertical,vertical,vertical,horizontal,none
1d,6,100220,1,9,9,20,F,NA,constant,homogeneous,3,present,0.549578905105591,1,horizontal,horizontal,1,0.95293436050415,red,2,3,1052.5183575291,564.510859255183,643.006323791957,399.057257830286,704.475318678942,836.431882914531,1052.5183575291,564.510859255183,643.006323791957,399.057257830286,NaN,NaN,NaN,NaN,NaN,NaN,0,4,0,NaN,NaN,NaN,horizontal,horizontal,horizontal,none,none,none
1d,6,100220,1,10,10,20,F,NA,constant,homogeneous,3,absent,0.565577030181885,0,vertical,horizontal,1,1.04705018997192,red,3,NaN,546.39691668109,573.345241866748,NaN,NaN,903.717843984329,832.954091698863,949.885239334581,393.700666434388,546.39691668109,573.345241866748,NaN,NaN,NaN,NaN,NaN,NaN,0,0,4,NaN,NaN,NaN,horizontal,vertical,vertical,none,none,none
