experiment,subject,uniqueID,block,trial,trial_cumulative,age,gender,color_cond_blocking,color_history,shape_type,set_size,distractor,rt,acc,target_orient,response_key,response_made,iti,target_color,target_item,distractor_item,target_X,target_Y,distractor_X,distractor_Y,item1_X,item1_Y,item2_X,item2_Y,item3_X,item3_Y,item4_X,item4_Y,item5_X,item5_Y,item6_X,item6_Y,item1_shape,item2_shape,item3_shape,item4_shape,item5_shape,item6_shape,item1_line,item2_line,item3_line,item4_line,item5_line,item6_line
1d,23,100247,1,1,1,19,F,NA,constant,homogeneous,4,absent,0.645449161529541,1,horizontal,horizontal,1,0.917642469406128,green,1,NaN,755.719714694933,851.125977018113,NaN,NaN,755.719714694933,851.125977018113,1051.12597701811,644.280285305067,844.280285305067,348.874022981887,548.874022981887,555.719714694933,NaN,NaN,NaN,NaN,4,0,0,0,NaN,NaN,horizontal,horizontal,horizontal,horizontal,none,none
1d,23,100247,1,2,2,19,F,NA,constant,homogeneous,5,present,0.716521024703979,1,horizontal,horizontal,1,0.694116287231445,green,2,1,1046.31108570371,665.998856501143,813.345668841951,854.650531362416,813.345668841951,854.650531362416,1046.31108570371,665.998856501143,938.882953928832,386.139005173917,639.523300282292,401.827779828472,561.936991243214,691.383827134052,NaN,NaN,0,4,0,0,0,NaN,horizontal,horizontal,vertical,vertical,horizontal,none
1d,23,100247,1,3,3,19,F,NA,constant,homogeneous,5,present,0.600076913833618,1,vertical,vertical,1,0.635293607711792,green,4,2,786.654331158049,345.349468637584,960.476699717708,798.172220171528,661.117046071168,813.860994826083,960.476699717708,798.172220171528,1038.06300875679,508.616172865948,786.654331158049,345.349468637584,553.688914296288,534.001143498857,NaN,NaN,0,0,0,4,0,NaN,horizontal,vertical,vertical,vertical,horizontal,none
1d,23,100247,1,4,4,19,F,NA,constant,homogeneous,3,present,0.520490169525146,1,horizontal,horizontal,1,0.635293607711792,green,3,1,545,600,927.5,820.836477965032,927.5,820.836477965032,927.5,379.163522034968,545,600,NaN,NaN,NaN,NaN,NaN,NaN,0,0,4,NaN,NaN,NaN,vertical,horizontal,horizontal,none,none,none
1d,23,100247,1,5,5,19,F,NA,constant,homogeneous,6,present,0.583796977996826,1,horizontal,horizontal,1,1.0235232925415,green,4,5,808.899371659138,345.155339110131,583.747735480111,464.870587620533,791.100628340862,854.844660889869,1016.25226451989,735.129412379467,1025.15163617903,480.284751489598,808.899371659138,345.155339110131,583.747735480111,464.870587620533,574.848363820974,719.715248510402,0,0,0,4,0,0,vertical,horizontal,vertical,horizontal,horizontal,horizontal
1d,23,100247,1,6,6,19,F,NA,constant,homogeneous,5,present,0.581504106521606,1,vertical,vertical,1,0.694116287231445,green,1,4,857.362518857686,848.464366520235,607.549057043193,432.704947607421,857.362518857686,848.464366520235,1054.0296480134,622.224714400653,899.636437764765,365.271262369628,607.549057043193,432.704947607421,581.422338320961,731.334709102064,NaN,NaN,4,0,0,0,0,NaN,vertical,horizontal,vertical,horizontal,horizontal,none
1d,23,100247,1,7,7,19,F,NA,constant,homogeneous,5,present,0.4736168384552,0,vertical,horizontal,1,1.0235232925415,green,5,2,567.045908301137,703.717843984329,1049.42763818712,653.017481158529,826.654758133252,853.60308331891,1049.42763818712,653.017481158529,927.5,379.163522034968,629.371695378491,410.498069503264,567.045908301137,703.717843984329,NaN,NaN,0,0,0,0,4,NaN,horizontal,horizontal,horizontal,horizontal,vertical,none
1d,23,100247,1,8,8,19,F,NA,constant,homogeneous,6,absent,0.647099018096924,1,horizontal,horizontal,1,0.976465148925781,green,1,NaN,848.656293821019,850.314931779154,NaN,NaN,848.656293821019,850.314931779154,1041.10723677783,683.019879386575,992.450942956807,432.704947607421,751.343706178981,349.685068220846,558.892763222174,516.980120613425,607.549057043193,767.295052392579,4,0,0,0,0,0,horizontal,horizontal,horizontal,horizontal,vertical,horizontal
1d,23,100247,1,9,9,19,F,NA,constant,homogeneous,6,present,0.654230833053589,1,vertical,vertical,1,0.694116287231445,green,6,5,583.747735480111,735.129412379467,574.848363820974,480.284751489598,808.899371659138,854.844660889869,1025.15163617903,719.715248510402,1016.25226451989,464.870587620533,791.100628340862,345.155339110131,574.848363820974,480.284751489598,583.747735480111,735.129412379467,0,0,0,0,0,4,vertical,vertical,vertical,vertical,horizontal,vertical
1d,23,100247,1,10,10,19,F,NA,constant,homogeneous,3,present,0.737955093383789,1,vertical,vertical,1,0.729409894943237,green,2,3,1048.46436652023,657.362518857686,725.445215295702,356.142287229426,626.090418184063,786.495193912888,1048.46436652023,657.362518857686,725.445215295702,356.142287229426,NaN,NaN,NaN,NaN,NaN,NaN,0,4,0,NaN,NaN,NaN,vertical,vertical,horizontal,none,none,none
