"","exp","non_directional.statistic","non_directional.p","directional_effect.statistic","directional_effect.p","pos_bf","pbt.low","pbt.high"
"50","data_Rouault_2018_Expt1.csv",0.536126530612245,0,0.0154524447668988,0.002,-99999,0.993597144561388,1
"51","data_Rouault_2018_Expt2.csv",0.538098765432099,0,0.0112545266706835,0.036,-99999,0.993544715957469,1
"52","data_Rouault_2019.csv",0.543176470588235,0.091,5.38265778528982e-05,0.95,-99999,0.955276409948849,1
"53","data_Rouault_2020.csv",0.489235294117647,0.596,0.0140480489201108,0.354,-99999,0.913650909624558,1
"54","data_Schmidt_2019_memory.csv",0.554888888888889,0.106,-0.0137935639688887,0.29,-99999,0.893193962555027,1
"55","data_Schmidt_2019_perception.csv",0.575481481481481,0.053,0.0391863955001723,0.082,-99999,0.893193962555027,1
"56","data_Schurgin_2018.csv",0.568047619047619,0.045,-0.0192740629410779,0.252,-99999,0.929161312195929,1
"57","data_Sherman_2016_JN.csv",0.718823529411765,0.001,0.178354892753189,0,-99999,0.838613101097602,1
"58","data_Sherman_2016_JOCN.csv",0.782285714285714,0,-0.171949168208835,0.004,-99999,0.809435502608332,1
"59","data_Sherman_unpub_Expt1.csv",0.635644444444444,0,-0.0050311846626827,0.574,-99999,0.933632314027311,1
"60","data_Sherman_unpub_Expt2.csv",0.47475,0.686,0.00256044239962083,0.942,-99999,0.881128268413849,1
"61","data_Siedlecka_2016.csv",0.688333333333333,0.006,-0.306345448532948,0,-99999,0.633511943422191,1
"62","data_Siedlecka_2018_bioRxiv.csv",0.7202,NA,-0.207993062493062,0.014,-99999,0.749048220651741,1
"63","data_Siedlecka_2019_Exp1.csv",0.5684,0.115,-0.0140314891115625,0.646,-99999,0.885441730778121,1
"64","data_Siedlecka_2019_Exp2.csv",0.594583333333333,0.004,-0.113468864056284,0,-99999,0.937572616642424,1
"65","data_Siedlecka_unpub.csv",0.512769230769231,0.39,-0.00555390812809449,0.892,-99999,0.797225078263015,1
"66","data_Skora_2016.csv",0.548526315789474,0.157,0.0378976253878064,0.092,-99999,0.853570167717616,1
"67","data_Skora_unpub.csv",0.503707317073171,0.427,0.0308389940864285,0.002,-99999,0.927534097010111,1
"68","data_Teuchies_2019.csv",0.401777777777778,NA,-0.0147206014193718,0.594,-99999,0.727509946428511,1
"69","data_VanBoxtel_2019_Expt1.csv",0.596888888888889,0.014,-0.0100922972008786,0.136,-99999,0.933632314027311,1
"70","data_VanBoxtel_2019_Expt2.csv",0.634162162162162,0.001,-0.0203233447937094,0.1,-99999,0.920202471912669,1
"71","data_Ye_2018.csv",0.49,0.655,-0.000419851280271407,0.996,-99999,0.846454207039744,1
"72","data_Zylberberg_2016.csv",0.564,0.324,0.00369032329828182,0.98,-99999,0.445141939187889,1
