"","exp","non_directional.statistic","non_directional.p","directional_effect.statistic","directional_effect.p","pos_bf","pbt.low","pbt.high"
"1","Skora et al_2020_1",0.391135135135135,0.973,-0.00579099861864874,0.862,-99999,0,0.123478494418657
"2","Skora et al_2020_2",0.526842105263158,0.253,-0.0986421425155336,0.366,-99999,0.0256606488716278,0.38379420913952
