subject,pair,soc_condition,stim,trial_n,target,beeps,response,rt,correct,order,pos,h1,h2,h3,h4,age
S1,P1,I,2F2B,68,2,2,2,0.7240702960002636,1,B1,L,5,5,4,3,28
S1,P1,I,2F1B,69,2,1,1,0.8862738070001797,0,B1,L,5,5,4,3,28
S1,P1,I,1F2B,70,1,2,1,2.552755715999865,1,B1,L,5,5,4,3,28
S1,P1,I,2F2B,71,2,2,2,3.3109043879999263,1,B1,L,5,5,4,3,28
S1,P1,I,1F1B,72,1,1,1,1.1939254869998877,1,B1,L,5,5,4,3,28
S1,P1,I,2F2B,73,2,2,2,0.751347947999875,1,B1,L,5,5,4,3,28
S1,P1,I,2F2B,74,2,2,2,0.5263892889997805,1,B1,L,5,5,4,3,28
S1,P1,I,2F2B,75,2,2,2,1.5699832209998021,1,B1,L,5,5,4,3,28
S1,P1,I,1F1B,76,1,1,1,0.7658976610000536,1,B1,L,5,5,4,3,28
S1,P1,I,1F1B,77,1,1,1,0.5002707140001803,1,B1,L,5,5,4,3,28
S1,P1,I,1F1B,78,1,1,1,0.5434547109998675,1,B1,L,5,5,4,3,28
S1,P1,I,2F1B,79,2,1,1,0.4621188290002465,0,B1,L,5,5,4,3,28
S1,P1,I,2F2B,80,2,2,1,0.5771880009997403,0,B1,L,5,5,4,3,28
S1,P1,I,2F2B,81,2,2,1,0.47355651899988516,0,B1,L,5,5,4,3,28
S1,P1,I,1F1B,82,1,1,1,0.5516978529999506,1,B1,L,5,5,4,3,28
S1,P1,I,1F1B,83,1,1,1,0.4157849709999937,1,B1,L,5,5,4,3,28
S1,P1,I,2F2B,84,2,2,1,0.6939894000001914,0,B1,L,5,5,4,3,28
S1,P1,I,2F1B,85,2,1,1,1.0261521569996148,0,B1,L,5,5,4,3,28
S1,P1,I,1F1B,86,1,1,1,1.0436963940001078,1,B1,L,5,5,4,3,28
S1,P1,I,1F1B,87,1,1,1,0.6165992339997501,1,B1,L,5,5,4,3,28
S1,P1,I,2F1B,88,2,1,1,1.0001694669999779,0,B1,L,5,5,4,3,28
S1,P1,I,2F1B,89,2,1,1,0.5981157890000759,0,B1,L,5,5,4,3,28
S1,P1,I,2F1B,90,2,1,1,0.6587356009999894,0,B1,L,5,5,4,3,28
S1,P1,I,2F1B,91,2,1,1,0.7091424610002832,0,B1,L,5,5,4,3,28
S1,P1,I,2F1B,92,2,1,1,0.7876432050002222,0,B1,L,5,5,4,3,28
S1,P1,I,2F2B,93,2,2,2,1.3693458749999081,1,B1,L,5,5,4,3,28
S1,P1,I,2F1B,94,2,1,1,0.5531783940000423,0,B1,L,5,5,4,3,28
S1,P1,I,2F1B,95,2,1,1,0.660354610000013,0,B1,L,5,5,4,3,28
S1,P1,I,1F2B,96,1,2,1,1.9568501369999467,1,B1,L,5,5,4,3,28
S1,P1,I,2F2B,97,2,2,2,0.7108010189999732,1,B1,L,5,5,4,3,28
S1,P1,I,1F1B,98,1,1,1,0.7138002880001295,1,B1,L,5,5,4,3,28
S1,P1,I,1F1B,99,1,1,1,0.8735672980001254,1,B1,L,5,5,4,3,28
S1,P1,I,1F1B,100,1,1,1,0.4496965509997608,1,B1,L,5,5,4,3,28
S1,P1,I,2F2B,101,2,2,2,1.042122285000005,1,B1,L,5,5,4,3,28
S1,P1,I,2F2B,102,2,2,2,0.6303839289998905,1,B1,L,5,5,4,3,28
S1,P1,I,1F2B,103,1,2,2,0.7215568640003767,0,B1,L,5,5,4,3,28
S1,P1,I,2F2B,104,2,2,2,0.7603522620001968,1,B1,L,5,5,4,3,28
S1,P1,I,1F1B,105,1,1,1,0.5987927209998816,1,B1,L,5,5,4,3,28
S1,P1,I,1F1B,106,1,1,1,0.512207263000164,1,B1,L,5,5,4,3,28
S1,P1,I,2F2B,107,2,2,2,1.0734142189999147,1,B1,L,5,5,4,3,28
S1,P1,I,1F2B,108,1,2,2,0.7493797189999896,0,B1,L,5,5,4,3,28
S1,P1,I,1F1B,109,1,1,1,0.4566772369998944,1,B1,L,5,5,4,3,28
S1,P1,I,2F1B,110,2,1,1,0.47833642099976714,0,B1,L,5,5,4,3,28
S1,P1,I,1F1B,111,1,1,1,0.49916604600002756,1,B1,L,5,5,4,3,28
S1,P1,I,2F1B,112,2,1,1,0.7316382530002556,0,B1,L,5,5,4,3,28
S1,P1,I,1F1B,113,1,1,1,0.4841253099998539,1,B1,L,5,5,4,3,28
S1,P1,I,1F2B,114,1,2,2,0.5393235759997879,0,B1,L,5,5,4,3,28
S1,P1,I,2F1B,115,2,1,1,0.7168788310000309,0,B1,L,5,5,4,3,28
S1,P1,I,1F2B,116,1,2,2,0.8100101439999889,0,B1,L,5,5,4,3,28
S1,P1,I,2F1B,117,2,1,1,0.5809539570000197,0,B1,L,5,5,4,3,28
S1,P1,I,2F1B,118,2,1,1,1.173617381999975,0,B1,L,5,5,4,3,28
S1,P1,I,1F2B,119,1,2,2,0.8628853990003336,0,B1,L,5,5,4,3,28
S1,P1,I,1F2B,120,1,2,2,0.6787036050000097,0,B1,L,5,5,4,3,28
