"","exp","non_directional.statistic","non_directional.p","directional_effect.statistic","directional_effect.p","directional_effect.ci_low","directional_effect.ci_high"
"1","data_Adler_2018_Expt1.csv",0.985272727272727,0,0.193764072326412,0.0304,0.0509540797106886,0.334108250176041
"2","data_Adler_2018_Expt2.csv",1,0,0.349686972030893,0.0066,0.259320721296302,0.441420190713833
"3","data_Adler_2018_Expt3.csv",0.948933333333333,0,0.126206980044923,0.1922,-0.0300973628410356,0.310592722027569
"4","data_Arbuzova_2021_expt1.csv",0.810243902439024,0,5.51534392363286,2e-04,2.98506221761951,8.18175786830637
"5","data_Arbuzova_2021_expt2.csv",0.752976744186047,0,0.0566095299410848,0.058,0.00127727727975509,0.112677439071552
"6","data_Arbuzova_unpub_3.csv",0.735560975609756,0,0.0528105302091407,0.025,0.00719680703689887,0.0972848795926455
"7","data_Bang_2019_Exp1.csv",0.829,1e-04,0.142144856060499,0.0072,0.0647386595127772,0.22368665851556
"8","data_Bang_2019_Exp2.csv",0.827054726368159,0,0.201677708124067,0,0.14567426764257,0.257164980080719
"9","data_CalderTravis_unpub.csv",0.795,0,1.48208110700114,0.0646,-0.0805378562816578,2.98200606927333
"10","data_Chandravadia_2020.csv",0.729494252873563,0,0.114667501955311,0.0148,0.0228080309434845,0.203359347738703
"11","data_Charalampaki_unpub_1.csv",0.724195121951219,0,1.99443324776509,0.0338,0.274550852993877,3.76439532384307
"12","data_Clark_2018.csv",0.7545,0.0442,-0.0299340535682669,0.251,-0.0647159669065902,0.00484785977005642
"13","data_Clark_unpub.csv",0.392375,0.8964,0.529431903100241,0.156,-0.116088975336494,1.21162592518179
"14","data_Constant_2022.csv",0.713191489361702,0,0.232401425437723,0,0.117446869716157,0.344675286586434
"15","data_Denison_2018.csv",0.931,0,-0.0806051750297915,0.5504,-0.3400656967352,0.173454424760828
"16","data_Desender_2014.csv",0.790162790697674,0,0.270726852100758,0,0.194934985747008,0.357013395680626
"17","data_Desender_2018_Exp1.csv",0.8664,0,-0.537069349113179,0.3762,-1.68886444129797,0.562991926314837
"18","data_Desender_2021_Cognit.csv",0.700533333333333,0,0.744271001131586,0.2948,-0.667708780913526,2.02997275199573
"19","data_Desender_2021_PsyRes.csv",0.658325,0,0.021037765982081,0.6954,-0.083886950975319,0.12620141564713
"20","data_Desender_2022_Exp1.csv",0.818883720930233,0,0.136468556234557,0.426,-0.149751293541073,0.455871141463635
"21","data_Desender_2022_Exp1S.csv",0.782,0,2.62800123389821,0.002,1.17182116337088,4.09724088829548
"22","data_Desender_2022_Exp2B.csv",0.786646464646465,0,0.0182939212551495,0.5014,-0.0352760053182809,0.0727404034440434
"23","data_Duyan_unpub_logos.csv",0.808655172413793,0,-0.3475724955677,0,-0.413127395165601,-0.281824043424094
"24","data_Faivre_2018_bioRxiv.csv",0.661783783783784,3e-04,0.0686073608509555,0.1836,-0.031571786848018,0.170210602032816
"25","data_Faivre_2018_JN.csv",0.73775,0,0.0383874524602932,0,0.0207749419532511,0.0571304465915101
"26","data_Fallow_unpub_1.csv",0.798643356643357,0,-0.0259456333646494,0.3558,-0.0804081998086059,0.0287040884478442
"27","data_Fallow_unpub_2.csv",0.750252873563218,0,-0.0173762802056243,0.4618,-0.0630952563174003,0.0287033240774649
"28","data_Fallow_unpub_3.csv",0.757294117647059,0,-0.016975100835261,0.5402,-0.0710710696458316,0.0363540207219408
"29","data_Filevich_unpub.csv",0.860705882352941,0,0.246921535900236,0.0594,0.0188145886204192,0.516876011384147
"30","data_Gajdos_2019.csv",0.798636363636364,0,0.166396988930765,0.0456,0.0132068691988514,0.321091296334748
"31","data_Gallagher_2019_Exp1.csv",0.5592,0.229,0.0132388502927838,0.5348,-0.0273636446363797,0.0535191580034786
"32","data_Gallagher_2019_Exp2.csv",0.2268,0.9999,0.0011020484949887,0.8684,-0.0108723548935418,0.012609687009843
"33","data_Gherman_2018.csv",0.7772,0,0.189323066166293,0.1458,-0.0514288701033973,0.432175862759698
"34","data_Haddara_2022_Expt1.csv",0.797253393665158,0,0.0510607581494847,8e-04,0.0223704623610037,0.0797550333455972
"35","data_Haddara_2022_Expt2.csv",0.961706666666667,0,-0.0114107497170371,0.7496,-0.082969106952683,0.0574599270120378
"36","data_Hainguerlot_2018.csv",0.755138461538462,0,0.00379634127063168,0.4356,-0.00560984718926656,0.013109663341027
"37","data_Hainguerlot_unpub.csv",0.792434782608696,0,0.00704598250137324,0.1592,-0.00250560012207988,0.0169496699434301
"38","data_Hetland_unpub.csv",0.572260869565217,0.0086,-0.0645100447416255,0.00219999999999998,-0.105302366642034,-0.0239210701103942
"39","data_Hu_2017.csv",0.577885714285714,0.0496,0.101450260333797,0.0454,0.00713129931769327,0.195184855667416
"40","data_Jachs_2015_Exp1.csv",0.693846153846154,0.0064,0.0586846814700521,0.0142,0.0206884821182509,0.095733414753242
"41","data_Jachs_2015_Exp2.csv",0.688444444444444,0.0018,0.0783086739015608,0.0754,0.00645606026804963,0.16290219207606
"42","data_Jachs_2015_Exp3.csv",0.62,0.1674,-0.05174472363029,0.1498,-0.113300773001426,0.0131976146994532
"43","data_Jaquiery_unpub.csv",0.820536585365854,0,-0.423372443496425,0.1236,-0.958083497711544,0.113897856393864
"44","data_Kantner_2010.csv",0.768153846153846,0,0.242696631346358,0,0.176714196533221,0.310584922252541
"45","data_Kantner_2012_E1.csv",0.823268292682927,0,0.270174337193089,0,0.162028622287297,0.381441040257481
"46","data_Kantner_2012_E2.csv",0.810173913043478,0,0.22963785086071,0,0.139746303012656,0.315211668137569
