"","exp","non_directional.statistic","non_directional.p","directional_effect.statistic","directional_effect.p","quid_bf","pbt.low","pbt.high"
"26","data_Fallow_unpub_1.csv",0.797314685314685,0,-0.0259456333646494,0.376,1.31018626865396e-183,0.384823737414628,0.555313046283581
"27","data_Fallow_unpub_2.csv",0.750275862068965,0,-0.0173762802056243,0.41,1.64904995158505e-171,0.325432203705793,0.478850577151041
"28","data_Fallow_unpub_3.csv",0.759382352941177,0,-0.016975100835261,0.546,5.31286411661181e-166,0.324647145222242,0.499389421913187
"29","data_Filevich_unpub.csv",0.863294117647059,0,0.246921535900236,0.06,2.36666701745694e-44,0.329921806760495,0.779030082246849
"30","data_Gajdos_2019.csv",0.8,0,0.166396988930765,0.042,1.33592462077944e-89,0.35827994834354,0.760606782883294
"31","data_Gallagher_2019_Exp1.csv",0.556933333333333,0.234,0.0132388502927838,0.51,-99999,0.0100197546581094,0.394212924370585
"32","data_Gallagher_2019_Exp2.csv",0.2296,1,0.0011020484949887,0.842,-99999,0,0.170749722982481
"33","data_Gherman_2018.csv",0.778933333333333,0,0.189323066166293,0.14,2.72395845343517e-41,0.328089495064427,0.683954495445292
"34","data_Haddara_2022_Expt1.csv",0.796004524886878,0,0.0510607581494847,0,0,0.47953083624963,0.576756520718562
"35","data_Haddara_2022_Expt2.csv",0.96048,0,-0.0114107497170371,0.792,0,0.766703916567642,0.926941913473911
"36","data_Hainguerlot_2018.csv",0.755476923076923,0,0.00379634127063168,0.382,2.5181917558322e-86,0.28577457249165,0.535070192916436
"37","data_Hainguerlot_unpub.csv",0.787913043478261,0,0.00704598250137324,0.154,9.10134402915157e-109,0.330531894105472,0.572705457922506
"38","data_Hetland_unpub.csv",0.574898550724638,0.003,-0.0645100447416255,0.00600000000000001,4.05642924099067e-05,0.00832670111664147,0.166033026080019
"39","data_Hu_2017.csv",0.577942857142857,0.078,0.101450260333797,0.026,0.460396578989511,0.00682199158345244,0.23734038509112
"40","data_Jachs_2015_Exp1.csv",0.698769230769231,0.006,0.0586846814700521,0.01,0.148490694936711,0,0.355131067521623
"41","data_Jachs_2015_Exp2.csv",0.689444444444444,0.004,0.0783086739015608,0.086,4.73476294304647e-20,0.0677436862316068,0.46998752201553
"42","data_Jachs_2015_Exp3.csv",0.6316,0.098,-0.05174472363029,0.136,7.29804742974774e-06,0.11437686088486,0.664893135016724
"43","data_Jaquiery_unpub.csv",0.820146341463415,0,-0.423372443496425,0.0980000000000001,0,0.544056742489199,0.654736054198451
"44","data_Kantner_2010.csv",0.775051282051282,0,0.242696631346358,0,1.95709543835171e-117,0.371385487486877,0.602781928515581
"45","data_Kantner_2012_E1.csv",0.821756097560976,0,0.270174337193089,0,1.61361581086733e-114,0.40574639922441,0.710796880240767
"46","data_Kantner_2012_E2.csv",0.809217391304348,0,0.22963785086071,0,4.04132867987626e-82,0.393243496789949,0.684198736497223
"47","data_Kantner_2012_E3.csv",0.785482993197279,0,0.227615331133347,0,9.0836556218951e-253,0.414306621898964,0.582329353678312
"48","data_Kantner_2012_E4.csv",0.715725490196078,0,0.213878231479956,0,9.35243895606457e-37,0.324086027678697,0.603627461810571
"49","data_Kantner_2014_E1.csv",0.785011494252874,0,0.160249101308474,0,5.53001494757456e-91,0.371095631687385,0.588026418414494
"50","data_Kantner_2014_E2.csv",0.836486486486486,0,0.308666022879116,0,4.56681395731747e-182,0.527655811290341,0.749693099438028
"51","data_Kantner_unpub1.csv",0.746625,0,0.192604711899898,0,1.60671544003842e-32,0.288713716518363,0.575369309671522
"52","data_Kantner_unpub2.csv",0.759373134328358,0,0.241036168129216,0,6.46653730743078e-98,0.334597309664609,0.582062879750848
"53","data_Kreis_2019.csv",0.709391304347826,0,5.60788299537542,0,4.26748992440754e-08,0.0876871660267651,0.339499418704123
"54","data_Kvam_2015_ch.csv",0.836,0,-0.428931104201404,0.826,1.17066616624153e-15,0.333477013384691,0.88760065092066
"55","data_Kvam_2015_nc.csv",0.945555555555556,0,0.273225882744157,0.81,1.22888378049351e-46,0.45007534760843,0.951108847491068
"56","data_Kvam_2016.csv",0.59,0.028,0.666256014150055,0.844,0.117769102153359,0.0940440627954658,0.419767839660881
"57","data_Law_unpub.csv",0.83725,0,-0.118964325590193,0.056,1.23907324689576e-64,0.495047267190769,0.905770961800849
