"","idv","iv","iv2","dv","exp","order","half"
"82",1,"I",1,1.02615215699961,"Battich_etal_2021_rt_2","B1",1
"83",1,"I",1,1.04369639400011,"Battich_etal_2021_rt_1","B1",1
"84",1,"I",1,0.61659923399975,"Battich_etal_2021_rt_1","B1",1
"85",1,"I",1,1.00016946699998,"Battich_etal_2021_rt_2","B1",1
"86",1,"I",1,0.598115789000076,"Battich_etal_2021_rt_2","B1",1
"87",1,"I",1,0.658735600999989,"Battich_etal_2021_rt_2","B1",1
"88",1,"I",1,0.709142461000283,"Battich_etal_2021_rt_2","B1",1
"89",1,"I",1,0.787643205000222,"Battich_etal_2021_rt_2","B1",1
"90",1,"I",2,1.36934587499991,"Battich_etal_2021_rt_2","B1",1
"91",1,"I",1,0.553178394000042,"Battich_etal_2021_rt_2","B1",1
"92",1,"I",1,0.660354610000013,"Battich_etal_2021_rt_2","B1",1
"93",1,"I",2,1.95685013699995,"Battich_etal_2021_rt_1","B1",1
"94",1,"I",2,0.710801018999973,"Battich_etal_2021_rt_2","B1",1
"95",1,"I",1,0.71380028800013,"Battich_etal_2021_rt_1","B1",1
"96",1,"I",1,0.873567298000125,"Battich_etal_2021_rt_1","B1",1
"97",1,"I",1,0.449696550999761,"Battich_etal_2021_rt_1","B1",1
"98",1,"I",2,1.042122285,"Battich_etal_2021_rt_2","B1",1
"99",1,"I",2,0.63038392899989,"Battich_etal_2021_rt_2","B1",1
"100",1,"I",2,0.721556864000377,"Battich_etal_2021_rt_1","B1",1
"101",1,"I",2,0.760352262000197,"Battich_etal_2021_rt_2","B1",1
"102",1,"I",1,0.598792720999882,"Battich_etal_2021_rt_1","B1",1
"103",1,"I",1,0.512207263000164,"Battich_etal_2021_rt_1","B1",1
"104",1,"I",2,1.07341421899991,"Battich_etal_2021_rt_2","B1",1
"105",1,"I",2,0.74937971899999,"Battich_etal_2021_rt_1","B1",1
"106",1,"I",1,0.456677236999894,"Battich_etal_2021_rt_1","B1",1
"107",1,"I",1,0.478336420999767,"Battich_etal_2021_rt_2","B1",1
"108",1,"I",1,0.499166046000028,"Battich_etal_2021_rt_1","B1",1
"109",1,"I",1,0.731638253000256,"Battich_etal_2021_rt_2","B1",1
"110",1,"I",1,0.484125309999854,"Battich_etal_2021_rt_1","B1",1
"111",1,"I",2,0.539323575999788,"Battich_etal_2021_rt_1","B1",1
"112",1,"I",1,0.716878831000031,"Battich_etal_2021_rt_2","B1",1
"113",1,"I",2,0.810010143999989,"Battich_etal_2021_rt_1","B1",1
"114",1,"I",1,0.58095395700002,"Battich_etal_2021_rt_2","B1",1
"115",1,"I",1,1.17361738199997,"Battich_etal_2021_rt_2","B1",1
"116",1,"I",2,0.862885399000334,"Battich_etal_2021_rt_1","B1",1
"117",1,"I",2,0.67870360500001,"Battich_etal_2021_rt_1","B1",1
"118",1,"JA",2,0.677433396999731,"Battich_etal_2021_rt_1","B2",2
"119",1,"JA",1,0.678790342999946,"Battich_etal_2021_rt_1","B2",2
"120",1,"JA",1,0.441831297000135,"Battich_etal_2021_rt_1","B2",2
"121",1,"JA",1,0.56348284600017,"Battich_etal_2021_rt_2","B2",2
"122",1,"JA",1,0.980168339000102,"Battich_etal_2021_rt_2","B2",2
"123",1,"JA",1,0.755899472000237,"Battich_etal_2021_rt_2","B2",2
"124",1,"JA",2,0.648886479000339,"Battich_etal_2021_rt_1","B2",2
"125",1,"JA",2,0.480920663999768,"Battich_etal_2021_rt_1","B2",2
"126",1,"JA",1,0.886063328999626,"Battich_etal_2021_rt_1","B2",2
"127",1,"JA",1,1.03510358100039,"Battich_etal_2021_rt_1","B2",2
"128",1,"JA",2,0.456331409000086,"Battich_etal_2021_rt_2","B2",2
"129",1,"JA",2,0.594124374999865,"Battich_etal_2021_rt_2","B2",2
"130",1,"JA",2,0.570444372000111,"Battich_etal_2021_rt_2","B2",2
"131",1,"JA",1,1.04544676700016,"Battich_etal_2021_rt_2","B2",2
"132",1,"JA",1,0.671618289999969,"Battich_etal_2021_rt_2","B2",2
"133",1,"JA",2,0.724805371000002,"Battich_etal_2021_rt_2","B2",2
"134",1,"JA",1,0.799730884999917,"Battich_etal_2021_rt_2","B2",2
"135",1,"JA",2,0.743695219000074,"Battich_etal_2021_rt_1","B2",2
"136",1,"JA",1,0.838702532999832,"Battich_etal_2021_rt_2","B2",2
"137",1,"JA",2,0.570903401999658,"Battich_etal_2021_rt_1","B2",2
"138",1,"JA",2,0.695697201000257,"Battich_etal_2021_rt_1","B2",2
"139",1,"JA",1,0.694228157999987,"Battich_etal_2021_rt_2","B2",2
"140",1,"JA",1,0.976127497000107,"Battich_etal_2021_rt_2","B2",2
"141",1,"JA",2,0.822352200000296,"Battich_etal_2021_rt_1","B2",2
"142",1,"JA",1,0.835807433999889,"Battich_etal_2021_rt_2","B2",2
"143",1,"JA",2,0.666243750999911,"Battich_etal_2021_rt_1","B2",2
"144",1,"JA",1,0.762281203000384,"Battich_etal_2021_rt_1","B2",2
"145",1,"JA",2,0.688314421000086,"Battich_etal_2021_rt_1","B2",2
"146",1,"JA",1,1.49859934999995,"Battich_etal_2021_rt_1","B2",2
"147",1,"JA",1,0.65386953899997,"Battich_etal_2021_rt_2","B2",2
"148",1,"JA",2,0.735965168999883,"Battich_etal_2021_rt_2","B2",2
"149",1,"JA",2,0.52681268599963,"Battich_etal_2021_rt_2","B2",2
"150",1,"JA",1,1.27246509699989,"Battich_etal_2021_rt_2","B2",2
"151",1,"JA",2,0.831256846000088,"Battich_etal_2021_rt_1","B2",2
"152",1,"JA",2,0.561689065000792,"Battich_etal_2021_rt_1","B2",2
"153",1,"JA",1,0.925738066999656,"Battich_etal_2021_rt_2","B2",2
"154",1,"JA",2,1.20317232700017,"Battich_etal_2021_rt_2","B2",2
"155",1,"JA",2,1.14265886599969,"Battich_etal_2021_rt_2","B2",2
"156",1,"JA",1,0.557702316000359,"Battich_etal_2021_rt_1","B2",2
"157",1,"JA",2,0.75507599499997,"Battich_etal_2021_rt_2","B2",2
"158",1,"JA",2,0.798570935000498,"Battich_etal_2021_rt_2","B2",2
"159",1,"JA",2,0.534128980999412,"Battich_etal_2021_rt_1","B2",2
"160",1,"JA",2,0.817945378000331,"Battich_etal_2021_rt_1","B2",2
"161",1,"JA",2,0.580269514000065,"Battich_etal_2021_rt_1","B2",2
"162",1,"JA",1,0.538956572999268,"Battich_etal_2021_rt_2","B2",2
"163",1,"JA",2,0.627507856000193,"Battich_etal_2021_rt_2","B2",2
"164",1,"JA",2,0.443423168000663,"Battich_etal_2021_rt_1","B2",2
"165",1,"JA",1,0.816682441999546,"Battich_etal_2021_rt_2","B2",2
"166",1,"JA",2,0.855200469999545,"Battich_etal_2021_rt_1","B2",2
"167",1,"JA",2,1.09227422899949,"Battich_etal_2021_rt_2","B2",2
"168",1,"JA",2,0.740687624000202,"Battich_etal_2021_rt_2","B2",2
"169",1,"JA",2,0.909427003999554,"Battich_etal_2021_rt_1","B2",2
"170",1,"JA",1,0.843786895999983,"Battich_etal_2021_rt_1","B2",2
"171",1,"JA",2,0.574889894999615,"Battich_etal_2021_rt_2","B2",2
"172",1,"JA",1,0.752686494000045,"Battich_etal_2021_rt_2","B2",2
"173",1,"JA",1,0.576352457999747,"Battich_etal_2021_rt_1","B2",2
"174",1,"JA",1,0.616827563999323,"Battich_etal_2021_rt_1","B2",2
"175",1,"JA",2,0.756923511999958,"Battich_etal_2021_rt_2","B2",2
"176",1,"JA",1,1.09874498599947,"Battich_etal_2021_rt_1","B2",2
"177",1,"JA",1,1.3126587910001,"Battich_etal_2021_rt_1","B2",2
"178",1,"JA",2,0.722111588999724,"Battich_etal_2021_rt_1","B2",2
"179",1,"JA",2,0.4228294250006,"Battich_etal_2021_rt_2","B2",2
"180",1,"JA",1,0.548708153000007,"Battich_etal_2021_rt_1","B2",2
"181",1,"JA",2,0.873594622999917,"Battich_etal_2021_rt_1","B2",2
"182",1,"JA",2,2.20114049899985,"Battich_etal_2021_rt_2","B2",2
"183",1,"JA",1,0.904908050999438,"Battich_etal_2021_rt_2","B2",2
"184",1,"JA",2,0.540377839999564,"Battich_etal_2021_rt_2","B2",2
"185",1,"JA",1,0.809032751999439,"Battich_etal_2021_rt_2","B2",2
"186",1,"JA",1,0.586760563000098,"Battich_etal_2021_rt_1","B2",2
"187",1,"JA",2,0.645453864000046,"Battich_etal_2021_rt_2","B2",2
"188",1,"JA",1,0.560191586000656,"Battich_etal_2021_rt_2","B2",2
"189",1,"JA",2,1.01392219899935,"Battich_etal_2021_rt_2","B2",2
